gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Kmt2a	1.02009831176908e-09	0.159421773301188	2.72284641377402e-05	1	1	0
Timp2	2.95099131946877e-07	0.233461342738841	0.00787678602992604	1	1	0
Bri3bp	5.12264153951223e-07	0.0968046540293828	0.013673354797266	1	1	0
Rps16	2.17266422262989e-06	0.553572170623851	0.057992753430437	1	1	0
Pom121	3.45628128492392e-06	0.100991160914594	0.0922550600571893	1	1	0
Ppp1r15b	5.23610039485675e-06	-0.0250526203103494	0.139761991739516	1	1	0
Atp5e	6.59763648918427e-06	0.0799929203864997	0.176104113169307	1	1	0
Slitrk4	7.36291312209485e-06	0.183307290494057	0.196530877054956	1	1	0
Izumo1r	9.96234037470844e-06	-0.376413371054794	0.265914789281718	0.6	1	0.4
Xxylt1	1.75623162472602e-05	0.0690799681721603	0.468773345271869	1	1	0
Cped1	2.32841577775434e-05	-0.397970476290124	0.621500739398188	1	1	0
Sema7a	3.75754007421361e-05	0.0762263270555534	1	1	1	0
Irgq	4.88129265096098e-05	0.0179181701540352	1	1	1	0
Norad	5.0620183013317e-05	0.552982672058653	1	1	1	0
Stac	5.54411299526077e-05	-0.383188709129325	1	1	1	0
Cdk5r1	5.73767461246062e-05	0.246494468867191	1	1	1	0
Pnma8c	6.28488516306628e-05	0.0884051423606598	1	1	1	0
Rpl29	6.48759971118176e-05	0.176976183721412	1	1	1	0
Gpr27	6.97563581391835e-05	-0.0439921787027902	1	1	1	0
Rpl9	8.42570583068305e-05	0.27845734680506	1	1	1	0
Rpl27a	8.90563259363764e-05	0.332253895418477	1	1	1	0
Rpl34	9.32095377969827e-05	0.220329949487861	1	1	1	0
Rplp0	0.00010850962037927	0.0244365948823919	1	1	1	0
Rpl19	0.000113159426402346	0.29518528967251	1	1	1	0
Rps25	0.000118644015847188	0.196692222710493	1	1	1	0
Syngr1	0.000129158643151371	0.160257281322201	1	1	1	0
Rps8	0.000132281084063917	0.511184703802147	1	1	1	0
Klf6	0.000139046943318896	-0.000525920216167819	1	1	1	0
Itm2c	0.000156461126816964	0.182169541170066	1	1	1	0
Kcnc1	0.00015984672267021	0.280473383784397	1	1	1	0
Gm6999	0.000164026230179974	-0.433464366922002	1	1	1	0
Ciart	0.000166991776842529	-0.396397560635054	1	1	1	0
Oip5os1	0.00016953939565777	0.16808338239376	1	1	1	0
Fam174a	0.00017822309176352	-0.23351789090922	1	1	1	0
Insrr	0.000192678582864097	-0.381409180329472	1	0.9	1	0.1
Tob1	0.000201308925006282	0.0800082720720514	1	1	1	0
Kcns2	0.000234456473318097	-0.054804220410881	1	1	1	0
Arntl	0.000246611117181023	0.130775275068583	1	1	1	0
Rpl17	0.000247633645725931	0.405393956458922	1	1	1	0
Zfp958	0.00025492296753479	-0.283524872742322	1	1	1	0
Rbm15b	0.000269951150618534	-0.148698270435457	1	1	1	0
Hic1	0.000275647039787479	-0.284122877224332	1	0.9	0.375	0.525
Irf2bpl	0.000285758163584299	-0.0375130998101469	1	1	1	0
Cubn	0.000304966230960496	-0.448398037048286	1	1	1	0
Cadps2	0.00034404650922943	-0.386030746356997	1	1	1	0
Mlec	0.000347511537804147	0.0302399874777988	1	1	1	0
Arxes2	0.000353820258919392	-0.00677121801275593	1	1	1	0
Rpl13a	0.000359985051507505	0.2585239901186	1	1	1	0
Kcna2	0.000361000614377673	0.20288012481086	1	1	1	0
