gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	15649.5445333517	0.124288436430464	0.0949002568389743	1.30967439467899	0.190306009254525	0.708097191251387	1	1	0
Gm1992	658.837459364227	-0.551587599110668	0.177007322752104	-3.11618519807318	0.00183207173959365	0.0765785517074841	1	1	0
Gm19938	708.069302265601	-0.011006363005809	0.137150428934968	-0.0802502995526745	0.936038185869592	0.988829062351484	1	1	0
Gm37381	0.361500502350286	-1.32928891776471	3.20880427468154	-0.414263010135337	0.6786815004266	NA	0.25	0.25	0
Rp1	10.1501801716123	0.254705534767137	0.560307369971673	0.45458180351976	0.649410128198144	NA	1	1	0
Sox17	1.42455635086627	2.0744141847194	1.84669261519933	1.12331319660121	0.261304501066373	NA	0.25	0.75	0.5
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.095365570302282	0.07933937947943	3.65784169505928	0.0216902168255656	0.982695067780668	NA	0	0.25	0.25
Mrpl15	196.656563890054	0.183348016112426	0.139599473037883	1.31338616201417	0.189052858029388	0.70760054215902	1	1	0
A930006A01Rik	18.877325245506	-0.774736726300584	0.418066266520897	-1.85314336109407	0.0638618132374612	0.481910324400086	1	1	0
Lypla1	334.705872943184	0.0680079407037198	0.124412888989404	0.546630990214461	0.584632273798987	0.92102296143137	1	1	0
Tcea1	833.220183287336	-0.0485964404177476	0.0912448776513821	-0.532593627923085	0.594314914034065	0.924989891119982	1	1	0
Rgs20	955.853266144987	-0.140819091522503	0.139451851226683	-1.00980438971439	0.312589016617505	0.805597116152681	1	1	0
Gm16041	4.39856897805722	-0.814514411035821	0.845886511218512	-0.962912164023636	0.335591604654477	NA	1	1	0
Atp6v1h	1565.04871322194	-0.0531907397675651	0.0868675173552021	-0.612320247971029	0.540325895748993	0.908299069916631	1	1	0
Oprk1	184.486366002326	0.00831122556517986	0.172189638769646	0.0482678610894734	0.961502767821905	0.992533482137986	1	1	0
Npbwr1	1.30599858137507	2.20136275504748	1.66747635561747	1.3201762937336	0.186776164926567	NA	0.5	0.75	0.25
4732440D04Rik	230.920320308253	-0.205478094470598	0.138682236542312	-1.48164681788865	0.138434294718141	0.638769900142543	1	1	0
Rb1cc1	1726.22101153568	0.0518085167203544	0.0802539283639385	0.645557392348586	0.518566038474001	0.898333899437759	1	1	0
Alkal1	1.53784686771583	0.116148788075417	1.398528319857	0.0830507229823516	0.933811207778419	NA	1	0.75	0.25
St18	138.416192639626	0.118218278439564	0.199802636499905	0.591675267706591	0.554068061215294	0.910606751018743	1	1	0
Gm57122	5.10133210595364	-0.336601028174266	0.849404769513867	-0.3962787121703	0.691899429760665	NA	1	1	0
Pcmtd1	1874.26749909335	-0.148912021270758	0.0852657758569871	-1.74644539117925	0.0807335883650693	0.519826798381697	1	1	0
Gm26901	259.000341205992	0.0871393109674121	0.128807343447158	0.676508874691297	0.498717613373595	0.890680391656754	1	1	0
Gm30414	0.667616900270009	-2.88029407861996	2.8531107646549	-1.00952760555314	0.312721669251248	NA	0.25	0	0.25
Sntg1	14808.1901338171	-0.0307536171689704	0.0760481982589978	-0.404396394300265	0.685921251248732	0.947781048933785	1	1	0
Rrs1	26.1608925584479	-0.0109102986593781	0.335460986286305	-0.0325233010853504	0.974054734277761	0.994185597417121	1	1	0
Adhfe1	57.9227373852063	0.0473592853353343	0.238108210248262	0.19889816183136	0.842342407434826	0.973767519368712	1	1	0
2610203C22Rik	30.9441887202049	-0.165891581936528	0.343344259321651	-0.483163989007074	0.628979302297394	0.936219283236773	1	1	0
Vxn	23.9632024219054	0.291350614212796	0.440020923895735	0.66212899976055	0.507888551879139	0.893977973669544	1	1	0
Mybl1	40.5870508109479	0.269979193634995	0.289367043084973	0.932999109908018	0.350820427920737	0.830250970015167	1	1	0
Vcpip1	392.423734233576	0.0592909500714904	0.112104771056048	0.528888730720011	0.596882639950373	0.925150890563462	1	1	0
1700034P13Rik	14.9164827478263	-0.476481759786835	0.44538036471675	-1.06983108716493	0.284695346606189	0.785724129044598	1	1	0
Sgk3	466.930246778844	-0.0731098244077335	0.163356713157226	-0.447547107154192	0.654480083303375	0.941267929012529	1	1	0
Snhg6	293.502971749346	-0.43418588770205	0.122376149923078	-3.54796165735697	0.00038822473284199	0.0287593807041957	1	1	0
Mcmdc2	174.825336622818	-0.347043008631557	0.162281118465307	-2.13852980502934	0.032473767769981	0.363998098059922	1	1	0
Tcf24	2.52313426124474	-0.301277027066197	1.08685294609763	-0.277201279297203	0.781625557369804	NA	1	1	0
Ppp1r42	17.2232809111064	-0.407541085058205	0.405316212506864	-1.00548922664006	0.314661334499335	0.80695667685485	1	1	0
Gm15818	2.69848582949391	-0.321974170977687	1.05264556582391	-0.305871398152593	0.759702563885552	NA	1	1	0
Gm57177	0.095365570302282	0.07933937947943	3.65784169505928	0.0216902168255656	0.982695067780668	NA	0	0.25	0.25
Cops5	398.042627863364	-0.128482717725285	0.117244165690712	-1.09585595981143	0.273141814630584	0.777394496033495	1	1	0
Cspp1	2149.13848465551	-0.0307433711364237	0.0710058093571582	-0.432969800848055	0.665036709234732	0.943995255062598	1	1	0
Arfgef1	1745.38942307601	0.084945048505993	0.0852265714232283	0.996696770590039	0.318911717706375	0.810313409656106	1	1	0
Cpa6	536.959005090232	-0.645385119895187	1.09592575650501	-0.588894928387637	0.555931760110733	0.911267702738198	1	1	0
Prex2	500.772588014113	-0.0230637539355993	0.112155085359608	-0.205641624377967	0.837070860796539	0.973081518215553	1	1	0
A830018L16Rik	4384.7050660006	0.0944175632571026	0.0827162984929966	1.14146262559242	0.253677456465894	0.761546194257836	1	1	0
Sulf1	297.936095885552	0.0311605389062601	0.157697804072789	0.197596530208355	0.843360749772906	0.973908332009873	1	1	0
Slco5a1	300.405944274998	-0.198202084348306	0.185472158672275	-1.06863523758584	0.285234063955329	0.785724129044598	1	1	0
Gm29283	0.825332334182358	-2.27584658954155	2.17969507735551	-1.04411236836975	0.296433404150319	NA	0.5	0.25	0.25
Prdm14	0.190731140604564	0.632060666363492	3.64581449467364	0.17336610715847	0.862363664246913	NA	0	0.25	0.25
Ncoa2	2786.40146524221	0.131721147966254	0.0836386951620139	1.5748828662511	0.115283484216284	0.593915892348821	1	1	0
Gm29570	11.9090969396124	0.779651970235213	0.515447770485546	1.51257220397091	0.130388359125723	NA	1	1	0
Tram1	261.452502553404	-0.00287703043295412	0.137441111245282	-0.0209328228423566	0.983299243513766	0.996686979607125	1	1	0
Gm57152	0.265979791834158	-0.446291186527135	3.61760614542553	-0.123366438629996	0.901816932119599	NA	0.25	0.25	0
Lactb2	327.120227618297	0.0101118434956398	0.124249447443267	0.0813834081657133	0.935137043703707	0.988811125962545	1	1	0
Xkr9	0.380956854845071	0.945323570443869	2.83837801894645	0.333050624030253	0.739096069913652	NA	0.25	0.5	0.25
Eya1	147.370026955949	0.298043629338016	0.1828630086895	1.62987381359393	0.103128169177267	0.569240104599271	1	1	0
Gm9947	39.9795443079359	0.12239081229771	0.271676911225748	0.450501339055678	0.652348988870919	0.940593244223522	1	1	0
Msc	4.60574612915952	-0.460495680536344	0.815529619818593	-0.564658437101005	0.572306109442846	NA	1	1	0
Trpa1	3.59689427107089	-1.1165236642126	0.984068347648266	-1.13459971238876	0.25654307371754	NA	1	0.75	0.25
Kcnb2	9101.20254022817	-0.205191193921076	0.292493310869896	-0.701524398321531	0.482975813818959	0.884094265941806	1	1	0
Terf1	581.988919084472	0.0234351283179903	0.0930161617097696	0.251946843292813	0.80108215145321	0.965111936503221	1	1	0
Sbspon	25.4101334666839	-0.59251055168996	0.347864758295879	-1.70327846543741	0.0885159686106155	0.537820489651084	1	1	0
4930444P10Rik	95.2176075047053	-0.0273916369424648	0.197731747363221	-0.138529281755388	0.889822129213286	0.98289270769349	1	1	0
Rpl7	94.5129393562272	0.0378836149826307	0.263746265722948	0.143636592839671	0.885787443358363	0.982493199590444	1	1	0
Rdh10	191.52699104483	0.317695743813416	0.145084303102098	2.18973201801058	0.0285436775807874	0.343740992963972	1	1	0
Gm28095	12.7003800978584	-0.368504025467419	0.482732966534058	-0.763370333112354	0.445242567499875	NA	1	1	0
Stau2	3363.26757896735	0.00933367040006686	0.0761580328886826	0.122556610852982	0.902458214862509	0.984080982314619	1	1	0
Gm7568	30.0578415368935	-0.38662556745723	0.355549328303704	-1.08740345341612	0.276858545643262	0.77929352475926	1	1	0
Ube2w	1441.67778984232	-0.0559566729013787	0.0846486992152671	-0.661045868632633	0.508582898279125	0.893977973669544	1	1	0
Eloc	261.50635476646	0.0733664446703017	0.139844236043473	0.52462973624093	0.599840610922492	0.926244588996547	1	1	0
D030040B21Rik	1.04565267024721	-0.756613530048854	1.80764186939442	-0.418563844342866	0.675534917921962	NA	0.75	0.5	0.25
Tmem70	145.357218788066	0.10720141334819	0.164574912332422	0.651383688004986	0.514798837750538	0.896848867245057	1	1	0
Ly96	49.4404173963792	0.405951264746814	0.273531354308947	1.4841123635439	0.137779113783302	0.637996934277158	1	1	0
Gm28376	349.834982837798	-0.619572987978512	0.172072536851863	-3.60065004743844	0.000317422579919505	0.0247391223224764	1	1	0
Jph1	375.602902974431	0.136373359347506	0.125687563292184	1.0850187224211	0.27791336313025	0.779511821158586	1	1	0
Gm28783	0.095365570302282	0.07933937947943	3.65784169505928	0.0216902168255656	0.982695067780668	NA	0	0.25	0.25
Gdap1	799.47252315145	0.0429044458601561	0.0908637073895152	0.47218462786504	0.636795011032123	0.937654376923218	1	1	0
Gm28784	6.93090628259433	-0.597365272050808	0.659578659539497	-0.905677076435242	0.365106799270113	NA	1	1	0
Pi15	13.5879182236486	-0.277994412791668	0.483182087175771	-0.575340891498199	0.565060771292127	NA	1	1	0
Gm28154	68.9628917949873	-0.0558929156134866	0.22255943417739	-0.251137031418481	0.801708166192125	0.965301013751123	1	1	0
Gm16070	290.949667008201	0.125915445403314	0.115480055927072	1.09036529634893	0.275552262497286	0.778328894654606	1	1	0
Crispld1	288.402490587652	0.159699852654279	0.172049560676284	0.928220054887318	0.353293433525669	0.831762576978936	1	1	0
Gm28153	166.672007114966	-0.0830961555600813	0.154366992238772	-0.538302614794422	0.590368146450236	0.9234172571602	1	1	0
Gm28756	347.832411586078	0.105663432484332	0.117211364797732	0.901477707956663	0.367334381092195	0.835905079750739	1	1	0
Gm15825	14.8050098402351	-0.0910189003069229	0.445315986604457	-0.204391719688628	0.838047400341328	0.973371891693578	1	1	0
Tfap2d	97.6357840670841	-0.453176326610903	0.296326592595311	-1.52931372996888	0.126186687513513	0.614559777334064	1	1	0
Tfap2b	81.7449063610676	0.575764531875626	0.324693160707872	1.77325734431975	0.0761860737704026	0.510317102909716	1	1	0
Pkhd1	12.5186321624797	-0.383037124850116	0.495104026944224	-0.773649786721019	0.439137921647198	NA	1	1	0
4930486I03Rik	0.802301202555758	0.601712856523718	2.1479037664995	0.280139578834272	0.779370420343153	NA	0.5	0.5	0
Lincmd1	1.19542388351442	-0.616258885721242	1.69981393672041	-0.36254490706803	0.716944871660401	NA	0.5	0.75	0.25
Il17f	0.359871486542468	-2.39373636756151	3.19793274565142	-0.748526175485252	0.454142842661284	NA	0.5	0	0.5
Mcm3	0.187473108988928	-1.30041170356931	3.64980336520123	-0.356296373653436	0.721618624780392	NA	0.25	0	0.25
6720483E21Rik	15.5197911352307	0.170310375236702	0.442374277511345	0.384991587202612	0.70024364849349	0.949654006235826	1	1	0
Paqr8	186.376403637237	0.247572718379071	0.144886458270397	1.70873607743958	0.0874998481099929	0.535811153733008	1	1	0
Efhc1	14.9790768981197	0.534040054246587	0.469373589329068	1.1377718439803	0.255215764834331	0.76282043925036	1	1	0
Tram2	21.2833892205795	0.249536543704925	0.383116231066562	0.651333781944547	0.514831045818968	0.896848867245057	1	1	0
Tmem14a	71.4005307013523	-0.117569241666863	0.241060271922243	-0.487717203375539	0.625750164586481	0.935765296478016	1	1	0
Gsta3	61.340562316835	-0.109085345894224	0.252719380112864	-0.431646143819705	0.665998615643195	0.943995255062598	1	1	0
Gm28836	16.081191260407	-0.0835260802185943	0.428669402810807	-0.194849643270338	0.845510657326963	0.97456795127105	1	1	0
Gm4956	0.511077616533239	0.621508384144247	2.52997560982594	0.245657856040362	0.805947098569773	NA	0.25	0.5	0.25
Khdc1c	0.247186934645017	-0.446358575650678	3.65697743740154	-0.122056693893041	0.902854118635014	NA	0.25	0.25	0
Khdc1b	0.731155592560155	-1.297792254171	2.04541292382067	-0.634489123959785	0.5257616624423	NA	0.75	0.5	0.25
Kcnq5	14782.993660677	-0.160163050866861	0.121647160570322	-1.31661972310709	0.187966124286864	0.706534201214504	1	1	0
Rims1	13478.906998395	-0.00578143230364747	0.0741914646283942	-0.0779258413700979	0.937887043468634	0.988949060400048	1	1	0
Gm29506	9.40990612204132	-0.0744597167534052	0.590391188508267	-0.126119288706767	0.899637499205004	NA	1	1	0
Gm27028	0.78211954389497	0.136815946168351	2.19242578088668	0.0624039123062213	0.95024117946462	NA	0.25	0.5	0.25
Gm29107	13.0679754022772	0.0452636138981503	0.503245687136009	0.0899433717072614	0.928332215164338	NA	1	1	0
Ogfrl1	342.530597396618	-0.148382341728086	0.120103359449709	-1.23545538116458	0.216661072469267	0.729496489666242	1	1	0
Gm28822	6.36212376478033	-0.928584122204283	0.688989212445908	-1.34774841961286	0.177739312944874	NA	1	1	0
B3gat2	190.470815788126	-0.16074751787361	0.168662570801675	-0.953071669129411	0.340553759362242	0.825066546658837	1	1	0
Smap1	937.160890385086	-0.0864881280835676	0.102500586350107	-0.843781788605124	0.398791353884163	0.851258266003606	1	1	0
Sdhaf4	38.7401297512631	-0.3523524415161	0.306804108627334	-1.14846063533032	0.250778454582309	0.759381744414434	1	1	0
Fam135a	1592.5473325142	0.0685059570733655	0.0748976821575937	0.914660575599934	0.360369847260956	0.834247276363388	1	1	0
Col9a1	4.06030673217545	2.32104005371455	1.05668269781956	2.19653454958993	0.0280537050618273	NA	0.5	1	0.5
Col19a1	2194.25092202452	0.15853728169583	0.139119295814176	1.13957794832136	0.25446217673221	0.762162905759872	1	1	0
Lmbrd1	1156.13844710862	0.0294934746925688	0.0909703773633107	0.32420965535605	0.745779312635217	0.955765379768271	1	1	0
Adgrb3	33837.6902658968	-0.100016533507201	0.0630423806832473	-1.5864967728571	0.112626663623406	0.589487721042547	1	1	0
Gm5524	0.22253896675667	-1.46638085636787	3.65784169505928	-0.400886910537584	0.688503387389079	NA	0.25	0	0.25
Gm597	0.341228443063751	-1.58698018040795	3.64010792874972	-0.435970639187349	0.662858032145075	NA	0.25	0	0.25
Gm9898	0.095365570302282	0.07933937947943	3.65784169505928	0.0216902168255656	0.982695067780668	NA	0	0.25	0.25
Phf3	1342.15064035505	-0.0368077672482189	0.0908011929996725	-0.405366559978476	0.685208087562166	0.947781048933785	1	1	0
Ptp4a1	3.86557529636604	0.0521150118800836	0.871662410324039	0.0597880684802158	0.952324428550661	NA	1	1	0
Ptp4a1.1	1.84596896096376	1.38132193653327	1.50108253925251	0.920217176878974	0.357459279879907	NA	0.5	0.75	0.25
4931428L18Rik	1.78920004552606	0.800489370914443	1.36456999145978	0.586623900513964	0.557456327177103	NA	0.5	1	0.5
Gm29128	0.133067466024002	-1.46638085636787	3.65784169505928	-0.400886910537584	0.688503387389079	NA	0.25	0	0.25
Lgsn	0.133067466024002	-1.46638085636787	3.65784169505928	-0.400886910537584	0.688503387389079	NA	0.25	0	0.25
Khdrbs2	3361.31766277477	-0.116531574531906	0.115757208341285	-1.00668957209419	0.314083974850168	0.806348531500941	1	1	0
Semp2l1	4.39241036043489	-0.899584305902039	0.901394389994645	-0.99799190663632	0.318283283206658	NA	1	1	0
Gm37724	1.63844515798385	1.70256878790001	1.45193974397368	1.17261669774284	0.240949550295907	NA	0.5	1	0.5
Prim2	282.012720000765	0.175662353167411	0.128248816144545	1.36969960774864	0.170780691202436	0.681509301985469	1	1	0
Gm57180	13.7470838570809	0.0501326896360368	0.484204229077181	0.103536249015383	0.917537381518173	NA	1	1	0
Rab23	152.559209990698	0.0498311953598559	0.158850756891055	0.313698192788793	0.753750273485226	0.956484980741778	1	1	0
Bag2	67.4598300134941	0.0904699860725446	0.226979652819495	0.398581921105019	0.690201284941194	0.947781048933785	1	1	0
Zfp451	834.587405619192	0.188285316436035	0.0922591260137987	2.04083134721951	0.0412675935872851	0.401367507505441	1	1	0
Bend6	1569.73509820749	0.120999125147218	0.0858741010915431	1.40902930696452	0.15882650243398	0.670036489519075	1	1	0
Dst	5086.49785846384	0.109242580666272	0.0775027453112884	1.40953175564945	0.158677990344592	0.670036489519075	1	1	0
Gm26788	31.5026748916193	-0.918364697805947	0.347773860729111	-2.64069500761382	0.00827361630383098	0.190471375954656	1	1	0
Gm37233	10.6947405123698	-0.196659055957881	0.537119012016684	-0.366136836637934	0.714262971419334	NA	1	1	0
Ccdc115	30.0915064599191	-0.313219569954829	0.311746415590359	-1.00472548934261	0.315029050949601	0.807678962388007	1	1	0
Gm28306	0.356599718452572	-0.14580622688748	2.9194389019791	-0.0499432362803132	0.960167622704724	NA	0.25	0.5	0.25
Imp4	69.1996608893565	0.195446906912539	0.219485531945712	0.890477404956609	0.373209595650898	0.838699310649785	1	1	0
