gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	16349.5456695368	0.0291236149324752	0.103015468417508	0.282711085819084	0.777398317537942	0.999681447790853	1	1	0
Gm1992	637.384141281087	-0.119863244064977	0.403131829948101	-0.297330141557932	0.766214471952831	0.999681447790853	1	1	0
Gm19938	750.704292121124	-0.167699121699761	0.135015417972578	-1.24207386251118	0.214209311158524	0.999681447790853	1	1	0
Gm37381	0.149356334945123	-0.917694037878689	3.64897709696882	-0.251493504478559	0.801432583529437	0.999681447790853	0.2	0	0.2
Rp1	6.77258887991507	0.628947937474422	0.675016721112387	0.931751640815584	0.351464891796188	0.999681447790853	1	1	0
Sox17	0.827470875608691	-0.168601332779145	2.0985535134988	-0.0803416885462432	0.935965502691161	0.999681447790853	0.4	0.666666666666667	0.266666666666667
Gm37587	0.291732877670743	0.281907095392355	3.64732875635764	0.0772913861688405	0.938391743250976	0.999681447790853	0.2	0.333333333333333	0.133333333333333
Gm37323	0.0746781674725614	-0.539232372413434	3.65670078193965	-0.147464177292462	0.882765652951717	0.999681447790853	0.2	0	0.2
Mrpl15	218.587765385955	0.0380967612638018	0.136951442277413	0.27817714534639	0.78087637810501	0.999681447790853	1	1	0
A930006A01Rik	18.3213412978725	-0.105469388887547	0.423735620695003	-0.248903759175492	0.803435227394299	0.999681447790853	1	1	0
Lypla1	317.2036724593	-0.0270732548692054	0.129111983274986	-0.209688165129832	0.833911063050773	0.999681447790853	1	1	0
Tcea1	836.614371001383	-0.0771946357548803	0.0890814053236578	-0.866562841868182	0.386181580405932	0.999681447790853	1	1	0
Rgs20	1092.91128642795	0.0839433528774689	0.160580477172606	0.522749429790518	0.601148635338925	0.999681447790853	1	1	0
Gm16041	4.6765204986319	-0.324095356144357	0.8415518601712	-0.385116320791479	0.700151236613023	0.999681447790853	1	1	0
Atp6v1h	1542.47514041453	-0.0995752587572974	0.0855837011412054	-1.16348390440613	0.24463322479756	0.999681447790853	1	1	0
Oprk1	194.497202683077	-0.310504658454248	0.199278184285885	-1.55814676637558	0.119198460754103	0.999681447790853	1	1	0
Npbwr1	1.92762691384998	1.21189711472927	1.13632333111997	1.06650728849756	0.286194385718595	0.999681447790853	1	1	0
4732440D04Rik	260.869289307568	0.169800973785673	0.150232011654308	1.1302582712957	0.258367412299384	0.999681447790853	1	1	0
Rb1cc1	1744.60310751699	-0.00932856783250323	0.0934894738736412	-0.0997820123055946	0.920517388872075	0.999681447790853	1	1	0
Alkal1	1.29189791296049	-0.165295175563163	1.51290969843335	-0.109256471641585	0.912999070447522	0.999681447790853	0.8	0.666666666666667	0.133333333333333
St18	129.52702429246	0.0185609564571904	0.226729435620297	0.0818639027015196	0.934754939527623	0.999681447790853	1	1	0
Gm57122	2.75662464043357	-1.2626450195327	1.19723807852773	-1.05463152415383	0.291593880345438	0.999681447790853	1	0.666666666666667	0.333333333333333
Pcmtd1	1964.46802293916	-0.125869825194692	0.105701482157637	-1.19080473258622	0.233730250579474	0.999681447790853	1	1	0
Gm26901	274.377997898372	-0.0544227593132527	0.12093313980634	-0.450023536975923	0.652693469236849	0.999681447790853	1	1	0
Gm30414	0.257735248442552	0.00298409194252343	3.63896721829047	0.000820038149155218	0.999345704294851	0.999681447790853	0.2	0.333333333333333	0.133333333333333
Sntg1	15128.3754879573	0.0296495381398549	0.0803552272763851	0.368980826074627	0.712142016530979	0.999681447790853	1	1	0
Rrs1	29.3102835360992	0.121455330994121	0.34079987553213	0.356383143639589	0.721553651220549	0.999681447790853	1	1	0
Adhfe1	55.4916165377833	-0.127869239467907	0.247520722123886	-0.516600139053841	0.605435318612851	0.999681447790853	1	1	0
2610203C22Rik	29.7636450546167	-0.477054377742072	0.368525924536039	-1.29449340190291	0.195495046904488	0.999681447790853	1	1	0
Vxn	26.1792603422032	-0.0616679963047473	0.489832529733245	-0.125896081949336	0.899814184151314	0.999681447790853	1	1	0
Mybl1	40.6946581315451	-0.35405834232602	0.275173243510715	-1.28667430673445	0.198207832063048	0.999681447790853	1	1	0
Vcpip1	422.410092151096	0.0189448486840963	0.118479232047357	0.15990016441467	0.872959719001966	0.999681447790853	1	1	0
1700034P13Rik	18.0301550046114	-0.715201052581317	0.445880650578643	-1.6040190388463	0.108709856034939	0.999681447790853	1	1	0
Sgk3	531.384493506469	-0.0621708322984354	0.233398380658539	-0.266372166434998	0.789952599057009	0.999681447790853	1	1	0
Snhg6	328.097702625381	0.0703931304053635	0.199262824947744	0.353267752897832	0.723887718426182	0.999681447790853	1	1	0
Mcmdc2	186.88147049486	-0.0505711322156327	0.166793361642137	-0.303196312597472	0.761740258963569	0.999681447790853	1	1	0
Tcf24	2.75255164667781	-0.378342342440692	1.06348247437193	-0.355757947646608	0.722021844268153	0.999681447790853	1	1	0
Ppp1r42	19.3637690250548	-0.127008512629097	0.385703706394081	-0.329290360770684	0.741936229224861	0.999681447790853	1	1	0
Gm15818	1.38654669828257	-0.237575170153233	1.34951081726375	-0.176045398906055	0.860258276203915	0.999681447790853	1	0.666666666666667	0.333333333333333
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	374.568251108859	0.0264911447115652	0.123314643709968	0.214825619363355	0.82990327783091	0.999681447790853	1	1	0
Cspp1	2222.87715960681	-0.00272450587812392	0.10395181475866	-0.0262093151952111	0.979090385984524	0.999681447790853	1	1	0
Arfgef1	1718.08313763128	0.0393262694287492	0.108474549694613	0.362539135119379	0.71694918408386	0.999681447790853	1	1	0
Cpa6	569.029122520912	0.0337512324017597	1.02428983853067	0.0329508613013046	0.973713773340923	0.999681447790853	1	1	0
Prex2	489.077156898566	-0.209605128727864	0.166022065825191	-1.26251367663719	0.206764008129067	0.999681447790853	1	1	0
A830018L16Rik	4635.30017835102	-0.0681645417788171	0.108304521672956	-0.629378540488378	0.529101263611702	0.999681447790853	1	1	0
Sulf1	317.301529507363	-0.124452513980933	0.470243726509472	-0.264655341400767	0.791274983404672	0.999681447790853	1	1	0
Slco5a1	345.560226770802	-0.339987110323032	0.476716421408926	-0.713185229319785	0.47573114511097	0.999681447790853	1	1	0
Gm29283	0.442470116745096	2.72531608892432	3.11867440628631	0.873870027416424	0.382189039001968	0.999681447790853	0	0.666666666666667	0.666666666666667
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	2968.85623229634	0.00224026474940506	0.112900190847949	0.0198428783209249	0.984168712654033	0.999681447790853	1	1	0
Gm29570	11.0143526639151	0.300364666694982	0.498725342014283	0.602264696399527	0.54699795664325	0.999681447790853	1	1	0
Tram1	269.716156194883	0.00192058542735646	0.143620918983727	0.0133726022709413	0.989330525108666	0.999681447790853	1	1	0
Gm57152	0.358112438409056	-0.0825860178927669	2.97674060922705	-0.0277437737224311	0.977866510745302	0.999681447790853	0.4	0.333333333333333	0.0666666666666667
