gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gm43049	8.41834390933136e-23	1.22544612591646	2.24702435627873e-18	1	0.125	0.875
4930590L14Rik	1.23036528387189e-14	-0.104493196618618	3.28409101571085e-10	0.9	0	0.9
Gm32754	3.44223830270322e-11	-0.0935662232206189	9.18802247757545e-07	0.9	0.25	0.65
Unc5c	1.27466576885464e-08	-0.45455049426471	0.000340233787022679	1	1	0
Nap1l2	3.33181631079554e-07	-0.486090412420245	0.00889328409677547	1	1	0
H2bc27	1.88959881934957e-06	-0.422687329280019	0.0504371716860787	1	1	0
1810037I17Rik	2.32549843324372e-06	-0.458360643300015	0.0620722041801414	1	1	0
Prnp	2.64075118966817e-06	0.587133386696761	0.0704869307546227	1	1	0
Gm55759	6.97598623374983e-06	-0.308526703345985	0.18620302455125	1	1	0
Pnn	1.09270380881273e-05	-0.350955825541139	0.291664500648295	1	1	0
Pzp	1.57842181261768e-05	-0.448100038553916	0.421312350223912	1	1	0
Pygb	1.6095669731363e-05	0.0961291732656271	0.429625616469541	1	1	0
0610009B22Rik	2.2096644195931e-05	-0.465019159228202	0.58980362687779	1	1	0
Omg	4.05539595602898e-05	-0.377694072350462	1	1	1	0
Fam133b	4.45533356552326e-05	-0.259797495801599	1	1	1	0
Fbxl3	6.21420382980132e-05	0.0978438341480583	1	1	1	0
Usp13	6.63178867010165e-05	0.0963663655951419	1	1	1	0
Dynlt1c	7.90820304599783e-05	-0.389411538526842	1	1	1	0
Gm19744	8.52753640048211e-05	-0.515327632021675	1	1	1	0
Gm16310	0.000103842794424092	-0.0857693753768247	1	1	1	0
1700096K18Rik	0.000115694719370592	-0.385092935881855	1	1	1	0
Nploc4	0.000117805434627036	0.118392380339542	1	1	1	0
Ahi1	0.000120755814676103	-0.217346932948417	1	1	1	0
Bmyc	0.000141411335001474	-0.480096390965113	1	1	1	0
2810001A02Rik	0.000148357728386563	-0.488745512389247	1	1	1	0
Scg2	0.000165479343293767	-0.374489974734026	1	1	1	0
ENSMUSG00000121395	0.000171429830976708	0.314429601027297	1	1	1	0
Rwdd2a	0.000174811280317658	-0.408505708496654	1	1	1	0
Gm49980	0.000176940665956125	0.0989267344131917	1	1	1	0
Atxn7l3b	0.000234174759048948	-0.431343785169681	1	1	1	0
Zfp560	0.000236031721492258	-0.328138245370339	1	1	1	0
C230035I16Rik	0.000243630371480588	-0.418376855320778	1	1	1	0
Coa6	0.000253512898198128	-0.405933167836851	1	1	1	0
Miga2	0.000264123146571554	0.134769145525221	1	1	1	0
Gm47272	0.00027891669186421	-0.418366903380207	1	1	1	0
Gm49708	0.000281219679406935	-0.396771237577302	1	1	1	0
Smim10l2a	0.000303672162375261	-0.396320908050442	1	1	1	0
Gm14321	0.000308183778635268	-0.359710377561683	1	0.8	0.875	0.075
1700015H07Rik	0.000312509712103014	-0.414957459538948	1	1	1	0
Sema5b	0.000321125445770512	0.252943140475114	1	1	1	0
Olfm2	0.00032198351788605	0.137444638263414	1	1	1	0
Gm37229	0.000359953502278611	-0.377082028936406	1	1	1	0
B130034C11Rik	0.000367202110727638	-0.412871208025182	1	1	1	0
