gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.0820020055800132	-1.06748126005004	3.35517105473627	-0.31816001110976	0.750363564394621	0.999712684758747	0.25	0.2	0.05
A930006A01Rik	0	NA	NA	NA	NA	NA	0	0	0
Lypla1	1.25578655398823	-0.301150303160662	1.20714485629372	-0.249473210767165	0.802994760643478	0.999712684758747	0.75	0.8	0.05
Tcea1	1.64178586959716	1.39326286918415	1.03362142766696	1.34794309782156	0.177676684940164	0.999712684758747	0.5	1	0.5
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	1.66418913878168	1.09504023191885	1.08162334582975	1.01240439764992	0.31134473655037	0.999712684758747	0.5	0.8	0.3
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	0.236974686866082	-0.249207069833734	3.15497179870321	-0.0789886838088902	0.937041623951822	0.999712684758747	0.25	0.4	0.15
Rb1cc1	2.55122774199194	-0.269482628324576	0.891648672260278	-0.302229607589112	0.762477035348977	0.999712684758747	0.75	1	0.25
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.23846441029235	-2.66478111673458	3.33095779693221	-0.800004466940057	0.423708209101815	0.999712684758747	0.5	0	0.5
Gm57122	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	5.47952707631087	-1.08001867895735	0.541044857473111	-1.99617215474787	0.0459151872505328	0.999712684758747	1	0.8	0.2
Gm26901	0.139602674449649	-0.217877979181856	3.34908234490798	-0.0650560233352046	0.948129394512693	0.999712684758747	0	0.2	0.2
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.487931393879586	-1.21350580956989	2.21833535273064	-0.547034427448555	0.584355080093711	0.999712684758747	0.5	0.6	0.1
2610203C22Rik	7.49478552202935	0.486689785836323	0.478723933115246	1.01663976285714	0.309324831100306	0.999712684758747	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0	NA	NA	NA	NA	NA	0	0	0
Vcpip1	2.88893314896423	0.0982203341822932	0.831100508838161	0.118181054081654	0.905924201399574	0.999712684758747	0.75	1	0.25
1700034P13Rik	0.360209908473101	-1.50482851118287	3.31912684249945	-0.453380838573095	0.650274531733501	0.999712684758747	0.25	0.2	0.05
Sgk3	3.19349503449658	-0.115082395469946	0.740445068981108	-0.15542327215212	0.876487638566153	0.999712684758747	0.5	1	0.5
Snhg6	1.27414532921243	-0.678120948087907	1.22383805189116	-0.554093694864304	0.579514724981668	0.999712684758747	0.75	0.6	0.15
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0.0219344800942392	-0.798119741326505	3.36801879323291	-0.236970097355188	0.812679988456039	0.999712684758747	0	0.2	0.2
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.578807792272203	-0.800195501067092	2.07273815859354	-0.386057205416658	0.699454302718536	0.999712684758747	0.5	0.6	0.1
Cspp1	1.01328406439212	1.03128476021099	1.33865589527722	0.770388240808829	0.441069626736129	0.999712684758747	0.5	1	0.5
Arfgef1	3.23755691347715	0.419870904082766	0.727421789176804	0.577204189274998	0.563801527411076	0.999712684758747	0.5	1	0.5
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	0.104467086933547	-1.4431682134421	3.33434690258665	-0.43281885646708	0.665146373254696	0.999712684758747	0.25	0.2	0.05
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0	NA	NA	NA	NA	NA	0	0	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
