gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.138276453295359	-0.314074934477703	2.39933513766631	-0.130900818959032	0.895853766822603	0.999072141285939	0	0.4	0.4
A930006A01Rik	0	NA	NA	NA	NA	NA	0	0	0
Lypla1	1.24517784322092	-0.25384438422089	2.1319857033408	-0.119064768503428	0.905224042803021	0.999072141285939	0.5	0.8	0.3
Tcea1	1.15873980903009	1.68124009965172	2.17320885164946	0.773621043543816	0.439154924024812	0.999072141285939	0	1	1
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.773254403493599	1.30792957537533	2.80117788910787	0.466921283529011	0.640556197240151	0.999072141285939	0	0.6	0.6
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	0.750107341455286	1.00578226900113	2.86268408398269	0.351342390391133	0.725331496507688	0.999072141285939	0	0.6	0.6
Rb1cc1	2.89976065390114	3.13097718428827	1.68044042836579	1.86318844240918	0.0624357583758286	0.999072141285939	0	1	1
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.44752690010318	-1.64981072770173	3.14697539656009	-0.524252820503494	0.600102706954287	0.999072141285939	0.5	0.2	0.3
Gm57122	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	5.19352403821732	0.283380566152936	1.84870548273341	0.15328594457022	0.878172784291794	0.999072141285939	0.5	0.8	0.3
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.465210963604296	0.542249465360675	2.99750553440014	0.180900238260674	0.856445881832703	0.999072141285939	0	0.6	0.6
2610203C22Rik	9.20967419994658	0.4542460169641	0.738551003057472	0.615050301311082	0.538521501763878	0.999072141285939	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0	NA	NA	NA	NA	NA	0	0	0
Vcpip1	3.84968696503252	-0.0296851487975693	1.0555386023382	-0.0281232242305602	0.977563871139998	0.999072141285939	1	1	0
1700034P13Rik	0.444331010503847	-2.74411895510162	3.44568758250519	-0.79639226987216	0.425804069846594	0.999072141285939	0.5	0	0.5
Sgk3	4.52444793170711	1.27821897853411	1.20948636010278	1.05682794010632	0.290590120338136	0.999072141285939	0.5	1	0.5
Snhg6	1.534767839361	-0.305032323256977	1.85224228033846	-0.164682734270183	0.869193707475627	0.999072141285939	0.5	0.6	0.1
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0.0309584660040808	-1.16775699025435	2.11753972674319	-0.551468751922958	0.581312381831318	0.999072141285939	0	0.2	0.2
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.803028160318699	-0.187962965054192	2.73740208082363	-0.0686647264466305	0.945256496125483	0.999072141285939	0.5	0.4	0.1
Cspp1	1.42360705161981	-0.890031968626305	1.72790806016827	-0.515092202613854	0.60648859119489	0.999072141285939	0.5	1	0.5
Arfgef1	2.61879019658318	3.15812056040668	1.67205719306363	1.88876347861057	0.0589235284999172	0.999072141285939	0	1	1
Cpa6	0.0848188568979802	-0.823331222454047	2.30504925808894	-0.357185955816255	0.72095259901153	0.999072141285939	0	0.2	0.2
Prex2	0	NA	NA	NA	NA	NA	0	0	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0	NA	NA	NA	NA	NA	0	0	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
