gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.0954902295517034	-0.529797386268182	3.16946021380711	-0.167156976434103	0.867246535885875	0.999075500962497	0.2	0.2	0
A930006A01Rik	0	NA	NA	NA	NA	NA	0	0	0
Lypla1	0.91755394021623	0.823930092025903	1.43892954190691	0.57259933028688	0.566916013275005	0.999075500962497	0.4	0.8	0.4
Tcea1	1.6738174719013	1.56659628112512	1.0473793213043	1.49572962656379	0.134724126577996	0.999075500962497	0.6	1	0.4
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	1.74888109978807	0.415869077978688	1.16862278510476	0.355862544594667	0.721943507070555	0.999075500962497	0.4	0.8	0.4
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	0.616465165283284	-0.897274539839706	1.949184439948	-0.460333317591865	0.645276989950635	0.999075500962497	0.4	0.4	0
Rb1cc1	2.42242570188557	0.467220942521637	0.865343265088724	0.539925554830235	0.589248373532618	0.999075500962497	0.6	1	0.4
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.352295199655983	-2.68011395237544	3.07254722404459	-0.872277545940346	0.383056984097916	0.999075500962497	0.4	0	0.4
Gm57122	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	4.82010663830643	-0.608268568855461	0.993229400828549	-0.61241498524716	0.540263229742196	0.999075500962497	0.8	0.8	0
Gm26901	0.136820698494795	-0.170944217161474	3.20799816393642	-0.0532868812342817	0.957503332610034	0.999075500962497	0	0.2	0.2
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.864655857960472	-0.411935960214435	1.5555573580682	-0.264815667566259	0.791151466691374	0.999075500962497	0.4	0.6	0.2
2610203C22Rik	9.55461433261881	-0.60670851533484	0.440021139271255	-1.37881674580373	0.167951262266834	0.999075500962497	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0	NA	NA	NA	NA	NA	0	0	0
Vcpip1	3.06876461145321	-0.0190092465573587	0.749864251336307	-0.0253502504266379	0.979775592747952	0.999075500962497	0.8	1	0.2
1700034P13Rik	0.0223491096587452	-0.571439399107442	3.2136715629962	-0.177815121397991	0.858868171442062	0.999075500962497	0	0.2	0.2
Sgk3	4.61149839103779	-0.275821436676442	0.574731309637175	-0.479913712810542	0.631288750108291	0.999075500962497	1	1	0
Snhg6	0.881170231379452	1.62068851378572	1.58124947830954	1.02494169074341	0.305390701443915	0.999075500962497	0.2	0.6	0.4
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0.0215300988852946	-0.221313406911097	3.19456734914435	-0.0692780532457313	0.944768294731315	0.999075500962497	0	0.2	0.2
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	1.27967906954829	-1.07976379855281	1.31333384356317	-0.82215485715599	0.410988767511683	0.999075500962497	0.6	0.6	0
Cspp1	1.10344378833918	1.5234619546368	1.17975314398113	1.29133960134729	0.196585944278869	0.999075500962497	0.6	1	0.4
Arfgef1	3.62475549046597	1.15954310513033	0.674526719283669	1.71904695837956	0.0856058217702561	0.999075500962497	0.8	1	0.2
Cpa6	0.0577017380276632	-1.54943013829733	3.20121886160204	-0.484012560616342	0.628376954936204	0.999075500962497	0.2	0	0.2
Prex2	0.0223491096587452	-0.571439399107442	3.2136715629962	-0.177815121397991	0.858868171442062	0.999075500962497	0	0.2	0.2
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0	NA	NA	NA	NA	NA	0	0	0
