gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gm10790	0.000136369294758001	-0.894914261889181	1	1	1	0
P2ry12	0.000156639209601794	-0.733130809567309	1	1	1	0
Lyst	0.000181497003074859	2.28117474507915	1	0.8	0.714	0.0860000000000001
Marchf3	0.000193338242724897	3.15763768076914	1	0.8	0.286	0.514
Bcl2	0.000312631641895861	3.23405296081286	1	0.9	0.286	0.614
Ankrd44	0.000332146845418042	-0.882308764475295	1	0.9	1	0.1
Atg4c	0.000373275281911544	-2.76943787916919	1	0.5	1	0.5
Zdhhc14	0.000565108315533467	-2.00182710105972	1	0.7	0.857	0.157
D7Ertd443e	0.000574959541456626	-2.17677624946976	1	0.5	1	0.5
Gm26542	0.000797661482125698	-1.28235861483268	1	0.9	1	0.1
Fgr	0.00115318829192513	3.06244527363597	1	0.6	0.143	0.457
Gm47283	0.00138968850495346	1.80786799136173	1	0.9	0.714	0.186
Acaca	0.00146023486497728	2.83481429296455	1	0.6	0.286	0.314
App	0.00146206453399698	-1.2948110458394	1	0.9	1	0.1
Ank	0.00150319959797306	2.25804708921117	1	0.8	0.714	0.0860000000000001
Ly86	0.00177508894201214	0.858261240132489	1	1	1	0
Chst11	0.00179034389777648	1.32946330973372	1	0.8	0.571	0.229
Ctsb	0.00182733612829082	1.98550915585921	1	0.8	0.429	0.371
Rai14	0.00191728069959873	3.09632344627245	1	0.7	0	0.7
Adcy9	0.00205360218907501	-1.69723626882691	1	0.7	0.857	0.157
Myo1e	0.0022919817617142	0.860341463722901	1	0.9	1	0.1
Trim30a	0.00275939699195004	0.707619236901438	1	0.9	1	0.1
Gm57375	0.00316244539679883	-2.53648868441604	1	0.5	0.714	0.214
Cadm1	0.00334930578083008	1.5034389082908	1	0.9	0.714	0.186
Arih2	0.00358149998041974	0.94561217528932	1	0.8	0.714	0.0860000000000001
Tbc1d8	0.00414119230121518	2.10288099993511	1	0.7	0.714	0.014
Mef2a	0.00464744849516739	-0.527379098296165	1	1	1	0
Myo1f	0.0051311353553431	0.650035073263074	1	1	1	0
E330020D12Rik	0.00540580313709247	-2.12038933045053	1	0.6	1	0.4
Rnf20	0.00586354443515069	-1.93476699981907	1	0.4	0.714	0.314
R3hdm2	0.00587863603670596	2.04922552677355	1	0.8	0.571	0.229
Lrp1	0.00596648140939312	1.46423940030803	1	0.9	0.857	0.043
Fyco1	0.00616396491601554	1.88021872671182	1	0.8	0.429	0.371
Gm31243	0.00689944253361133	-2.32440075457421	1	0.5	0.857	0.357
Bank1	0.00694994075712219	-0.921855672378275	1	0.7	0.857	0.157
Asph	0.00732770708697205	1.29024419562886	1	0.9	0.714	0.186
Stk10	0.0074104431593156	-1.35182037522052	1	0.8	1	0.2
Il16	0.00753404348998967	-2.91130177987014	1	0.2	0.714	0.514
Kif1b	0.00834328262756419	-1.6407500797084	1	0.7	0.857	0.157
Zfp217	0.00855872347631054	2.18150276475113	1	0.8	0.286	0.514
Jpx	0.00863598455818009	-1.63446405745205	1	0.5	0.857	0.357
Mitf	0.00888547428741467	0.518465731275821	1	1	1	0
Cst3	0.00929000912420769	-0.70098146569265	1	1	1	0
Ppp6r1	0.0100223407435514	3.38043191962435	1	0.7	0	0.7
Nptn	0.0108895195893853	1.23806498469425	1	0.8	0.714	0.0860000000000001
Stat2	0.0109297776902513	2.51664711205162	1	0.7	0.143	0.557
Stab1	0.0110351711960083	-0.823734193383844	1	0.9	1	0.1
St3gal6	0.0112503856374168	-0.696756940498752	1	0.9	1	0.1
