gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.0622757379982619	0.0204265273525285	3.07827480201441	0.00663570625311344	0.994705511285661	NA	0.222222222222222	0.125	0.0972222222222222
A930006A01Rik	0.0483603933170195	-0.695790922570526	3.08928226367343	-0.22522737101503	0.821802397422693	NA	0	0.125	0.125
Lypla1	0.870041510652601	0.75120915331721	0.932892837800972	0.805246993950528	0.4206771628901	NA	0.777777777777778	0.5	0.277777777777778
Tcea1	0.951387944895814	1.28602359432451	0.882715686180083	1.45689446155616	0.145145515105909	NA	0.777777777777778	0.5	0.277777777777778
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	1.12801347262881	0.15893557206393	0.915107650727474	0.173679645162602	0.862117235195756	NA	0.666666666666667	0.375	0.291666666666667
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	0.329978504223178	-0.215890649377033	2.07682836080165	-0.103952090337258	0.917207368875931	NA	0.333333333333333	0.25	0.0833333333333333
Rb1cc1	2.21358537801957	-0.316128231825994	0.658639384438519	-0.479971649577999	0.631247552164043	0.973086202334775	0.888888888888889	0.625	0.263888888888889
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.351661294967955	-1.20515738790331	2.06573173615164	-0.583404595481726	0.559620964947583	NA	0.222222222222222	0.375	0.152777777777778
Gm57122	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	5.03179301843533	-0.032720927044889	0.692024880449037	-0.0472828766267149	0.962287775290042	0.996584871417944	0.888888888888889	0.75	0.138888888888889
Gm26901	0.0641261064617734	0.206274391978982	3.08457954176334	0.0668727744530986	0.946682987346264	NA	0.111111111111111	0	0.111111111111111
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.658342069102626	-0.213465860187654	1.12895359725366	-0.189082935478429	0.850027815751548	NA	0.555555555555556	0.375	0.180555555555556
2610203C22Rik	7.42065325050839	-0.607860023731235	0.335077809185129	-1.81408618257795	0.0696644584897139	0.626241218572232	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0	NA	NA	NA	NA	NA	0	0	0
Vcpip1	2.04807534529599	0.779567984687875	0.654495263005623	1.19109797847563	0.233615123385317	0.854096891096718	0.888888888888889	0.625	0.263888888888889
1700034P13Rik	0.183031961672427	0.477380526079649	3.08117072723545	0.154934785618963	0.87687272979933	NA	0.222222222222222	0	0.222222222222222
Sgk3	3.68058336474762	-0.494220394176547	0.474188353974555	-1.04224490128045	0.297298150409653	0.920589333480952	0.777777777777778	1	0.222222222222222
Snhg6	0.934802046827835	0.784304794237625	0.977319814357364	0.802505774175206	0.42226044964498	NA	0.666666666666667	0.375	0.291666666666667
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0.0104253892818366	0.0194940507813893	3.08520351104765	0.00631856236114862	0.994958550191592	NA	0.111111111111111	0	0.111111111111111
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	1.10952022267753	-0.986161649307324	0.867219546535197	-1.13715339241065	0.255474166943425	NA	0.555555555555556	0.75	0.194444444444444
Cspp1	1.11437318722792	-0.184065043630024	0.802909808723808	-0.229247471671305	0.818676577802986	NA	0.777777777777778	0.75	0.0277777777777778
Arfgef1	2.58365051678321	0.698883571711599	0.589698386328556	1.18515428889475	0.235956449490859	0.855724915359898	0.777777777777778	0.75	0.0277777777777778
Cpa6	0.0258655378002831	-0.597876773300081	3.08392906689005	-0.193868523021186	0.846278831052237	NA	0	0.125	0.125
