gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Mast4	1.15607409601802e-06	0.947995554168107	0.030857929770913	1	1	0
Per2	3.26724209054131e-05	-3.16412811988035	0.872092258807287	0.2	1	0.8
Galnt17	5.39211008350472e-05	3.59498088188108	1	0.9	0.375	0.525
Airn	0.000144413742658538	0.786213881521983	1	1	1	0
Plxdc1	0.000340612994879961	1.26785477744635	1	0.9	0.875	0.025
Psd3	0.000374690789521101	0.730007071625099	1	1	1	0
Mthfd1l	0.000504449792132349	-3.02236069867552	1	0.2	0.75	0.55
Pde4d	0.000651295944572199	0.780709349696192	1	1	1	0
Ankrd12	0.000821145271388559	-0.947109001754677	1	0.9	1	0.1
Lama2	0.000836919429674944	0.725928171475281	1	1	1	0
Thra	0.000933493634430806	3.71661014056925	1	1	0	1
Dbp	0.00115226680324299	-1.55663125896789	1	0.7	0.875	0.175
Dlc1	0.00129193619480993	0.467818252503996	1	1	1	0
Trpc3	0.00137611449258297	0.977327473700439	1	1	1	0
Camk1d	0.00167591657393612	-2.48173596252139	1	0.4	0.75	0.35
Grk5	0.00183399224842397	0.875291709377735	1	1	1	0
Dgkd	0.00195423641892104	-2.53268731730936	1	0.2	0.75	0.55
D5Ertd579e	0.00207532353116744	-1.73429713055248	1	0.7	1	0.3
Asap2	0.0023707005854904	0.833358250834914	1	0.9	1	0.1
Adamts14	0.00244651368591856	-2.3553104063977	1	0.4	0.75	0.35
Rsrp1	0.00246477881066709	-1.58039292539443	1	0.8	1	0.2
Plcb4	0.00251317309143996	-0.90978961479991	1	1	1	0
Lncpint	0.00258566929055952	-0.973891646543986	1	0.9	1	0.1
Rock2	0.00268573657760757	-0.579348341950498	1	1	1	0
Arhgap24	0.00329725177297698	-1.5265172423968	1	0.7	1	0.3
Per3	0.00344257053184644	-1.44085329112148	1	0.7	1	0.3
Gm26621	0.00348517506037042	-2.66895268498724	1	0.2	0.875	0.675
Serpini1	0.00377737880342204	-2.52761765369569	1	0.5	1	0.5
Gpc6	0.00393162461216218	0.487137546162967	1	1	1	0
Fnbp1	0.00437089730836721	-1.06886620189724	1	0.8	1	0.2
Daam1	0.00457759818090064	0.853727804008812	1	0.9	1	0.1
Mef2c	0.00469830198829004	-0.482341307076162	1	1	1	0
Slc44a1	0.00484192968413803	-3.04630326068961	1	0	0.875	0.875
Tef	0.00489934658147965	-1.35863585738109	1	0.7	1	0.3
Tmcc1	0.0051541860020818	-0.615951940881308	1	0.9	1	0.1
Epas1	0.00529392920669327	0.841421930021289	1	1	1	0
Phf12	0.00567958123757994	-0.63370735903825	1	0.7	1	0.3
Cysltr2	0.0061075168039437	1.18627424826001	1	0.9	0.875	0.025
Hlf	0.00647403591666774	-0.708448376575351	1	0.9	1	0.1
Map2k6	0.0066520760561432	-3.02303773268439	1	0	0.75	0.75
Oip5os1	0.00712471900065692	-1.92533340030191	1	0.4	0.875	0.475
Rpl41	0.00746238195146716	-2.38235195649563	1	0.3	0.75	0.45
Atxn1	0.00757879547916087	-1.1332254566179	1	0.9	1	0.1
Slc24a3	0.00761007449567065	0.961725892185258	1	0.9	1	0.1
Ahnak	0.00777906463502793	-1.32773773550518	1	0.8	0.875	0.075
Cltc	0.00798495534461765	-1.77493657444778	1	0.4	0.75	0.35
Septin4	0.00866689949031763	1.28647038041313	1	1	0.875	0.125
Pla1a	0.00905684847636734	-0.842920774885059	1	0.9	1	0.1
Apex2	0.00930821204053813	-2.53244537081949	1	0.2	0.875	0.675
Ophn1	0.00976492450060045	-1.91943550896965	1	0.5	1	0.5
Prickle2	0.00978691501186516	-1.93752567307703	1	0.4	0.875	0.475
Cbl	0.0098410109251397	-0.318988519371871	1	0.5	0.875	0.375
Slco1a4	0.010072528395948	-3.17675702430039	1	0.2	0.625	0.425
Fth1	0.0104945133032011	-1.62227594774194	1	0.5	0.75	0.25
Serinc3	0.010957705539354	-1.10561715382568	1	0.9	1	0.1
Mef2a	0.011014513471342	-0.576874364611574	1	1	1	0
Stk38	0.0112304920773587	-1.64897798074689	1	0.7	1	0.3
Pde8b	0.0116337261756691	0.571491691606278	1	1	1	0
Ptgis	0.0117583572007017	-1.37104145627553	1	0.8	1	0.2
Ptprj	0.0118703105785429	-2.64764061856121	1	0.4	0.875	0.475
Acyp2	0.0120295491671332	-1.70921967689534	1	0.5	0.75	0.25
Fkbp5	0.0120612650432351	-2.81117408235114	1	0.2	0.75	0.55
Lyst	0.0123893838952449	-1.66553924195517	1	0.6	0.875	0.275
Nr3c2	0.0126052470319159	-0.535893330477857	1	0.9	1	0.1
Fn1	0.0132312622365967	-2.00431975786406	1	0.5	0.75	0.25
Ano1	0.0138284093390566	0.634202129935037	1	1	1	0
Frmd4b	0.0139586267351676	-0.567266027866074	1	1	0.875	0.125
Armc8	0.0140031409496896	-1.80733723798394	1	0.6	0.875	0.275
Tmem65	0.0142978457892299	-1.23535991062942	1	0.7	0.875	0.175
Kctd1	0.0143235624693614	-1.56970340664821	1	0.7	0.875	0.175
Rem1	0.0143643160481266	1.35726995928105	1	0.9	0.625	0.275
Timp3	0.0148700255559953	-0.837248921821	1	0.8	0.875	0.075
Itpk1	0.0148909010511158	-1.54880696346951	1	0.6	0.875	0.275
Pwwp2a	0.015193413521671	-0.989508726807122	1	0.8	1	0.2
Vps13a	0.015679377007033	-1.47552426177103	1	0.6	0.875	0.275
Pkp4	0.0158564641546368	-1.71891614440209	1	0.5	0.875	0.375
Epc1	0.0165314442642532	-1.29498331007369	1	0.7	1	0.3
Pag1	0.0166358225225866	-1.33568102934206	1	0.5	0.625	0.125
Ghr	0.0166777807798648	-0.800124210358011	1	0.9	1	0.1
Rnf114	0.0167247754262604	-2.42398201382346	1	0.2	0.625	0.425
Gpcpd1	0.0172015607660681	0.808998228498292	1	1	1	0
Zfyve16	0.0176867775582962	-2.44544973999521	1	0.2	0.75	0.55
Mapre1	0.0179085592236232	-1.89511951231994	1	0.3	1	0.7
Mrpl33	0.0185026003799354	-2.25182365793324	1	0.1	0.875	0.775
Klhl13	0.0189581441691697	1.62039609746603	1	1	0.75	0.25
Gm47271	0.0194063757196913	-2.18287691144478	1	0.2	0.75	0.55
Ptms	0.0197114693924803	-2.40174908777725	1	0.1	0.625	0.525
Snrnp70	0.0200602738933564	-1.48907907981245	1	0.6	1	0.4
Asap1	0.0202109064030589	-0.494203193722618	1	1	1	0
Mt1	0.0204908760205763	-2.7150428109484	1	0.3	0.625	0.325
Slc1a3	0.0217918423218741	-1.8784398608531	1	0.8	0.875	0.075
Memo1	0.0218073608525845	-2.84412521160274	1	0.1	0.625	0.525
Zbtb16	0.0220318010442678	-1.46469053073679	1	0.4	0.875	0.475
Ubr2	0.0221153117070905	-0.955784387742342	1	0.9	1	0.1
Plcb1	0.0221391392604756	-1.65520551050872	1	0.6	0.875	0.275
Rmnd5a	0.0242417384605766	-2.08866315150636	1	0.4	1	0.6
2210408F21Rik	0.0262334183318145	-2.0832516583609	1	0.4	1	0.6
Sdccag8	0.0267313321548767	-2.1584459770133	1	0.4	0.875	0.475
Nsmaf	0.0267866872802129	-1.44457876923762	1	0.6	0.875	0.275
Brd1	0.027190217452298	-1.53167303922977	1	0.7	1	0.3
Filip1l	0.0274865159849411	-0.227874193639928	1	1	1	0
Ugp2	0.0282400980759607	-1.16762256147557	1	0.9	1	0.1
Acss1	0.0284929155525755	-1.90422634932283	1	0.3	0.625	0.325
Rps3a1	0.0287584366528803	-1.48825564072482	1	0.5	0.75	0.25
