gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Rc3h2	0.000960117171002397	-2.36549986906956	1	0.4	0.875	0.475
Itsn2	0.00299988901734084	-1.44033268003653	1	0.8	0.75	0.05
Col18a1	0.00325177123066578	1.97031851826337	1	0.8	0.625	0.175
Acvr2a	0.00405566469974144	-1.49437340799066	1	0.1	0.75	0.65
Stox2	0.00583113010622902	3.0902824161853	1	0.8	0	0.8
Dcaf1	0.00584672200318941	2.0638387503691	1	0.8	0.125	0.675
Insr	0.00586836245262796	1.08417730757924	1	1	0.875	0.125
Nox4	0.00622845054045797	2.10867959517174	1	0.7	0.125	0.575
Babam2	0.00712223872540471	-1.1233960472501	1	0.8	1	0.2
Adgrl2	0.00736307054086484	1.42372901791246	1	0.9	0.75	0.15
Gucy1b1	0.00781171342443185	-0.60875794557567	1	1	1	0
Ppp3ca	0.00801592974432771	1.14649227994954	1	1	0.875	0.125
Adcy5	0.00887381591132864	0.294071768669479	1	1	0.875	0.125
Fryl	0.00961135324457538	1.51829415387638	1	1	0.875	0.125
Trps1	0.00974489565145352	-0.50423373679743	1	1	0.875	0.125
Eln	0.0102040155072414	1.08725370899597	1	1	0.875	0.125
Ncl	0.0105708662522275	-1.20247395537995	1	0.8	0.75	0.05
Coro2b	0.0106430282799519	-2.02991897715381	1	0.3	0.875	0.575
Samd4	0.0108351180517438	1.03535573228536	1	1	0.875	0.125
Med13	0.0111283986307787	-0.764858331663739	1	0.9	0.875	0.025
Ehmt1	0.0112474300460813	-0.828983183825343	1	0.9	0.875	0.025
Pdlim5	0.0114839583230687	0.57958942659146	1	1	1	0
Kif13b	0.012754538091545	-1.26225712584429	1	0.9	1	0.1
Ppp1r12b	0.0138611915348288	0.184258509555998	1	1	1	0
Myom1	0.0140867107424295	0.631952577537983	1	1	1	0
Ptpn9	0.0145682768365354	0.908257914282073	1	1	0.875	0.125
Entpd1	0.0165115404628468	0.9869287014421	1	0.9	0.875	0.025
Snx27	0.0170581425078643	-3.02382854305935	1	0.3	0.5	0.2
Rasa1	0.0172067612391704	-1.63906161788384	1	0.8	1	0.2
Rbm15	0.0172276018249807	-2.90327395620634	1	0.3	0.875	0.575
Ptpra	0.017248263792639	-0.944267995096936	1	1	0.875	0.125
Ryr2	0.0176733144219546	2.10042730742598	1	0.7	0.25	0.45
Arfgap3	0.0182995357708279	-1.91867701802154	1	0.4	0.75	0.35
Actn4	0.0190742121880346	0.748564188478292	1	1	0.875	0.125
Myl9	0.0193673095227652	0.997429335809496	1	1	0.875	0.125
Mfap1a	0.0204887006057142	-2.59793693069923	1	0.5	0.75	0.25
Frmd4a	0.0205925166854901	-1.56668347129118	1	0.6	0.875	0.275
B430010I23Rik	0.0207448581598075	-1.47316821452302	1	0.5	0.875	0.375
Atxn7l1	0.020920706402123	-1.31918760670016	1	0.6	0.75	0.15
Idh1	0.022289633605127	-2.13838469264493	1	0.5	1	0.5
Fmr1	0.022450966134332	-1.62570226867159	1	0.5	0.75	0.25
Tm4sf1	0.025687586429153	-0.950788092930252	1	0.8	0.75	0.05
Uvssa	0.0261044615683393	-1.67233354409893	1	0.8	0.875	0.075
Cnksr3	0.0271010657193353	2.12478846134535	1	0.8	0.25	0.55
Nadk	0.027928559460959	-1.43758540417171	1	0.4	0.5	0.1
Fbxl7	0.02808272043147	0.20352571582877	1	1	0.875	0.125
Nfkb1	0.0296984044346304	-1.13334679659524	1	0.9	1	0.1
Rplp2	0.0297282255869912	-3.02375084734249	1	0.2	0.625	0.425
Ythdf2	0.0299426725968142	-1.61671420381066	1	0.5	0.625	0.125
Tmem87b	0.0307084838622533	-0.870242485344723	1	0.8	0.875	0.075
Ttc12	0.0310212614616048	-1.54939259191884	1	0.4	0.625	0.225
Smad1	0.0313126075428614	-2.44759038880505	1	0.7	0.75	0.05
Mllt10	0.0313755190492073	-0.666033298396858	1	1	1	0
Prdm16	0.0320699371168096	0.958117465043546	1	0.9	0.875	0.025
Nlgn1	0.0328520187157617	-3.23586036075907	1	0.1	0.5	0.4
Phrf1	0.0329882892095879	-1.70907967370365	1	0.3	0.75	0.45
Nde1	0.0337537151990367	-1.84718276069811	1	0.4	0.75	0.35
Mvp	0.0341816307864207	2.22024358675917	1	0.7	0.125	0.575
Ccdc50	0.0344629154079648	-1.44467648619849	1	0.8	0.875	0.075
Brd8	0.0350819791618592	-1.96927340656493	1	0.7	0.875	0.175
Tbl1x	0.0357513330647959	-0.585242340858123	1	0.9	0.875	0.025
Fancc	0.0361547453802544	1.51525357549779	1	0.9	0.375	0.525
Cilk1	0.0362908772462634	1.23543672827284	1	0.8	0.5	0.3
Skp1	0.0364062325600558	-1.79033018417042	1	0.1	0.625	0.525
Terf2	0.0366161736432076	-1.27681674569166	1	0.6	0.75	0.15
Atosa	0.0370560908453515	0.823926477412972	1	1	0.75	0.25
Tgs1	0.0373184562153701	-1.82331573421758	1	0.3	0.625	0.325
Eif4g2	0.037795840617091	-2.46925756040386	1	0.6	1	0.4
Itgbl1	0.0384439040770122	2.49243589428698	1	0.7	0	0.7
Rmdn1	0.0387911423899222	-0.748015239381467	1	0.8	0.75	0.05
Spata1	0.0393897221448021	2.098246546555	1	0.8	0.25	0.55
Tm9sf2	0.039759517701144	-1.20075692294061	1	0.7	0.75	0.05
Sik1	0.0397719770545509	1.22353756196127	1	1	0.5	0.5
Cacna1c	0.0401702414731808	0.0626919810389044	1	1	1	0
Gm35612	0.0402766691882001	-2.90516574158313	1	0.3	0.625	0.325
Pex13	0.0410776189152726	-1.97889435886374	1	0.1	0.625	0.525
Msrb3	0.0412910834383876	0.880914905354864	1	1	0.875	0.125
Spata5	0.0419156179680287	-1.52111972531571	1	0.5	0.75	0.25
Agtpbp1	0.0422326613406871	-1.49430256355743	1	0.5	0.625	0.125
Ebf2	0.0425143428948812	1.68934598081102	1	0.8	0.25	0.55
Pms2	0.0426711928967252	-2.40915090657243	1	0.1	0.5	0.4
Sipa1l2	0.0428163294771448	1.63421262378411	1	0.7	0.125	0.575
Enpep	0.043484089473627	-1.08821103286704	1	1	1	0
Letm2	0.043905149192732	-1.59521199272497	1	0.5	0.625	0.125
Map2k1	0.0440164775665274	2.01152640812305	1	0.7	0.25	0.45
Sema6d	0.0444161224729795	-1.30768391830433	1	0.5	0.625	0.125
Cdk5rap2	0.0446460157799479	2.58885161817797	1	0.7	0	0.7
Med12l	0.0448660507040255	-2.40349628914676	1	0.1	0.5	0.4
Chchd2	0.0448769522954191	-1.71089392420674	1	0.3	0.625	0.325
Daam1	0.0461528478686731	-0.541272288968963	1	1	0.875	0.125
Stt3a	0.0466699877160879	-1.52010089583814	1	0.3	0.625	0.325
Tmcc1	0.0468066632456293	-0.513350043663119	1	1	0.875	0.125
Uri1	0.0469227407927106	-1.17467755319707	1	0.6	0.875	0.275
Nckap1	0.0473265576151298	1.29582712251817	1	1	0.625	0.375
Akap8l	0.0482824087329951	-1.12173047151531	1	0.8	0.75	0.05
Zbtb38	0.0483263302397467	1.15025930580888	1	1	0.875	0.125
Ubr5	0.0483427924719503	0.755730532220452	1	0.9	0.75	0.15
Zfp119a	0.048352457822872	-2.09423463038449	1	0.2	0.5	0.3
