gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	29956.0902048392	-0.0479893653024651	0.0688779909991295	-0.696730038236329	0.485971756605621	0.920044090444165	1	1	0
Gm1992	1038.79261059466	-0.24903322427857	0.167443353318626	-1.48726849613843	0.136943911612443	0.74497584920625	1	1	0
Gm19938	1392.12961320448	-0.0799088543108751	0.0747178566759043	-1.06947465928375	0.284855841469228	0.840579743085078	1	1	0
Gm37381	0.470116941512719	-0.901717495436094	1.29665800724849	-0.695416594348991	0.486794263995892	NA	0.5	0.3	0.2
Rp1	13.2333044320333	-0.679830254221156	0.301421559835911	-2.25541349660338	0.0241073863681655	0.495067870084044	1	1	0
Sox17	1.00682511976555	0.75639054569199	0.902385051721962	0.838212628022395	0.401911296022268	NA	0.5	0.6	0.1
Gm37587	0.187850953795958	-0.595280583662159	2.8035574543115	-0.212330438510078	0.831849250278954	NA	0.25	0.1	0.15
Gm37323	0.429688228802753	1.53415590124532	1.50727786779582	1.01783216885471	0.308757721527066	NA	0.125	0.5	0.375
Mrpl15	349.091663181832	-0.0205646538871464	0.0748761846118866	-0.274648795124127	0.783586074252148	0.977041472538217	1	1	0
A930006A01Rik	36.8544971828358	-0.0843213672122367	0.27442199542818	-0.307268982140701	0.75863864308142	0.973057732264009	1	1	0
Lypla1	604.954591187669	-0.0814405424814074	0.0553060186662574	-1.47254393726762	0.140874051282469	0.748736738609182	1	1	0
Tcea1	1382.16926669037	0.0153402377798731	0.0390682778353479	0.392652008991133	0.694576520727201	0.963173024791083	1	1	0
Rgs20	1368.12241892352	0.0592982854163536	0.134441049514234	0.441072764833448	0.659160319679285	0.957613950224178	1	1	0
Gm16041	5.91728913859648	-0.124853818652345	0.393859141305426	-0.3170011954998	0.751242695125851	0.972475445437088	1	1	0
Atp6v1h	2971.01583389985	-0.0470146410695794	0.0480450321165483	-0.978553640166805	0.327800575301051	0.865957123402618	1	1	0
Oprk1	230.683989670512	-0.182242501824529	0.214097196176739	-0.851213864912486	0.394650562253892	0.891743669092983	1	1	0
Npbwr1	2.43317069924385	-0.30767477254939	0.547102828186052	-0.562371014548585	0.573863263349531	NA	0.875	1	0.125
4732440D04Rik	446.288594320295	0.00686404623314187	0.092809091628261	0.0739587696929006	0.941043192388845	0.993278811166744	1	1	0
Rb1cc1	3931.96718304743	0.0181106063252049	0.0352790996717615	0.51335228205104	0.60770491830932	0.948413881280026	1	1	0
Alkal1	22.6646040934716	-0.0735188255684611	0.235722499648777	-0.311887179535272	0.755126266122983	0.973057732264009	1	1	0
St18	258.08447878742	-0.516857267239761	0.359678397461954	-1.43699835988741	0.150718459574615	0.755552885151394	1	1	0
Gm57122	7.87130455482153	0.547276001701715	0.408423599165399	1.33997154625751	0.180254595704625	0.777134213527001	1	1	0
Pcmtd1	4259.83843607943	0.0250057257011447	0.0465220888270149	0.537502213069678	0.590920756656852	0.944996474640564	1	1	0
Gm26901	460.439325515551	-0.114453920229242	0.0666434964194461	-1.71740569415631	0.0859050719975626	0.687512081759656	1	1	0
Gm30414	1.46725324227146	-0.602234875210815	0.786255110352006	-0.765953527400533	0.443703954551929	NA	0.75	0.7	0.05
Sntg1	22937.3836212281	0.0503789036255378	0.0599028283165945	0.841010433752452	0.400342089280208	0.894089137555584	1	1	0
Rrs1	46.2143365584862	0.188160934557295	0.167095756167551	1.1260665074499	0.260137369329605	0.826554436871304	1	1	0
Adhfe1	62.8517860650887	0.102796772489975	0.132565314173717	0.77544245363661	0.43807825735162	0.906185257590549	1	1	0
2610203C22Rik	155.997550042813	-0.0249093088479762	0.206721065280584	-0.120497196616932	0.904089300241686	0.989962118271135	1	1	0
Vxn	1298.47428546742	0.271083636402121	0.0929137037212399	2.91758508750687	0.00352753390774295	0.235944484283147	1	1	0
Mybl1	63.3700064124548	-0.0390988504367444	0.110354019201691	-0.354303818923754	0.72311120605888	0.965848882174204	1	1	0
Vcpip1	799.687731594436	0.011098722595886	0.0591874529617576	0.187518165430385	0.851254382345712	0.98491614964879	1	1	0
1700034P13Rik	27.7135190549216	0.0872065419355102	0.21208209359391	0.411192385258566	0.680931471430549	0.963121472559396	1	1	0
Sgk3	1158.33011097193	-0.0248223259532234	0.0495990419333538	-0.500459786835744	0.616751364669388	0.949210891168016	1	1	0
Snhg6	521.936588467786	-0.140726629514748	0.121970507180494	-1.15377588211959	0.248592064432201	0.819538208127823	1	1	0
Mcmdc2	367.075613145912	-0.079162650648388	0.0871125860708709	-0.908739531437912	0.363487631965513	0.880484048430706	1	1	0
Tcf24	4.745993332245	0.189471637798466	0.390678047881633	0.484981531022373	0.627689446572808	NA	1	1	0
Ppp1r42	60.5424062306038	0.0480152176481008	0.119936351235719	0.400339156172369	0.688906731545398	0.963173024791083	1	1	0
Gm15818	2.98497047345807	-1.02167451649852	0.54555732391892	-1.87271707610758	0.0611074640626033	NA	1	1	0
Gm57177	0.441277202309539	-0.993148372365217	1.49175562792958	-0.665758086492768	0.505565739104967	NA	0.375	0.3	0.075
Cops5	730.31411900846	-0.0633375485758358	0.0573418612834253	-1.10456038848784	0.269350123083827	0.831502785860418	1	1	0
Cspp1	4591.14003655195	0.00671930939735834	0.0463697916860892	0.144907042991399	0.884784265629425	0.989376382398755	1	1	0
Arfgef1	3491.22589527012	-0.0191984451286186	0.0371234319933199	-0.517151677465415	0.605050281482796	0.947755940207702	1	1	0
Cpa6	438.084927938523	0.139917067606347	0.190617073324651	0.734021696829045	0.462935514672632	0.914086892273422	1	1	0
Prex2	509.249269509816	-0.138489494863982	0.134614340393127	-1.0287870850872	0.303579736895215	0.854134993633285	1	1	0
A830018L16Rik	8808.82767409002	-0.0764809414300972	0.0683757262953839	-1.11853936438933	0.26333670403082	0.826878127422896	1	1	0
Sulf1	1077.45937211779	-0.0835231344724258	0.156974039126725	-0.532082470050972	0.594668878040146	0.94594586056725	1	1	0
Slco5a1	179.415809558507	-0.308635809435139	0.118135524846904	-2.61255714430618	0.00898676672342031	0.345935497830926	1	1	0
Gm29283	0.363329080166234	-0.970895072462878	1.50087164254454	-0.646887478543366	0.517704770308944	NA	0.5	0.2	0.3
Prdm14	0.322488415675143	1.10263618372777	1.54759908898024	0.71248179943963	0.476166478011225	NA	0.125	0.5	0.375
Ncoa2	6282.96731253328	0.0616779880409618	0.0583488632832868	1.05705552037084	0.290486249444116	0.845939730896236	1	1	0
Gm29570	24.1981040499241	-0.0828519650801656	0.1962111626652	-0.422259182172719	0.672835848006692	0.96137369674736	1	1	0
Tram1	413.584044112762	-0.0561147080336295	0.0673445416918542	-0.83324804986262	0.404704848482293	0.895919379184509	1	1	0
Gm57152	0.840019596684989	-1.1788606001411	1.31139947738939	-0.898933254486164	0.368688213677839	NA	0.625	0.2	0.425
Lactb2	620.455421026468	-0.0444087276169466	0.0488697068755022	-0.908716881197586	0.363499590983454	0.880484048430706	1	1	0
Xkr9	1.52826639280614	-0.611407906628567	0.828382151763838	-0.73807469816524	0.460469058095395	NA	0.625	0.7	0.075
Eya1	139.027627622169	-0.454016320343164	0.195225787923833	-2.32559604533546	0.0200401107542926	0.466287210286279	1	1	0
Gm9947	137.165312462341	0.0223988147641248	0.111120642351468	0.201572041792908	0.840251303970307	0.983100320496884	1	1	0
Msc	14.8512398171014	-0.00358450199960009	0.314280135285928	-0.011405436097127	0.990899975923853	0.999302989752597	1	1	0
Trpa1	4.64333235296052	-0.821059359620341	0.446926764028864	-1.83712282571494	0.0661917652110938	NA	1	0.9	0.1
Kcnb2	22115.2903971387	-0.100593890511991	0.0460136198929883	-2.1861764135475	0.0288027011806485	0.519384846720259	1	1	0
Terf1	1190.87349458853	-0.114621555032429	0.0584469336838876	-1.96112178702759	0.0498648177750318	0.590140082090005	1	1	0
Sbspon	33.6565051693128	-0.151543511782531	0.174878362934722	-0.866565247063171	0.386180262066416	0.891101996128506	1	1	0
4930444P10Rik	174.931507592675	-0.254145211878991	0.108822253229543	-2.3354158210905	0.0195217087224743	0.463751221565883	1	1	0
Rpl7	184.653329155146	0.467196035223933	0.168294077334976	2.77606938177638	0.00550204657389477	0.289079672637335	1	1	0
Rdh10	338.328649757459	-0.0412555878193298	0.0624613111426987	-0.660498267881017	0.508934129671289	0.926116085653834	1	1	0
Gm28095	18.1953138984549	-0.166689125642422	0.199620399820899	-0.835030516880925	0.403700526363633	0.895919379184509	1	1	0
Stau2	5688.46897165855	0.00685468801578201	0.0415821084334021	0.164847052591392	0.869064368013069	0.986503068570075	1	1	0
Gm7568	35.6636925196292	-0.430549120008734	0.199123590916877	-2.16222054868659	0.0306011803846402	0.523029987447094	1	1	0
Ube2w	2895.455293169	-0.0288011678347025	0.0315453530046134	-0.913008259266917	0.361238197711445	0.880484048430706	1	1	0
Eloc	561.637197269362	0.165028373909856	0.0677984789354789	2.43410142087269	0.0149288114298182	0.424716804206984	1	1	0
D030040B21Rik	0.648808950540634	0.494032581862353	1.04763562757086	0.471569092211823	0.637234392340083	NA	0.5	0.6	0.1
Tmem70	272.851420075035	0.0157568593719472	0.0682728422970431	0.230792491447652	0.817476014737851	0.982384487248402	1	1	0
Ly96	98.637879179056	0.0602853548366866	0.1236541716421	0.487531912883412	0.625881433056128	0.952046418572959	1	1	0
Gm28376	2394.55114909932	-0.390336667303866	0.193087017189008	-2.02155832632588	0.043222000987961	0.571305804229096	1	1	0
Jph1	2804.98538960565	-0.189916758553145	0.0705742959076823	-2.69101882081223	0.00712341760223612	0.318393134628857	1	1	0
Gm28783	4.56202705097854	-0.703169244206849	0.405185010346422	-1.73542758555075	0.0826650975311981	NA	1	1	0
Gdap1	1433.80023663399	-0.0427951126943365	0.047364918222583	-0.903519193113108	0.366250406515641	0.881023748683675	1	1	0
Gm28784	13.1271528106941	-0.369582220968201	0.242308333909707	-1.52525592085463	0.127195277491026	0.73642020443426	1	1	0
Pi15	6.7053580968925	-0.306277616014369	0.398040430487219	-0.7694635834844	0.441618155043207	0.907740566853039	1	1	0
Gm28154	37.1066013794088	0.0592558734525669	0.190388539931761	0.311236555907227	0.755620794514206	0.973057732264009	1	1	0
Gm16070	190.798255567252	0.0837038419953062	0.114536473857118	0.730805124136484	0.464898193241599	0.915526176751206	1	1	0
Crispld1	430.555146185986	0.0139348680002254	0.107778639956773	0.129291555412225	0.897126953156012	0.989962118271135	1	1	0
Gm28153	131.865612272132	-0.164301568196784	0.18370794807027	-0.894362872824301	0.371127770317576	0.882301252842701	1	1	0
Gm28756	201.134414932024	-0.166856540335461	0.109397322544122	-1.52523422379157	0.127200687221601	0.73642020443426	1	1	0
Gm15825	29.5173425649605	-0.369576739995898	0.318169204387043	-1.16157294577862	0.245408976754224	0.819247318804283	1	1	0
Tfap2d	119.835785225047	-0.236271147911864	0.159216630261044	-1.48396023408161	0.137819470533196	0.745168978759512	1	1	0
Tfap2b	5.51075276226433	0.226274062761599	0.709599332725501	0.31887581107567	0.749820687517258	0.972198020329238	1	0.8	0.2
Pkhd1	27.1395254276781	0.131855354372643	0.211389342577578	0.623755922436124	0.532787890805724	0.932224801427221	1	1	0
4930486I03Rik	20.9857591626522	-0.0617865965547443	0.286436296003474	-0.215707986092638	0.829215375765739	0.982659308502382	1	1	0
Lincmd1	0.873174502710622	0.857942273164583	1.01964486240007	0.841412833822491	0.400116698221602	NA	0.375	0.7	0.325
Il17f	0.13536517045834	0.131711711741189	3.0705139717369	0.0428956562170219	0.9657847114019	NA	0.125	0.2	0.075
Mcm3	0.79904917289186	1.27770561129057	1.09015194079194	1.17204360555684	0.241179549591689	NA	0.25	0.7	0.45
6720483E21Rik	18.6831715598672	0.271481604377052	0.215151994022215	1.26181309920382	0.207016047510393	0.795143401950153	1	1	0
Paqr8	498.341724492404	-0.0508679595970454	0.0688096750914123	-0.739255919018195	0.459751611003326	0.914086892273422	1	1	0
Efhc1	26.8610781109113	0.192909096965702	0.188783337923547	1.02185446601133	0.306849786251605	0.855340051037096	1	1	0
Tram2	27.059495653585	0.0796495562109972	0.201860545188407	0.394577138076467	0.69315498849957	0.963173024791083	1	1	0
Tmem14a	224.432759103051	0.115554757028313	0.0955522948692918	1.20933523560458	0.226534079086326	0.810683789270881	1	1	0
Gsta3	134.95919362708	-0.185039702219655	0.127346365601271	-1.45304266318071	0.146211908962335	0.752508012158504	1	1	0
Gm28836	83.6110328720811	-0.159182910950896	0.211479478883305	-0.752710909783989	0.451623652605305	0.912791344310884	1	1	0
Gm4956	1.65917782521487	0.418772186884749	0.763758916512969	0.548304154400846	0.58348307529033	NA	0.75	0.8	0.05
Khdc1c	0.282350278145428	-0.725930776527157	1.80503546972899	-0.402169812561162	0.687559057018389	NA	0.375	0.2	0.175
Khdc1b	1.05182209913633	0.737963140304664	0.888850257280197	0.8302446157385	0.406400494657477	NA	0.5	0.9	0.4
Kcnq5	47945.7909974116	-0.0345546973605268	0.0776250387533412	-0.44514885809367	0.656212182545478	0.957202373393397	1	1	0
Rims1	45078.0754389956	0.0221318546898146	0.0466753420168595	0.474165881458789	0.635381621303472	0.953824049672034	1	1	0
Gm29506	11.7366387396316	-0.128651253384446	0.288150326538709	-0.446472696837855	0.655255830686319	0.957202373393397	1	1	0
Gm27028	2.19150729552895	0.838836599510708	0.61340947560041	1.36749860065277	0.171469075583293	NA	0.75	1	0.25
Gm29107	23.8660952570006	0.520918245382811	0.201116939852174	2.59012615131127	0.00959407665495175	0.356132152467117	1	1	0
Ogfrl1	1013.93261289971	0.0311224289869571	0.0614541966871673	0.50643293159271	0.612552761178126	0.94845841019661	1	1	0
Gm28822	53.3555754460709	-0.255950403303931	0.291187348361078	-0.878988749835887	0.379407375757829	0.886951951932166	1	1	0
B3gat2	380.762565831717	-0.129401859242253	0.108318677191244	-1.1946403205588	0.232227588681142	0.814270179754147	1	1	0
Smap1	2493.91943440508	-0.0142376651937392	0.0480602643900766	-0.296246085501748	0.767042156337304	0.974968298669656	1	1	0
Sdhaf4	83.4980752146304	0.183979537100609	0.145816036185412	1.26172362048485	0.207048254379968	0.795143401950153	1	1	0
Fam135a	3308.14549496822	-0.107639656066631	0.0711303709685098	-1.51327280599007	0.130210377305147	0.739544756618394	1	1	0
Col9a1	24.8402072809464	-0.411263179924321	0.225206858867641	-1.82615743584448	0.0678265507029395	0.644283227963478	1	1	0
Col19a1	2378.60519708609	-0.0178169102556478	0.092483197467543	-0.192650240730492	0.847232895458196	0.984410785017167	1	1	0
Lmbrd1	2619.67815632096	0.0405026734054738	0.0440033806203988	0.920444584812147	0.35734047890074	0.877567654416885	1	1	0
Adgrb3	71081.0570263597	0.0033633710893668	0.0433522114419772	0.0775824572148609	0.938160197429427	0.993278811166744	1	1	0
Gm5524	0.893417356269457	-0.161432139153272	0.982584130556286	-0.164293452471981	0.869500135829737	NA	0.5	0.6	0.1
Gm597	0.157603975638417	-0.595280831971045	2.94285953777318	-0.20227972974255	0.839698045746639	NA	0.25	0.1	0.15
Gm9898	1.84582440414649	-0.360820114957616	0.603072329759964	-0.598303216964424	0.549637630485662	NA	1	0.8	0.2
Phf3	2694.1517928589	0.0371505244863347	0.0303412114565337	1.2244245599605	0.220792109050704	0.80497130270659	1	1	0
Ptp4a1	10.5067628035725	-0.222380807634414	0.330441600208257	-0.672980664342084	0.500959592180823	0.924567431239424	1	1	0
Ptp4a1.1	2.79200184260932	0.101459956649826	0.533143086071903	0.190305303211122	0.849069898230563	NA	1	1	0
4931428L18Rik	19.4233116695974	-0.195383547635513	0.277920328874699	-0.703019992911717	0.482043290080771	0.919810828661279	1	1	0
Gm29128	1.11205218508831	-1.1549868143927	0.942939680302778	-1.22487878972474	0.220620893045453	NA	0.625	0.6	0.025
Lgsn	1.5708912671717	-1.0007345742256	0.796627299611445	-1.25621426068841	0.209038297720283	NA	0.875	0.6	0.275
Khdrbs2	11814.721205851	-0.0327397624658605	0.0670878967295409	-0.488012951096799	0.625540667616605	0.952046418572959	1	1	0
Semp2l1	12.3489556731713	-0.245810012714598	0.294106568486446	-0.835785524885092	0.403275571181211	0.895919379184509	1	1	0
Gm37724	4.52279037080418	0.690155575227105	0.456216724742537	1.51278008410715	0.130335529309272	NA	1	1	0
Prim2	601.610801845191	0.0560315680958307	0.0577140829646494	0.97084741223647	0.331624268608343	0.867729106014281	1	1	0
Gm57180	21.5751473887587	-0.0299983344564218	0.202352878735356	-0.148247628815079	0.88214734469812	0.988674520166948	1	1	0
Rab23	356.022024440752	0.0184644205740645	0.0569082445209985	0.324459500191599	0.745590179298191	0.971279809539474	1	1	0
Bag2	135.758638290768	-0.157856276299817	0.105841275431274	-1.49144344355826	0.135845109394472	0.74497584920625	1	1	0
Zfp451	1769.22664810454	0.00756605288615289	0.0502345703845577	0.150614463868864	0.880279851038908	0.988346262470821	1	1	0
Bend6	2362.25767489359	0.0217556617475257	0.0366548802726379	0.593527017022227	0.552828507675756	0.937214750294815	1	1	0
