gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	30660.2529825863	-0.0941338254855129	0.074161460945371	-1.26930921108544	0.204330802413317	0.999341208625314	1	1	0
Gm1992	981.711422508457	-0.040867904775731	0.209052297811788	-0.195491296692299	0.845008350475212	0.999341208625314	1	1	0
Gm19938	1410.75139177026	-0.100288879905841	0.0938725209543763	-1.06835183380856	0.285361835273018	0.999341208625314	1	1	0
Gm37381	0.298074745324358	-0.578343047195082	2.67488046944114	-0.216212669613575	0.828821978188569	NA	0.4	0.2	0.2
Rp1	10.3538835815198	-0.209253788946438	0.492617814443642	-0.424779175277629	0.670997659925038	0.999341208625314	1	1	0
Sox17	1.26055068550344	1.9384967735475	1.39683504304563	1.38777787914086	0.165204692751421	NA	0.2	1	0.8
Gm37587	0.135463314957327	0.252296688879294	3.22592389622209	0.0782091261281026	0.937661702655365	NA	0	0.2	0.2
Gm37323	0.738010704238184	-0.728958428517221	1.74219485322609	-0.418413834231791	0.675644573559917	NA	0.6	0.4	0.2
Mrpl15	361.655265509317	-0.0580656737141896	0.105720705844956	-0.549236530820608	0.582843137611625	0.999341208625314	1	1	0
A930006A01Rik	37.220842381142	-0.345374662937484	0.40917602521186	-0.844073556750199	0.39862830319138	0.999341208625314	1	1	0
Lypla1	611.866466892646	0.0459699429820301	0.0828717121183924	0.554712118368646	0.579091585931111	0.999341208625314	1	1	0
Tcea1	1444.31480724121	0.00507619908823027	0.0654815540950042	0.0775210539576602	0.938209043033805	0.999341208625314	1	1	0
Rgs20	1448.87714252785	0.251553265980495	0.142852178345067	1.76093405711221	0.0782495647772209	0.999341208625314	1	1	0
Gm16041	5.69718322928288	0.752918239096793	0.559784636075422	1.34501411895726	0.178620675104855	0.999341208625314	1	1	0
Atp6v1h	3034.79925683473	0.0433920015266169	0.0752918804229978	0.576317144462803	0.564400836632395	0.999341208625314	1	1	0
Oprk1	226.27453865485	-0.0729692043776004	0.24356229501408	-0.299591545454038	0.764488733876874	0.999341208625314	1	1	0
Npbwr1	2.30271494405003	0.241445656735514	0.858809050584373	0.281140093448274	0.778602950634806	0.999341208625314	1	1	0
4732440D04Rik	472.388074984623	0.238282783565026	0.147954331442816	1.61051576686771	0.107285306214223	0.999341208625314	1	1	0
Rb1cc1	4105.61729737911	0.0558552161416137	0.0586238416403478	0.952773045551681	0.340705074093462	0.999341208625314	1	1	0
Alkal1	23.1527090716744	-0.0618804366185091	0.301283903995986	-0.205389122345326	0.837268118232903	0.999341208625314	1	1	0
St18	225.495362541268	0.654650061700268	0.287811524661768	2.27457904081362	0.0229311946008771	0.999341208625314	1	1	0
Gm57122	9.36578334637234	-0.207087104894578	0.583080625480492	-0.355160325767859	0.722469485137311	0.999341208625314	1	1	0
Pcmtd1	4463.37706731358	0.013465600192633	0.0773761630737911	0.174027758132583	0.861843647246093	0.999341208625314	1	1	0
Gm26901	461.934114166373	-0.0389426358403118	0.105033429635601	-0.370764203124832	0.710813165768263	0.999341208625314	1	1	0
Gm30414	1.24622346589541	-0.842333305507176	1.25055630640399	-0.673566876752097	0.500586717624558	NA	0.8	0.6	0.2
Sntg1	24237.9064221406	0.0273383182094848	0.0876946239149725	0.311744517383319	0.755234692712116	0.999341208625314	1	1	0
Rrs1	51.0222324161904	-0.0519624453923658	0.249787543870732	-0.208026567646852	0.835208223124738	0.999341208625314	1	1	0
Adhfe1	67.316903378657	-0.113422408163154	0.168857192951989	-0.671706109643804	0.501770811084234	0.999341208625314	1	1	0
2610203C22Rik	163.38034089545	0.332419823498443	0.199149662596396	1.66919601652621	0.0950785393108794	0.999341208625314	1	1	0
Vxn	1464.7788695324	0.110174597664514	0.120304731952907	0.915796044561586	0.35977387850935	0.999341208625314	1	1	0
Mybl1	64.4712857687168	0.0568503913729523	0.172856528247584	0.328887731052454	0.742240548125708	0.999341208625314	1	1	0
Vcpip1	833.649116802652	0.00982961762991549	0.0947990665716983	0.103688970634338	0.917416179631503	0.999341208625314	1	1	0
1700034P13Rik	29.8416081112359	0.0941767086574849	0.313036334997386	0.300849128770535	0.763529543455665	0.999341208625314	1	1	0
Sgk3	1196.07756388889	0.0948721028002719	0.0645351172620413	1.47008492159469	0.141538755583452	0.999341208625314	1	1	0
Snhg6	517.625004507051	0.139001024726845	0.130669479604137	1.06376045231028	0.287437231059483	0.999341208625314	1	1	0
Mcmdc2	375.976321386799	0.0189174025610532	0.125122431692994	0.151191135794657	0.87982494252747	0.999341208625314	1	1	0
Tcf24	5.20773454300452	0.256891959936197	0.563692963104865	0.455730294238934	0.6485839346791	0.999341208625314	1	1	0
Ppp1r42	64.2926310741843	0.0306332097312503	0.177394483407518	0.172684117018896	0.86289972901164	0.999341208625314	1	1	0
Gm15818	2.15094700666359	0.0909422937626845	0.903569133801596	0.100647853452078	0.919830007985829	0.999341208625314	1	1	0
Gm57177	0.284722446551595	0.471910861787669	2.74495521063426	0.171919330399066	0.863500949386908	NA	0.2	0.4	0.2
Cops5	745.524508382867	0.0209174085520409	0.0882939178418516	0.236906562346767	0.812729278880334	0.999341208625314	1	1	0
Cspp1	4792.4536452717	0.101987610759294	0.0727257433708583	1.40235913766075	0.16080802906972	0.999341208625314	1	1	0
Arfgef1	3604.70039218955	0.0658222837300604	0.0642819384131898	1.02396233459809	0.305853065715658	0.999341208625314	1	1	0
Cpa6	475.106490834181	0.0452703302029023	0.237072511263325	0.190955627717711	0.848560357331485	0.999341208625314	1	1	0
Prex2	512.447816376657	-0.325027162068135	0.138186170847322	-2.35209616183118	0.0186679481742611	0.999341208625314	1	1	0
A830018L16Rik	8940.40421075446	0.00172517543730213	0.0977225284428666	0.0176538149881248	0.985915025199435	0.999341208625314	1	1	0
Sulf1	1092.8223008497	0.190615027543286	0.183706991352103	1.03760355629548	0.299454661567896	0.999341208625314	1	1	0
Slco5a1	169.37608413451	-0.264040301329716	0.168848768077425	-1.56376800574963	0.117872060460184	0.999341208625314	1	1	0
Gm29283	0.182185237197179	-0.228594451507994	3.22592389622209	-0.0708617000468309	0.943507825649307	NA	0.2	0.2	0
Prdm14	0.528792312439048	0.172385459698539	1.84326235736747	0.0935219335486988	0.925488925603569	NA	0.4	0.6	0.2
Ncoa2	6647.30167968463	-0.00531845325376018	0.0931694563664232	-0.0570836566099882	0.954478555328827	0.999341208625314	1	1	0
Gm29570	23.9396263922674	-0.0524416748741362	0.280199474485782	-0.187158362699917	0.851536469685881	0.999341208625314	1	1	0
Tram1	423.103803641549	0.0360730156436659	0.105758553869999	0.341088397331982	0.733037035643091	0.999341208625314	1	1	0
Gm57152	0.716583168508731	-3.05089354670425	2.57154633782405	-1.18640426650286	0.235462687627637	NA	0.4	0	0.4
Lactb2	637.609665475379	-0.0557269983553804	0.0736803387224593	-0.756334719975896	0.449448536414631	0.999341208625314	1	1	0
Xkr9	1.29388712987533	-1.78266752813822	1.25946023245141	-1.41542184676084	0.156944847913053	NA	1	0.4	0.6
Eya1	123.996079538624	-0.566764141746858	0.237708758552649	-2.38427959153776	0.0171125955077678	0.999341208625314	1	1	0
Gm9947	144.531781835134	-0.172670988556396	0.165362343113161	-1.04419776174938	0.296393902307545	0.999341208625314	1	1	0
Msc	15.6387271383558	-0.0993695846123231	0.446942282743106	-0.222332029098797	0.824055420373798	0.999341208625314	1	1	0
Trpa1	3.88090489132817	0.776098353069869	0.799597497673107	0.970611282962212	0.331741885227096	0.999341208625314	0.8	1	0.2
Kcnb2	22291.0768339517	-0.00753553335913846	0.0810945778540531	-0.092922776818695	0.925964910748409	0.999341208625314	1	1	0
Terf1	1195.41165208395	0.134729384072112	0.0906626302002142	1.48605201255008	0.13726536387119	0.999341208625314	1	1	0
Sbspon	32.8217797354503	-0.000412354336792553	0.252272125434381	-0.00163456163094726	0.998695809091741	0.999958293124129	1	1	0
4930444P10Rik	167.135019263988	-0.00889633462130516	0.161351637722377	-0.0551363143683257	0.956029865451774	0.999341208625314	1	1	0
Rpl7	219.333941520569	-0.169511894296052	0.181156654710369	-0.935719941213672	0.349417400693492	0.999341208625314	1	1	0
