gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	32641.6117100393	-0.14819797082299	0.122963837624222	-1.20521588855972	0.228119970247268	0.996356320323098	1	1	0
Gm1992	1112.31869212206	-0.207432063233854	0.23902238513207	-0.867835299690611	0.385484502541022	0.996356320323098	1	1	0
Gm19938	1530.83055436412	-0.231640222801855	0.109083651603945	-2.12350997968863	0.0337111401225553	0.996356320323098	1	1	0
Gm37381	0.693988707502612	-1.49951302637091	2.07690162559833	-0.721995210504452	0.470297422183201	NA	0.8	0.333333333333333	0.466666666666667
Rp1	10.772750824199	-0.296042874084741	0.590604731314679	-0.501253813909944	0.616192505549576	0.996356320323098	1	1	0
Sox17	0.309858085502733	1.91837891780317	3.59482174750938	0.533650637651865	0.593583267002924	NA	0	0.666666666666667	0.666666666666667
Gm37587	0.281899725562771	0.314979491203252	3.62999440421616	0.0867713434592104	0.930853266293344	NA	0.2	0.333333333333333	0.133333333333333
Gm37323	0.579029476020482	-2.24695405449918	2.61325509993736	-0.859829587457054	0.389882986999761	NA	0.6	0	0.6
Mrpl15	377.97305362695	-0.0298788655727226	0.120946664022855	-0.247041667615376	0.80487597713176	0.996356320323098	1	1	0
A930006A01Rik	42.0217424572131	-0.57392886944517	0.464078167386839	-1.23670732600261	0.216195757924575	0.996356320323098	1	1	0
Lypla1	644.829233564392	-0.026221588318938	0.106348172432043	-0.246563600664542	0.805245977372206	0.996356320323098	1	1	0
Tcea1	1506.4196102196	-0.0533474078132764	0.085275889353467	-0.625586062106633	0.531586483139384	0.996356320323098	1	1	0
Rgs20	1518.22983209517	0.318582500441736	0.196322542481653	1.62275048201104	0.104642755063123	0.996356320323098	1	1	0
Gm16041	6.28768039245982	0.064428740966735	0.75999330840712	0.0847754055910992	0.932439946631307	NA	1	1	0
Atp6v1h	3126.48545042456	-0.027364284571215	0.0895263814482246	-0.305656099672033	0.759866501877353	0.996356320323098	1	1	0
Oprk1	241.640287340239	-0.264523025469418	0.317590136794457	-0.832906928846523	0.404897221616711	0.996356320323098	1	1	0
Npbwr1	1.93564662642903	-0.722403079651841	1.19788937308334	-0.603063267680878	0.546466601336242	NA	1	1	0
4732440D04Rik	546.106654584221	0.412697048290368	0.111273259061732	3.70886097675463	0.000208193693229905	0.178869611538473	1	1	0
Rb1cc1	4210.30918148583	-0.00815122689893949	0.0836704688497986	-0.0974205954740398	0.922392389698076	0.996356320323098	1	1	0
Alkal1	26.5343821327825	0.168578257864153	0.336728399151023	0.500635700134532	0.616627532660782	0.996356320323098	1	1	0
St18	294.676676147613	-0.117058702236744	0.32215329687539	-0.363363353323131	0.716333473436312	0.996356320323098	1	1	0
Gm57122	7.49458745889956	-0.34875273085614	0.659487850126352	-0.528823587560138	0.596927833371968	NA	1	1	0
Pcmtd1	4665.9434300466	-0.078932457516945	0.0816612836659853	-0.96658359963821	0.333752236475031	0.996356320323098	1	1	0
Gm26901	504.695365133005	-0.11139968962487	0.127112834307859	-0.876384278829527	0.380821161966244	0.996356320323098	1	1	0
Gm30414	1.74951760023505	-0.596892384602263	1.33172453744241	-0.448210097373892	0.654001576107096	NA	1	0.666666666666667	0.333333333333333
Sntg1	25159.1555517783	-0.0283157196875513	0.109084729584077	-0.259575467579327	0.795191261848802	0.996356320323098	1	1	0
Rrs1	51.8765003598025	-0.033105307032663	0.311804775581116	-0.106173187921718	0.915444943621238	0.996356320323098	1	1	0
Adhfe1	64.9082213472538	0.0226058383766821	0.224629476677035	0.100636117356868	0.91983932473155	0.996356320323098	1	1	0
2610203C22Rik	180.232488402679	0.207500965777809	0.289990104042572	0.715544988898471	0.474272351909487	0.996356320323098	1	1	0
