gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	27980.1382482195	-0.0679578373981049	0.0878738852798062	-0.77335646627795	0.439311446490174	0.94567428394685	1	1	0
Gm1992	983.217659159552	-0.454165523687872	0.183628932605956	-2.47327867805262	0.0133879699945475	0.589158768437731	1	1	0
Gm19938	1290.59194556915	-0.0690208462373043	0.111598478868964	-0.618474794072659	0.536262408128802	0.958541014054508	1	1	0
Gm37381	0.313054989336886	-0.64786212645246	3.19881676579252	-0.202531802815517	0.839500998483323	NA	0.25	0.166666666666667	0.0833333333333333
Rp1	14.8746734995702	-0.288329169270048	0.427518132117678	-0.674425591826555	0.500040776935814	0.954147595457559	1	1	0
Sox17	1.48545933516989	1.0847074429738	1.2182783147003	0.890360954377359	0.373272101020085	NA	0.5	1	0.5
Gm37587	0.122274659736033	-0.200077275404931	3.2259185248982	-0.0620218005695743	0.950545471076641	NA	0	0.166666666666667	0.166666666666667
Gm37323	0.324763376298179	0.98760627146107	2.61699598511951	0.377381653268363	0.705889999266925	NA	0	0.5	0.5
Mrpl15	327.766497862101	0.143523594554428	0.112269070565655	1.27838944271383	0.201112144631333	0.862207881921727	1	1	0
A930006A01Rik	33.1008407405521	-0.379725811927999	0.325254858148439	-1.16747160700272	0.243019968050665	0.885729585544842	1	1	0
Lypla1	574.957412677081	0.0822871745500066	0.086360417935343	0.952834371547554	0.340673996253521	0.920210300469731	1	1	0
Tcea1	1290.843919101	0.0263253340304004	0.0671638154400898	0.391957095616205	0.695089915145762	0.982071631987765	1	1	0
Rgs20	1259.10920780745	-0.297642725268608	0.128423404868779	-2.31766729415666	0.0204674098228999	0.645114506424332	1	1	0
Gm16041	5.63576746147917	-0.381117786206747	0.572905744785152	-0.665236454121561	0.50589926763289	0.955271835060988	1	1	0
Atp6v1h	2851.70287871495	0.0307453752627992	0.0768341043569733	0.400152712393904	0.689044041385643	0.981224017524715	1	1	0
Oprk1	222.312174343486	0.106067357709664	0.21163999560492	0.501168776754589	0.616252346519889	0.970304646225128	1	1	0
Npbwr1	2.76883033269461	0.392079800574906	0.842490038423847	0.465382120491798	0.641657835778512	NA	0.75	1	0.25
4732440D04Rik	375.533625549471	0.0276900005676694	0.134329819751012	0.206134428074083	0.836685906502516	0.993926353897711	1	1	0
Rb1cc1	3724.21603361952	0.0830237682875803	0.0530645680821066	1.56458011981023	0.117681393310354	0.799926339005886	1	1	0
Alkal1	19.9043788466949	-0.229334622049689	0.318812345799791	-0.719340468056114	0.471931167439917	0.94942631652665	1	1	0
St18	231.769640788389	0.108697950395785	0.582544136916989	0.186591785080955	0.851980708182981	0.99417088016025	1	1	0
Gm57122	8.0998612351439	0.745312884641824	0.619920923076656	1.20227089762167	0.229258588503623	0.879797449667421	1	1	0
Pcmtd1	3962.11725322287	-0.00032933439604025	0.0769462161809894	-0.00428005966226598	0.996585016902628	0.999690375637571	1	1	0
Gm26901	427.978905308871	0.0733372259326703	0.0885420372939165	0.82827579050645	0.407514330075168	0.942363032997971	1	1	0
