gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	188.235851724605	0.227157826594336	0.153162547910519	1.48311600775307	0.138043591654389	0.999784926126454	1	1	0
Gm1992	0.83539232972891	0.539109005209498	1.99665225260414	0.270006459315268	0.787155284293452	0.999784926126454	0.25	0.8	0.55
Gm19938	1.83649530971682	-0.143895575386197	1.30081119118034	-0.110619878089784	0.911917783792674	0.999784926126454	0.75	0.8	0.05
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0.0521053755086553	-1.03317982211951	3.37803676898359	-0.305852154010267	0.759717216805859	0.999784926126454	0.25	0	0.25
Sox17	0.653214598358677	-2.12224201067956	2.25518369960676	-0.94105061643077	0.346678920883049	0.999784926126454	0.75	0.2	0.55
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.187965610450699	0.740903314988136	3.3674067287664	0.220021926267147	0.82585407840307	0.999784926126454	0	0.4	0.4
Mrpl15	2.87943033023636	1.10415499688716	1.15129184609582	0.959057428080891	0.337529815335682	0.999784926126454	0.5	1	0.5
A930006A01Rik	0.365892689084473	-0.679844757877736	3.04093512929919	-0.22356437377683	0.823096287602401	0.999784926126454	0.5	0.2	0.3
Lypla1	16.7988781963219	0.672115126249805	0.516148940910114	1.30217282837911	0.192857311467436	0.999784926126454	1	1	0
Tcea1	32.4006864928469	0.0433433362284109	0.314940519735879	0.137623879787714	0.89053768177015	0.999784926126454	1	1	0
Rgs20	0.859686377544197	-0.409715461585355	2.1563461624125	-0.190004494049772	0.849305608940842	0.999784926126454	0.5	0.4	0.1
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	28.2634557858901	-0.0206781644745633	0.411090684492733	-0.0503007371720894	0.959882736336756	0.999784926126454	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	3.5379719566318	-0.474127564146339	1.04487507004208	-0.453764835376198	0.649998095904581	0.999784926126454	1	0.6	0.4
Rb1cc1	49.1945475223253	0.388515469878221	0.243938988647322	1.59267475868699	0.111233172883251	0.999784926126454	1	1	0
