gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Gm9895	2.67038841997023e-09	-0.638925819221518	7.12780077058455e-05	1	1	0
Fth1	3.16768837173062e-08	1.43686719890643	0.000845519380182336	1	1	0
Polr3e	5.09408615893608e-08	-0.860447592064603	0.00135971347754322	1	1	0
A330015K06Rik	2.73046099153224e-06	-0.465373108764041	0.0728814647859785	1	1	0
Zbtb16	6.20854705494689e-06	-0.985605204737822	0.165718537990642	1	1	0
Por	6.43647129204661e-06	-1.51791362717452	0.171802291727308	0.4	1	0.6
Cdh19	2.82616447288246e-05	-0.36078784014274	0.754359821101785	1	1	0
Tmod2	3.47496939015895e-05	-0.60667608257098	0.927538829621227	1	1	0
Hibch	4.62335701841199e-05	1.04411264241619	1	1	0.75	0.25
Map7d2	5.30910843446679e-05	-1.46870632992129	1	0.6	0.875	0.275
Rasal2	6.42310841148287e-05	0.615393576904061	1	1	1	0
Tmem219	8.35232479904589e-05	-0.694925054197852	1	1	1	0
Msantd2	0.000114051998016402	0.787372657503552	1	1	1	0
Gabrb1	0.000132538985941465	-1.15594284079578	1	0.4	0.75	0.35
Gm14798	0.000133604986751429	-0.910336078908223	1	0.9	1	0.1
Zfp365	0.000145553937149775	-1.07695804051371	1	0.8	1	0.2
Nr2c2	0.000155535416807973	-0.56865296328727	1	1	1	0
Itpk1	0.000169129656416318	-0.509739735983016	1	1	1	0
Flot2	0.000172192617146334	-1.18873181924852	1	0.8	1	0.2
Ikzf2	0.000193895424793797	-0.48567762874686	1	1	1	0
Tubb3	0.000252975405583142	-1.44550160386575	1	0.7	0.875	0.175
Luc7l2	0.000467069431557773	-0.275830842312371	1	1	1	0
Ppm1g	0.000474897164707638	0.838307677354175	1	1	0.25	0.75
Gm32036	0.000497688174305681	-0.643854022746658	1	1	1	0
Ndufs6	0.000550384816291515	-1.09166086677099	1	0.3	0.625	0.325
Klf9	0.000627165657889519	-0.893441886321818	1	1	1	0
Epb41l4b	0.000667027711551113	0.464443670602339	1	1	1	0
Atp5d	0.00076804186756631	-0.907190356408596	1	0.3	0.75	0.45
Erlin2	0.000772504873312163	-0.75959558640058	1	1	1	0
Ctbs	0.000783096571601743	-0.949224128203354	1	0.7	1	0.3
Gm33948	0.000794345994659833	-0.67201528080919	1	1	1	0
Klf13	0.000805652710099988	-0.420158865536038	1	1	1	0
Arpp19	0.00084603914787166	-1.26787095754156	1	0.5	1	0.5
Nuak1	0.000907969141645414	0.65275625672518	1	1	1	0
Btbd9	0.00094248216097768	0.676356895795517	1	1	1	0
Rnf144a	0.000954147269103226	-0.497933515599913	1	1	1	0
Plekha1	0.00101541604431311	-0.39066193727747	1	1	1	0
Vps13b	0.00120378523371086	0.403502049171817	1	1	1	0
Elmo1	0.0012114404567535	-0.296412117364878	1	1	1	0
Lama2	0.00141996199484793	-0.240015887493162	1	1	1	0
Gpalpp1	0.00145599859769905	-0.876115414233243	1	0.9	1	0.1
Adam1a	0.00151426679601383	0.693870409258108	1	1	0.625	0.375
Armc5	0.00159511521850245	-0.872486551611078	1	0.8	1	0.2
Msantd3	0.00167296249359725	0.451209752481875	1	0.9	0.25	0.65
Gabrr2	0.00170700280670227	-0.739770969053524	1	1	1	0
Vmp1	0.00174471123928535	-0.22490782764285	1	1	1	0
Cldn11	0.00179027864812906	-0.303518474818225	1	1	1	0
Dlx1as	0.00181468328039007	-0.784270481446147	1	0.6	1	0.4
Aspa	0.00197431963709819	-0.199668093907843	1	1	1	0
Mrpl18	0.00204422147244579	-0.936557396021983	1	0.4	0.875	0.475
Cachd1	0.00208586827836885	0.565622489507573	1	1	1	0
Bsg	0.0021159326729749	-0.995825363813376	1	0.5	0.875	0.375
Zfp651	0.00221298568239598	-1.10086296943252	1	0.4	0.875	0.475
Dph7	0.00222334801621508	0.561618322227371	1	0.9	0.5	0.4
Ccdc50	0.00223171165323955	-0.287118184594164	1	1	1	0
Mog	0.00225317655703588	-0.167888569476013	1	1	1	0
Fbxw15	0.0023102834218044	-0.762026570067772	1	1	1	0
Zfp692	0.00243225177823868	0.674923416947845	1	1	1	0
2700054A10Rik	0.00251328619454161	1.07105633054339	1	1	0.625	0.375
Zmat2	0.00256140206891482	-1.0870428507148	1	0.8	1	0.2
Nup93	0.00270104564772919	-1.35704262788704	1	0.8	0.875	0.075
Edc4	0.00271232554581568	-0.923340840029391	1	0.6	0.875	0.275
Il1rap	0.00287757944888029	-0.236558130339489	1	1	1	0
9330199G10Rik	0.00302303413570075	-0.329379563828795	1	1	1	0
Tenm2	0.0031158005048036	-0.621638778729782	1	1	1	0
Rcan2	0.00318180126466502	-0.719698640338019	1	1	1	0
Cdc37l1	0.00326367701193104	-0.203310829728171	1	1	1	0
Atp5g2	0.00327630564109979	-0.881669990040263	1	0.8	1	0.2
Copg2	0.00334526727431832	0.58597877906919	1	1	1	0
Pgd	0.00344654290886804	-0.953879884736385	1	0.7	0.75	0.05
Ndfip1	0.00351026765456811	-0.598148644986918	1	1	1	0
Hdgfl2	0.00351188412779681	-0.980593673449908	1	0.9	1	0.1
Ppp1r16b	0.00365142976263131	-0.25013379970389	1	1	1	0
Jmjd1c	0.00372646207079822	0.401679798348456	1	1	1	0
Tmem245	0.00383834898431733	0.468147441039052	1	1	1	0
Tmem132d	0.00389412222919848	0.47293440630248	1	1	1	0
Dvl1	0.00398805145180301	0.719764941007272	1	0.8	0.75	0.05
Arpc5l	0.00403859901579342	-0.972820191971202	1	0.8	1	0.2
Dnm2	0.00415539644888847	-0.321349990532685	1	1	1	0
Sgms1	0.00446383086649119	0.636941943289819	1	1	1	0
Gm48678	0.00453552046894837	-0.359622331828531	1	1	1	0
Uso1	0.00458473000543473	0.544879915302883	1	1	1	0
Dennd5b	0.00461398917782739	-0.391915423916086	1	1	1	0
