gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	115.563076856977	-0.0163555099113324	0.314336803165071	-0.0520318007520852	0.958503354388845	0.999669271205525	1	1	0
Gm1992	1.61738963724303	-2.78353273175075	1.90246933993996	-1.46311568513299	0.143435726622262	0.999669271205525	0.75	0.25	0.5
Gm19938	1.18210831677167	0.177518978725303	1.89774616258582	0.0935420037859124	0.925472981764094	0.999669271205525	0.5	0.75	0.25
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0.163000561196061	-0.84120267376722	3.64255401470384	-0.230937597732676	0.817363281332549	0.999669271205525	0.25	0.25	0
Sox17	0.444501851329371	1.80578920869636	3.12772780141442	0.577348581254337	0.563704001673875	0.999669271205525	0	0.75	0.75
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	1.62299716806227	-0.336062709233025	1.59999854693482	-0.210039384021213	0.833636934573468	0.999669271205525	1	0.5	0.5
A930006A01Rik	0.443956565452996	0.214992303410267	3.16755241232175	0.067873321550718	0.945886476083928	0.999669271205525	0.25	0.5	0.25
Lypla1	10.2096481675646	-0.422492158559167	0.713595610753394	-0.592061038762713	0.55380971547601	0.999669271205525	1	1	0
Tcea1	21.0993897793758	-0.0368949005423347	0.507965711755015	-0.0726326594266833	0.942098436883875	0.999669271205525	1	1	0
Rgs20	0.850744608426464	0.84408819098501	2.34320469098475	0.360228107357653	0.718676557048969	0.999669271205525	0.5	0.5	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	19.8367764558123	-0.175173874570209	0.515111689587079	-0.340069693837915	0.733804043909966	0.999669271205525	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	2.37746613772861	0.66374954754253	1.35693830281689	0.489152341093653	0.624733847763626	0.999669271205525	0.5	1	0.5
Rb1cc1	30.1453381626031	-0.232087366237266	0.38235444607957	-0.606995338008879	0.543854006027348	0.999669271205525	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	1816.6430522243	0.033328587982581	0.121234077554975	0.274911053515195	0.783384574755268	0.999669271205525	1	1	0
Gm57122	0.13726073021965	0.824382932809615	3.63227145210976	0.226960716917449	0.820454288437868	0.999669271205525	0	0.25	0.25
Pcmtd1	58.1085357130077	0.265798501503298	0.30461341929237	0.872576467972945	0.382893971581762	0.999669271205525	1	1	0
Gm26901	2.24441271360851	0.149521192718389	1.64775699713459	0.0907422593127523	0.927697391049688	0.999669271205525	0.25	0.75	0.5
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0.452957778756607	-1.36648465939589	3.4032068326814	-0.40152853663591	0.688031032518803	0.999669271205525	0.5	0	0.5
Rrs1	8.69267790469015	-0.404650695762294	0.666155302648843	-0.607441979600365	0.543557636269535	0.999669271205525	1	1	0
Adhfe1	0.69587905848008	-0.00254758037686228	2.34526471785033	-0.00108626559614873	0.999133285622351	0.999915380282157	0.5	0.75	0.25
2610203C22Rik	0.353650752692249	0.215712307102094	3.61038116482096	0.0597477931704175	0.952356506253258	0.999669271205525	0.25	0.25	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
