gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	150.736038906788	0.190552165646024	0.165788203907392	1.14937107197605	0.250403003137808	0.994609466812116	1	1	0
Gm1992	1.35923085052004	-2.47137399220181	1.65994710774525	-1.48882695157603	0.136532943238839	NA	0.5	0.5	0
Gm19938	1.84765073121627	-0.0801018395162162	1.19027280042046	-0.0672970427350107	0.946345231109294	NA	0.75	0.833333333333333	0.0833333333333334
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0.150925849534596	-1.2686245859894	3.20176521504461	-0.39622661275359	0.691937860372073	NA	0.25	0.166666666666667	0.0833333333333333
Sox17	0.293331988186248	0.102429910651477	3.20394418193053	0.0319699423070966	0.974496021203317	NA	0	0.333333333333333	0.333333333333333
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.0211348120458006	-0.563326950062446	3.2157247447137	-0.175178846071478	0.860939105692035	NA	0	0.166666666666667	0.166666666666667
Mrpl15	2.26448463821164	1.32057499294286	1.22537906454055	1.07768692248549	0.281173496502993	NA	0.75	0.833333333333333	0.0833333333333334
A930006A01Rik	0.25814176584569	0.685319215415667	3.19504462789512	0.214494410948855	0.830161524964927	NA	0	0.5	0.5
Lypla1	16.3530022455296	-0.213761536427582	0.638600223364759	-0.334734515596128	0.737825362274816	0.994609466812116	1	1	0
Tcea1	22.7922752938926	0.0805667765063039	0.337212773056479	0.238919705727784	0.81116784503612	0.994609466812116	1	1	0
Rgs20	0.530399012510618	1.51337412019172	2.61545640383126	0.578627163494236	0.562840772052046	NA	0	0.5	0.5
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	26.1705395180516	-0.435151800644183	0.360820090002698	-1.20600768277878	0.227814528126291	0.994609466812116	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	5.19574630046837	-0.885144401792622	0.749408643270334	-1.1811238230853	0.237553537313244	0.994609466812116	1	0.833333333333333	0.166666666666667
Rb1cc1	41.379809578185	-0.234077019804389	0.260236310818389	-0.899478704828954	0.368397733680324	0.994609466812116	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2005.18411841766	0.0968343753384617	0.0938585330233307	1.03170561289714	0.302210047200735	0.994609466812116	1	1	0
Gm57122	0.30008869119489	0.0499389638425828	3.10748948660956	0.016070517392826	0.987178134189638	NA	0.25	0.333333333333333	0.0833333333333333
Pcmtd1	63.7668631811441	0.471608276012468	0.270654604623022	1.74247276032618	0.0814257538692945	0.941131101206549	1	1	0
Gm26901	4.527331298201	-1.1641186892325	1.11963627954049	-1.03972933934426	0.298465665679472	0.994609466812116	0.75	0.833333333333333	0.0833333333333334
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	9.30276553085361	-0.586000612553329	0.504829997591573	-1.16078801843988	0.245728116713914	0.994609466812116	1	1	0
Adhfe1	0.53533906658005	-0.156000802121652	2.27179263796928	-0.0686685921568521	0.945253418998036	NA	0.25	0.5	0.25
2610203C22Rik	0.218197586241947	-0.627589920442587	3.20506058038255	-0.195812186603873	0.844757171194252	NA	0.25	0.333333333333333	0.0833333333333333
Vxn	0.178392563141543	-0.0585662218446593	3.21147716509101	-0.0182365369062182	0.985450155241232	NA	0	0.333333333333333	0.333333333333333
Mybl1	1.67082185571407	-0.493075476088799	1.22818635532433	-0.401466336074537	0.688076818253655	NA	0.75	0.666666666666667	0.0833333333333334
Vcpip1	16.4061647527411	-0.0990774361552696	0.476893119009239	-0.207756061486285	0.835419441830713	0.994609466812116	0.75	1	0.25
1700034P13Rik	2.47137635752715	-2.50678263747379	1.22314964836692	-2.04944884775195	0.0404182448656444	NA	0.75	0.5	0.25
Sgk3	54.6590402992506	0.204406249345072	0.263425637085095	0.775954275395913	0.437775984193782	0.994609466812116	1	1	0
Snhg6	8.63206005230164	-0.714324053223787	0.670281420503851	-1.06570767348262	0.286555807790993	0.994609466812116	1	1	0
Mcmdc2	0.0211348120458006	-0.563326950062446	3.2157247447137	-0.175178846071478	0.860939105692035	NA	0	0.166666666666667	0.166666666666667
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	10.6157951405827	-0.352424913649277	0.606501998157996	-0.581077910245349	0.561187945682916	0.994609466812116	1	1	0
Cspp1	24.9369648521631	0.0751029541977213	0.379690321751106	0.197800549277505	0.843201116401835	0.994609466812116	1	1	0
Arfgef1	34.6821261193167	0.340616831805768	0.328799826561569	1.03593981592927	0.300230220886687	0.994609466812116	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
