gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Tnr	4.45592321425242e-05	1.08311860067962	1	0.9	0.25	0.65
Vma21	4.62352814824681e-05	-1.26961338984005	1	0.7	1	0.3
Mrps17	9.9754237599638e-05	0.680727047421813	1	0.9	0.5	0.4
Gm17058	0.000108805552949425	-1.20608154481937	1	0.4	0.75	0.35
C4b	0.000116530425876128	1.61479368301775	1	1	1	0
Gpc5	0.000121389107764773	1.28865764129214	1	1	0.5	0.5
Rabac1	0.000165921807690489	-1.24846169271138	1	0.8	0.875	0.075
Slc7a15	0.000294086272620597	-0.921517404097226	1	1	0.875	0.125
Dtwd1	0.000329508602097551	-1.2647223064911	1	0.6	0.75	0.15
Plekha1	0.000350222344415492	0.42811520173154	1	1	1	0
G3bp2	0.000383054205637599	-1.40073042187551	1	0.7	0.875	0.175
Slc44a1	0.000569581024804291	0.289806424502952	1	1	1	0
Bclaf1	0.000573266837518873	0.584424016204353	1	1	1	0
Mef2c	0.000671996254583288	-1.12445779967171	1	0.5	0.75	0.25
Atp5a1	0.000679999661682349	-1.02915853205971	1	0.8	0.875	0.075
Actr8	0.000727004964064368	-1.00049405717588	1	0.8	0.875	0.075
Dscam	0.000967318334622175	1.11138699151519	1	1	0.875	0.125
Cibar1	0.00109886450889605	-1.00942671323906	1	0.4	0.75	0.35
Mbtps1	0.00110815206064858	-1.00993749600109	1	1	1	0
Tubgcp2	0.00115575791602411	-0.956345864172228	1	0.9	1	0.1
Slc13a1	0.00119629058611675	-0.880375259148173	1	1	1	0
Bcl3	0.00122306922535374	0.510604382208841	1	0.8	0.125	0.675
Slf1	0.00123806023739625	-1.06999528256286	1	1	0.875	0.125
Sarnp	0.00134394256065855	0.644222207205803	1	1	1	0
Dnmt1	0.00135128375015418	-1.25459926097275	1	0.6	0.875	0.275
5330438D12Rik	0.00139785103151749	-0.865081134664946	1	1	1	0
Zfp622	0.00145673272323036	-1.15226292535937	1	0.8	0.875	0.075
Ighm	0.00148397092850489	-1.02579863457632	1	0.1	0.625	0.525
Tanc2	0.00172319542628348	-0.517785694572481	1	1	1	0
Cnpy3	0.00176361361243282	-0.997473057153196	1	0.4	0.875	0.475
Naa12	0.00177507358265736	0.731613716100769	1	1	0.375	0.625
Psap	0.00191740763357593	0.894368878089849	1	1	1	0
Wrnip1	0.00212904966389898	0.721854913704132	1	1	0.75	0.25
9630013A20Rik	0.00215338213292162	2.01344464738119	1	1	1	0
Fam234b	0.00231319917590031	-0.976024516891239	1	0.9	0.625	0.275
Lrrc19	0.00232961951749004	-1.04768308726113	1	0.4	0.75	0.35
Pcp4	0.00244098463148481	-0.783009604854332	1	0.1	0.75	0.65
Hdac9	0.00245231411358725	-0.798675553005889	1	1	0.875	0.125
Chfr	0.0025331904651752	-0.862872228783537	1	1	1	0
Hexb	0.00254844475188207	-0.891597469868582	1	0.9	1	0.1
Auts2	0.00265220396352848	0.382911287061376	1	1	1	0
