gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	412.41486652443	0.178148067642973	0.0922409947545361	1.93133289723344	0.0534418976167214	0.998693357750564	1	1	0
Gm1992	9.4920768257926	0.604105045978431	0.563296044941811	1.07244680910343	0.283519392878407	0.998693357750564	1	1	0
Gm19938	16.8090274227053	0.449411377461611	0.49875330549133	0.90106947164769	0.367551383359004	0.998693357750564	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	6.34470804655694	0.360175666931267	0.658959323629867	0.546582549203865	0.584665560766295	0.998693357750564	0.75	1	0.25
A930006A01Rik	0.472916526250819	0.666615769350104	2.34071260931466	0.28479180515257	0.775803650904072	0.998693357750564	0.25	0.6	0.35
Lypla1	19.9541550713561	-0.185813943169581	0.37052006619683	-0.501494952963956	0.616022828950981	0.998693357750564	1	1	0
Tcea1	35.55151458444	0.0489161553039681	0.28092313449229	0.174126475529948	0.861766066566516	0.998693357750564	1	1	0
Rgs20	113.233880818011	-0.0236270817670237	0.161835033593006	-0.145994851933252	0.88392545244579	0.998693357750564	1	1	0
Gm16041	0.212232595220129	1.15383806256556	3.36970952451009	0.342414696036243	0.732038830374281	0.998693357750564	0	0.4	0.4
Atp6v1h	38.674468127681	0.282198151689399	0.299179960210311	0.943238816834609	0.345558762863753	0.998693357750564	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	10.0402980545616	-0.534255613711519	0.551459706924548	-0.968802628737873	0.332643674773823	0.998693357750564	1	1	0
Rb1cc1	59.0432041756808	-0.259304148545458	0.217417348096884	-1.1926562016105	0.233004045375916	0.998693357750564	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	6.05723058753625	-0.134427072478301	0.683509592796169	-0.196671815428915	0.84408436732907	0.998693357750564	1	1	0
Gm57122	0.129592613737676	0.274297951362161	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Pcmtd1	76.413318033152	-0.238958621391545	0.185091095662439	-1.29103250772985	0.196692405476808	0.998693357750564	1	1	0
Gm26901	6.87238537468182	0.200717072226415	0.609570595409151	0.329276172010382	0.741946952804653	0.998693357750564	1	1	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	914.236308950006	-0.0615609865576143	0.0639398970766767	-0.962794583228535	0.335650619619307	0.998693357750564	1	1	0
Rrs1	1.81373711531166	0.0774964039632848	1.17024264830735	0.0662225087039653	0.947200676752037	0.998693357750564	0.5	1	0.5
Adhfe1	4.25172196911215	-0.30901184313344	0.761145435150108	-0.40598265306879	0.684755346315121	0.998693357750564	1	1	0
2610203C22Rik	9.48202712049971	0.72972037756518	0.559137097425109	1.30508310202565	0.191864552055418	0.998693357750564	1	1	0
Vxn	92.0468689580909	-0.102552396546166	0.162610138397419	-0.630664222765302	0.528260096836289	0.998693357750564	1	1	0
Mybl1	12.6871811016515	-0.0497381360752457	0.427861294596662	-0.116248271819336	0.90745578067125	0.998693357750564	1	1	0
Vcpip1	22.7795652461497	-0.218123685870723	0.356539623080251	-0.611779650144599	0.540683555344259	0.998693357750564	1	1	0
1700034P13Rik	1.19358533589893	-2.54729310942872	1.79648395103707	-1.41793257209909	0.156210451669912	0.998693357750564	0.75	0.2	0.55
Sgk3	37.460007503062	0.258466419483465	0.264428239430498	0.977453921109663	0.328344479415577	0.998693357750564	1	1	0
Snhg6	9.73667664058943	1.18784525173553	0.617922876367887	1.92231959224039	0.0545655562060076	0.998693357750564	1	1	0
Mcmdc2	2.41416772370104	-0.666561014206598	1.08082311721207	-0.616716096826237	0.537422002002095	0.998693357750564	0.75	0.8	0.05
Tcf24	0.370784838154467	0.0494479520471942	2.77516486906733	0.0178180232094868	0.985784026600265	0.998693357750564	0.25	0.4	0.15
Ppp1r42	0.259185227475352	1.26364118699103	3.36555355786289	0.375463104439033	0.707316081082148	0.998693357750564	0	0.2	0.2
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	12.5320538719049	0.193215295000209	0.485173123545891	0.398239897519659	0.690453358946097	0.998693357750564	1	1	0
Cspp1	45.2854379793247	0.635005757287353	0.258462861138053	2.45685494036289	0.0140159268749981	0.998693357750564	1	1	0
Arfgef1	67.210716491131	0.168836733367451	0.216175091222393	0.781018443950873	0.434791646961324	0.998693357750564	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	12.5735875493905	-0.345108922680406	0.514225610436537	-0.67112356070215	0.502141818815381	0.998693357750564	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	61.1426719158097	0.373176941165764	0.260559200012477	1.43221556232861	0.152082139302271	0.998693357750564	1	1	0
Slco5a1	3.75594223305922	0.574588870337191	0.853888631813626	0.672908443712135	0.501005540037328	0.998693357750564	1	1	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	128.726877063165	-0.00622457733345848	0.151104070590403	-0.0411939751797383	0.967141256707682	0.998693357750564	1	1	0
Gm29570	0.155902317321864	-1.27116197381284	3.39387977889244	-0.374545374800422	0.707998604858268	0.998693357750564	0.25	0	0.25
Tram1	14.0061587023752	-0.07818236697979	0.421110033827048	-0.185657810784675	0.85271311513867	0.998693357750564	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	6.18741511821488	0.275322301029469	0.709730869352025	0.387924934533051	0.698071585176258	0.998693357750564	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	147.287307728143	0.103742454327287	0.169120134096664	0.613424621979022	0.539595609740645	0.998693357750564	1	1	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	103.560404207371	0.397964447410676	0.232982995237736	1.7081265823911	0.0876128574756864	0.998693357750564	1	1	0
Terf1	30.8816077645761	-0.27803938787207	0.301393932298793	-0.922511564023226	0.356261801218384	0.998693357750564	1	1	0
Sbspon	0.652276024646934	0.168803582741941	2.09471907547461	0.0805853084159719	0.935771750387671	0.998693357750564	0.5	0.4	0.1
4930444P10Rik	0.600811302400048	1.65246634727183	2.18502935818448	0.756267343082679	0.449488923705404	0.998693357750564	0.25	0.6	0.35
Rpl7	0.849046777091909	2.46873986786158	2.39140091408979	1.03234043832472	0.301912663588325	0.998693357750564	0	0.4	0.4
Rdh10	5.81136097506324	0.406300140497482	0.722736137593731	0.562169399540769	0.574000608173971	0.998693357750564	1	1	0
Gm28095	0.167643381131448	0.7084176040745	3.39405375578405	0.208723153800153	0.834664364100357	0.998693357750564	0	0.4	0.4
Stau2	100.123061274928	0.21868765388012	0.160397900037205	1.36340721312058	0.172754209068229	0.998693357750564	1	1	0
Gm7568	0.907278644702507	-1.62684156837476	1.58302539105029	-1.02767875839022	0.30410096296164	0.998693357750564	1	0.6	0.4
Ube2w	36.8063833281799	0.118306674962677	0.305740768683648	0.386950930594048	0.69879253524763	0.998693357750564	1	1	0
Eloc	7.64818041384603	-0.287213438024854	0.613175587439202	-0.468403250077747	0.639496244276866	0.998693357750564	1	1	0
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	4.37975873588718	0.600604054143945	0.938861005581031	0.639715624116534	0.522357495945421	0.998693357750564	0.75	0.8	0.05
Ly96	2.2748605303521	-0.337502814713699	0.991164812762257	-0.340511295768379	0.733471517695921	0.998693357750564	1	1	0
Gm28376	0.0634713440626007	0.274297951362161	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Jph1	0.129592613737676	0.274297951362161	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Gm28783	0	NA	NA	NA	NA	NA	0	0	0
Gdap1	3.60644031176508	1.93336208705308	1.16355151381436	1.6616042041105	0.0965921598601313	0.998693357750564	0.5	0.8	0.3
Gm28784	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0.0606471338567721	-1.01646007914568	3.39002664637807	-0.299838374495277	0.76430044260682	0.998693357750564	0.25	0	0.25
Gm28154	0	NA	NA	NA	NA	NA	0	0	0
Gm16070	0	NA	NA	NA	NA	NA	0	0	0
Crispld1	0.0634713440626007	0.274297951362161	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Gm28153	0	NA	NA	NA	NA	NA	0	0	0
Gm28756	0.0852899070949273	0.274297951362162	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Gm15825	0	NA	NA	NA	NA	NA	0	0	0
Tfap2d	0	NA	NA	NA	NA	NA	0	0	0
Tfap2b	0.121294267713544	-1.40848951829073	3.38060613039165	-0.416638160130047	0.67694309295194	0.998693357750564	0.25	0	0.25
Pkhd1	0.445331665448556	2.01492649325223	2.92530265390024	0.688792488040776	0.490953863567289	0.998693357750564	0	0.4	0.4
4930486I03Rik	0	NA	NA	NA	NA	NA	0	0	0
Lincmd1	0	NA	NA	NA	NA	NA	0	0	0
Il17f	0.129592613737676	0.274297951362161	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Mcm3	1.85376622647452	-1.05333627016927	1.15912784808036	-0.908731743365244	0.363491743933885	0.998693357750564	1	0.8	0.2
6720483E21Rik	0.22624212489202	-0.503966320146289	3.38363538764424	-0.148942265465891	0.881599190131637	0.998693357750564	0.25	0.2	0.05
Paqr8	18.0603551830798	-0.0822076804125786	0.372068696729591	-0.220947586118283	0.8251332445398	0.998693357750564	1	1	0
Efhc1	0.272879729076901	0.536573441563563	3.01780264780766	0.177802694272724	0.85887793134298	0.998693357750564	0.25	0.4	0.15
Tram2	2.98950445060252	0.154592017841658	0.936015945966449	0.165159598517352	0.868818364204912	0.998693357750564	1	1	0
Tmem14a	3.70860921483027	-0.268260427317311	0.964370796291665	-0.278171454744237	0.780880746231716	0.998693357750564	1	0.8	0.2
Gsta3	4.35934017404261	-0.130083515449991	0.744240833772452	-0.174786856010864	0.861247116731873	0.998693357750564	1	1	0
Gm28836	0.629298198433766	-2.06123188216704	2.14052997097431	-0.96295399275761	0.335570612010079	0.998693357750564	0.75	0.2	0.55
Gm4956	0.193299022308687	-1.72837014722493	3.36791926018564	-0.513186336637316	0.607820982668277	0.998693357750564	0.25	0	0.25
Khdc1c	0	NA	NA	NA	NA	NA	0	0	0
Khdc1b	0	NA	NA	NA	NA	NA	0	0	0
Kcnq5	190.42728868583	0.190642489528116	0.148028583679658	1.28787619788808	0.19778906222523	0.998693357750564	1	1	0
Rims1	349.666973999254	0.11268296802986	0.0890853248105443	1.26488810889448	0.205911440571248	0.998693357750564	1	1	0
Gm29506	0.145937040951699	-0.333530637552075	3.38758504711554	-0.0984567569266107	0.921569608041334	0.998693357750564	0.25	0.2	0.05
Gm27028	0.118635411161426	0.0523587977527589	3.39517168756192	0.0154215464109144	0.987695873919899	0.998693357750564	0	0.2	0.2
Gm29107	0.557382733930354	0.0361625268628556	2.45174219082035	0.0147497265406831	0.988231847620958	0.998693357750564	0.25	0.4	0.15
Ogfrl1	6.93884125193046	-0.435248184196405	0.712229011406679	-0.611107069812803	0.541128699734127	0.998693357750564	1	1	0
Gm28822	0.126942688125201	0.737767986727769	3.38699343780758	0.217823860681977	0.827566352782353	0.998693357750564	0	0.2	0.2
B3gat2	59.3800692888888	-0.143254844371068	0.196150870927389	-0.730329891953922	0.465188560837123	0.998693357750564	1	1	0
Smap1	29.2070892944956	0.515345475524432	0.347152425824751	1.48449337290412	0.137678079985288	0.998693357750564	1	1	0
Sdhaf4	2.21814174620787	-0.379350421582911	1.0895210109112	-0.348180914166719	0.727704320380266	0.998693357750564	1	0.8	0.2
Fam135a	84.1131487485926	-0.0359965665184486	0.17453551771081	-0.206242070328011	0.836601826806177	0.998693357750564	1	1	0
Col9a1	5.02114810979676	-0.175274285018822	0.68110394282957	-0.257338526467289	0.796917453804668	0.998693357750564	1	1	0
Col19a1	0.193299022308687	-1.72837014722493	3.36791926018564	-0.513186336637316	0.607820982668277	0.998693357750564	0.25	0	0.25
Lmbrd1	30.8053729804171	0.445737391005202	0.322138497091684	1.38368246896719	0.166455703858027	0.998693357750564	1	1	0
Adgrb3	926.471484571333	-0.0501027031181307	0.063881433796944	-0.784307742330723	0.432859557581361	0.998693357750564	1	1	0
Gm5524	0.0852899070949273	0.274297951362162	3.39517168756192	0.0807905981211616	0.935608485240288	0.998693357750564	0	0.2	0.2
Gm597	0	NA	NA	NA	NA	NA	0	0	0
Gm9898	0.383538769903135	-1.23430702212549	2.69559535048063	-0.457897741181894	0.647025909793674	0.998693357750564	0.5	0.2	0.3
Phf3	57.107372917685	0.0409759909380837	0.217217836134943	0.188640084383439	0.850374914004422	0.998693357750564	1	1	0
Ptp4a1	0.242586552106043	-0.871471855239654	3.16736560772562	-0.275140909882339	0.783207982466336	0.998693357750564	0.5	0.2	0.3
Ptp4a1.1	0	NA	NA	NA	NA	NA	0	0	0
4931428L18Rik	0	NA	NA	NA	NA	NA	0	0	0
Gm29128	0.0966495111543435	-1.13254596347272	3.38731188931	-0.334349478430645	0.738115858136685	0.998693357750564	0.25	0	0.25
Lgsn	0.0966495111543435	-1.13254596347272	3.38731188931	-0.334349478430645	0.738115858136685	0.998693357750564	0.25	0	0.25
Khdrbs2	195.389881470277	0.368369028419814	0.13214866468899	2.78753500299654	0.00531107163379701	0.998693357750564	1	1	0
Semp2l1	0.216549451178636	-1.79497162050548	3.37203504920026	-0.532311080494607	0.594510559136317	0.998693357750564	0.5	0	0.5
Gm37724	0.219373661384464	-0.631269317507705	3.39313789723493	-0.186042930357215	0.852411095415013	0.998693357750564	0.25	0.2	0.05
Prim2	28.8571715348498	0.0128630779876797	0.303788642388131	0.0423421951741217	0.966225908546153	0.998693357750564	1	1	0
Gm57180	0.286113438639163	-1.35088027029913	3.3679371084678	-0.401100206682214	0.688346348687917	0.998693357750564	0.25	0.2	0.05
Rab23	8.60755043081896	-0.151410265864374	0.519403239161316	-0.291508127883179	0.770662728526153	0.998693357750564	1	1	0
Bag2	3.89577375442203	0.112928595926867	0.895875482362776	0.126053897165519	0.899689261016321	0.998693357750564	0.75	1	0.25
