gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	344.68016870018	-0.00461721070735552	0.101437814622616	-0.0455176476793507	0.963694708662708	0.999870818582492	1	1	0
Gm1992	8.9129552538334	-0.0212638871057688	0.690336504114165	-0.0308022058503982	0.97542728124189	0.999870818582492	1	1	0
Gm19938	12.8718424815054	-0.507672687628473	0.534821896467938	-0.949236916029873	0.342500129941165	0.999870818582492	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.08558431502749	0.615323325908181	0.828289796402611	0.742884107205744	0.457551848459955	0.999870818582492	1	1	0
A930006A01Rik	0.498647703686763	1.73336826947523	2.77895052499498	0.623749236945613	0.532792282058645	NA	0	0.6	0.6
Lypla1	17.2187013814892	-0.217170233010603	0.466263385584175	-0.465767288886545	0.641382081722428	0.999870818582492	1	1	0
Tcea1	30.5307405655702	-0.377475090482455	0.328300315419152	-1.14978595131875	0.250232042898651	0.999870818582492	1	1	0
Rgs20	99.8333592280549	0.0161673649830282	0.22219398746479	0.0727623873512335	0.941995202130802	0.999870818582492	1	1	0
Gm16041	0.179661822980004	-0.904713684087493	3.64246688820299	-0.248379384591697	0.803840882621391	NA	0.333333333333333	0.2	0.133333333333333
Atp6v1h	30.6785747297858	0.251553458284783	0.362411496203942	0.694110040436536	0.487613202443816	0.999870818582492	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	8.55499959239936	-0.533604343539129	0.643475753661351	-0.829253224387929	0.406961133184232	0.999870818582492	1	1	0
Rb1cc1	54.9830516390511	-0.172284168989429	0.271050565625345	-0.635616341887903	0.525026515431117	0.999870818582492	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	6.1991424380226	0.448476001687715	0.848032751473575	0.528842784560414	0.596914515186773	0.999870818582492	1	1	0
Gm57122	0.330222767556268	-1.07229794171596	3.57321078197587	-0.300093671250765	0.764105706478712	NA	0.333333333333333	0.2	0.133333333333333
Pcmtd1	63.5471468294239	-0.0572424124040284	0.252520675978937	-0.226684061343171	0.820669421722501	0.999870818582492	1	1	0
Gm26901	4.17895727618775	-0.351621531746997	0.903341805208418	-0.389245277612134	0.697094712537962	NA	1	0.8	0.2
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	803.446718884078	-0.152592641847477	0.0741790170049796	-2.05708632991501	0.0396779224146897	0.999870818582492	1	1	0
Rrs1	1.46710749480711	1.21036174098361	1.56641616791683	0.772694872393499	0.439702981993767	NA	0.666666666666667	1	0.333333333333333
Adhfe1	3.31851169982335	-0.574784686244551	1.03808416191218	-0.553697578032384	0.579785833086629	NA	0.666666666666667	1	0.333333333333333
2610203C22Rik	8.87423425257756	0.710841186839988	0.652571766826272	1.08929197212608	0.276025151782689	0.999870818582492	1	1	0
Vxn	85.0330930908361	0.179091844320135	0.209749506137101	0.853836786643363	0.393195428658728	0.999870818582492	1	1	0
Mybl1	10.4180348767562	0.0413387664722223	0.56109130490938	0.0736756497748595	0.941268474782996	0.999870818582492	1	1	0
Vcpip1	17.5953763622352	-0.0875598013717227	0.446020515212109	-0.196313394530928	0.844364878053871	0.999870818582492	1	1	0
1700034P13Rik	1.05653657065828	1.80608816893754	2.07488221002097	0.870453349214116	0.384052702771528	NA	0.333333333333333	0.6	0.266666666666667
Sgk3	35.1579664145201	-0.0775409388689645	0.31504859520722	-0.246123741062749	0.805586445537376	0.999870818582492	1	1	0
Snhg6	8.66749275754337	1.99300533838038	0.858502345842483	2.3214908474415	0.0202603674998842	0.900207795540852	0.666666666666667	1	0.333333333333333
Mcmdc2	0.506620427503454	-0.0301927377486507	2.79784749145323	-0.0107914165589377	0.991389862453879	NA	0.333333333333333	0.4	0.0666666666666667
Tcf24	0.144262549365073	-1.61096266856353	3.64793936767326	-0.441608948558549	0.658772207416494	NA	0.333333333333333	0	0.333333333333333
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	9.97970674959953	0.803755208806086	0.658784888400013	1.22005714302002	0.222443213513789	0.999870818582492	1	1	0
Cspp1	38.7716465759558	0.35313712776627	0.33729939430295	1.04695452684121	0.295120551490834	0.999870818582492	1	1	0
Arfgef1	53.513791642567	0.364439205984989	0.261095602805215	1.39580752057656	0.162772465069398	0.999870818582492	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	9.05561609426216	0.147627918531173	0.616339630279087	0.239523651049868	0.810699559235408	0.999870818582492	1	1	0
A830018L16Rik	0.202833105911285	-0.00663667930701933	3.65671256120904	-0.00181493054100621	0.998551895737404	NA	0	0.2	0.2
Sulf1	50.5536987289987	0.119489099521589	0.260675926684414	0.458381796283968	0.646678167606664	0.999870818582492	1	1	0
Slco5a1	2.88056884293446	-0.249676843575142	1.25783030147403	-0.198498035293434	0.842655421778416	NA	1	0.6	0.4
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	97.5712947843481	0.0422639939304704	0.193319708474485	0.218622272214157	0.826944301748294	0.999870818582492	1	1	0
Gm29570	0.225033535075652	-1.04832315578121	3.65782864421111	-0.286597120245172	0.774420819688868	NA	0.333333333333333	0.2	0.133333333333333
Tram1	11.2931804047797	-0.0557020900152032	0.538319037149004	-0.103474122539317	0.917586686455724	0.999870818582492	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	3.94998237078453	-0.0288481958858628	0.926725551056309	-0.0311291685580275	0.975166527791472	NA	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	132.047497727314	0.0924513032774496	0.195926372569241	0.4718675799746	0.637021310037872	0.999870818582492	1	1	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	82.0779966140943	0.464578239443683	0.595535870068173	0.780101187507817	0.435331317536925	0.999870818582492	1	1	0
Terf1	24.4553827858642	-0.031580820199796	0.399377444406031	-0.0790751221485836	0.936972871187089	0.999870818582492	1	1	0
Sbspon	0.0807709857105785	-0.0066366793070193	3.65671256120904	-0.0018149305410062	0.998551895737404	NA	0	0.2	0.2
4930444P10Rik	0.62665726612601	0.979090718191395	2.23309590281192	0.438445441128848	0.66106341201125	NA	0.333333333333333	0.8	0.466666666666667
Rpl7	0.989050801612624	-0.639886613840336	2.11681081418568	-0.302288050284029	0.762432486997585	NA	0.666666666666667	0.4	0.266666666666667
Rdh10	6.48183347367075	-0.169430398702484	0.696528768486907	-0.243249678072226	0.807811984764783	0.999870818582492	1	1	0
Gm28095	0.0956266742366073	-0.120893808589549	3.65782864421111	-0.0330507031216118	0.973634154460352	NA	0	0.2	0.2
Stau2	74.1609881155655	0.269078147588193	0.235449893738354	1.14282552145557	0.253111040259657	0.999870818582492	1	1	0
Gm7568	0.462494010547386	-1.50258512040405	2.57258898743448	-0.584075080684579	0.559169799476962	NA	0.666666666666667	0.4	0.266666666666667
Ube2w	28.8039540539368	0.157417155751925	0.343715900667467	0.457986248079401	0.646962321226118	0.999870818582492	1	1	0
Eloc	5.57601730631058	0.534437439397878	0.872331044487231	0.61265438479497	0.540104889970171	0.999870818582492	1	1	0
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	3.46119690175427	1.76872383586766	1.27937228427674	1.38249347559343	0.166820232400906	NA	0.333333333333333	1	0.666666666666667
Ly96	2.29361622756834	0.0384730205475072	1.21363489235804	0.0317006546118297	0.974710772845642	NA	1	0.8	0.2
Gm28376	0.315564629657651	-1.15135079318841	3.62968076331679	-0.317204423271735	0.751088493820066	NA	0.333333333333333	0.2	0.133333333333333
Jph1	0.315564629657651	-1.15135079318841	3.62968076331679	-0.317204423271735	0.751088493820066	NA	0.333333333333333	0.2	0.133333333333333
Gm28783	0	NA	NA	NA	NA	NA	0	0	0
Gdap1	0.508058258670554	0.196815572367665	2.55597182510144	0.0770022464390247	0.93862175787594	NA	0.333333333333333	0.6	0.266666666666667
Gm28784	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0	NA	NA	NA	NA	NA	0	0	0
