gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	366.83025397295	0.0636860017681661	0.0627463564184017	1.01497529742602	0.310117602946375	0.946195328398353	1	1	0
Gm1992	11.0553163828733	0.136623353651425	0.374261259681978	0.365048078359802	0.715075517651367	NA	1	1	0
Gm19938	14.9937084816964	0.0953629080937068	0.296709611037493	0.321401479919221	0.74790616175388	NA	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.03926996704164	0.698562193450241	0.437591814014362	1.59637856805821	0.110404298166692	NA	0.875	1	0.125
A930006A01Rik	0.569705422283657	-0.336158934403994	1.39220970561192	-0.241457111704477	0.809200853082161	NA	0.375	0.4	0.025
Lypla1	17.233896985117	-0.233837104727136	0.242896682529587	-0.962701928622074	0.335697128590164	NA	1	1	0
Tcea1	31.6993221294144	0.064105942445229	0.167420827243012	0.382903032441591	0.701791662849312	0.98487012804741	1	1	0
Rgs20	100.503277077102	-0.00842783438799607	0.117696542768259	-0.0716064736463008	0.94291508807872	0.997638937824034	1	1	0
Gm16041	0.233769482377476	0.0856299055619262	1.9619872498045	0.0436444760639798	0.965187798682196	NA	0.25	0.3	0.05
Atp6v1h	35.2346308835932	-0.00824371171098988	0.191890935108144	-0.0429604019926423	0.965733099324853	0.997638937824034	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	8.14371345858376	-0.499979957642096	0.357904158250893	-1.39696604835646	0.162423781094004	NA	1	1	0
Rb1cc1	52.3631224998716	-0.189431937371136	0.152820292215165	-1.23957319165718	0.215133301475142	0.903349767052083	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	5.36451086589643	0.175485620059122	0.46457212166146	0.377736011001971	0.705626713434639	NA	1	1	0
Gm57122	0.215020999569511	-0.0834458234050747	2.7162751259076	-0.0307206816456755	0.97549229737758	NA	0.125	0.2	0.075
Pcmtd1	68.3680243633296	-0.150398109060417	0.135200955009031	-1.11240419160036	0.265964403216459	0.932591310633198	1	1	0
