gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	406.542930882914	0.0399972747154722	0.0820022974324983	0.487757977127369	0.625721280141747	0.999656514632975	1	1	0
Gm1992	11.9296966547113	-0.222748296897604	0.468981961522248	-0.474961331507496	0.634814535074141	0.999656514632975	1	1	0
Gm19938	16.858579547463	0.176273379906202	0.386403964561824	0.456189366757904	0.648253811073132	0.999656514632975	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	6.8078980317554	0.0294388317552983	0.55579315737296	0.0529672439553689	0.957758006598401	0.999656514632975	1	1	0
A930006A01Rik	0.537379863662569	0.580339922285738	2.05243941071401	0.282756177481433	0.777363749245685	0.999656514632975	0.2	0.6	0.4
Lypla1	17.7421618555424	0.138449570900376	0.386205757848809	0.358486553052831	0.719979229238335	0.999656514632975	1	1	0
Tcea1	35.237496952091	-0.110729515694202	0.24003322062917	-0.461309127978036	0.644576837003211	0.999656514632975	1	1	0
Rgs20	108.89087546903	-0.00156360511856035	0.159381685670139	-0.00981044410457817	0.992172523673539	0.999656514632975	1	1	0
Gm16041	0.243367381012503	0.18257337732216	2.96633552050107	0.0615484580420356	0.950922423591061	0.999656514632975	0.2	0.4	0.2
Atp6v1h	38.0241216356132	0.137646822801546	0.252550166149687	0.545027646982275	0.585734503047925	0.999656514632975	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	7.62285400413986	0.403516229400446	0.57610138698356	0.700425721092668	0.483661477893528	0.999656514632975	1	1	0
Rb1cc1	54.4518484964837	-0.0236615885963932	0.234259476231723	-0.101005897293938	0.919545778757424	0.999656514632975	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	6.34944224327462	-0.115501177874346	0.690621561450118	-0.167242357206202	0.867179357489915	0.999656514632975	1	1	0
Gm57122	0.186643054799304	-0.473432203559812	3.22592389622209	-0.146758639940097	0.883322531660509	0.999656514632975	0.2	0.2	0
Pcmtd1	70.662550831625	-0.0884618851702376	0.184162100828002	-0.480347936804091	0.630980007992421	0.999656514632975	1	1	0
Gm26901	4.48222003030101	1.67715999520201	0.764943022442401	2.19252930740773	0.0283413092916475	0.999656514632975	0.6	1	0.4
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	858.260040310078	0.0227182639559	0.0644789638152359	0.352336058330575	0.724586249082712	0.999656514632975	1	1	0
Rrs1	1.88755351135291	-0.250946645514747	0.977815501627036	-0.256640076882791	0.797456634025809	0.999656514632975	1	1	0
Adhfe1	3.16201325996879	0.424088907298926	0.807030877095353	0.525492790096578	0.599240664080791	0.999656514632975	1	1	0
2610203C22Rik	9.31667326144666	0.933916625672724	0.486837916486378	1.91833173638778	0.05506896073773	0.999656514632975	1	1	0
Vxn	95.9771343396395	-0.274780852557168	0.159478007917383	-1.72300153573223	0.0848882473192438	0.999656514632975	1	1	0
Mybl1	11.0721064748807	0.191181565756674	0.437173961625673	0.43731233453554	0.661884851258336	0.999656514632975	1	1	0
Vcpip1	21.5640096976662	-0.27636073451727	0.342861688719587	-0.80604145522743	0.420218946483664	0.999656514632975	1	1	0
1700034P13Rik	0.878248185032102	-0.223956564838387	1.91132858035469	-0.117173241241873	0.906722771222665	0.999656514632975	0.4	0.2	0.2
Sgk3	41.0771265505073	-0.161123838397775	0.236581042535187	-0.68105134997793	0.495838999040359	0.999656514632975	1	1	0
Snhg6	11.8591393659759	0.25766719881395	0.432180377769953	0.596202909867196	0.551039681940619	0.999656514632975	1	1	0
Mcmdc2	1.72869600960686	-0.661350622655711	1.35444787781476	-0.488280600153267	0.625351100784305	0.999656514632975	0.4	0.8	0.4
Tcf24	0.184217770866745	0.566744912737723	3.21220113533222	0.176435063951594	0.859952159674623	0.999656514632975	0	0.4	0.4
Ppp1r42	0.222708134176043	0.715273086186563	3.20746215086028	0.223002814232654	0.82353331621438	0.999656514632975	0	0.2	0.2
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	12.5260109180784	0.184179499011255	0.432640770779211	0.425709991870478	0.670319180335174	0.999656514632975	1	1	0
Cspp1	46.2561330314124	0.384701501832932	0.276497549879868	1.39133783283098	0.164123006510483	0.999656514632975	1	1	0
Arfgef1	69.5030894544299	-0.125868782907877	0.191141562542954	-0.658510798139947	0.510209960737156	0.999656514632975	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	10.7458643096059	-0.0108284802903793	0.497471295006155	-0.0217670454538393	0.982633781873626	0.999656514632975	1	1	0
A830018L16Rik	0.188815080483711	-0.980584104180043	3.22370645115514	-0.304179092928475	0.760991452072723	0.999656514632975	0.2	0	0.2
Sulf1	61.7583036478375	0.121977828654169	0.189998217591968	0.641994594476267	0.5208766927671	0.999656514632975	1	1	0
Slco5a1	3.61949361418835	0.590152169438504	1.03674909436434	0.56923335901281	0.569197784865095	0.999656514632975	0.4	1	0.6
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	112.655578587184	0.261533246246219	0.158192403833531	1.65326045946831	0.0982778665247489	0.999656514632975	1	1	0
Gm29570	0.0752889877112821	-0.980584104180044	3.22370645115514	-0.304179092928475	0.760991452072723	0.999656514632975	0.2	0	0.2
Tram1	14.3985575828868	-0.413852318874374	0.374984599217125	-1.1036515092577	0.269744337871422	0.999656514632975	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	5.9835356374198	-0.168719148828235	0.577459310873787	-0.292174956141821	0.770152858716954	0.999656514632975	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	151.063141279368	-0.115165923253607	0.167461306578237	-0.687716617090899	0.491631253620078	0.999656514632975	1	1	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	93.5675891637067	0.752981999584688	0.407575065088895	1.84746826801207	0.0646793029677642	0.999656514632975	1	1	0
Terf1	27.6288568820421	-0.0625040833418926	0.2969756024607	-0.210468748355057	0.83330184057819	0.999656514632975	1	1	0
Sbspon	0.501989351457763	-0.240161964305659	2.17351384771766	-0.11049479374509	0.912016978578609	0.999656514632975	0.4	0.4	0
4930444P10Rik	1.07366852030057	-0.401343930208359	1.51837847623859	-0.264324038103193	0.79153023903319	0.999656514632975	0.6	0.6	0
Rpl7	1.35609799345592	0.396216102703998	1.63361837441778	0.242538960695278	0.808362571583384	0.999656514632975	0.6	0.4	0.2
Rdh10	6.52661474541762	-0.0590665075828633	0.552099818044442	-0.106985196611872	0.914800723738697	0.999656514632975	1	1	0
Gm28095	0.729348272525581	-1.41743573206167	1.88146811784522	-0.753366862089062	0.45122949023241	0.999656514632975	0.4	0.4	0
Stau2	97.6896475579217	0.0651265861360679	0.160658664878906	0.405372384895369	0.685203806542697	0.999656514632975	1	1	0
Gm7568	0.375945692440866	0.669543589575048	2.34409124907201	0.285630343887043	0.775161260183826	0.999656514632975	0.2	0.6	0.4
Ube2w	37.5892089548102	-0.239056945569512	0.241882526998192	-0.988318373122084	0.322996749972052	0.999656514632975	1	1	0
Eloc	7.07730007661026	-0.328895648265839	0.569178517626867	-0.577842694480348	0.563370327505342	0.999656514632975	1	1	0
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	5.1029459042083	0.0241885672512498	0.765337335874248	0.0316051055102637	0.97478697181693	0.999656514632975	1	0.8	0.2
Ly96	2.3180945800595	-0.278724440315268	0.957850720112799	-0.290989435475336	0.771059399341022	0.999656514632975	0.8	1	0.2
Gm28376	0.601609716409461	-2.19377942573505	2.22583962349136	-0.985596357698932	0.32433122608371	0.999656514632975	0.4	0.2	0.2
Jph1	0.334886827901193	-1.15875886647784	2.68536208524735	-0.43150935691084	0.66609805055472	0.999656514632975	0.4	0.2	0.2
Gm28783	0	NA	NA	NA	NA	NA	0	0	0
Gdap1	5.35957141612961	-0.0107986461426045	1.08090492943916	-0.00999037551638105	0.99202896621404	0.999656514632975	0.6	0.8	0.2
Gm28784	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0	NA	NA	NA	NA	NA	0	0	0
Gm28154	0.161836598954394	-1.19477191686895	3.22592389622209	-0.370365810014353	0.711109945037773	0.999656514632975	0.2	0	0.2
Gm16070	0.161836598954394	-1.19477191686895	3.22592389622209	-0.370365810014353	0.711109945037773	0.999656514632975	0.2	0	0.2
Crispld1	0.37807695559629	-1.4259559242961	2.90555475560576	-0.490768904473393	0.623589905544313	0.999656514632975	0.2	0.2	0
Gm28153	0	NA	NA	NA	NA	NA	0	0	0
Gm28756	0.072863703778723	0.00745893682747577	3.22592389622209	0.00231218623483678	0.998155143945353	0.999656514632975	0	0.2	0.2
Gm15825	0	NA	NA	NA	NA	NA	0	0	0
Tfap2d	0	NA	NA	NA	NA	NA	0	0	0
Tfap2b	0	NA	NA	NA	NA	NA	0	0	0
Pkhd1	0.442165242319533	1.18840760123433	2.51822929153191	0.471921919592712	0.636982521689724	0.999656514632975	0.2	0.4	0.2
4930486I03Rik	0	NA	NA	NA	NA	NA	0	0	0
Lincmd1	0	NA	NA	NA	NA	NA	0	0	0
