gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	387.315112833309	-0.0421888867651582	0.101321483279975	-0.416386391112932	0.677127285096329	0.999653447479101	1	1	0
Gm1992	12.9808936998763	-1.15531639158044	0.458209409817981	-2.52137203389031	0.0116898185476352	0.999653447479101	1	1	0
Gm19938	16.9208705237142	-0.19748097371919	0.397547562821635	-0.496748042718583	0.619366738811606	0.999653447479101	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.00413688731118	0.826019625959845	0.726536554126575	1.13692782733123	0.255568458032677	0.999653447479101	1	0.833333333333333	0.166666666666667
A930006A01Rik	0.636549857675548	-1.70666185205158	1.90464597676009	-0.896052008024456	0.370224987146363	0.999653447479101	0.5	0.333333333333333	0.166666666666667
Lypla1	17.2794260601623	0.0291327762140399	0.375059192897209	0.0776751423928548	0.938086467847673	0.999653447479101	1	1	0
Tcea1	32.769863392076	-0.0619476543259852	0.239622504725032	-0.25852185460239	0.796004184501518	0.999653447479101	1	1	0
Rgs20	101.169279508881	-0.128662602788658	0.149359512816579	-0.861428913112899	0.389001857487781	0.999653447479101	1	1	0
Gm16041	0.283782792348527	-0.0695254411134102	2.83917979004218	-0.024487861373646	0.980463466033599	0.999653447479101	0.25	0.333333333333333	0.0833333333333333
Atp6v1h	39.4155838936748	-0.113990188625333	0.26849524210568	-0.424551987332669	0.671163299773515	0.999653447479101	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	7.77529358071954	-0.184814225517154	0.533393232820039	-0.346487758271783	0.728976182614631	0.999653447479101	1	1	0
Rb1cc1	50.003662065401	0.19486973011846	0.231261415264346	0.842638318613212	0.399430753608284	0.999653447479101	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	4.60734858301861	0.101234503873376	0.696271193266343	0.145395220788131	0.884398837828297	0.999653447479101	1	1	0
Gm57122	0.108058932268583	-0.037115194313022	3.2259185248982	-0.0115053105112732	0.990820292899217	0.999653447479101	0	0.166666666666667	0.166666666666667
Pcmtd1	72.7792779118991	-0.296840414987994	0.169267276486424	-1.75367868586107	0.0794855797124527	0.999653447479101	1	1	0
Gm26901	5.59360394073649	0.767453857771336	0.704949180614231	1.08866550792022	0.276301417443371	0.999653447479101	0.75	1	0.25
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	833.927782347349	-0.00494890423350892	0.0669688718116854	-0.0738985755564929	0.941091089292889	0.999653447479101	1	1	0
Rrs1	1.9153943973785	0.391732874936783	1.000602227353	0.391497104671731	0.695429828376987	0.999653447479101	1	0.833333333333333	0.166666666666667
Adhfe1	2.9599065121989	0.619490831555237	0.814382402896712	0.760687889806734	0.446843509808343	0.999653447479101	1	1	0
2610203C22Rik	8.04301793752577	-0.0211164184878373	0.594915266793371	-0.035494833746083	0.971685165854622	0.999653447479101	1	1	0
Vxn	87.0396759347011	-0.213480165393996	0.166764270769144	-1.28013131595509	0.200498956643613	0.999653447479101	1	1	0
Mybl1	10.7069019650782	0.538684081031403	0.445361299349515	1.20954398556451	0.226453923166618	0.999653447479101	1	1	0
Vcpip1	21.972129795806	0.0402496048861888	0.328583365092032	0.122494347438786	0.902507522372499	0.999653447479101	1	1	0
1700034P13Rik	1.02016276280023	-0.379834343470472	1.47161405570837	-0.258107308772365	0.796324091065175	0.999653447479101	0.5	0.5	0
Sgk3	38.7702474000054	-0.199484727903608	0.242677603195542	-0.82201540346873	0.41106813027017	0.999653447479101	1	1	0
Snhg6	10.0293216587852	-0.475237832059687	0.513335683616925	-0.925783745854558	0.354558375882553	0.999653447479101	1	1	0
Mcmdc2	3.34482579257459	-0.20778576145953	0.871891050307956	-0.238316199467972	0.811635857899966	0.999653447479101	0.75	1	0.25
Tcf24	0.179468261611805	0.52178709463771	3.21257543727283	0.162420184311892	0.870974977091165	0.999653447479101	0	0.333333333333333	0.333333333333333
Ppp1r42	0.429148274866409	-0.889532801252928	2.95702865300892	-0.300819811247952	0.763551900542068	0.999653447479101	0.25	0.166666666666667	0.0833333333333333
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	12.7977408796673	-0.1910451730925	0.391198259859346	-0.488358954258103	0.625295609892081	0.999653447479101	1	1	0
Cspp1	44.2368553746958	0.0155157789782809	0.315294486504117	0.0492104354577043	0.960751595051107	0.999653447479101	1	1	0
Arfgef1	63.9945203146305	0.045379619754991	0.216934022965188	0.20918627301847	0.834302827922161	0.999653447479101	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	11.921197613583	-0.432160578517723	0.477183458120674	-0.905648700019344	0.365121823352225	0.999653447479101	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	55.7280526484989	-0.088942487122259	0.271525478534605	-0.327565897691342	0.743239910173734	0.999653447479101	1	1	0
Slco5a1	3.22788397046606	-0.141042633956572	0.926468105624846	-0.152236901734947	0.879000089778569	0.999653447479101	0.75	1	0.25
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	110.158861587042	0.223383019384266	0.149514435787286	1.49405653178582	0.135160844056251	0.999653447479101	1	1	0
Gm29570	0	NA	NA	NA	NA	NA	0	0	0
Tram1	14.147757027606	-0.215410429217755	0.387770978739974	-0.555509414133341	0.578546272705719	0.999653447479101	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	6.85083673239444	-0.138755885275833	0.618902054517116	-0.224196840619787	0.822604141727913	0.999653447479101	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	139.133276057369	-0.0775398513866272	0.14976646448367	-0.517738411292216	0.604640794456822	0.999653447479101	1	1	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	80.2542357738342	0.496276640076627	0.236316928488671	2.10004692956399	0.0357247130670883	0.999653447479101	1	1	0
Terf1	28.3757893653494	0.0530513447065612	0.286601143090556	0.185105139967285	0.853146570165592	0.999653447479101	1	1	0
Sbspon	0.868990627261367	-0.148476090383565	1.6370921812649	-0.0906950091648748	0.927734936398183	0.999653447479101	0.5	0.666666666666667	0.166666666666667
4930444P10Rik	0.72786145699096	-0.673086934668618	1.98801560436042	-0.338572259288258	0.734931983442536	0.999653447479101	0.5	0.333333333333333	0.166666666666667
Rpl7	0.75465412214554	-1.13102101832534	2.08513519616703	-0.542420952082353	0.587528549198005	0.999653447479101	0.5	0.166666666666667	0.333333333333333
Rdh10	5.25526755335765	-0.512085095647962	0.666525147816361	-0.7682907349042	0.442314477834657	0.999653447479101	1	1	0
Gm28095	0.720622326972865	-2.64213056460299	1.82637621463196	-1.44665186911417	0.147994451082659	0.999653447479101	0.75	0.166666666666667	0.583333333333333
Stau2	97.7467763021132	-0.0186791608083444	0.151696758922402	-0.123134870784546	0.902000298491319	0.999653447479101	1	1	0
Gm7568	0.784292283662541	-0.509395940571095	1.59970747604945	-0.318430680732374	0.750158268638253	0.999653447479101	0.5	0.666666666666667	0.166666666666667
Ube2w	38.2301733481066	-0.0762058720754812	0.284933575507135	-0.267451359285572	0.789121660097552	0.999653447479101	1	1	0
Eloc	8.57290509170879	-0.409290544615565	0.479495981903685	-0.853584930973994	0.393335010864201	0.999653447479101	1	1	0
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	4.55469305403908	-0.330203839757995	0.722734759089972	-0.456881083419551	0.64775652132573	0.999653447479101	1	0.833333333333333	0.166666666666667
