gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gm13919	5.63834663822601e-05	-1.04523761472454	1	1	1	0
Psmb6	0.000127230716067271	-1.07637883156059	1	0.5	0.875	0.375
Gm15398	0.000129543616754003	-0.707861325017139	1	1	1	0
Cdk16	0.000205683813233518	0.876803990752538	1	1	0.75	0.25
Arhgap20os	0.00026271956308438	-0.964723958162507	1	0	0.75	0.75
Fam193b	0.000271144890510202	0.531665401601499	1	1	1	0
Atp5a1	0.000366824402859013	-0.880167975384505	1	1	1	0
Aftph	0.000418895803230134	-0.564432886033212	1	1	1	0
Xbp1	0.000495828059901607	-0.855485039858346	1	0.4	0.875	0.475
Gm43049	0.000637139375171484	0.447400668242363	1	0.7	0	0.7
Dbx2	0.000728868501007128	0.475919442157973	1	1	1	0
Tenm1	0.000732159646922145	-0.233858030273959	1	1	1	0
Cln8	0.000890871664899563	-0.97127983463912	1	0.4	0.875	0.475
Ptn	0.000906537309961127	-0.250382158718638	1	1	1	0
Strn4	0.000996690389224714	0.534161107111519	1	1	1	0
Hip1	0.00110285291619417	0.369893110152741	1	1	1	0
Gm48512	0.00119635195236585	0.430352267475493	1	1	1	0
Leprot	0.0012645377646996	-0.904632634685746	1	0.8	0.75	0.05
Mrpl24	0.00129078462577625	0.640066761447086	1	1	0.75	0.25
Gm47271	0.00130641607826934	-0.682344260529387	1	1	1	0
Atp6v0c	0.00137732479388402	-0.879299293944406	1	0.9	0.875	0.025
Rnf213	0.00146064002008221	0.617228462479315	1	1	1	0
Gm38505	0.00146846682385736	-0.603932419467077	1	1	1	0
Nedd4l	0.00148290452741157	0.746641890176913	1	1	1	0
Rps3	0.00148879191037482	-0.910660029961165	1	0.3	0.625	0.325
Adamts20	0.00152401224728168	-0.918365922457991	1	0.7	1	0.3
Rps27	0.00153903971369187	-1.23190438052123	1	0.5	0.75	0.25
Plpp1	0.00161958147053634	0.743943963982777	1	1	0.75	0.25
Zbtb34	0.00165960583453786	-0.942463104374495	1	0.8	1	0.2
Plekhg1	0.00199240635946994	0.417595035111205	1	1	1	0
Pdgfa	0.00203373166423862	0.286307659498967	1	0.9	0.125	0.775
Sirpa	0.00232081135704546	-0.976203911552988	1	0.5	1	0.5
Grik1	0.00244006391600055	0.242998852954021	1	1	1	0
Bpnt2	0.00248232948512047	-0.68712755039604	1	1	1	0
Arid1a	0.00250707500651256	0.380426755094539	1	1	1	0
Napb	0.00252031483723914	-0.957639151207506	1	0.8	0.875	0.075
Ncam1	0.00267435238456518	0.201163868301412	1	1	1	0
1600012H06Rik	0.00274407498183648	-0.798128449303367	1	0.8	1	0.2
Ubash3b	0.0028312405083634	0.478391664226282	1	1	1	0
Ntsr2	0.00283378881565009	0.523962965726992	1	1	1	0
Zbtb7c	0.00284257654498053	0.78056444077308	1	1	0.875	0.125
Fam13a	0.00290984798079801	0.57170689216957	1	1	1	0
Pml	0.00293771811038419	0.55382338989185	1	1	0.625	0.375
Vegfd	0.0030378530934779	-0.807546505584315	1	0.4	0.75	0.35
Gm48091	0.00306653390443701	-0.613072993149947	1	1	1	0
Ppp1ca	0.00311262614289518	-1.03123472650656	1	0.3	0.875	0.575
Snrnp27	0.00313407537865583	0.516724554536408	1	1	0.875	0.125
Nucks1	0.00316949152185036	-0.58990487909043	1	1	1	0
B230217J21Rik	0.00317331269865468	-0.823725283374906	1	0.9	1	0.1
Etaa1	0.00338666548995839	-0.78669191985449	1	1	1	0
Gm2516	0.00348222533303891	-0.884870647809611	1	0.9	1	0.1
Chsy3	0.0035287902217632	-0.727985046420215	1	1	1	0
H2-Q4	0.00355471205049397	0.24522734871444	1	0.8	0	0.8
Eftud2	0.00360773934270201	-0.586300195220914	1	1	1	0
Rai1	0.00361192727528382	0.424440285510601	1	1	1	0
8030451O07Rik	0.00364694854368438	-0.879380522309346	1	1	1	0
C4b	0.00378761537960367	0.681503693704517	1	0.9	0.875	0.025
Trpc5	0.00382527460747364	-0.807318745061134	1	1	1	0
Ramac	0.00393587393161742	-0.829239624333551	1	0.4	0.875	0.475
Gm15614	0.00395314250470136	-0.708469491479339	1	1	1	0
Stat1	0.00440982776072791	0.685470902679774	1	1	1	0
Snx10	0.00445674258576582	-0.611675673417163	1	1	1	0
Nsmf	0.00448530534250305	0.354023407296859	1	1	1	0
Sdcbp	0.00450533161125283	-1.15595240419766	1	0.9	0.875	0.025
Ccdc134	0.00460252695877419	0.472142827561501	1	1	1	0
Tsen2	0.00467648751850562	0.507342444164651	1	1	1	0
Gm26691	0.00484127353184653	-0.413889086553295	1	1	1	0
Mysm1	0.00485456078302326	0.369121494838746	1	1	1	0
Cyb5r4	0.00491403913429251	0.414744520313	1	1	1	0
Lrch2	0.00492776205273885	-0.450881172261107	1	1	1	0
Rela	0.00493702175655069	0.554218003199323	1	0.9	0.75	0.15
Rpsa	0.00496996037736878	-1.14340735301618	1	0.6	0.75	0.15
Dync1i1	0.0051394733073654	-0.757934724274223	1	1	1	0
Dnhd1	0.00519011420221639	-0.669048771861348	1	1	1	0
Mtx1	0.00524615865358042	-0.819270553563901	1	0.6	0.875	0.275
Atp13a2	0.00525672534537622	-0.9007971514618	1	0.9	1	0.1
Gm15902	0.0053071016155405	-0.719643518619142	1	0.7	0.875	0.175
Mlst8	0.0053254059162451	-0.79440139046851	1	0.8	1	0.2
Mns1	0.00536723335138794	-0.838992500429028	1	0.7	1	0.3
Cemip2	0.00541031077555428	0.535322295431229	1	1	0.875	0.125
Pradc1	0.0054335767372671	-0.826722341696311	1	0.3	0.625	0.325
Pou3f1	0.00550261597518529	0.391627852604866	1	1	1	0
Osbpl8	0.00560935655589169	-0.607578068072346	1	1	1	0
Mrps27	0.00563445336442137	0.501008099055293	1	1	0.875	0.125
Fut9	0.00583211792404712	-0.229293781893473	1	1	1	0
Hook1	0.00593352027328257	-1.27840763204501	1	0.4	0.625	0.225
Ctsa	0.0061801217334031	-0.793836974210089	1	0.8	1	0.2
Gm36279	0.00619649351167366	0.419277498463865	1	1	0.75	0.25
Dusp11	0.00622352528197145	-0.371925474542182	1	1	1	0
Plek	0.00626138527584273	-0.793880689146379	1	0.8	0.875	0.075
Kif3c	0.00630567126893182	0.291586938201246	1	1	1	0
Piezo2	0.00632871000050094	0.502272100907524	1	1	0.5	0.5
Ubald2	0.00637007165862134	-0.745108747198008	1	0.6	0.875	0.275
Tmem60	0.006442613609039	-0.780724956075304	1	0.9	1	0.1
Smyd3	0.00652444114750809	-0.240235100736224	1	1	1	0
Gm20275	0.00662440963128147	-0.743432641654243	1	1	1	0
Entpd5	0.0066406335788294	0.60131917098814	1	1	0.5	0.5
F8	0.00678919855457557	-0.716909522799663	1	1	1	0
9330111N05Rik	0.00682946064464806	0.463750030445669	1	1	0.875	0.125
Gm16183	0.00701583481411522	-0.763138270604513	1	1	1	0
Fkbp5	0.00705815737409512	0.560425621326376	1	1	1	0
Rnf168	0.00709097686393725	-0.580367749223317	1	1	1	0
Cstf3	0.0071267312373224	-0.414085278221575	1	1	1	0
Gm16351	0.0072155118065753	-0.768818891223752	1	0.1	0.625	0.525
Rnasek	0.00726525445118619	-1.28259615384883	1	0.3	1	0.7
Abraxas1	0.00727133221741035	-0.838277732835347	1	0.8	1	0.2
Chrna4	0.00730487864020427	0.521958456830944	1	0.8	0.375	0.425
Gabarap	0.00742224714660855	-0.911762272451879	1	0.8	1	0.2
Rbm33	0.00746976357193969	0.246735475897083	1	1	1	0
Tmcc3	0.00753497325444208	0.260749791090421	1	1	1	0
Dcaf17	0.00759303970535866	-0.513447654436319	1	1	1	0
Tsc22d1	0.00762917963923942	-0.410831592129825	1	1	1	0
4930445B16Rik	0.00771592276455281	-0.744171345088326	1	1	1	0
Serpini1	0.00776041035477374	-0.835488659907438	1	0.6	1	0.4
Bltp2	0.00778149008261254	0.517178170355334	1	1	1	0
B230209E15Rik	0.00786258229808456	-0.964667521907422	1	0.6	0.75	0.15
Panx1	0.00804224995577337	0.511875580821386	1	1	0.75	0.25
Bicdl1	0.00806580097158405	-0.691425319965916	1	0.3	0.875	0.575
4930517O19Rik	0.0083290706264779	-0.522994329710043	1	1	1	0
Agmo	0.00843017883582012	-0.410043089859297	1	1	1	0
Tcf25	0.00858257053620865	0.302765326245539	1	1	1	0
Hdlbp	0.00891181368587333	-0.610824172182109	1	1	1	0
Gm26618	0.00946283432323238	-0.322819625940824	1	1	1	0
Scai	0.00974396843597161	-0.438282147030136	1	1	1	0
Gm49893	0.0099581211217763	-0.677649072329322	1	0.2	0.875	0.675
Fry	0.0100276214638984	0.215659724671186	1	1	1	0
Kcnq5	0.0100390614139209	0.367944701982007	1	1	1	0
St7	0.0102082536113904	-0.302731564256397	1	1	1	0
4930413F20Rik	0.0104482977721088	-0.795874903566669	1	0.2	0.75	0.55
Gm16054	0.0104587904043244	-0.749010147492905	1	0.8	1	0.2
Gm1992	0.0105734311968286	-0.782058637177952	1	1	1	0
Cstf2	0.0106251239764022	-0.860944542504432	1	0.9	0.875	0.025
Spry1	0.0106968977931893	-0.624053175671644	1	1	1	0
Prorp	0.0107429387900859	0.617130783911008	1	1	0.875	0.125
Tesk1	0.0108847398017081	0.375110263980126	1	0.7	0.5	0.2
Iffo2	0.0110525912338604	-0.847774233129209	1	0.7	1	0.3
Zfyve28	0.0111901507298847	-0.80427171341742	1	0.3	0.5	0.2
Tnpo1	0.0112947015011725	0.27391090206492	1	1	1	0
Rpl30	0.0113895057211611	-0.819670146032971	1	0.5	0.875	0.375
Cib2	0.0113969623944904	-0.769460523305166	1	0.2	0.625	0.425
Commd4	0.0114268311464323	-0.90800185894529	1	0.7	0.875	0.175
Krtcap2	0.0114337256037006	-0.843677245677925	1	0.5	0.625	0.125
Donson	0.0114911774645339	-0.786039743900548	1	0.9	1	0.1
Hook2	0.0116124626693334	-0.704354313257788	1	0.9	1	0.1
4930505G20Rik	0.0116543584013736	-0.849620272067266	1	0.8	1	0.2
Pex7	0.0116568960680821	-0.531098871353106	1	1	1	0
Tmem132c	0.0118961022714085	0.471264576927943	1	1	1	0
Lnpep	0.0121043072817988	-0.586757891069903	1	1	1	0
4930555F03Rik	0.0121211764129867	-0.77826556112207	1	1	1	0
Slc1a6	0.0121606741390151	-0.805584820890921	1	0.6	0.875	0.275
Atf7ip	0.0123017422524484	-0.202290777319116	1	1	1	0
Safb2	0.0124027380599749	0.352079770173708	1	1	1	0
Hnrnph2	0.0124157023632766	-0.676912088935313	1	1	1	0
Fem1c	0.0124600916507274	-0.603634583347112	1	1	1	0
Cox6c	0.0124938068123224	0.241207161172585	1	0.8	0.25	0.55
Rasgrf2	0.0125145170192514	-0.792559911481644	1	0.3	0.5	0.2
Abca1	0.0125200851628882	-0.30430636516684	1	1	1	0
Agbl2	0.0125215779497028	0.340892583981854	1	1	0.75	0.25
Dhcr7	0.0125250515441015	0.289730610454607	1	0.9	0.75	0.15
Eif1a	0.0125644987288384	-0.830652947492758	1	0.5	1	0.5
Rps5	0.0125722172898158	-0.844509213044671	1	0.6	0.625	0.025
Tspyl1	0.0125814010170573	-0.836920399211969	1	0.5	0.625	0.125
Cipc	0.0125847341035484	-0.322981942905843	1	1	1	0
Igsf10	0.0127994832128496	-0.597603953331711	1	1	1	0
Gm42948	0.0129249036467979	-0.790921162487687	1	1	1	0
Rpl37a	0.0129712362270774	-1.26554639494895	1	0.5	0.625	0.125
Polr3c	0.0129976381456551	0.333795987310124	1	1	1	0
Utrn	0.0130139739951201	0.272549113661759	1	1	1	0
