gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	366.83025397295	-0.0479002552759982	0.0631109557020229	-0.758984787081315	0.447861657192497	0.999961478977291	1	1	0
Gm1992	11.0553163828733	-0.693320177452276	0.376548200700808	-1.84125213229518	0.0655846188875197	0.999961478977291	1	1	0
Gm19938	14.9937084816964	-0.0444950917590647	0.298098550540331	-0.149263026198595	0.881346089210268	0.999961478977291	1	1	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.03926996704164	0.442717614527169	0.432435510974499	1.02377719519264	0.305940524100985	0.999961478977291	0.888888888888889	1	0.111111111111111
A930006A01Rik	0.569705422283657	-0.73688611713868	1.41678540225677	-0.52011131393993	0.602985993190198	0.999961478977291	0.444444444444444	0.333333333333333	0.111111111111111
Lypla1	17.233896985117	0.083948093579448	0.246043968326145	0.341191430745298	0.73295947394196	0.999961478977291	1	1	0
Tcea1	31.6993221294144	-0.00406912527389266	0.168403536319248	-0.0241629443349615	0.980722635631229	0.999961478977291	1	1	0
Rgs20	100.503277077102	-0.0115691710605614	0.118567954185795	-0.0975741813208027	0.922270426975059	0.999961478977291	1	1	0
Gm16041	0.233769482377476	-0.486703721014929	1.98714139968618	-0.244926566922612	0.806513290649088	0.999961478977291	0.222222222222222	0.333333333333333	0.111111111111111
Atp6v1h	35.2346308835932	-0.149177811693556	0.193191142661422	-0.772177283277415	0.440009434139249	0.999961478977291	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	8.14371345858376	0.312717052667209	0.365118855740107	0.856480150917768	0.391732247387715	0.999961478977291	1	1	0
Rb1cc1	52.3631224998716	0.0744854417825103	0.154554619664298	0.481936042703203	0.629851381040465	0.999961478977291	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	5.36451086589643	0.143443223373341	0.466492637326276	0.3074930060965	0.758468145672551	0.999961478977291	1	1	0
Gm57122	0.215020999569511	-0.607057532943744	2.74787902577297	-0.220918580203137	0.825155829917974	0.999961478977291	0.111111111111111	0.222222222222222	0.111111111111111
Pcmtd1	68.3680243633296	-0.0600042385611375	0.136522908544713	-0.439517727836025	0.660286439517223	0.999961478977291	1	1	0
Gm26901	4.91460596815042	0.643933544479904	0.448449681767094	1.43591036109674	0.151027849832591	0.999961478977291	1	0.777777777777778	0.222222222222222
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	818.959014157548	-0.0333707408112385	0.0428390369928343	-0.778979714619178	0.435991664335131	0.999961478977291	1	1	0
Rrs1	1.70166264074551	-0.18619953980299	0.660719083512071	-0.281813473304329	0.778086539287469	0.999961478977291	0.777777777777778	1	0.222222222222222
Adhfe1	3.1241426247953	0.529473355171229	0.518585398230766	1.02099549462366	0.307256573275643	0.999961478977291	1	0.888888888888889	0.111111111111111
2610203C22Rik	8.43093668205188	0.0167975012048603	0.383750792235778	0.0437718997451341	0.965086226362912	0.999961478977291	1	1	0
Vxn	86.0487267091821	-0.162816085997497	0.110781471684675	-1.46970502848104	0.141641660247597	0.999961478977291	1	1	0
Mybl1	10.5675504998135	0.163407177153296	0.281068758498245	0.581377944764774	0.560985758639635	0.999961478977291	1	1	0
Vcpip1	19.8789562614059	-0.0294752792064118	0.220359732104384	-0.133759825013988	0.893592496631474	0.999961478977291	1	1	0
1700034P13Rik	1.03508477404952	-0.0846024836699048	1.0910661466189	-0.0775411132790428	0.938193086042406	0.999961478977291	0.444444444444444	0.555555555555556	0.111111111111111
Sgk3	37.0451995912226	-0.285251119052046	0.158825834381654	-1.79599949946806	0.072494596634953	0.999961478977291	1	1	0
Snhg6	9.38019052869428	-0.371793331796718	0.444288092228999	-0.836829386831923	0.402688476514909	0.999961478977291	1	0.888888888888889	0.111111111111111
Mcmdc2	1.99620339160789	-0.341232069512246	0.781054136885961	-0.436886578531839	0.66219360595346	0.999961478977291	0.777777777777778	0.555555555555556	0.222222222222222
Tcf24	0.162515567143397	0.676321974673048	2.99376170499199	0.225910423513436	0.821271090593962	0.999961478977291	0.333333333333333	0	0.333333333333333
Ppp1r42	0.224622726606389	-0.516605016890361	3.11524749842689	-0.165831131282902	0.868289846090156	0.999961478977291	0.111111111111111	0.111111111111111	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	11.4557012744462	-0.0989626545430387	0.312287710086384	-0.316895770620189	0.751322691325902	0.999961478977291	1	1	0
Cspp1	41.6148146652553	-0.155659169798726	0.222225941197959	-0.700454541713765	0.483643484735074	0.999961478977291	1	1	0
Arfgef1	58.97886094008	-0.0220061179233751	0.141708197800167	-0.155291777504697	0.876591297581429	0.999961478977291	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	10.5518538987182	0.0357250512696306	0.33819832178209	0.105633437449903	0.915873193914958	0.999961478977291	1	1	0
A830018L16Rik	0.0966856481683829	-0.604097451175969	3.121709169642	-0.193514968354739	0.846555684559865	0.999961478977291	0	0.111111111111111	0.111111111111111
Sulf1	53.2422069934842	-0.000220720765657017	0.173136465622019	-0.0012748369609143	0.998982827546865	0.999961478977291	1	1	0
Slco5a1	3.06521433092074	0.304717692144812	0.684727568500203	0.445020335331689	0.656305058476029	0.999961478977291	1	0.666666666666667	0.333333333333333
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	104.096964805813	0.232626164153878	0.0983974837858394	2.36414748836652	0.0180716165112937	0.999961478977291	1	1	0
Gm29570	0.106685364393399	-0.173653733305827	3.1215364501567	-0.0556308523314247	0.955635885948682	0.999961478977291	0.111111111111111	0.111111111111111	0
Tram1	12.7901396181804	-0.164029471583901	0.258347495436038	-0.634917986361947	0.525481905694448	0.999961478977291	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	5.47226609045559	-0.192563164404735	0.436835572316546	-0.44081383616167	0.65934777598334	0.999961478977291	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	135.707149084219	-0.131185831284034	0.11303122002525	-1.16061590111766	0.2457981359831	0.999961478977291	1	1	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	80.9922592996269	0.385158346949207	0.244381713112526	1.57605224238632	0.115013763944297	0.999961478977291	1	1	0
Terf1	26.4985525119752	0.0664717503693509	0.19915627315972	0.333766791850145	0.738555544059387	0.999961478977291	1	1	0
Sbspon	0.493650331855458	-0.351913830932877	1.40098031792958	-0.251191131259394	0.80166634102701	0.999961478977291	0.444444444444444	0.333333333333333	0.111111111111111
4930444P10Rik	0.679035915390437	-0.613624119745323	1.16607741106765	-0.526229317128692	0.598728886741701	0.999961478977291	0.444444444444444	0.555555555555556	0.111111111111111
Rpl7	0.867769303291615	-0.608179675272883	1.39467795180573	-0.436071764442432	0.662784662426236	0.999961478977291	0.222222222222222	0.555555555555556	0.333333333333333
Rdh10	5.83358305206236	-0.302543993614153	0.398922157593959	-0.758403582891718	0.448209413632056	0.999961478977291	1	1	0
Gm28095	0.424184044229593	-1.41743899533097	1.70045365405049	-0.833565203000166	0.404526040932873	0.999961478977291	0.222222222222222	0.333333333333333	0.111111111111111
Stau2	86.4930075848521	-0.0146142019709282	0.112972794300966	-0.129360365576115	0.897072507802536	0.999961478977291	1	1	0
Gm7568	0.629974353238626	0.538547513442254	1.11278078254369	0.483965505057696	0.628410350229066	0.999961478977291	0.777777777777778	0.333333333333333	0.444444444444444
Ube2w	33.7377757429585	-0.21027903531799	0.185629860500122	-1.13278669041424	0.257303842045299	0.999961478977291	1	1	0
