gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Catspere2	6.38837962610387e-09	0.581883743900307	0.000114537258316416	1	1	0
Hmgcll1	3.25845229775794e-08	0.989230966782073	0.000584207912465021	1	1	0
Rpgrip1l	3.3396295421265e-08	0.553168961146066	0.00059876218060786	1	1	0
Cep112	2.14098436619393e-07	0.558207283610166	0.00383857087014909	1	1	0
Ldb2	2.71661168169069e-07	0.831658346714917	0.00487061308410324	1	1	0
Cdk17	4.71525802819294e-07	0.666960021831969	0.00845398611874712	1	1	0
Ulk2	1.85594890445388e-06	0.573562598805911	0.0332753079079536	1	1	0
Hif3a	3.32377140537215e-06	-0.829891659895146	0.0595918975269173	1	1	0
Kdm7a	5.09388929899182e-06	0.500264497106345	0.0913283412416243	1	1	0
Rasal2	5.45081928820738e-06	0.686898807965422	0.0977277390182701	1	1	0
Ubxn6	6.93955854872534e-06	0.180634613098871	0.124419345220097	1	1	0
Ipo11	7.13634571425289e-06	0.467997944901087	0.12794754231084	1	1	0
Pxdn	1.3088612128173e-05	0.488368585773129	0.234665726846014	1	1	0
Paqr3	1.44100828415715e-05	-0.11166915367362	0.258358375266535	1	0	1
Dbp	1.53077648588912e-05	-0.709197246231681	0.27445291615506	1	1	0
Trim2	1.57481326299185e-05	0.460380709511758	0.282348269921809	1	1	0
Rpgr	1.97438301199209e-05	0.485234954643321	0.353987130220062	1	1	0
Lmbrd2	2.07554168020143e-05	0.281232629066848	0.372123867843315	1	1	0
Eml5	2.2111667619765e-05	0.30163248954197	0.396440088754768	1	1	0
Mapt	2.58985962046839e-05	0.748393549434503	0.464335931353777	1	1	0
Nucks1	2.85003812216829e-05	0.442952963935453	0.510983334923553	1	1	0
Adam22	3.37729745591031e-05	0.23696753919242	0.605515660870159	1	1	0
Chchd10	4.52436080771225e-05	-1.16320864546687	0.81117264921473	0.8	1	0.2
Abi2	4.90393750386685e-05	0.476483929990946	0.879226955068288	1	1	0
Cibar1	4.93276658567033e-05	0.371465159552607	0.884395721144834	1	1	0
Plxdc2	5.06475485627559e-05	0.672869886937923	0.90805989818165	1	1	0
Mycbp2	5.1104175007868e-05	0.597873517659742	0.916246753716066	1	1	0
Tbcd	5.32298885574604e-05	0.366194067411435	0.954358671946707	1	1	0
Ube2e2	5.33338034145908e-05	0.56399024708468	0.956221761420199	1	1	0
Osbpl8	5.53170795102872e-05	0.446727718645249	0.991779918539939	1	1	0
Pcdh15	6.3055991094831e-05	-1.170194962273	1	0.4	1	0.6
Cnot6l	6.38090051488597e-05	0.582330890198232	1	1	1	0
Rpe65	6.52293039170114e-05	-0.746206122861121	1	1	1	0
Tmem178b	6.81719355851376e-05	0.602329025515506	1	1	1	0
Uvrag	6.92250705731559e-05	0.517692409161997	1	1	1	0
Hycc2	7.01781937587839e-05	0.312638697954002	1	1	1	0
Lrch1	7.14480805508323e-05	0.529443557260946	1	1	1	0
Zdhhc20	7.97505530253601e-05	0.611163312517523	1	1	1	0
Arih2	8.46592535989891e-05	-0.630463910884169	1	1	1	0
Dzip3	8.60036938106246e-05	0.572339689306707	1	1	1	0
Adarb2	0.000101957534979195	-1.00618854157949	1	0	1	1
Nr1d2	0.000112283167542525	-0.403089628260198	1	1	1	0
