gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Etnppl	1.36137569681924e-12	-0.88240804857544	2.44081048682722e-08	1	1	0
Hif3a	1.48516920910012e-11	-1.0246640640625	2.66275987499561e-07	1	1	0
Nr1d2	3.1217711941598e-08	-0.355395666689719	0.000559702357400911	1	1	0
Dbp	8.71753033971426e-08	-0.579166912322304	0.00156296601460737	1	1	0
Azin1	1.68532660321554e-06	-0.488227588513951	0.0302162206690514	1	1	0
Ccnd3	4.23769792470823e-06	-0.483756271771641	0.0759776860920938	1	1	0
Ciart	9.33410911866347e-06	-0.67100875787231	0.167351242388517	1	1	0
Slc20a2	1.33962287574677e-05	0.326946787935226	0.240180985392638	1	1	0
Chmp7	1.71163974500292e-05	-0.886355410536804	0.306879889881573	0.9	1	0.1
Ocrl	2.72534799118154e-05	-0.333437207123435	0.488627641338938	1	1	0
Inf2	3.21072242339098e-05	0.37140181908838	0.575650423289769	1	1	0
Camk2d	3.49870941178262e-05	0.193118170360409	0.627283610438506	1	1	0
Dzip1l	3.99769489137527e-05	-0.331993213607324	0.716746717074673	1	1	0
Grm7	6.07225146652227e-05	-0.885342235727903	1	1	1	0
Synm	7.56145734968112e-05	-0.683388406809853	1	0.6	1	0.4
Fam184a	8.96848153720434e-05	-0.296419121463149	1	1	1	0
Arntl	0.000148662375789484	0.488099100712581	1	1	1	0
Daglb	0.000168839838986411	0.405420935091963	1	1	1	0
Nt5c2	0.000173389038521045	-0.295648339483346	1	1	1	0
Ncor1	0.000199879656175719	0.183794903384431	1	1	1	0
Pcdh15	0.000206150636920393	-0.826163542136097	1	0.6	0.875	0.275
Vcl	0.000254690547743426	-0.241566034838576	1	1	1	0
Uros	0.000384833820258309	0.272577136613232	1	1	1	0
Pitpnm2	0.00043344561439775	-0.604117715848147	1	1	1	0
Ubc	0.000471351938884627	0.495358064209565	1	1	1	0
Arhgap17	0.000526633416226869	0.242070613977276	1	1	1	0
Chchd2	0.000537819212294884	-0.854683213094731	1	0.8	1	0.2
Wee1	0.000570205909203615	-0.632330747297537	1	0.7	1	0.3
Mmp14	0.000572753658968963	0.324320518975163	1	1	1	0
Map7d2	0.000623495185692573	-0.942822772269521	1	1	1	0
Slco1b2	0.00063842730105316	0.360761710060386	1	1	1	0
Lonrf3	0.000705182258730429	-0.313322324863566	1	1	1	0
Cdc27	0.000728763870535415	0.320234601473216	1	1	1	0
Pole	0.000732486457705815	-0.612369766004108	1	1	1	0
Egfl6	0.000763171663436863	0.33492728887968	1	1	1	0
Elmod3	0.000783689532042149	-0.392811327304729	1	1	1	0
Mrps7	0.000792032763440051	-0.756332563221963	1	1	1	0
Hnrnpab	0.000809350322461979	-0.754642901675781	1	0.9	1	0.1
Cdh19	0.000866116406721176	-0.305131867773127	1	1	1	0
Pfkfb4	0.000941279328714931	0.36770905024572	1	1	1	0
Gpr179	0.000952571966268293	0.359590982638342	1	1	1	0
Prkaa1	0.000961205744435237	-0.601066240001941	1	1	1	0
Plp1	0.000969363979749416	0.497737651337694	1	1	1	0
Ap3d1	0.000978288114590513	0.231769822836156	1	1	1	0
Rasa2	0.000994713521224123	0.224868465900377	1	1	1	0
Bet1l	0.000999565853490793	-0.698671649060263	1	1	1	0
Nrros	0.00103383101625	-0.524571761995919	1	1	1	0
Dapk1	0.00109577163021482	0.738053302271176	1	1	1	0
Opcml	0.00120129754608105	-0.941821648674073	1	0.8	1	0.2
Ap3m1	0.0012488125802997	-0.306657257193718	1	1	1	0
Riox1	0.00132566943955426	-0.0997024694243565	1	0.8	0.125	0.675
Wwtr1	0.00144172162434218	0.223366090569391	1	1	1	0
Polr2i	0.00145663604333664	-0.763649202286115	1	0.7	1	0.3
Cox6c	0.00147070117647478	-0.745953488883457	1	1	1	0
Nme2	0.00152644073175219	-0.775588330755354	1	0.4	0.875	0.475
Galnt16	0.00152753321940355	0.275514633133113	1	1	1	0
Efcab14	0.00153104902864507	0.272097916714744	1	1	1	0
Slc25a18	0.00158070307905005	0.233861644897727	1	1	1	0
Nxn	0.00160133641907228	-0.399772921553244	1	1	1	0
Usp53	0.00160135965192544	-0.290167113257965	1	1	1	0
Pxmp2	0.00167596749256577	-0.379649276599284	1	1	1	0
Ints6	0.00169629393950985	0.290523889676403	1	1	1	0
Adora2a	0.00171716734662772	0.0794028881586608	1	1	0.375	0.625
Fyn	0.00174855486961054	0.179567684455717	1	1	1	0
Gm1673	0.00179652375131562	-0.644441182852983	1	0.6	0.875	0.275
Uqcc2	0.00181268397169379	-0.522622689440527	1	0.2	0.875	0.675
Ptp4a2	0.00182854090637098	-0.380100841166742	1	1	1	0
Dscam	0.00187160832421057	-0.91544572917106	1	0.2	0.625	0.425
Zfp24	0.00190447966178303	-0.334600478080526	1	1	1	0
Eya4	0.00197077792124941	-0.358530929439213	1	1	1	0
Per1	0.00200225375805648	-0.712219942387984	1	1	1	0
Cox17	0.0020676182924971	-0.725522891955533	1	1	1	0
Mrpl41	0.00211565253407001	-0.91855508315033	1	0.7	1	0.3
Map4k4	0.0021521279595209	0.201098999362792	1	1	1	0
Zfp36l2	0.00218021212794044	0.329467534048182	1	1	1	0
Serf2	0.00218519686587451	-0.779581681292156	1	1	1	0
Smim12	0.00234626242361787	-0.694696301196768	1	0.5	0.75	0.25
Nsun7	0.00242322827154401	0.394564976907575	1	1	1	0
Ap1g1	0.00242374601728465	0.213108546860769	1	1	1	0
Mag	0.00249048362624697	0.0108012148682373	1	0.9	0.375	0.525
Cnnm3	0.0025023531683107	0.261765011014571	1	1	1	0
Gramd4	0.00265947984662208	0.264443312117855	1	1	1	0
Tmem276	0.00268696948461883	-0.487421241027244	1	1	1	0
Ppcs	0.00273556323400054	0.218767387102828	1	1	0.5	0.5
Tmem44	0.00276953387586681	0.340677327279833	1	1	1	0
Cfap410	0.00304346599826594	-0.655820109810847	1	1	1	0
Hddc2	0.00310780905135555	-0.437127802054279	1	1	1	0
Tmem178b	0.00312125085802402	0.511151023569356	1	1	1	0
Nebl	0.00314841655564414	0.134626453411758	1	1	1	0
Itga6	0.00319239101916757	0.194843956960421	1	1	1	0
Folh1	0.00325252241886307	-0.269484798431488	1	1	1	0
Por	0.00332058059892569	-0.284190753790986	1	1	1	0
Xiap	0.00339274461394935	-0.258048490978673	1	1	1	0
Aqp9	0.00349127910476018	0.251401131465546	1	1	1	0
Agmo	0.00355536006566511	-0.271383787870835	1	1	1	0
Amer2	0.00367668849404028	0.27308657147859	1	1	1	0
Crim1	0.00368273645195891	-0.27312783096676	1	1	1	0
Ubac2	0.00374702811401237	0.25570312724992	1	1	1	0
Srxn1	0.00381151822724598	-0.501716181160192	1	0.2	0.625	0.425
Mastl	0.00383452720660014	-0.523910487269675	1	1	1	0
