gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Sspo	6.62704110312747e-11	1.58171467417519	1.18816219937972e-06	1	0.5	0.5
Scd2	7.64672419739731e-08	-0.528911099253511	0.00137098118135136	1	1	0
Wdr17	8.08564142122967e-08	-0.960670557121818	0.00144967465041227	1	1	0
Ski	6.90572954846977e-07	0.697403283354671	0.0123812825074515	1	1	0
Gfap	5.93557211217906e-06	1.20464575670195	0.106418872399258	1	1	0
Cst3	1.33819264088477e-05	-0.666214700003437	0.239924558584231	1	1	0
Fjx1	2.40747709996681e-05	-0.597068813388251	0.431636569253049	1	1	0
Ell	2.5462826926465e-05	0.664098702559266	0.45652302396459	1	1	0
Sulf1	2.5539158605751e-05	1.215417552695	0.45789157464251	1	1	0
Prnp	2.88301224585739e-05	-0.60470848382317	0.516895265559772	1	1	0
Abcg4	3.08296437275478e-05	-0.389267778368594	0.552744682391205	0.25	1	0.75
Slc39a14	6.2248541491531e-05	0.634995220338871	1	1	1	0
Gpm6a	7.23209150260443e-05	-0.434134605298792	1	1	1	0
Antkmt	7.69605142425643e-05	-0.64886026755709	1	1	1	0
Ptn	8.24024777982117e-05	-0.603721803028026	1	1	1	0
Abca8a	8.447723374664e-05	-0.594193701954546	1	1	1	0
Phyhd1	9.14317139505611e-05	0.705718400521903	1	1	1	0
Tmeff2	9.91143494967651e-05	0.573575672786916	1	1	0.5	0.5
Gabra4	0.000100353188267103	-0.848947826387539	1	1	1	0
Hes5	0.000112683380532513	-0.533292342470994	1	1	1	0
Pigk	0.000115412064011334	-0.703926896210729	1	1	1	0
Nrros	0.000120257043349824	0.543163698386056	1	1	1	0
Dpysl3	0.000121907905851146	0.644924561384431	1	1	1	0
Cdkn2d	0.000131030006690842	-0.301717522528557	1	0	1	1
Ano4	0.000133310236249887	0.586550418944989	1	1	1	0
Ufsp2	0.000142615419171322	0.621959973578987	1	1	1	0
Cacnb2	0.000148049344277797	1.05127101075126	1	1	1	0
Gna14	0.000150116240363565	0.330093851051549	1	1	0.25	0.75
Aplp2	0.000153049100481163	-0.556085637259662	1	1	1	0
Asap3	0.000164769969067704	0.731918136342258	1	1	1	0
Hsd17b12	0.000178372753951426	-0.485101268798401	1	1	1	0
Slc7a11	0.00018263459406803	-0.437015791898994	1	1	1	0
Aspg	0.000189376751868722	0.726273948820074	1	1	1	0
Ndufs7	0.000199671469934537	0.753463606052191	1	1	1	0
Prune1	0.000206736349728346	0.570095845091788	1	1	1	0
Rpe65	0.000225858946579321	-0.522177106643875	1	1	1	0
Cacna2d3	0.000256327654509173	0.469040082779456	1	1	0.75	0.25
Adcy8	0.000257039667645751	-0.328809194155268	1	1	1	0
Ggta1	0.000308253382087202	0.828845576626492	1	1	1	0
Sh3kbp1	0.000308775841655224	-0.463626095368662	1	1	1	0
Igsf8	0.000315725777891493	-0.502414200809581	1	1	1	0
Itga5	0.000339875948006344	0.272874584710483	1	1	0.25	0.75
Rapgef3	0.000363128309412283	0.492209661537395	1	1	1	0
Adamtsl3	0.00038047964353812	0.773016362484892	1	1	1	0
Gja1	0.000408063482543682	-0.307242558791774	1	1	1	0
Pigf	0.000424136640016186	-0.597582424252266	1	1	1	0
Apoe	0.000444908587536788	-0.506975311276755	1	1	1	0
Serpina3n	0.000503322049797466	0.505053317879301	1	1	1	0
Parp9	0.000511293998673207	0.593904179621116	1	1	1	0
Wdr49	0.000529980194746094	0.931441526012896	1	1	1	0
Ednrb	0.000554672518886215	-0.407821077780676	1	1	1	0
Ssna1	0.000569131076297492	-0.392953333228182	1	0.75	1	0.25
Arhgef10	0.000593630323519685	0.641541572692125	1	1	1	0
Cdkn1a	0.000594573256230196	0.229988106105448	1	1	0	1
Pcdh1	0.000601639810430078	-0.510134149562713	1	1	1	0
Pcbp2	0.000606404990086983	-0.384052690934017	1	1	1	0
Klhdc8b	0.000643193473657442	0.462811811410117	1	1	1	0
Rpl9	0.000650062364285028	-0.401524426569187	1	1	1	0
Atp10d	0.00068352253697216	0.381257174196335	1	1	0.75	0.25
Katnbl1	0.000729965319479245	-0.459383373998229	1	1	1	0
Serping1	0.000758391259873956	0.42871804619538	1	1	0.5	0.5
Nhs	0.000785648514350903	0.64771159033206	1	1	0.75	0.25
Rps7	0.000793057574688114	-0.39297652370424	1	0.75	1	0.25
Ywhaz	0.000841281783273188	-0.795370356999394	1	1	1	0
Immp1l	0.00085773958046615	-0.279373558025423	1	1	1	0
Ccdc88a	0.000879996358634782	-0.225938504161761	1	1	1	0
S1pr1	0.000901307089502875	-0.380257868730173	1	1	1	0
Zxdb	0.000908328857476863	-0.321910053031382	1	0.75	1	0.25
Sorbs1	0.000919709676846077	0.411657811812201	1	1	1	0
Slc43a3	0.000926411335669528	0.49986415544227	1	1	0.75	0.25
Man1a	0.000957294116545436	0.939894882015827	1	1	1	0
Foxp2	0.000971914623695489	0.571313349580196	1	1	0.75	0.25
Abcd1	0.00100009965990117	0.514105408945	1	1	1	0
Tgfbr3	0.00102479208061623	0.518376855692176	1	1	1	0
Gng7	0.00103576929785589	0.544729859580032	1	1	0.75	0.25
Mtmr3	0.00105565115908307	-0.313849692476717	1	1	1	0
Aebp1	0.00110688545633445	0.563331897012574	1	1	1	0
Rell1	0.00117739616220848	0.468438499272979	1	1	1	0
Otc	0.0011965688893077	-0.52240359038374	1	1	1	0
Porcn	0.00127757792849169	-0.488492329780361	1	0.75	1	0.25
Dynll1	0.00129296152801882	0.574756794426977	1	1	1	0
Sgcd	0.00130339556342291	1.62918289066279	1	1	1	0
Sycp2	0.00133214173979388	-0.417905432794178	1	1	1	0
Cadps	0.0013782077960595	0.858339553995582	1	1	1	0
Fabp7	0.00140027207577388	-0.636311100499993	1	1	1	0
Tnfaip8	0.00145483161422183	-0.385948987432044	1	1	1	0
Tecr	0.00150926720623084	-0.480296620214252	1	1	1	0
Socs3	0.00151053590755558	0.177638840755538	1	1	0	1
Efcab6	0.00157540069936375	0.333472719940145	1	1	0.5	0.5
Men1	0.00160243933915242	-0.310138080699874	1	0.5	1	0.5
Setbp1	0.0016260399785221	-0.304173030018607	1	1	1	0
Sema3c	0.00164330840524335	0.319002376639336	1	1	0.25	0.75
Pdcd7	0.00172806147391812	-0.379006383493156	1	0.75	1	0.25
Gpr89	0.00177493468132554	0.600722943079045	1	1	1	0
Gldn	0.00183247559318269	0.238785265162837	1	0.75	0	0.75
Rap1gap	0.00183770145609153	-0.539757883887101	1	1	1	0
Top1	0.00185844682580446	-0.327910357100444	1	1	1	0
Snn	0.00187827973145468	-0.412052683958776	1	0.75	1	0.25
Fam210b	0.00195497236236577	-0.323658378613473	1	1	1	0
Kif6	0.00233580687800833	0.893336133034307	1	1	1	0
Sec24d	0.002346553905789	0.726438607622739	1	1	1	0
Rhou	0.00235886760485849	0.519728421546058	1	1	1	0
Dnaaf3	0.00248249425348964	0.295794279012821	1	1	0.5	0.5
Met	0.0025043713289515	0.511576968219689	1	1	0.5	0.5
Ankrd13c	0.00251824038515349	-0.400691253003668	1	1	1	0
5031439G07Rik	0.00255106521463607	0.401234894720518	1	1	1	0
Ccng2	0.00267863443554776	-0.366013100443988	1	0.75	1	0.25
Creb5	0.00269575634465256	0.619233514327907	1	1	1	0
Ank3	0.00271590259712889	0.347567672150866	1	1	0.75	0.25
Dnai3	0.0027362462774397	0.698725769496733	1	1	1	0
Psmd12	0.00276161392883292	-0.391206998064053	1	1	1	0
Rgl1	0.00283619682194123	0.527442411546398	1	1	1	0
Spcs3	0.00288994546255419	-0.357342102036663	1	1	1	0
Ush2a	0.00290235216876355	0.221164255074859	1	1	0.25	0.75
Rtp4	0.00290684678142776	-0.381521688152076	1	1	1	0
Shroom3	0.00299052398574982	0.568958751899609	1	1	1	0
Dock10	0.00300082548012932	0.578151703311545	1	1	1	0
Gbp2b	0.00308500029277687	0.175134451304571	1	1	0	1
Zbtb10	0.00310103004659876	0.380606512648401	1	1	1	0
Mcl1	0.00315125412453891	0.519360927654715	1	1	1	0
Eftud2	0.00320041468637286	0.597282968394961	1	1	1	0
Ntn1	0.00320265063254891	0.500486865085315	1	1	1	0
