gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Lrrc8c	2.75980326903817e-07	1.19602656117486	0.00494805128105853	1	1	0
Otud7a	3.08780740043052e-05	-0.519581952802065	0.553612988823189	1	1	0
Kcnb2	4.76159018117382e-05	1.33736641370903	0.853705503582655	0.667	0.4	0.267
Slc66a1	8.81417761011631e-05	1.20307781654617	1	1	1	0
Snn	0.000110166288433885	0.254540290803935	1	0	1	1
Osbpl1a	0.000130710253755175	-0.389591867604847	1	1	1	0
Rbfox2	0.000161639587810907	-0.390452076095976	1	1	1	0
Lmf1	0.00017587380233041	1.0113246135226	1	1	1	0
Gfod2	0.000178749044934877	1.03663289802632	1	1	1	0
Sntg1	0.0003070714936148	-0.434634829608899	1	1	1	0
Prnp	0.000591784961902752	-0.43889105579216	1	1	1	0
Poc5	0.000678897742225011	1.13019179956498	1	1	1	0
Acadl	0.000750938144664988	-0.195472175252631	1	1	1	0
Setd1a	0.00075284175853641	1.06995622308915	1	1	1	0
Nars2	0.000840931884863753	0.960459261003155	1	1	1	0
Cltc	0.000867278412212094	-0.24015778609783	1	1	1	0
Shank2	0.000951261743855963	1.10648054231274	1	1	1	0
Mak	0.0011919508135014	1.00699225690711	1	1	0.8	0.2
Tacc1	0.00128587435240557	-0.255004590213879	1	1	1	0
Ep300	0.00133957659802577	0.534567505449632	1	1	1	0
Tnfaip8	0.00150904027946417	-0.318794049435345	1	1	1	0
Adam12	0.00161320817585242	1.04760613398495	1	1	1	0
Fkbp3	0.00163487569134012	1.0430700117891	1	1	1	0
Txlng	0.00168979059874026	0.707131243336846	1	1	1	0
Adcy8	0.00170861555061907	-0.288407088288077	1	1	1	0
Dnah12	0.00173148879801457	1.12217753749696	1	1	1	0
Zc2hc1a	0.00175833665924164	1.03434552635793	1	1	1	0
Ctnna2	0.00188909346768779	-0.475450916306875	1	1	1	0
Taf1d	0.00196736983773456	0.757914593841152	1	1	1	0
Cfap44	0.00205662963030149	1.14902086723292	1	1	1	0
Pawr	0.00212981694168765	1.07428514416865	1	1	1	0
Adrb1	0.00223821494960709	-0.0854611469545593	1	1	1	0
Pogz	0.00232005182915952	0.610873869228565	1	1	1	0
Chl1	0.00233109980432482	1.02013709698598	1	1	1	0
ENSMUSG00000095041	0.00250290585850763	0.584227741140871	1	1	1	0
Rps6ka2	0.00264394426594869	-0.258713669229797	1	1	1	0
Lyrm2	0.00280608752125145	1.02488848442244	1	1	1	0
