gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gbp2b	9.05804505837444e-07	0.395902142714349	0.0162401689851595	0.889	0	0.889
Man1a	9.17242228281769e-07	1.20424237363344	0.0164452359108638	1	1	0
Osmr	1.97423178333975e-06	0.900967285419977	0.0353960016434983	1	1	0
Serpina3n	2.77535130925769e-06	0.79711774448053	0.0497592736236812	1	0.889	0.111
Serping1	3.16351402381097e-06	0.656689700682218	0.056718642932907	1	0.556	0.444
Dpysl3	4.18353730874501e-06	0.81460530039276	0.0750066404084894	1	0.889	0.111
Gfap	5.65123170693211e-06	1.29180759225095	0.101320933273586	1	1	0
Sulf1	7.89856085744947e-06	1.35896366210281	0.141613297613212	1	1	0
Tmeff2	8.06221856914218e-06	0.95333658322281	0.14454751672615	0.889	0.556	0.333
Plpp1	1.31813330397744e-05	0.653898901805002	0.236328120070114	1	1	0
Gldn	1.38824021850237e-05	0.541246651139895	0.24889758877529	0.667	0.111	0.556
Castor2	1.69797569179562e-05	0.916721083814132	0.304430061782036	1	1	0
Gng7	1.81332279462909e-05	0.751629388977931	0.325110643849049	1	0.889	0.111
Pawr	2.05824451811414e-05	0.828503731398524	0.369022659652684	1	1	0
Pnn	2.35014498378332e-05	-0.371353668044681	0.421357494142511	1	1	0
S1pr3	2.35791152064473e-05	0.662749221350206	0.422749956536393	1	1	0
Aspg	2.40572848118141e-05	0.772125947101032	0.431323059391015	1	1	0
Adamtsl3	2.40678493255565e-05	0.972321154367903	0.431512470557903	1	1	0
Cacna2d3	2.68665567060138e-05	0.631241491351508	0.481690495182122	1	0.778	0.222
Nlrc5	3.26912159543952e-05	0.704615659621769	0.586120810846351	1	1	0
Hsd17b12	3.38392483429668e-05	-0.460918512723877	0.606703883541051	1	1	0
Ddx60	3.60207981974681e-05	0.973955298588352	0.645816890882406	1	1	0
Sctr	3.69944491157029e-05	0.70549446092285	0.663273478195437	1	1	0
Gm4951	4.28050423829109e-05	0.852707365507675	0.76745160488321	0.889	1	0.111
Gna14	4.4293827024094e-05	0.415313243696847	0.794144024714981	1	0.333	0.667
Slc43a3	4.76998150800874e-05	0.628750021399894	0.855209984570887	1	0.778	0.222
Ggta1	5.16700070026192e-05	0.808116495957129	0.92639155554996	1	1	0
Il1r1	5.32663962453487e-05	0.765131027710491	0.955013218282857	0.889	0.556	0.333
Nars2	5.67460794542971e-05	0.649539041923203	1	1	1	0
Adam12	6.46418383167558e-05	0.611059658097532	1	1	1	0
Cpne8	6.92123912017416e-05	1.75073569932209	1	1	1	0
Socs3	6.94977501059091e-05	0.286505117516487	1	0.889	0.111	0.778
Fam241a	7.24455536675308e-05	-0.326056748254601	1	0.222	0.889	0.667
Asap3	7.84330771055504e-05	0.630743164149919	1	1	1	0
Pfn1	8.50172532819748e-05	0.394108405672593	1	1	0.556	0.444
Rsad2	8.72832381748361e-05	0.555119097496979	1	1	1	0
C4b	8.99783113964526e-05	1.02358832514543	1	1	1	0
Gbp2	9.88522127305673e-05	0.509126646128256	1	1	0.667	0.333
Rps7	9.93792933066655e-05	-0.519706877824635	1	0.667	1	0.333
Sbno2	0.00011425992201038	0.713622302278973	1	1	1	0
Itga5	0.000133091865828335	0.376715252290232	1	1	0.556	0.444
Bcl3	0.000179399927294738	0.470469732014516	1	0.889	0.444	0.445
Rai14	0.000182746486298106	0.543223696157635	1	1	0.889	0.111
Tnc	0.000188609174238776	-0.5258004310416	1	1	1	0
Sema3c	0.000195990372164187	0.463244770170253	1	0.889	0.333	0.556
Gbp5	0.000206344418449388	0.688552632531324	1	0.889	0.889	0
Cmya5	0.000208356461999155	0.429650424283839	1	1	1	0
Met	0.000214393308038808	0.72165705779951	1	0.889	0.778	0.111
Icam1	0.000215258008544696	0.394079554821928	1	0.889	0.444	0.445
Pappa	0.000215979285624835	0.469246544720148	1	1	0.778	0.222
Ppfibp1	0.000224377910062828	0.588025553818742	1	1	0.889	0.111
Iigp1	0.000245135904239767	0.79450549831746	1	0.889	0.444	0.445
Rgl1	0.000256414524569612	0.400124163028513	1	1	1	0
Piezo2	0.0002722662796029	0.211833035366034	1	0.889	0.111	0.778
Slco1a5	0.000291371754394441	0.411096976173185	1	1	0.556	0.444
Slc39a14	0.000307484955887931	0.532563544172819	1	1	1	0
Rapgef6	0.000324763015708259	0.447451675380007	1	1	1	0
Tnfaip8	0.000328231076136801	-0.330872278494772	1	1	1	0
Gja1	0.000329931356156805	-0.302077091915608	1	1	1	0
Srebf1	0.000334756519215822	-0.370618990421506	1	1	1	0
F830016B08Rik	0.000358341906235774	0.50133636303329	1	0.778	0.444	0.334
Arhgap31	0.000375612335163347	0.37510339648895	1	1	1	0
Cd44	0.000463248816707575	0.895888753521803	1	1	1	0
Pak3	0.000475900592589122	0.357637105066714	1	0.889	0.222	0.667
Mpdz	0.000505988440586663	0.420241300929669	1	1	1	0
Ifi44	0.00051332614688928	0.34820415604248	1	0.778	0.444	0.334
Sec24d	0.000530170308922842	0.720915394812961	1	1	1	0
Hes5	0.000572474364444181	-0.447366413012367	1	1	1	0
Rnf213	0.000583372585190106	0.390172994618911	1	1	1	0
Dst	0.00062014479908412	0.326508024501439	1	1	1	0
Cdkn2d	0.000628408619050171	-0.337982090056132	1	0.222	0.778	0.556
Nol10	0.000641719799710558	0.450380912368744	1	1	1	0
Neto2	0.000653073873848525	0.580605135498201	1	0.889	0.444	0.445
Ephx1	0.00069269378382152	0.524804591650105	1	1	1	0
Zfp36l1	0.00069780210270777	-0.30741080221626	1	1	1	0
Sgcd	0.000735930158070006	1.35468618005978	1	1	1	0
Oasl2	0.000745845676328218	0.793927650031117	1	0.889	0.889	0
Slc43a2	0.00075924315104535	0.510430809498492	1	1	1	0
Siah3	0.000788523506977586	0.498537423118389	1	0.889	0.444	0.445
Fbxl14	0.000809953372672861	-0.429992607284335	1	0.667	0.889	0.222
Arhgap5	0.000815982259190237	-0.170941539577986	1	1	1	0
Klhdc8b	0.00085177816381197	0.53914404522215	1	1	1	0
Sycp2	0.000887398278574685	-0.405869092025309	1	1	1	0
Nox4	0.000887535694455086	0.652060307138696	1	1	1	0
Prune1	0.000919895396281991	0.459916243600605	1	1	1	0
Slc4a10	0.00101744769477584	0.60975876352029	1	1	0.444	0.556
Baz2b	0.00106858578582078	-0.136108569164682	1	1	1	0
Uba2	0.00108319455024849	0.518760724284874	1	1	1	0
Slc5a3	0.00110863075982987	0.63444338608242	1	1	1	0
S100a10	0.00114410293254407	0.404481690125203	1	1	0.889	0.111
