gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	1.00093013989625e-07	-1.86874945101636	0.00179456764781999	1	1	0
Rora	4.15323162119548e-05	-1.23613756514186	0.744632897364139	1	1	0
Coro2a	6.18401130835622e-05	-2.4784867849548	1	0.6	1	0.4
Nckap5	0.000143434897933793	-1.04531224939223	1	1	1	0
Adipor2	0.000695890859564174	-0.887083055321864	1	1	1	0
Fmo2	0.0011816623830494	-1.36590072775433	1	1	1	0
Abcg2	0.00146536340103051	-0.730207050153552	1	1	1	0
Ubxn4	0.0016856855743272	2.54295703057145	1	1	0.75	0.25
Afap1l2	0.00176314464137142	0.993462031533643	1	1	1	0
Nt5c2	0.00204994931714406	-1.20329073514295	1	0.8	1	0.2
Ccdc85a	0.00262577029774849	-0.71628307980958	1	1	1	0
Pfkfb3	0.00306032587168382	-2.36936923554405	1	0.6	1	0.4
Dennd1b	0.00371860176160477	-1.12307903354372	1	1	1	0
Dcbld2	0.00404581379147288	-1.9184848496417	1	0.8	0.75	0.05
Plekhg1	0.00436671742605325	0.765702926968746	1	1	1	0
Rpl35a	0.00466662033815333	2.15616301134221	1	1	0	1
Clint1	0.00587027599257793	-0.856683681352949	1	1	1	0
Cyth3	0.00732143253769875	-1.02682951581619	1	1	1	0
Nebl	0.00790101004892639	-0.516020437460104	1	1	1	0
Pbx1	0.00852445868078135	0.55598148506255	1	1	1	0
Sgms1	0.00877887217355583	-0.535836264891942	1	1	1	0
Arih2	0.0088615435135567	1.50903084203656	1	1	0.75	0.25
Prag1	0.00919915380077365	-1.90215391552472	1	0.8	1	0.2
Gcnt1	0.00939240271509601	2.19854685414662	1	1	0.25	0.75
Rasal2	0.00984441757596213	-0.513681204128562	1	1	1	0
Por	0.00999059385722727	-1.20707933013188	1	0.8	1	0.2
Il1r1	0.0115045102883472	-0.66501280033932	1	1	1	0
Flt1	0.0119276288148539	0.470809398301225	1	1	1	0
Sema6a	0.0119935092548708	0.595449247664737	1	1	1	0
Magi1	0.0122606189564379	1.17866160671362	1	1	1	0
Naxe	0.0130626759964532	-2.40269142893942	1	0	0.75	0.75
Cfh	0.013900713908242	-0.736505380069995	1	1	1	0
Zhx3	0.0146746984245658	-0.903837934319633	1	1	1	0
Hlf	0.0160064193073142	-1.4876391343296	1	0.6	1	0.4
Gbf1	0.0161157931524493	-0.979710649223847	1	1	1	0
Cacul1	0.0170800693044354	-1.77415481867565	1	0.8	1	0.2
Tnks2	0.0172735559776576	-1.3600592024275	1	0.8	1	0.2
Nfia	0.0173567935936386	-0.690538630303716	1	1	1	0
Pitpnc1	0.017589135478049	0.467308726961553	1	1	1	0
Fam117b	0.0178394148659073	-0.916138390639647	1	1	1	0
Grk5	0.019182801354234	0.72685796200962	1	1	1	0
Sdha	0.0193165903340592	-1.8967728597781	1	0.6	0.75	0.15
Zmym6	0.0193371159770423	-2.54199151415993	1	0.2	0.75	0.55
Clic4	0.0194755481657385	0.638244468413968	1	1	1	0
Syne1	0.020682479938703	0.747049638499695	1	1	1	0
Ciz1	0.0211424653433466	1.75351597856938	1	0.8	0.25	0.55
Qser1	0.021282754470016	-1.39297950683063	1	0.8	1	0.2
Taf15	0.0213210660092822	-1.3001250283612	1	0.6	1	0.4
Gas6	0.0213802979609088	-1.93889029683947	1	0.6	0.75	0.15
Afg1l	0.0218916023312973	1.61182123740147	1	0.8	0.75	0.05
Lcp1	0.0222726547008835	-1.55542305456757	1	0.8	1	0.2
Mpp7	0.0224124977373492	1.27908743967667	1	1	0.75	0.25
Sae1	0.023245722180277	1.49032367485926	1	0.8	0.5	0.3
Clk1	0.0239301423431493	-0.890965774025227	1	1	1	0
Ppm1l	0.0241168095910481	1.92686652317087	1	1	0.25	0.75
Cyth1	0.024994503989905	-0.97108474502783	1	1	1	0
Mtdh	0.0255381436964757	-1.26592250427332	1	0.8	1	0.2
Crispld1	0.0260391955412786	-0.802464506266617	1	1	1	0
Ufsp2	0.0271058177044846	1.68074786746584	1	0.8	0	0.8
Dkk2	0.0272340222414619	1.52323288189645	1	0.8	0.25	0.55
Abcc4	0.028165474009531	-0.496258779637102	1	1	1	0
Snx19	0.0288609500441112	-2.30910578021191	1	0.4	0.75	0.35
Diaph1	0.0289217622950826	1.06088072961702	1	1	1	0
Capza2	0.028933906442542	1.91893302546286	1	0.8	0	0.8
Zfp949	0.0289469605308262	-2.17699168359667	1	0.2	1	0.8
Ranbp9	0.02918110862647	-0.868357962394887	1	1	1	0
Dapk1	0.0294642854546648	-1.41100819913441	1	0.6	1	0.4
Prkacb	0.0294906801476509	-1.60363245534593	1	0.8	1	0.2
Rasgrp3	0.0300777550640237	0.631037617292042	1	1	1	0
Brap	0.0303127784456818	1.20293529737422	1	0.8	0.5	0.3
Fbxl12	0.0312106051841176	-1.66091672023095	1	0.6	1	0.4
Rhoj	0.0314179120617654	0.756868398318634	1	1	1	0
Anapc5	0.0317823451939892	-1.98311597200478	1	0.4	1	0.6
Eda	0.0318518372501757	-1.84474874776493	1	0.6	0.75	0.15
Ralgapa2	0.0319586886110899	1.31835930270404	1	1	0.75	0.25
Marchf5	0.0325177891177538	2.06599661423388	1	0.8	0.25	0.55
Itga6	0.0326916955817533	0.774627161315843	1	1	1	0
Tmcc3	0.0330578541839945	-0.853689612553442	1	1	1	0
Atg3	0.0332070978084214	-1.99200693253378	1	0.4	1	0.6
Erbb4	0.0335133753182161	1.64261826128638	1	0.6	0	0.6
Pik3r3	0.0338092570293354	0.734540130049298	1	1	1	0
Rufy1	0.0345443260892056	-2.04560064940544	1	0.2	1	0.8
Ubl7	0.0345619320727631	-1.79853996916602	1	0.4	1	0.6
Sorbs3	0.0357557562135219	-1.57806256756345	1	0.6	0.75	0.15
Rnpc3	0.0360106381357623	-2.26341308357171	1	0.2	0.75	0.55
Etl4	0.0361697099710402	1.40557186490862	1	0.8	0.5	0.3
Ube4a	0.0362999588764024	-1.97853897781824	1	0.6	1	0.4
Ddx3x	0.0363624987131426	1.21096709968646	1	1	1	0
Rbm4	0.0369888215123839	1.70238870646193	1	0.8	0.25	0.55
Kl	0.0371810467791777	-2.28936645325534	1	0.2	0.75	0.55
Slc7a5	0.0373538814691242	-0.870061791496333	1	1	1	0
Tef	0.0374074587058715	-1.41222798735676	1	0.8	1	0.2
Ets1	0.0376805286040397	1.01400412682733	1	1	1	0
Pdxdc1	0.0379784872184981	1.18065350166913	1	0.8	0.75	0.05
Cops5	0.0385795592898643	-2.11698325014885	1	0	0.75	0.75
Hnrnpul2	0.0398360500174558	1.91849052101295	1	1	0.25	0.75
Invs	0.0404329091023	0.834929609276248	1	1	1	0
Cmip	0.0404460893145272	1.48162818738602	1	0.8	0.5	0.3
Zfand6	0.0405822099424737	0.871222288275249	1	1	1	0
Pcdh19	0.0406426617260061	-0.873291944100679	1	0.8	1	0.2
Otud5	0.0413617906258588	-2.00183530122565	1	0.4	1	0.6
Amer1	0.0415678053634795	-1.95761435516651	1	0.4	1	0.6
Dbp	0.0415797367804399	-1.81206652513013	1	0.4	0.75	0.35
Cdk17	0.042449368163017	0.679645744199392	1	1	1	0
Hdac9	0.0427083250132741	0.604350423749344	1	1	1	0
Lmcd1	0.0430260595509172	1.78196782653999	1	0.8	0.25	0.55
Prpf6	0.0434074691435466	1.34052507734357	1	0.8	0.75	0.05
Rabep2	0.0434579526807789	1.60504928779616	1	1	0.5	0.5
Ptma	0.0435296220678165	1.49342331352125	1	1	0.5	0.5
Fermt2	0.0438528165877812	0.729563469384132	1	1	1	0
Ralbp1	0.0438695526846462	-1.83047282195161	1	0.6	0.75	0.15
Scoc	0.0439924309160956	1.59774021091187	1	0.8	0	0.8
Xdh	0.0441480210661285	-0.527151256847881	1	1	1	0
Myrip	0.0446101461492421	-0.763216513688016	1	1	1	0
Rbm10	0.0446850540252375	1.14549132969254	1	1	0.5	0.5
Ccdc58	0.0451731799085933	-1.99840791416422	1	0.2	1	0.8
Pknox2	0.0452402727119452	-1.72539007998199	1	0.8	1	0.2
Scarf1	0.0471401027240087	1.22273403252208	1	1	1	0
Nuak1	0.0480148322111924	1.0408754910968	1	1	1	0
Pdia5	0.0480373554046657	1.05654473928667	1	1	0.5	0.5
Ndufs4	0.0480525080405567	-1.58827665011768	1	0.6	1	0.4
Flnb	0.0481899936666051	0.70730878488104	1	1	1	0
Samd12	0.0482508902687907	0.548318557322495	1	1	1	0
Fam114a2	0.0490066333215084	0.949424679059165	1	0.6	0.25	0.35
Slc16a2	0.0494505279345198	-0.404794424205604	1	1	1	0
Ankrd13a	0.0496148716522482	-0.733665839118196	1	0.8	1	0.2
Ppp1r16b	0.0496859922527832	0.845574831465074	1	1	1	0
Papola	0.0502099711935682	1.34805619330702	1	0.8	0.75	0.05
Nacc2	0.0504983673685127	1.32848472057346	1	0.8	0.5	0.3
Nudt13	0.0513085610801062	-1.40817183928684	1	0.6	1	0.4
Commd3	0.0516477212273797	1.70831033191013	1	0.8	0	0.8
Olfml2a	0.0518122730587729	1.48878783259426	1	0.8	0.25	0.55
Nek6	0.0526735924016929	1.46508015977908	1	0.6	0	0.6
Pbdc1	0.0535085821573234	1.83195421523018	1	1	0.25	0.75
Atp11c	0.0538399509155823	0.594684784433847	1	1	1	0
Tbx3	0.054646939717823	1.50239197860546	1	1	0.5	0.5
Ubr2	0.0549991212911654	-1.46625784567451	1	0.8	1	0.2
Setd7	0.0552500854064963	-2.02046455537477	1	0.2	0.75	0.55
Pds5b	0.0552873490033514	-0.733282323397432	1	1	1	0
Rbm34	0.0557726473773353	-2.02320293183606	1	0.2	0.75	0.55
Wdr76	0.0559417825541679	-0.815628867964976	1	0.8	1	0.2
Ube2j2	0.0562629929825276	1.37402336526575	1	0.8	0.25	0.55
Tspan5	0.0562906637775272	0.423586773100803	1	1	1	0
Dgcr8	0.0564835933268265	-1.95552757737624	1	0.4	1	0.6
Megf6	0.0565532949449846	-1.3291011962552	1	0.8	1	0.2
Brd2	0.0567593303324251	1.45409783309392	1	0.8	0.25	0.55
Cand1	0.0570853324205971	-1.82617435496278	1	0.2	0.75	0.55
Gtpbp1	0.0579006697166872	-1.78433667219815	1	0.4	0.75	0.35
Kdelr1	0.0581511667703327	1.60047432332796	1	1	0	1
Ttll7	0.0582733028401398	-1.03364233545854	1	0.8	1	0.2
Hira	0.0586215765215561	-1.20269803370432	1	1	1	0
Sdf2	0.0587255334571452	1.58063014893307	1	0.8	0.25	0.55
Pced1b	0.0587544426884648	-0.776154177987358	1	1	1	0
Net1	0.0587740616570745	-1.13336452661428	1	0.8	1	0.2
Epb41l2	0.0592914382561155	-0.855911524323427	1	1	1	0
Magi3	0.0593485345848317	-0.531914171277126	1	1	1	0
Selenot	0.0594790912815759	-1.99431216209715	1	0.4	1	0.6
Pam	0.0596239760866983	-0.67316127745384	1	1	1	0
Ralgapa1	0.0603729778059299	0.504555954934813	1	1	1	0
Chtop	0.0604534662972066	-1.80704275012566	1	0.4	0.75	0.35
Ets2	0.0608459144289203	1.608573372257	1	1	0.5	0.5
Aamdc	0.0615480320935981	-2.03884737258349	1	0.4	1	0.6
Dock9	0.0618300194863922	-0.36942595439322	1	1	1	0
Zfp292	0.0619875946920463	-0.737800032563371	1	1	1	0
Eif2ak4	0.0622642539091386	-1.56070808777998	1	0.6	0.75	0.15
Cmas	0.0631057542193835	-1.73858798350611	1	0.6	1	0.4
Tbc1d4	0.064242455653376	-0.459937437391322	1	1	1	0
Ccm2	0.0643655319474808	-1.20588228577156	1	0.8	1	0.2
Fggy	0.0645252443167339	-1.9127452261601	1	0.4	1	0.6
Reck	0.0646097941127482	0.564090007509658	1	1	1	0
Ndufb7	0.0647759207333393	1.65903446100892	1	0.8	0	0.8
Fmnl2	0.0649586808068002	-0.498218426836071	1	1	1	0
Sorbs1	0.0650605099074505	-0.43759367073404	1	1	1	0
Shroom2	0.0658014205961795	-0.918486109292052	1	1	1	0
Btbd1	0.0660959077070938	0.955060653543642	1	1	1	0
Med15	0.066439746226064	-1.15904600738486	1	0.8	1	0.2
Tpd52l1	0.0665766003759949	1.44837309825839	1	1	0.5	0.5
Sel1l	0.066645482580705	1.76309114179868	1	0.8	0.25	0.55
Ahcyl1	0.0673993225469327	-1.45891411122621	1	0.6	1	0.4
Pcyt1a	0.0675142957340937	-1.05464785195925	1	0.6	1	0.4
Arap2	0.0678402730948937	0.875687918112039	1	1	1	0
Mcf2l	0.0679881653471731	-0.589239756191704	1	1	1	0
Utp14a	0.0682985832575977	1.49047860614642	1	1	0.5	0.5
Trappc8	0.0686207486917975	1.29787999274852	1	1	0.75	0.25
Rpl30	0.068832652276926	1.29573965918729	1	1	0.25	0.75
Klf4	0.0693321498269214	1.13310161140662	1	1	1	0
Polr2a	0.070264940502352	1.28351449664438	1	1	0.75	0.25
Tgfb2	0.0702955724856759	-0.463293983363764	1	1	1	0
Stx7	0.0707860030341414	-1.53981866754078	1	0.6	1	0.4
Sirt1	0.0715655914084703	-1.06984267918869	1	0.4	1	0.6
Dennd3	0.0715835378883399	0.722907503190651	1	1	1	0
Inpp5f	0.0722724564824909	-0.698256423220355	1	1	1	0
Fgfr1	0.0727469404736102	-1.9868974373745	1	0.4	0.5	0.1
Oma1	0.0729136268131291	-1.24422086632454	1	0.8	1	0.2
Zfp423	0.0731225913303044	0.782495658681973	1	1	1	0
Ifnar2	0.0738135504618763	0.671982217759394	1	1	1	0
Rpl13a	0.0744942245354003	1.37321789193711	1	0.8	0.75	0.05
Usp15	0.0746847868798458	0.670886090425268	1	1	1	0
Mettl14	0.0750685205797945	-2.00620699191603	1	0.2	0.75	0.55
Xpo7	0.0752252277304131	0.903060107406306	1	1	0.75	0.25
Cfl2	0.0762536479568596	-1.42964363758498	1	0.6	1	0.4
Il15ra	0.0768335665532115	-1.06073162750143	1	0.6	0.75	0.15
Dusp1	0.077261007659604	1.35838089554896	1	0.8	0.25	0.55
Sar1a	0.077731673369763	-1.81033064571657	1	0.2	0.75	0.55
Nr1d2	0.0778788825953267	-0.516756966005098	1	1	1	0
Fam193b	0.0779406545148154	1.31008772719763	1	1	0.75	0.25
Irf3	0.0784457869888446	-1.30180894158846	1	0.8	1	0.2
Cope	0.0786681571632963	1.32012235806447	1	1	0.25	0.75
Axin1	0.0793925824223585	1.35394073711439	1	0.8	0.5	0.3
Ssh1	0.0801205985427801	1.45576357630538	1	0.8	0.25	0.55
Vps35l	0.080127304828288	-1.80745796141216	1	0.4	1	0.6
Arhgap26	0.0805609354888466	-0.620867601787278	1	1	1	0
Mettl25	0.0810036299135154	-1.42847671866705	1	0.4	0.75	0.35
Taf3	0.0812109485383371	-0.790653526990364	1	1	1	0
Fam13a	0.0820799309311391	-0.810881495192869	1	0.8	1	0.2
Wdr43	0.0821027135183361	-1.87664874894042	1	0.2	0.75	0.55
Serpinb9	0.0822572645615155	-1.67247026363513	1	0.4	0.75	0.35
Cldn5	0.0824376612571553	0.824632252764939	1	1	1	0
Iah1	0.0827210703770956	1.33654633758234	1	0.8	0	0.8
Setd2	0.0831483122795698	0.664299235664584	1	1	0.75	0.25
Inip	0.0832535424513807	-1.94015107188357	1	0.2	0.75	0.55
Pogz	0.0839225267638679	-1.45735442457444	1	0.6	0.75	0.15
Adamts1	0.0840016952124299	0.882841756368255	1	1	1	0
Prex2	0.0842363284057023	-0.392688450563369	1	1	1	0
Usp24	0.0842958660236453	-1.15937342419686	1	0.8	1	0.2
Nav1	0.0853263585535789	0.41228449193359	1	1	1	0
Anp32e	0.0856481224923999	-1.83865528115749	1	0.2	1	0.8
Sumo2	0.0857975459736984	0.913695827089676	1	0.8	0.75	0.05
Dock4	0.0864498320699056	0.52836008580684	1	1	1	0
Apobec3	0.0867078312468949	-0.823295313329877	1	1	1	0
Akap7	0.086873663896373	-1.07021164727918	1	0.8	1	0.2
Tmem87b	0.0874100537485006	-1.30726865598422	1	0.8	1	0.2
Dock5	0.0877891940183144	-1.60444189497875	1	0.8	0.75	0.05
Traf6	0.087801304197968	-1.62850196525995	1	0.6	1	0.4
Nr1d1	0.088027839833714	-1.5282770915731	1	0.6	1	0.4
Nipa2	0.0881363976370741	-1.40660019865987	1	0.6	0.75	0.15
Fut8	0.0883176748326657	0.498690313659114	1	1	1	0
Ankrd12	0.0886884190555661	-0.545407535807684	1	1	1	0
Tmtc1	0.0887740514721144	-0.427555429365798	1	1	1	0
2310033P09Rik	0.0888581039497995	1.54276041556904	1	0.8	0	0.8
Plcl1	0.088938441000803	0.526575512916946	1	0.8	0.5	0.3
Csde1	0.0889800667617545	1.05522072797809	1	1	1	0
Nck1	0.0891224789578269	0.604986385263028	1	1	1	0
Zup1	0.0892129337697799	-1.27602356356871	1	0.8	1	0.2
Sparcl1	0.0892515806557837	-0.67288843863291	1	1	1	0
Dcaf13	0.0898266723961205	1.3353430453838	1	0.8	0.25	0.55
Ppp4r1	0.0899338322836625	1.215210310248	1	0.8	0.5	0.3
Nenf	0.0907266147883149	-2.00894219777845	1	0	0.75	0.75
Mbnl2	0.0912677642551879	-0.522347135046074	1	1	1	0
Ctnna1	0.091499837419609	-0.633938996420571	1	1	1	0
AW554918	0.0915565139017559	0.68150704797904	1	1	1	0
Golga4	0.0918463690635867	-1.53754652500418	1	0.6	0.75	0.15
Bcar1	0.0919035926561818	1.40038461548582	1	1	0.5	0.5
Ifi44	0.0921327918424069	1.35560336941709	1	0.8	0.25	0.55
Rnf14	0.0921511262884199	-1.1268637537343	1	0.8	1	0.2
Tmx3	0.0922434387909717	-1.80721549099628	1	0.6	1	0.4
Ptp4a2	0.0924241313349361	0.823630446132535	1	1	0.75	0.25
Hcfc1	0.0931768000895923	-1.89182724913278	1	0	0.75	0.75
Msl3	0.0934445374713192	1.52795560737512	1	1	0.25	0.75
Coro1c	0.0937230207972332	1.3241396001143	1	0.8	0.5	0.3
Susd6	0.093940304950828	-0.366358009387822	1	1	1	0
Gstt2	0.0940541179935617	-1.25649481020408	1	0.8	1	0.2
Cep85l	0.0943267794816101	1.00067966594678	1	1	1	0
Ier3	0.0945414396038523	-1.35118264302781	1	0.8	1	0.2
Cct8	0.0955486260940272	-2.01134115797614	1	0	0.5	0.5
Nfix	0.0955889476472145	-1.53204939929246	1	0.8	1	0.2
Eng	0.0956801693408424	0.572158051058695	1	1	1	0
Capns1	0.0959780171529496	1.35084485443431	1	1	0.5	0.5
Pnpla6	0.0961470243253129	1.01686476901967	1	1	0.75	0.25
Fancc	0.0962047986002229	1.31234216990631	1	1	0.75	0.25
Fchsd2	0.0968950835361746	0.242144775102032	1	1	1	0
Ndel1	0.097108754004119	1.1148453752784	1	1	1	0
