gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Syne1	0.000154508044174947	1.58480796235884	1	1	1	0
Coro2a	0.000200343677821955	-2.86174297228843	1	0.6	1	0.4
Flt1	0.000641621976028061	0.638137785885069	1	1	1	0
Tef	0.00122179876626873	-2.50282016605851	1	0.8	0.667	0.133
Khdrbs1	0.00222903098895014	-2.40277265442757	1	0.8	1	0.2
Fam168a	0.00226612915364578	-2.57715852433589	1	0.6	1	0.4
Plxdc2	0.00229257324333112	-3.48278846897012	1	0.8	1	0.2
Limch1	0.00261327187205254	0.785090658301383	1	1	1	0
Usp25	0.00300859833831658	2.95134148463528	1	1	0.333	0.667
Aamdc	0.00317502145954248	-3.13480819014298	1	0.4	0.667	0.267
Pde4d	0.00331795448771346	1.25769732433636	1	1	1	0
Alkbh3	0.00371230937454312	-3.19001750463058	1	0.4	0.667	0.267
Arid1b	0.00509228757444134	1.67859978600017	1	1	0.667	0.333
Egfl7	0.00528249729646387	1.063965323607	1	1	1	0
Cyyr1	0.00583243504392314	0.523015290659807	1	1	1	0
Apoe	0.00588782681739574	-1.71605322315339	1	1	1	0
Pfkfb3	0.00590074854090009	-2.6067769559046	1	0.4	0.667	0.267
Zbtb16	0.00611646494823121	-1.4868900799605	1	1	1	0
Supt6	0.00724615652635612	-2.97232424428986	1	0.4	1	0.6
Kifc3	0.00740135541089395	-2.06244381268416	1	0.6	1	0.4
Snx19	0.00827823635632995	-2.70488717936045	1	0.4	0.667	0.267
Rbms3	0.0089595533765603	-2.42498047955211	1	0.6	1	0.4
Pnn	0.00946557502999685	-2.67961786070214	1	0.8	1	0.2
Taf15	0.010049104361248	-1.98976078793641	1	0.8	1	0.2
Fnip1	0.010197270052796	-2.6004233135273	1	0.6	1	0.4
Nr1d2	0.0105843376291424	-1.68994428708367	1	0.8	1	0.2
Zfand6	0.0106485356032292	1.45701035998276	1	1	1	0
Atg3	0.0107762331818821	-2.58991028217955	1	0.4	0.667	0.267
Usp6nl	0.0110474943535129	2.30403609956834	1	1	0.333	0.667
Kif13a	0.0114095148745234	-1.24500951660826	1	1	1	0
Sorbs2	0.011463421678839	0.736665676330326	1	1	1	0
Fam13c	0.0118879403990677	1.0923019836921	1	1	0.667	0.333
Nfix	0.0138921455590272	-1.92143196411008	1	0.8	0.667	0.133
Wdfy3	0.0141898704870069	-1.33683313067692	1	1	1	0
Macf1	0.0143719570435368	0.616131626534497	1	1	1	0
Kl	0.0144667481286397	-2.78300850483837	1	0.4	0.667	0.267
Vwf	0.0145202806336536	-0.827100574747539	1	1	1	0
Eif4g3	0.0148223867617438	2.25874295126425	1	1	0	1
Trmt9b	0.0152182063871502	-2.70179558229782	1	0.2	0.667	0.467
Plcb1	0.0153250609577496	0.463316683277721	1	1	1	0
Dcp1b	0.015479496408849	-2.28003583071519	1	0.6	1	0.4
Pld1	0.0157283736820796	-1.80650639243395	1	0.8	1	0.2
Trappc11	0.0158233549605937	-3.00509568925371	1	0.2	0.667	0.467
Prrc2b	0.0159470072741144	-1.99757904137088	1	0.8	1	0.2
Gcnt1	0.0164176855421228	2.43845507253332	1	1	0	1
Adgrl4	0.0168299985173072	0.500680522719544	1	1	1	0
Fmnl2	0.017261730643991	-0.733234485903312	1	1	1	0
Rprd2	0.0182541884236247	-2.02376639061972	1	0.8	1	0.2
Daam1	0.0184874462055421	-1.61034436794005	1	1	0.667	0.333
Pik3r3	0.0194968941476011	1.12747370944202	1	1	1	0
Cdh13	0.0196782317294828	0.980215264390497	1	1	1	0
