gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	1.56802242835169e-05	-1.90216660900984	0.281130741179174	0.8	1	0.2
Ttll7	5.43913718030929e-05	-2.16427720410031	0.975182905057652	0.6	1	0.4
Plekhg1	0.000198671397928692	1.18894317977637	1	1	1	0
Dgkh	0.000390174233710124	-2.29118473172309	1	0.6	1	0.4
Gpcpd1	0.000548639683607766	-0.68925052767997	1	1	1	0
Zfp423	0.00070695214079442	1.44547347571548	1	1	1	0
Dcbld2	0.00083162596525207	-2.54637798360146	1	0.6	1	0.4
Dbp	0.000970829243356125	-2.88074908858591	1	0.2	1	0.8
Nt5c2	0.00118357812353145	-1.44928508347834	1	0.8	1	0.2
Rcan2	0.00125903602682555	-1.58607402763698	1	0.8	1	0.2
Pbx1	0.00175456907243123	0.655933053049166	1	0.8	1	0.2
Sema6a	0.00208419116555582	0.712192258495718	1	1	1	0
Nckap5	0.00225148284236695	-1.18706780798382	1	1	1	0
Ccdc85a	0.00255522218652941	-0.479881225568672	1	1	1	0
Esr1	0.00321148570476144	1.3887499499138	1	1	1	0
Fmo2	0.00323424897939921	-1.46171871813914	1	0.8	1	0.2
Rundc3b	0.00335422820947218	-0.618846801515127	1	1	1	0
Akt3	0.00361982755080032	-0.776335387279218	1	1	1	0
Afap1l2	0.00377758125910335	1.19580303001558	1	1	1	0
Ccdc191	0.00423903080200477	2.35727288093674	1	0.6	0.2	0.4
Rbm27	0.00463487486359394	-1.67974293601395	1	0.8	1	0.2
Eif2s2	0.00522414238477744	-2.42832021517775	1	0.4	1	0.6
Tgfb2	0.00595558722341518	-1.04280369347756	1	0.8	1	0.2
Per3	0.00638757631121486	-1.6652532847605	1	0.6	1	0.4
Adipor2	0.00737837556265196	-0.776787060744045	1	1	1	0
Gpc6	0.00767222029002452	1.80160505263808	1	0.8	0.8	0
Arhgap18	0.00792341590906379	1.36778468722149	1	0.6	0.8	0.2
Plcl1	0.00800998042299247	2.27969974859523	1	0.8	0.6	0.2
Hlf	0.0080583976962002	-2.27823641477467	1	0.4	1	0.6
Pik3ip1	0.00870204276035889	-2.30390926760514	1	0.4	1	0.6
Mcf2l	0.00879229204505433	-1.13982097270627	1	0.8	1	0.2
Pcca	0.00934930315760639	0.855556258143156	1	1	1	0
Coro2a	0.0096958463300073	-1.60554139821915	1	0.6	1	0.4
Mpzl1	0.0109352363569323	0.588391259078163	1	0.8	1	0.2
Abcg2	0.0109360804036795	-0.70387026735705	1	1	1	0
Tmcc3	0.0112236910476576	-0.773810721576969	1	1	1	0
Tef	0.0115156288771242	-1.72136636119042	1	0.4	1	0.6
Nebl	0.0115309575351156	-0.308371313417355	1	1	1	0
Nhs	0.0118736563530097	1.20410136592374	1	1	1	0
Rasal2	0.0124952041820677	-0.539210764212734	1	1	1	0
Tmed10	0.0131378444864057	-2.43602561686855	1	0.2	1	0.8
Sorbs3	0.0134663430820583	-1.87274265572431	1	0.4	1	0.6
Ccdc58	0.0135317010813714	-2.51392069139182	1	0	1	1
Eef2	0.0138452546911117	2.37546276923887	1	1	0.6	0.4
Mgp	0.0138677103340802	-0.720871991703654	1	1	1	0
Mtrex	0.0156731249045994	-2.4373169801126	1	0	1	1
Ogt	0.0160715152278703	-0.943931286069183	1	0.8	1	0.2
Itpr1	0.0160777874884196	1.06910579901786	1	1	1	0
Pou2f1	0.0164979310056959	-1.58325004552878	1	0.6	1	0.4
Slco2a1	0.0168374242108882	1.87874887859701	1	0.6	0.4	0.2
Trak1	0.0170642852500433	-1.6682218367907	1	0.6	1	0.4
Sgms1	0.0173099071761476	-0.453385074785931	1	1	1	0
Frmd5	0.0174884387387656	0.534763628941891	1	1	1	0
Ndufs4	0.0180438745405826	-2.06546272118827	1	0.4	1	0.6
Grk5	0.0180597289138782	0.797034845646355	1	1	1	0
Sae1	0.0180887348279091	1.68863398199537	1	0.8	0.6	0.2
Net1	0.0180890991830479	-1.71572083795823	1	0.6	1	0.4
Tacc2	0.0184555687622207	-1.7413965016192	1	0.4	1	0.6
Kcnma1	0.0187683800268168	2.01862986754518	1	0.4	0.2	0.2
Klhl2	0.0187751232714719	-0.617061747780822	1	1	1	0
Ubr5	0.0188460643084061	-1.97160759022019	1	0.4	1	0.6
Tfrc	0.0188531472508017	-0.722372393665879	1	0.8	1	0.2
Lama1	0.0188963799489676	2.55259524606989	1	0.8	0.4	0.4
Plcb1	0.0198214136901086	-0.472745597714233	1	1	1	0
Pitpnc1	0.0204490158767946	0.384432341397163	1	0.8	1	0.2
Dnaja1	0.0216613281860776	-1.44481580165249	1	0.2	1	0.8
Prpf4b	0.0222884077537132	-0.479651402271491	1	1	1	0
Etl4	0.0225061715664048	1.18959039804404	1	0.6	0.8	0.2
Myo1b	0.0229245675478992	0.99539924872009	1	1	1	0
Pbdc1	0.023032163666929	1.70321950333342	1	0.8	0.4	0.4
Txnip	0.0236535516614398	-1.92318907689544	1	0.2	0.8	0.6
Clk1	0.0238306553181092	-0.293450306304771	1	1	1	0
Tmx3	0.0240018579053925	-2.3009094153623	1	0.4	1	0.6
Slc30a9	0.0252273622742144	-2.27547016847349	1	0.2	1	0.8
Mta3	0.0253458297343536	-2.31284037334611	1	0.2	1	0.8
Timp3	0.0254740353998466	-1.23837215467296	1	0.8	1	0.2
Afap1l1	0.0260407527492703	1.12434727576883	1	1	1	0
Serinc5	0.0262900447214554	1.22017543776844	1	0.8	1	0.2
Tamalin	0.0263465545117813	-1.9329663104586	1	0.4	1	0.6
Cldn5	0.0263832948906466	0.768564230168038	1	1	1	0
Lcp1	0.0270279071816794	-1.79348002394557	1	0.6	1	0.4
Bcl2l1	0.0279107608952019	-1.10950121458959	1	0.8	1	0.2
Dusp1	0.0282816049317647	1.83275530819619	1	0.6	0.2	0.4
Nckap5l	0.0286116830398564	2.58899128048995	1	0.8	0.4	0.4
Scarf1	0.0289915584954406	1.4684659352967	1	1	1	0
Ankrd12	0.0292279300251418	-0.705762512639222	1	1	1	0
Ube2v2	0.0295747801118418	-1.52447489639162	1	0.6	1	0.4
Itga5	0.0306660819480827	1.81242632093425	1	1	1	0
Gopc	0.0309454578962637	1.05669242058965	1	0.8	0.8	0
Kremen1	0.0309830153365561	1.01030627760315	1	0.8	1	0.2
Mthfd1l	0.031179233851069	-2.33124801926889	1	0.2	0.8	0.6
Flt4	0.0315726449329609	2.25621456645408	1	1	1	0
D16Ertd472e	0.031653855925713	1.35314932179633	1	0.8	0.8	0
Kdm6a	0.0323214663884563	-0.754906720999672	1	1	1	0
Ralbp1	0.0325010918287979	-1.84805747208813	1	0.6	0.8	0.2
Rbm43	0.0325143174233631	2.25946486863721	1	0.8	0.2	0.6
Nr1d2	0.0328351102208663	-1.166137829922	1	0.6	1	0.4
Slc2a1	0.0329722694056929	-0.16570806207374	1	1	1	0
Txlnb	0.0334309846772062	-1.56364262313321	1	0.4	1	0.6
Cct4	0.0335970507965978	2.21685986467752	1	0.8	0.6	0.2
Capns1	0.0336851530844843	2.23799646803525	1	1	0.4	0.6
Fbxl12	0.0337464424718249	-1.95956179250753	1	0.4	1	0.6
Tnks2	0.034078793999679	0.048204553342601	1	0.8	1	0.2
Ptgs1	0.0343293571276512	1.7736525460197	1	0.6	0	0.6
Ranbp9	0.0344034570733503	-0.987965911095158	1	0.8	1	0.2
Micall1	0.0345429082516344	1.49973888607428	1	0.8	0.6	0.2
Pdia5	0.0346679167055474	1.79412728517971	1	0.8	0.4	0.4
Rpl35a	0.0348016891176543	1.80280708376078	1	0.8	0.2	0.6
Nxn	0.0348810000873564	0.683184749436013	1	1	1	0
Atp8a1	0.0349135000189661	-0.454607605996381	1	1	1	0
Ptgs2	0.0356615044542044	1.95707508588335	1	1	0.8	0.2
Zfp729a	0.0358086366062054	2.60171031557801	1	0.8	0.4	0.4
