gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb16	2.41183865530378e-08	-1.79443617683151	0.000432418552509414	0.9	1	0.1
Coro2a	1.38362460045723e-06	-2.26709066502357	0.0248070054615977	0.6	1	0.4
Ccdc85a	8.86477593353063e-06	-0.631079740001145	0.158936567712271	1	1	0
Tef	1.02012988048211e-05	-2.29277742918884	0.182899086271638	0.6	0.875	0.275
Hlf	5.21667019608599e-05	-2.33547063529834	0.935296799456257	0.4	1	0.6
Plekhg1	6.17752442605157e-05	0.84528026799283	1	1	1	0
Nr1d2	8.97186760852855e-05	-1.44375564641493	1	0.7	1	0.3
Pfkfb3	0.000170937213971142	-2.75906654890253	1	0.4	0.875	0.475
Fmo2	0.000174556803031616	-1.18366583787844	1	0.9	0.875	0.025
Zfp423	0.00023188526765011	1.06434508488518	1	1	1	0
Rasal2	0.000333323318600872	-0.53440851228861	1	1	1	0
Fam168a	0.000396003455474127	-2.27982368394278	1	0.5	1	0.5
Por	0.000449863606642296	-1.63811009203229	1	0.7	1	0.3
Nt5c2	0.000458927274399021	-1.33122793736607	1	0.8	0.875	0.075
Mcf2l	0.000483819355111182	-1.11703911668193	1	0.8	1	0.2
Dusp1	0.000734989536078413	2.45672482248326	1	0.8	0.125	0.675
Nckap5	0.000824494826039028	-0.866364391883792	1	1	1	0
Gcnt1	0.000966861383657999	2.38288977964928	1	0.8	0.375	0.425
Dbp	0.00105839565186209	-2.58358761730158	1	0.2	0.75	0.55
Rhoj	0.00107645293644472	0.937442782116728	1	1	0.875	0.125
Afap1l2	0.00121513562912014	0.832619760144611	1	1	1	0
Syne1	0.00122098475204113	0.796730416744723	1	1	1	0
Tmx3	0.00138493898635153	-2.21983818584584	1	0.6	0.875	0.275
Med15	0.00193060452115223	-1.37879934986715	1	0.7	0.875	0.175
Pitpnc1	0.00199582624023579	0.276392449317131	1	0.9	1	0.1
Abcg2	0.00206794276836908	-0.471693009329434	1	1	1	0
Lmcd1	0.0023213428616147	2.11376331300057	1	0.8	0.5	0.3
Pitpnb	0.00232479441471619	-1.99945752572824	1	0.5	0.875	0.375
Fam117b	0.00254031778471769	-0.694359730550283	1	1	1	0
Fam13a	0.00278566103198218	-1.51175260323257	1	0.7	1	0.3
Arl15	0.00280684065284312	0.73337657177531	1	1	1	0
Ankrd12	0.0029275469527776	-0.596635862408116	1	1	0.875	0.125
Magi3	0.00301915448496766	-0.441804057304067	1	1	1	0
Zfand6	0.00319861207651849	0.856403041731857	1	0.9	1	0.1
Tbc1d4	0.00336844605934957	-0.42323752329741	1	1	1	0
Ranbp9	0.0033709800770442	-0.746856240693242	1	0.9	1	0.1
Etl4	0.00348171566688747	1.43069919419256	1	0.7	0.625	0.075
Wdfy3	0.0039502669536228	-0.671504830225481	1	1	1	0
Prpf4b	0.0042386182998087	-0.564101808759152	1	1	1	0
Pde4b	0.00429822448639537	2.26438486652265	1	0.4	0.375	0.025
Prkacb	0.00448675852942765	-1.23536006269936	1	0.8	1	0.2
Fmnl2	0.00454195808211229	-0.596155335157846	1	1	1	0
Reck	0.00465940633081004	0.611121813723488	1	1	1	0
Ubr2	0.0049523287614432	-0.671226482312298	1	0.9	0.875	0.025
Dcbld2	0.00509424254992232	-1.50770122896575	1	0.8	0.625	0.175
Dennd1b	0.00523641950315792	-0.61664435345389	1	1	1	0
Snx24	0.00528514995917383	1.10600709646967	1	1	0.875	0.125
Hira	0.00531593553004687	-1.69144440762464	1	0.7	1	0.3
Fbxl12	0.00577307520569554	-1.81563764593601	1	0.5	1	0.5
Sema6a	0.00587982809459841	0.509074187422991	1	1	1	0
Dgkh	0.00601029671304177	-1.50388341270724	1	0.7	0.75	0.05
Sorbs1	0.00616162842698808	-0.44820363912525	1	1	1	0
Per3	0.00620668607340399	-1.55452799709747	1	0.6	0.875	0.275
Pik3ip1	0.00650268207060559	-1.7286364341229	1	0.6	1	0.4
Xdh	0.00652311342303952	-0.452849054478764	1	1	1	0
Atg3	0.00688601603931347	-1.85342476910921	1	0.5	0.875	0.375
Plxna2	0.00752847437558677	-0.364908632537705	1	1	1	0
Trak1	0.00754179646743454	-1.59091779197762	1	0.6	1	0.4
Ddx3x	0.00793999308765278	1.11740875114686	1	0.9	0.875	0.025
Ttll7	0.00815587542480354	-0.979076052033125	1	0.8	0.875	0.075
Crispld1	0.00845290857633414	-0.758573373354153	1	0.9	1	0.1
Grk5	0.00870864309950837	0.569292877290333	1	1	1	0
Mpzl1	0.00885096100085689	0.485693651916318	1	0.9	1	0.1
Kcnip4	0.00933600256451481	2.41487016794594	1	0.5	0	0.5
Hs3st1	0.00958190487518425	0.725098462520751	1	0.9	0.875	0.025
Mapk8ip3	0.00966563341506699	-2.25297674310116	1	0.5	1	0.5
Ahcyl1	0.0102419407164867	-1.93559927360816	1	0.5	0.875	0.375
Ier3	0.0107019384331827	-1.73016766413709	1	0.6	0.875	0.275
