gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Acvr2a	0.000131934922205637	-3.62657627772786	1	0.25	1	0.75
Kif2a	0.000296501815603923	-2.18600037180394	1	0.75	1	0.25
Clint1	0.00059786182614658	0.982736830384455	1	1	1	0
Flrt2	0.000817308444252221	1.21732109871651	1	1	1	0
Adipor2	0.00101649081438438	1.17874714564422	1	1	1	0
Cfh	0.00117711615988649	0.7310995414478	1	1	1	0
Xpo7	0.00247745760085866	-1.70620874166224	1	0.75	1	0.25
Dync1i2	0.00279580971983054	-2.20470879359204	1	0.75	1	0.25
Samd12	0.00338399889124053	-0.836477226352944	1	1	1	0
Atp6v1h	0.00418905502994907	-2.57782696406234	1	0.5	1	0.5
Arglu1	0.00422024349996921	-1.54720720704126	1	1	1	0
Adgrl4	0.00427964791521573	0.598731164927073	1	1	1	0
Sgms1	0.00563065453471793	0.702952946237873	1	1	1	0
Afg3l1	0.00600206041652453	-2.48288033498949	1	0	1	1
Fam91a1	0.00600206041652453	-2.48288033498949	1	0	1	1
Tanc2	0.00628404961632219	-2.65040187485193	1	0.5	1	0.5
Galnt18	0.00648914879875226	-1.96715223403466	1	0.5	0.75	0.25
Ptma	0.00675435280125479	-1.95975563129794	1	0.5	1	0.5
Zbtb16	0.00692996522088237	0.925654076078699	1	1	1	0
Rora	0.00737936920440215	0.619195836344613	1	1	1	0
Rab5a	0.0077978779663422	-2.18433844719643	1	0.25	0.75	0.5
Tmem248	0.0080018837600779	-2.69504094871952	1	0.5	1	0.5
Kidins220	0.00885801767879726	-2.20591686440287	1	0.25	0.75	0.5
Abcc4	0.00987197279841655	0.66869001294061	1	1	1	0
Ppia	0.0104317890695982	-2.22998363006458	1	0.75	1	0.25
Cse1l	0.0110804174134118	-2.44578619334462	1	0.25	1	0.75
Limch1	0.0111865014161836	0.62616351528007	1	1	1	0
Wwtr1	0.0112339787465626	0.985701498688379	1	1	1	0
Arih2	0.0113101957359325	-1.70970828694372	1	0.75	1	0.25
Apobec3	0.0121504798994624	0.911921954317509	1	1	1	0
Capza2	0.0124209915997295	-2.32979309473226	1	0	1	1
Adgrg6	0.0138929475585763	0.842062338667358	1	1	1	0
Usp54	0.0141213246984239	1.04138171430586	1	1	1	0
Dgkh	0.0144458661223482	-1.34845288538897	1	0.75	0.75	0
Cyth3	0.0156859299523274	1.19896744392848	1	1	0.75	0.25
Tacc1	0.0158951342830782	0.795718825535605	1	1	1	0
Arhgef3	0.0160309568642745	1.38575502286868	1	1	0.75	0.25
Aplp2	0.0161112271301105	-0.894806090230637	1	1	1	0
Dst	0.0163049271117357	1.11215134279229	1	1	1	0
Ubxn4	0.0182801686022948	-1.83773832112754	1	0.75	1	0.25
U2surp	0.0186272299439739	-1.66028291900465	1	1	1	0
Rapgef4	0.0187527027341961	-0.565707365653274	1	1	1	0
Rsrp1	0.0188170340294448	-1.6586040891723	1	0.75	1	0.25
Spns2	0.0199520332182166	-2.29518629037962	1	0.25	0.75	0.5
Colgalt2	0.0212784773049937	-1.10666384951466	1	1	0.75	0.25
Tmem87b	0.022241703129182	1.85888248043201	1	1	0.5	0.5
Hivep2	0.0234410988570593	-1.12243346639119	1	1	0.75	0.25
Ctsc	0.0238362916271749	1.43210697878079	1	1	0.75	0.25
Ephb4	0.0240927175003152	-1.3015562776378	1	0.75	1	0.25
Nxpe2	0.024294915598012	-0.770686096522674	1	1	1	0
Dlg2	0.0244541428358341	-2.05059772697309	1	0.25	0.5	0.25
Slc12a2	0.0246164874457597	1.12571813381274	1	1	0.5	0.5
Aqr	0.0246342737469398	-2.01193514697374	1	0.5	1	0.5
Fam107a	0.0252834898573449	2.37728037993661	1	1	0.25	0.75
