gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Pla2g4a	0.000328225517847947	1.39196187395383	1	1	0.75	0.25
Auts2	0.000417677732255746	1.26789618563626	1	1	1	0
Galnt18	0.00138234803614469	-2.20002709385633	1	0.5	0.75	0.25
Dgkh	0.00166010858093795	-1.70872251081102	1	0.833	0.75	0.083
Bmp6	0.00171105592419767	-2.30638240926642	1	0.667	0.75	0.083
Fbxl20	0.00207198295425388	-2.60502943236147	1	0.667	1	0.333
Aplp2	0.00233500358308127	-1.08746122834927	1	1	1	0
Limch1	0.00316248951285151	0.977362897619298	1	1	1	0
Rnf138	0.00341039154351245	-2.98104701493854	1	0.333	1	0.667
Col8a1	0.00447336885383221	-2.31326546447005	1	0.833	1	0.167
Cop1	0.00476296617432627	-0.998056354419514	1	1	0.75	0.25
Nedd4l	0.00573868663744199	-1.0717765096224	1	1	1	0
Elp3	0.00649550306166084	-3.03282736334816	1	0.167	1	0.833
Etaa1	0.00733897892356417	-3.16360884165465	1	0.167	1	0.833
Cul1	0.00758367670436693	-2.10721976909279	1	0.833	1	0.167
Pdia3	0.007771344164135	-1.6287089545957	1	0.5	0.75	0.25
Parp11	0.00895282813104978	-2.98855453487938	1	0.167	0.75	0.583
Pum1	0.00906168667942901	-1.23779619816644	1	1	1	0
Nploc4	0.0101621847981353	-2.73114131755164	1	0.333	0.75	0.417
Stox2	0.0106235880252718	0.725500044183192	1	1	1	0
Il1r1	0.0109408656807676	0.602635723938812	1	1	1	0
Drg1	0.0110294562451419	-1.90553835409028	1	0.667	1	0.333
Sppl3	0.0113774636041914	-1.03360896952645	1	1	0.75	0.25
Mcub	0.0115438088563284	2.11942192724415	1	1	0.5	0.5
Mt1	0.0116500862173736	2.0094084824363	1	0.833	0	0.833
Cdk14	0.012866777211201	1.23627432006246	1	1	0.75	0.25
Trappc13	0.0131691938990968	-2.77720056902355	1	0.5	1	0.5
Chd4	0.0132003460994227	-2.55549754007085	1	0.833	1	0.167
Rhoj	0.0132691782453592	0.743375710015549	1	1	0.75	0.25
Rasgrf2	0.0135686528883623	-1.35732990481535	1	0.667	1	0.333
Klhl5	0.0143217245430266	1.38740847022751	1	1	0.75	0.25
Thoc2	0.0150576824637215	-1.37832219485955	1	0.833	1	0.167
Copa	0.0162929565319634	-2.97802765223644	1	0.667	1	0.333
Fgf13	0.0170427246541728	-3.03053235790069	1	0.5	0.75	0.25
Stim2	0.0172715045813748	1.27179081306745	1	1	0.75	0.25
Kdm7a	0.0177644144130325	-1.85138674573207	1	0.667	0.75	0.083
Hivep2	0.017776528848839	-0.922284043942954	1	1	0.75	0.25
Frmd5	0.0177833572912393	0.458999180302415	1	1	1	0
Slc12a2	0.0177978600328303	2.19908464675612	1	0.833	0	0.833
Ube2d3	0.01859095470576	-1.48349263987018	1	1	1	0
Pard3b	0.0188651443377875	0.829103722042065	1	1	1	0
Hdac9	0.0190010938401734	0.716272855806719	1	1	1	0
Csgalnact1	0.019269784854044	0.311581813743732	1	1	1	0
Fubp1	0.0195190512128465	-1.60778827552076	1	1	1	0
Dync1i2	0.0201179560136309	-1.7741581616902	1	0.667	0.5	0.167
Gsk3b	0.0221110824309911	-0.609782429100828	1	1	1	0
Fmo1	0.0221567025273308	1.44581005516524	1	1	0.75	0.25
Flrt2	0.0221890207274608	0.605064726845196	1	1	1	0
Ptgr2	0.022346314687347	-2.27882829091887	1	0.5	0.5	0
Rpl18a	0.0227470369017473	-1.28034447871777	1	0.833	0.75	0.083
Faf1	0.0229156572652722	-1.07863641765754	1	1	1	0
Hcfc2	0.0229277692736493	-2.4792611428811	1	0	0.75	0.75
Mapk8	0.0233373375667821	-1.68478556848681	1	0.667	0.75	0.083
Lrig2	0.0237300368224124	-2.73432353026327	1	0.5	0.75	0.25
Pdzd8	0.0237392815693712	-1.97758521465003	1	0.5	0.75	0.25
Cmpk1	0.0248084532057712	-2.53779042022854	1	0.5	1	0.5
Ppp1r2	0.0250035467468356	1.04839918722317	1	1	0.75	0.25
Nxpe2	0.0256844049104982	-0.773047235974894	1	1	1	0
Zfp521	0.0257033589791625	0.63954242505623	1	1	1	0
Rgs5	0.0263053129359369	-2.17224410036242	1	0.333	0.75	0.417
Mrtfb	0.0265938432478968	0.19469772091947	1	1	1	0
Zeb2	0.027548408096946	1.86996523472378	1	0.833	0.25	0.583
Zfhx3	0.0281221502318867	0.348458843763316	1	1	1	0
Nmt1	0.0282600841487438	-1.86100053116616	1	0.667	0.75	0.083
Tmx3	0.0288842006696748	-1.52095830417394	1	0.833	0.5	0.333
Psmc1	0.0291703106371004	-2.61948833590137	1	0.333	1	0.667
Ptprk	0.0294324503400233	0.853287793736427	1	1	0.75	0.25
Spred2	0.0297002172191696	-1.32248575455097	1	0.667	0.75	0.083
Vwf	0.0303407564355089	0.299257345749089	1	1	1	0
Arglu1	0.030492048980923	-0.733757564592804	1	1	0.75	0.25
Snx4	0.0307525652847762	-1.22450649367382	1	1	0.75	0.25
Map3k2	0.0307551179119712	-0.840698815797484	1	1	0.75	0.25
Chn2	0.0310510096379292	0.289539937953053	1	1	1	0
Cldn34c1	0.0311693212787931	-1.8874946887431	1	0.667	1	0.333
Tmem94	0.031610247978171	-2.3399733458433	1	0.167	0.75	0.583
Vta1	0.0327232699160875	1.93932008045039	1	0.667	0.25	0.417
Fth1	0.0328270161682419	2.04518253520139	1	0.833	0.5	0.333
Nr3c2	0.0329345632926336	0.297118391578444	1	1	1	0
Tsg101	0.0340488038221773	-2.45365903347842	1	0.667	1	0.333
Ecm2	0.0356460723027012	1.99218477105579	1	1	0.25	0.75
Abcc4	0.0356938904137082	0.572631055803798	1	1	1	0
Tra2b	0.0357217724786269	-1.67547622656869	1	1	1	0
Adarb1	0.0358024168422781	-2.15321437080597	1	0.167	0.5	0.333
Ptprd	0.0359930264396765	1.80819594155749	1	0.667	0	0.667
Stmp1	0.0360386818292325	-3.11920745211101	1	0.167	0.75	0.583
U2surp	0.0361634556981595	-1.34674062754533	1	0.833	0.75	0.083
Dmtf1	0.0365681353494436	-1.16012048371959	1	0.667	0.75	0.083
St6galnac3	0.0372409280310402	0.176268985916325	1	1	1	0
Plxna2	0.0379101685765299	-0.643648144562941	1	1	1	0
Tmem87b	0.0380093300052084	1.92553812457949	1	1	0.25	0.75
B2m	0.0387166422458862	-1.67147598894863	1	0.833	1	0.167
Phf14	0.0390806401977649	-1.23547039278955	1	1	1	0
Tbl1xr1	0.0391590480943648	-1.74539138872564	1	0.833	1	0.167
Dstn	0.0394666814879564	-1.99522612991232	1	0.833	1	0.167
Mob4	0.0395264569234415	-1.58837309662766	1	0.833	1	0.167
Nek7	0.0398523320497218	0.425117615421566	1	1	1	0
Rbpms	0.0400500629319374	0.886655548823212	1	1	0.75	0.25
Efnb2	0.0403060529529494	-2.10303732890686	1	0.667	1	0.333
Yipf6	0.0405667212050369	-2.78956909643178	1	0.167	0.75	0.583
Tmem126b	0.0408878535847361	-2.94914168913397	1	0.167	0.75	0.583
Dach2	0.0418387781271931	0.916217162924149	1	0.833	0.75	0.083
Rsrp1	0.0419669034167557	-0.903845524242963	1	1	0.75	0.25
Tmsb4x	0.0420876892156745	-0.869329743127752	1	1	1	0
Bltp1	0.042280328597328	-1.26035026115791	1	1	1	0
Ppp6r1	0.0424488129216735	-2.36914414869409	1	0	0.75	0.75
Magi2	0.042512993491412	1.27530059809229	1	0.833	0.25	0.583
Lman2	0.0429141315646543	-2.56990223323497	1	0.833	1	0.167
Pde4d	0.0429277392990659	0.94634927217334	1	1	0.75	0.25
Nhsl1	0.0435004696077293	0.464042462982967	1	1	1	0
Apobec3	0.044170392853976	1.0756928058089	1	1	0.75	0.25
Mib1	0.0442069169765872	-0.841137929594503	1	1	0.75	0.25
Kif2a	0.0443223307096631	-1.27204007705617	1	1	0.75	0.25
Cdc42bpb	0.0446647902666171	-1.12250767132289	1	0.833	1	0.167
Dpp4	0.0452161848708402	1.79814434283743	1	0.833	0.25	0.583
Rbbp7	0.0455770362227062	-1.77224567693111	1	0.667	0.75	0.083
Adnp	0.04591954910003	-1.97781071667697	1	0.833	1	0.167
Dnm1l	0.0469951639867073	-1.41856050120428	1	0.667	0.5	0.167
Ivns1abp	0.0472218756434165	-1.22181969360761	1	0.833	0.75	0.083
Cd2ap	0.0476918522361381	0.187382350244782	1	1	1	0
Als2	0.0478650351741974	-2.69336484940052	1	0.5	0.75	0.25
Adamts12	0.0488333402565019	-2.82824899382581	1	0.667	0.75	0.083
Emp3	0.0488669096046935	-3.1232214061487	1	0	0.75	0.75
Atg16l2	0.0492590585493272	-1.64064268134416	1	0.667	0.75	0.083
Kmt2a	0.0506163300676184	-1.290630651033	1	0.833	0.75	0.083
Polr3c	0.050698796705113	-2.87715133485642	1	0.5	1	0.5
Snx27	0.0510789745253906	-1.14847181396178	1	0.5	0.75	0.25
Mthfd1l	0.051962913493908	-1.85291185251688	1	0.5	0.5	0
Fgfr2	0.0520861282217927	-1.90698236876772	1	1	1	0
Capn7	0.0522347322573048	-1.36330336397527	1	0.833	1	0.167
S100pbp	0.0524953292641012	-2.22606826684797	1	0.167	0.5	0.333
Pecam1	0.0531063600924672	0.251810529819924	1	1	1	0
Rab5a	0.0541756346083841	-2.17918712031434	1	0.5	1	0.5
Btaf1	0.0542622446531411	-1.79567689593968	1	1	1	0
Ssr1	0.0543337096228339	-2.41694528059814	1	0.5	1	0.5
Ddi2	0.0551666885132147	-1.26310451828704	1	0.667	0.75	0.083
Fbxw4	0.0552484251587276	1.79701062286055	1	1	0.25	0.75
Ago2	0.0559936922651964	-3.11481185341903	1	0.333	0.75	0.417
Klhl24	0.0563366613993156	-0.695661141493593	1	1	0.75	0.25
Mgp	0.0566890533494195	-0.757810223293443	1	1	1	0
Adgrf5	0.057477557188836	0.520397916385524	1	1	1	0
Hikeshi	0.0587130158933543	-1.68259384402105	1	0.333	0.75	0.417
Tacc2	0.0587672241417968	-1.19515188873402	1	0.667	0.75	0.083
Pura	0.059150468884579	-2.332991114177	1	0.833	1	0.167
Gper1	0.059179458442077	-3.7356018436958	1	0.167	0.75	0.583
Arhgef10	0.0593848335167129	1.33687867787018	1	1	0.75	0.25
Tshz2	0.0594239571544131	0.427378861709543	1	1	1	0
Tjp1	0.0594491503793629	0.454742086024535	1	1	1	0
Setbp1	0.0594866324276384	0.105997907735945	1	0.833	0.75	0.083
Zfp644	0.0595376253641836	-0.909837757564813	1	1	1	0
Xpo4	0.0597094089531791	-0.948212428182484	1	0.833	0.75	0.083
Zyx	0.0606041742657619	-2.66733387894515	1	0.167	0.75	0.583
Dnajb14	0.0607243377228193	-2.06290207524178	1	0.333	0.75	0.417
Mid2	0.0611078720544713	-1.38564601403121	1	0.667	0.75	0.083
Ttc1	0.0615745065495614	-1.97840015801926	1	0.167	0.75	0.583
Rgl1	0.0617183866315329	-2.27422596583172	1	0.667	1	0.333
Exoc6	0.0618493924285323	0.241842881538119	1	1	1	0
Dync1h1	0.0621275268112102	-0.656470622319275	1	1	0.75	0.25
Chordc1	0.0623297915134661	-1.86395947063907	1	0.333	0.75	0.417
Stx16	0.0630367988635698	-1.76894816859418	1	0.667	1	0.333
Fn1	0.063469038520835	0.996698884276352	1	1	0.75	0.25
Aqp11	0.0638471924299459	1.36218586866581	1	1	0.75	0.25
Rora	0.0638699914942468	0.221998779613593	1	1	1	0
Cog4	0.0639437258987148	-2.00406463533178	1	0.333	0.75	0.417
Oxa1l	0.064389041581955	-2.88478017355621	1	0.167	0.75	0.583
Pfdn1	0.0644953763513109	-1.11046619477178	1	0.833	0.75	0.083
Rabgap1l	0.0645382743845073	1.45744938942725	1	1	0.75	0.25
Rnf40	0.0647910886449491	1.79725676840561	1	1	0	1
Amn1	0.0648413644914466	-0.99626884449827	1	1	0.75	0.25
Prickle1	0.0649158866051027	-1.21119390512029	1	0.833	1	0.167
Rad51c	0.0649677205410502	-3.10042641823458	1	0	0.75	0.75
Spop	0.065703435586048	1.25037971508761	1	1	0.75	0.25
S100a13	0.0657728799472054	-2.12928898962534	1	0.167	0.75	0.583
Gkn3	0.0663389832281382	-1.86025487464877	1	0.833	0.75	0.083
