gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Rasgrf2	4.22759087430227e-05	-1.61261018774937	0.757964767853654	0.667	0.889	0.222
Samd12	0.00135952009549237	-0.496074380005115	1	1	1	0
Rsrp1	0.00164123882360369	-1.23359796771988	1	0.778	0.889	0.111
Cd164	0.00202814883712229	-2.32665691914259	1	0.111	0.778	0.667
Btaf1	0.00215113911921585	-2.00446668447166	1	0.778	1	0.222
Tanc2	0.00237619935189888	-2.08941819562276	1	0.667	0.889	0.222
Flrt2	0.00255019421259479	0.702596897111883	1	1	1	0
Thoc2	0.00256494801645377	-1.03042078489779	1	0.889	1	0.111
Phip	0.00329751357152418	-0.676009354801873	1	1	1	0
Chd4	0.00375817295396273	-2.19091868998411	1	0.667	0.889	0.222
Atp6v1h	0.00394949946416824	-2.11105253649586	1	0.556	0.667	0.111
9930021J03Rik	0.00400196220697711	-1.05034300630577	1	0.889	0.889	0
Adgrl4	0.00465861094998043	0.311794874631859	1	1	1	0
Nrp1	0.00541593882229183	-0.416954275555374	1	1	0.889	0.111
Fgf13	0.00574632004432603	-2.15518937610251	1	0.556	0.778	0.222
Rnf138	0.00588886257440698	-1.64750231155515	1	0.556	0.889	0.333
Retreg3	0.00611221445205074	-1.3172151612507	1	0.556	0.889	0.333
Lmo2	0.00655224600449553	-0.642943424596212	1	1	0.889	0.111
Dhdds	0.00709821360325271	-1.9984374011543	1	0.444	0.667	0.223
Galnt18	0.00750045357810628	-1.73723139193153	1	0.444	0.667	0.223
Arglu1	0.00782136445485638	-0.935393522468602	1	1	0.889	0.111
Aplp2	0.00822228470274458	-0.762637935178354	1	1	1	0
Osbpl8	0.00831109617430938	-1.03003722278234	1	0.889	0.889	0
Pdia3	0.00838391077223013	-1.15282733206906	1	0.556	0.778	0.222
Magi1	0.0086497145069847	-0.529869906455769	1	1	1	0
Cul1	0.00881651394505785	-1.34247760558507	1	0.889	0.889	0
Tcerg1	0.00899795375803283	-0.934747759088417	1	0.333	0.778	0.445
Kdm7a	0.00928470518055731	-1.34097995623289	1	0.667	0.667	0
Phf14	0.00944589289412452	-1.14135229470948	1	0.889	1	0.111
Snd1	0.009471085424697	-1.26599023735215	1	1	1	0
Psma8	0.0103306757100017	-2.64088626841234	1	0.111	0.667	0.556
Tmsb4x	0.0104943612151602	-0.828398937392006	1	0.889	1	0.111
Elf4	0.0108526816804423	-1.23574032377026	1	0.444	0.778	0.334
Phldb1	0.0110798820352213	1.6361101959495	1	0.889	0.444	0.445
Sppl3	0.0114245409825804	-0.568959191859367	1	1	0.778	0.222
Xpo7	0.0116359271275466	-0.856115378537061	1	0.889	0.889	0
Bmp6	0.011804865088935	-1.48670059480135	1	0.667	0.667	0
Tbl1xr1	0.0125321192317064	-1.24065785679802	1	0.778	1	0.222
