gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Arhgap20	5.44986358874077e-08	1.36447097683832	0.000977106042825332	1	1	0
Gpcpd1	4.05562259965101e-07	-0.775582098693823	0.00727132575891429	1	1	0
Per2	1.36507479085315e-06	-1.5740464327778	0.0244744259252062	1	1	0
Eif4g3	4.67501534198926e-06	0.850785083803091	0.0838183500665255	1	1	0
Prodh	4.84798773195919e-06	-1.04911427327022	0.0869195720462962	1	1	0
Fkbp5	1.40676448238626e-05	-0.949574248994422	0.252218804047032	1	1	0
Tll1	1.79704178914685e-05	1.1218372285303	0.32219162237614	1	1	0
Plxdc2	2.00111911395534e-05	0.565780035009714	0.358780645941054	1	1	0
Elmo1	2.26014148862666e-05	-0.875237485118821	0.405220767495873	1	1	0
Ftl1	4.46581864682854e-05	1.25039366369707	0.800676625189889	1	1	0
Cntfr	6.55308098971414e-05	-1.32955742932324	1	0.8	1	0.2
Aifm3	8.31145400240068e-05	-0.772934256247637	1	1	1	0
Col4a1	0.000141687648460103	0.865912462194205	1	1	1	0
Spo11	0.000156585855782163	-1.14672867410941	1	1	1	0
Ciart	0.000167047673887826	-1.23428861786962	1	0.8	1	0.2
Arap2	0.000182108336142071	0.966524538958093	1	1	1	0
Desi2	0.000188657757261691	0.876025046389429	1	1	1	0
Lrig1	0.000189043951083568	0.887174984496727	1	1	1	0
Ldb2	0.000189151894977257	0.817633521474421	1	1	1	0
Cd44	0.000189237093679221	0.606622297643535	1	1	0	1
Zcwpw2	0.000214092579139894	0.877283292960443	1	1	1	0
Agap3	0.000215079872429787	-1.24011964864386	1	1	1	0
Fgf14	0.000226762573330246	1.08865236276089	1	1	1	0
Plekhg1	0.000234949514075947	0.528532996973279	1	1	1	0
Glt8d2	0.0002533053731292	-1.01935630039549	1	0	1	1
Ccdc85a	0.00025510591963439	0.653981144429296	1	1	1	0
Adamts15	0.00027487375407461	0.783888774536408	1	1	1	0
Mgat4c	0.000275877245006634	0.758172513214371	1	1	1	0
Irs2	0.000285404186912055	-1.18139285981463	1	1	1	0
Dennd4a	0.000301157132086279	0.519383728434526	1	1	1	0
Setbp1	0.000344643325592798	0.403557213863361	1	1	1	0
Adamts12	0.000347141819705581	0.782281239177804	1	1	1	0
Eln	0.000395838560071606	0.839825707092673	1	1	1	0
Mob1a	0.000424715744972513	0.813923998147415	1	1	0.75	0.25
Actg1	0.000480888776734081	-1.21022189693198	1	1	1	0
Ppp2r2b	0.000545626643601782	1.0186154644965	1	1	0.75	0.25
Plagl1	0.000568566637008014	1.09003482381588	1	1	0.75	0.25
Acadsb	0.000596814031581219	0.544458180177041	1	1	1	0
Slc13a3	0.000598346199214956	-0.537604398278994	1	1	1	0
Immp2l	0.000631081682686069	0.735038745230699	1	1	1	0
Ptprk	0.000657616241821845	0.384431540183503	1	1	1	0
Edem2	0.000680463572050306	-1.38015822501518	1	0.6	1	0.4
Ccdc192	0.000767684670263318	-0.776403233380111	1	1	1	0
Snf8	0.000840636703387442	-1.03598097762986	1	1	1	0
Grk5	0.000914197889220269	0.487999406246449	1	1	1	0
