gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Fry	4.97898478056564e-05	1.00179775830163	0.892682181307614	1	1	0
Lcorl	0.000163506822724516	1.00214038198268	1	1	1	0
Elmo1	0.000176755969333866	-1.04639184780381	1	1	1	0
Marcks	0.000219922241015478	1.10365603606892	1	1	0.667	0.333
Zbtb16	0.00024283312231332	-1.1170049302966	1	1	1	0
Fbxl5	0.00025386003085331	1.1751792006839	1	1	1	0
Vcpip1	0.000285764468817639	1.16789753603536	1	1	0.333	0.667
Cemip	0.0003798374727132	0.858980681710212	1	1	1	0
Cask	0.000395217303014999	0.924567644097853	1	1	1	0
Pcmt1	0.000466577885943066	0.924050754341417	1	1	1	0
Nbea	0.000600984994288206	0.868126454647396	1	1	1	0
Dync1i2	0.000635832472720317	1.11227887644107	1	1	0.667	0.333
Rsf1	0.000698890911968553	0.747492452774747	1	1	1	0
Fkbp5	0.000749242295452233	-0.692701635035671	1	1	1	0
Ntm	0.000781359381355362	1.04303527852669	1	1	1	0
Ttc21b	0.000907719199171134	0.629302886398054	1	1	0	1
Wipi2	0.000947409506513308	-1.18094632588641	1	1	1	0
Bltp1	0.00100181614574896	0.903220623767384	1	1	1	0
Qrich1	0.00102093466127789	0.719847335217637	1	1	1	0
Ints7	0.00102693440262281	0.928147558517177	1	1	0.667	0.333
Phlpp1	0.00105248956793797	0.639082644276497	1	1	1	0
Wdr91	0.00107929821608015	0.458028174771621	1	1	0	1
Prickle2	0.00109366033006899	1.02289121488741	1	1	1	0
Vps41	0.00113201820048981	0.82608894341715	1	1	1	0
Dnaaf9	0.00113912985577075	0.748936938166253	1	1	1	0
Eif4g3	0.00115603829248564	0.81965905920642	1	1	1	0
Rnf149	0.00116452070955068	0.737392890781044	1	1	0.333	0.667
Plxdc2	0.00116491570472088	0.560868118191529	1	1	1	0
Arl8b	0.00119467100638952	-1.34507965672037	1	1	1	0
Zfhx3	0.00125363281020084	0.573096701034356	1	1	1	0
Glrb	0.00129489893799096	1.28480039938562	1	1	0.333	0.667
Pigu	0.00134600684452269	0.857594521933059	1	1	1	0
Adamts12	0.00147605712687233	0.760267865203779	1	1	1	0
Nbas	0.00153064958582069	0.851170347200659	1	1	1	0
Tex264	0.00158582744089607	0.41773873154841	1	0.8	0	0.8
Rpl37	0.00161565503947681	-1.75133549604574	1	0.8	1	0.2
Lrrc4c	0.0016396750580813	-1.64588325530077	1	0.8	0.667	0.133
Aifm3	0.00166205265705949	-0.658650869672888	1	1	1	0
