gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Per2	6.10408212355454e-11	-1.71131566618527	1.09440088393209e-06	1	1	0
Elmo1	7.50134817566557e-11	-1.1295169652866	1.34491671441508e-06	1	1	0
Plxdc2	4.31713888115946e-09	0.549645868950278	7.7401983000308e-05	1	1	0
Gpcpd1	1.18636131813458e-08	-0.700616482644495	0.000212702720728349	1	1	0
Crebrf	3.55024905843855e-07	-0.584269757686422	0.00636524153687448	1	1	0
Man1c1	4.93964193615876e-07	0.738840527683703	0.00885628402733903	1	1	0
Plekhg1	8.87363025883037e-07	0.555327092291141	0.015909531691057	1	1	0
Strbp	1.28446843940897e-06	-0.515513347476366	0.0230292346501634	1	1	0
Mthfd1l	2.91348204178298e-06	-1.53168727955465	0.052235819527127	0.8	1	0.2
Col4a1	3.44451314977442e-06	0.835834016565192	0.0617566762623056	1	1	0
Fkbp5	8.13385640333563e-06	-0.747015741281625	0.145831911455405	1	1	0
Arhgap10	1.00128551078372e-05	0.522548211318758	0.179520479228414	1	1	0
Prodh	1.70590066254767e-05	-0.807141172512719	0.305850929788171	1	1	0
Ciart	1.7578927304583e-05	-1.51533704944428	0.315172587643869	0.4	1	0.6
Spo11	1.76204682434978e-05	-1.03376986302976	0.315917375137672	1	1	0
Cdk19	2.02054537589631e-05	0.935286263439788	0.362263580444449	1	1	0
Gm12394	2.38534384908151e-05	-1.56660971703247	0.427668298701824	0.2	1	0.8
Lpgat1	2.64939424751175e-05	-1.49154891169064	0.475009894636382	0.9	1	0.1
Adamts12	2.89195932117388e-05	0.674719090295067	0.518499386693264	1	1	0
Eif4g3	5.07468137590877e-05	0.705432928019762	0.909839623886683	1	1	0
Wee1	5.49326662542271e-05	-1.23444813616601	0.984887773272038	0.9	1	0.1
Dennd4a	6.23022368718057e-05	0.43993217508594	1	1	1	0
Vps13a	9.98313562664819e-05	-0.361186999477482	1	1	1	0
Adamts15	0.000129208902563794	0.839493292338191	1	1	1	0
