gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Timp2	4.50551783358016e-08	0.187732002356645	0.000807794292382588	1	1	0
Rplp1	5.14976766169408e-07	0.245824828709512	0.00923301844065131	1	1	0
Hsp90ab1	5.81705420332733e-07	0.249492353011103	0.0104293964811456	1	1	0
Itm2c	1.65383564353456e-06	0.189289972025649	0.0296516192529311	1	1	0
Xxylt1	3.55234142149792e-06	0.0383699171017478	0.0636899293460361	1	1	0
Nsg2	9.42458317831787e-06	0.180524413588192	0.168973351804061	1	1	0
Kcns2	1.11004078154157e-05	-0.0979180799126738	0.199019211722588	1	1	0
Map1a	1.7982621606556e-05	0.0911417702027326	0.322410422783942	1	1	0
Calm1	2.03209153052992e-05	0.306364295731479	0.36433369050871	1	1	0
Tmem160	2.08390965313686e-05	-0.141603794819895	0.373624161710908	1	1	0
Scn2b	2.42547060215739e-05	0.155260910203052	0.434862624260798	1	1	0
Cdk5r1	2.62013928214039e-05	0.176302813227691	0.46976477189495	1	1	0
Kmt2a	2.80409040690007e-05	0.12751577639261	0.502745369053114	1	1	0
Pde10a	2.99156125295753e-05	0.352244388094606	0.536357017042756	1	1	0
Gabbr1	4.17543246259643e-05	0.16081493748856	0.748613286218914	1	1	0
Gpr27	4.9452001841123e-05	-0.105179138003283	0.886624941009495	1	1	0
Uqcc2	5.66775337686527e-05	-0.0384569012985769	1	1	1	0
Pgam1	7.09501381161224e-05	0.0455863050739158	1	1	1	0
Stac	7.7052248415487e-05	-0.403312615326241	1	1	1	0
Slitrk4	8.5483195725412e-05	0.127714988822237	1	1	1	0
Atp5e	8.76737883363511e-05	-0.0599121770701152	1	1	1	0
Rnf187	9.93546761960988e-05	0.0300780304426156	1	1	1	0
Klhl9	0.000107140705697423	-0.0946557001544188	1	1	1	0
Ier5	0.00011957397696743	-0.205444685659323	1	1	1	0
Slc25a4	0.000121082049954473	0.0641090161497466	1	1	1	0
Zdbf2	0.000152813123575417	0.132961468478532	1	1	1	0
Frmd3	0.000160208958110289	-0.278201039373273	1	1	1	0
Tmem158	0.000180745132300633	-0.0440095672689	1	1	1	0
Smim45	0.000182788071206705	-0.128481433224771	1	1	1	0
Zfp984	0.000185870304081938	-0.401723042822367	1	1	1	0
Purb	0.000192871175176204	0.183011769194284	1	1	1	0
Zdhhc14	0.000196703517333741	0.241712246416926	1	1	1	0
AI593442	0.000199460321711178	0.178397622057002	1	1	1	0
Chchd2	0.000200665350721219	0.0514276188449041	1	1	1	0
Arhgef33	0.000205295992577213	-0.427900525170023	1	1	1	0
Kcnj2	0.000214163082867244	-0.116754886601341	1	1	1	0
