gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Adora2a	3.76458950303191e-15	0.425981422877491	6.74953251998591e-11	1	1	0
Drd2	3.77141069750097e-10	0.485852245293582	6.76176223954949e-06	1	1	0
Zdbf2	1.35734783040599e-08	0.320481261647253	0.00024335889251349	1	1	0
Adcy5	3.07077466706442e-07	0.507543467813263	0.00550559190057979	1	1	0
Scn2b	3.71578494785306e-07	0.419006827525797	0.00666203083300575	1	1	0
Arhgap33	3.72926717564809e-07	0.328262829001537	0.00668620311921946	1	1	0
Pde10a	3.88559314958796e-07	0.397012841913102	0.00696647995789625	1	1	0
Atp2b2	4.0265684233549e-07	0.21511053364558	0.00721923452623301	1	1	0
Mmd	5.16254886919178e-07	0.266380945296148	0.00925593386757395	1	1	0
Rpl31	7.01294698077207e-07	0.346538675620941	0.0125735126418262	1	1	0
Map1a	9.34145492147402e-07	0.232372933232404	0.0167482945287108	1	1	0
Rps25	9.9379128658309e-07	0.386199818460411	0.0178176839771482	1	1	0
Kcnj2	1.00842349305932e-06	0.207508587435109	0.0180800248070605	1	1	0
Gng7	1.13210055913938e-06	0.465112181240616	0.02029743092481	1	1	0
Kcnj4	1.2738382944279e-06	0.215791875460013	0.0228386467807979	1	1	0
Slit3	1.47247626410994e-06	0.445968439213081	0.0264000269392271	1	1	0
Atp5e	1.58337349314396e-06	0.27546571063351	0.028388303358578	1	1	0
Kcnip2	1.62324207848727e-06	0.387488302472074	0.0291031072251982	1	1	0
D430041D05Rik	1.66677045828211e-06	0.231892835393161	0.0298835275465399	1	1	0
Cbarp	1.859387753418e-06	0.335270751403856	0.0333369630310313	1	1	0
Sirpa	2.0288554634325e-06	0.261809050079802	0.0363753496038813	1	1	0
Sv2c	2.33124275203449e-06	0.37759759927082	0.0417968513012265	1	1	0
Rpl34	2.37886098383645e-06	0.391753634237515	0.0426505985792037	1	1	0
Kcnh4	2.66488278593757e-06	0.282705644445567	0.0477786834690748	1	1	0
Pgrmc1	3.05039998634104e-06	0.259679564013039	0.0546906213551085	1	1	0
