gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Unc5c	3.1137203843924e-13	-0.491833505164183	5.58258927717713e-09	1	1	0
Prnp	2.77545021630171e-08	0.855003964296837	0.000497610469280734	1	1	0
Tent2	3.0821037560671e-06	-0.0499528825749281	0.055259038242527	1	1	0
Dph6	1.44788552379929e-05	-0.108639200951175	0.259591395561975	1	1	0
Tmem198	2.26411964541044e-05	0.777370499402824	0.405934011225638	1	1	0
Rims2	5.63916972209441e-05	-0.11781399107837	1	1	1	0
Xlr3b	0.000117927506381267	0.541608945236889	1	1	1	0
Gfer	0.000146555799148141	0.752489230439516	1	1	1	0
Xrcc5	0.000167085464335594	0.0760727961341082	1	1	1	0
Tlk2	0.000188917895412417	-0.0232257069383858	1	1	1	0
Pfn1	0.000206126316226434	0.472932432090293	1	1	1	0
Kcnc4	0.000225272744051103	0.700381092699832	1	1	1	0
Thoc2l	0.000239567705630982	0.331341476505779	1	1	1	0
Faf1	0.000291647504446199	-0.118114034411592	1	1	1	0
Mrpl21	0.000337499026773251	0.536420813189026	1	1	1	0
Adap1	0.000359150586886291	0.443027700806992	1	1	1	0
Ptprn	0.000374363129844275	0.370185733216671	1	1	1	0
Siah3	0.000407037756285326	0.560001899651792	1	1	1	0
Tbc1d30	0.000429904627172454	0.434801743516252	1	1	1	0
Gpm6a	0.000487500765384136	-0.157864894334354	1	1	1	0
Dpysl5	0.000568465509233236	0.373673545938556	1	1	1	0
Gm4631	0.000581592533377868	0.656994963528317	1	1	1	0
Cep70	0.00059743607808258	-0.0568312070151282	1	1	1	0
Ptbp2	0.000605360497426193	-0.14969599988025	1	1	1	0
Aim2	0.000706329078466182	0.237158673862478	1	1	1	0
Vps50	0.000812638388517314	0.0136022392088795	1	1	1	0
Myef2	0.000850158288282973	-0.0594640864718887	1	1	1	0
Nucks1	0.000877440343371227	0.0482800395857692	1	1	1	0
Rps3a1	0.000889936521506259	0.225028434357657	1	1	1	0
Mapk8ip1	0.000960689002183576	0.538166848258317	1	1	1	0
Hcn2	0.00104723818342232	0.450462717845071	1	1	1	0
Nr2c2	0.00110116716587118	-0.0243734595598406	1	1	1	0
Olfm2	0.00111148059902482	0.378225777806284	1	1	1	0
Tnks	0.00111309451835077	-0.033143854764037	1	1	1	0
Trim23	0.00114468572255192	0.0657038763990365	1	1	1	0
Lipo3	0.0013138893051828	0.224559412040535	1	1	1	0
Egr1	0.00141071084473941	0.0966301447828379	1	1	1	0
Barx2	0.00141947094918595	0.764500925322966	1	1	1	0
Atp6v0b	0.00145177159278765	0.411279352788927	1	1	1	0
Cdk16	0.00146436287260819	0.538447588473892	1	1	1	0
Itfg1	0.0014906313370733	-0.0594493386448546	1	1	1	0
Btbd10	0.00153820545008834	-0.0218338745440648	1	1	1	0
Atxn2l	0.00159599409918464	0.0983022649094722	1	1	1	0
Asxl2	0.00160311257714701	-0.0401030542460873	1	1	1	0
Wnt5b	0.00162551679488146	0.606339219348637	1	1	1	0
Cops2	0.00168689771857708	0.137879174227684	1	1	1	0
Shc4	0.00173124904101766	0.728514949964178	1	1	1	0
