gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Ptprm	0.00193911338902035	1.66311652982565	1	1	1	0
Atxn7	0.00935594136182954	3.1935172570605	1	0.8	0.333	0.467
Smad3	0.0109406576437479	2.22561631371074	1	1	0.667	0.333
Sec14l1	0.0117595155569584	2.45980498718742	1	1	0.333	0.667
Dusp16	0.0119991774135309	-1.49643085343533	1	0.8	1	0.2
Nlk	0.0161916458546742	-1.8783016657861	1	0.6	1	0.4
Supt3	0.0165194240113563	2.4488343771837	1	0.8	0.667	0.133
Cmah	0.0189447327278836	3.01134034917173	1	1	0	1
Mbnl1	0.019710246495162	-0.809218930024113	1	1	1	0
Mapk14	0.0208460116056078	1.35798186286665	1	1	1	0
Nlgn1	0.023441134913325	-3.1495978170505	1	0.2	0.667	0.467
Fam168a	0.0273510237366953	-1.75356080974939	1	0.6	1	0.4
Pcdh9	0.0274640423852961	-1.36025021381663	1	1	1	0
Gna12	0.028146395634144	1.54194624805463	1	1	1	0
Snx24	0.0283959009452228	1.01803256010227	1	1	1	0
Scd2	0.0295915626086182	-3.58544330521139	1	0	1	1
Psma3	0.0327729342622457	-3.58733919292673	1	0	1	1
Zadh2	0.0339286223690385	2.82404278677259	1	1	0	1
Mat2a	0.0354244000385329	-2.50337293956172	1	0.2	1	0.8
Xrn1	0.0370927099999018	-1.04852232744519	1	1	1	0
Man2b1	0.0389070773223553	-1.64028355728432	1	0.8	1	0.2
Slc15a2	0.0402257713561697	3.19337805726959	1	0.8	0	0.8
9930021J03Rik	0.042581615653912	-1.17191055122105	1	1	1	0
Npepps	0.0435804157960313	-1.03351643934743	1	0.6	1	0.4
Smyd3	0.0437117142802678	-1.00317728461905	1	1	1	0
Ptp4a2	0.0437656280339886	1.53143001262854	1	1	0.667	0.333
Cspp1	0.0455775544840626	-2.29295482360437	1	0.6	1	0.4
Atp6v0b	0.0459686856387181	-1.64792770040261	1	0.8	0.667	0.133
Sh3bgrl	0.0462808327131484	-2.64263658809188	1	0.4	0.667	0.267
Zdhhc9	0.0465515389983127	-2.06296927232479	1	0.4	1	0.6
Itpkb	0.0471272630557933	2.4078659894975	1	0.8	0.333	0.467
Zbtb44	0.0479989134733965	-3.22750103732049	1	0.2	0.667	0.467
Stau1	0.048661396946256	-1.3773755009552	1	0.8	1	0.2
Nr6a1	0.0487112099188323	-1.36990938105545	1	0.8	0.667	0.133
Chmp3	0.0487157634599849	2.68113123480104	1	1	0	1
Galk2	0.0492607812899222	-2.39968293312152	1	0.4	0.667	0.267
Srsf5	0.0500051960980072	-1.09985230002263	1	0.8	1	0.2
Fermt3	0.0500836131174328	1.59055796006393	1	1	1	0
Lrp1b	0.0504292408155795	-2.93830751542546	1	0.4	0.667	0.267
Psd3	0.0512800613130206	2.80630463997675	1	1	0.333	0.667
Sash1	0.0524768934782609	3.11211701203433	1	0.8	0	0.8
Arid1b	0.0527648385185895	-1.06934549889913	1	1	1	0
Ppp1cc	0.0538214803622971	2.75650765022932	1	1	0	1
Jak1	0.0540717903786404	-1.15239020468626	1	1	1	0
Ms4a6c	0.0548987817711992	2.75823154622836	1	0.8	0	0.8
I830077J02Rik	0.055377386996754	1.76088191623775	1	0.8	0.333	0.467
Ppp2r5c	0.055622052260698	2.18263129908736	1	1	0.667	0.333
Rnase4	0.0559281543292913	-1.43991903924441	1	0.8	1	0.2
Cul3	0.0560386586033593	-1.55253303508961	1	0.8	0.667	0.133
Ppp6c	0.0580520395452784	-3.17415017957778	1	0.2	1	0.8
Rasa3	0.0587048131295651	-2.05387878439895	1	0.6	1	0.4
Mia2	0.0593031250644757	-1.53410760278305	1	0.8	1	0.2
Ccdc93	0.0604120305683452	-2.28311855735567	1	0.4	1	0.6
Nptn	0.0606209249308257	-1.98927210479588	1	0.6	1	0.4
Fnip2	0.0612615006905371	1.63034507967763	1	1	1	0
Litaf	0.0616395404107513	2.35176983686506	1	0.8	0.333	0.467
Rps27a	0.0627285216590024	-3.09017125742218	1	0.4	0.667	0.267
Gnai3	0.0630837988263444	-2.38692185615897	1	0.2	1	0.8
Phf14	0.0638966015934411	-0.97426380290138	1	1	1	0
Tmem65	0.0639966509848002	-1.76723878177097	1	0.4	1	0.6
Arpc1b	0.0642003264355099	-1.81808037783417	1	0.8	1	0.2
Tlk1	0.0648747296954519	2.09370308463273	1	0.8	0.333	0.467
Gpatch2l	0.0661967624809894	2.23514922941667	1	0.8	0	0.8
Cd300a	0.0669888318435972	-2.54160745943574	1	0.4	1	0.6
Gab3	0.0681171759373502	2.57851242754758	1	0.8	0	0.8
Slc39a10	0.0687763909344893	2.64537553409578	1	1	0	1
Zfand6	0.0688203305053947	-1.19143368149059	1	0.8	1	0.2
Uhrf2	0.0698425870545323	-1.833264595466	1	0.6	1	0.4
Abcg3	0.0704106594360545	-2.38125075520189	1	0.4	1	0.6
Kif13b	0.0704319195600521	1.54649953426099	1	1	0.667	0.333
Slc24a3	0.0714560875426407	-0.618163484917031	1	1	1	0
Man1a	0.0733632313597641	-0.812703505867389	1	1	1	0
Rras2	0.0736999293851953	-2.54572507005204	1	0.4	1	0.6
Tmem273	0.0745185027514444	2.13542157995308	1	1	0.333	0.667
Tmem209	0.0752620901391092	2.56826438671964	1	1	0	1
Atxn2	0.0756129423703238	-2.37608271786488	1	0.4	1	0.6
Shld1	0.0758974232644991	2.550534827664	1	0.8	0	0.8
Map3k3	0.0767772351049208	1.0686427463424	1	1	1	0
Isy1	0.0770708098654663	-2.29846887101706	1	0.6	0.333	0.267
Uty	0.0777647135156378	-2.13145380337503	1	0.2	0.667	0.467
Hivep3	0.0820471916646231	-0.828804890151535	1	1	1	0
Psmd1	0.0826116421001353	-1.02515283791607	1	0.4	0.667	0.267
Glg1	0.0827736654583265	-0.776812476510837	1	1	1	0
