gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gpcpd1	6.58222798608879e-05	-2.69637388968282	1	0.6	1	0.4
Arid1b	0.000247348332659173	1.34351794280193	1	1	1	0
Arih2	0.00069526156555931	1.51223027135609	1	1	0.6	0.4
D7Ertd443e	0.000734275052424991	-2.3853357295572	1	0.8	1	0.2
Lyst	0.000800198108513813	2.04449178704132	1	1	0.6	0.4
Fgr	0.00132217391865546	3.34280267033814	1	0.8	0.2	0.6
Marchf3	0.00163935549611221	2.06125646108439	1	0.8	0.4	0.4
Acaca	0.00166232465548863	3.42764025018689	1	0.8	0.2	0.6
Ptpro	0.00178002237689257	2.31635693585112	1	0.8	0.2	0.6
R3hdm2	0.00197727740289455	2.21116172034624	1	0.8	0.6	0.2
Rasa1	0.00210781337649206	1.47983984065249	1	1	0.8	0.2
Gsap	0.00267619848235878	1.38379311614217	1	1	0.8	0.2
Ankrd44	0.00306289304318258	-0.941311659630705	1	1	1	0
Bank1	0.00309140729779766	-1.11765293182666	1	0.8	0.8	0
Fmn1	0.0033953772826369	2.86042038550177	1	1	0.4	0.6
Camsap1	0.00377163705713975	2.16212905938317	1	1	0.6	0.4
Susd6	0.00421395138417612	1.67359442510693	1	1	0.8	0.2
Rai14	0.0045395685305986	3.1751272767971	1	0.8	0	0.8
Ptk2b	0.0051548545412566	1.94574137737496	1	1	0.6	0.4
Phf12	0.00526808301797523	0.506870103227743	1	1	0.4	0.6
Lrp1	0.00544829726352215	1.72763748300813	1	0.8	0.8	0
Ank	0.00554594786318541	2.13988609860155	1	0.8	0.6	0.2
Galk2	0.0055606040198871	2.2107208158714	1	1	0.4	0.6
Tbc1d8	0.00576359412800572	1.79747318804849	1	0.8	0.8	0
Tbc1d1	0.00642916992961891	2.35344052214588	1	1	0.2	0.8
Atg4c	0.00655264398323809	-2.15824459053398	1	0.8	1	0.2
Agmo	0.00705047647893956	-0.694305977910658	1	1	1	0
Rasal2	0.00800393200785308	-1.49540796949822	1	0.8	1	0.2
Trim30a	0.00838682439746103	0.56205577887691	1	1	1	0
Pde4d	0.00886983804817592	-1.86893131034394	1	0.4	0.8	0.4
Smarca2	0.00895377628235424	-1.47478805672618	1	1	1	0
Abl2	0.0095471614652615	1.55836764976025	1	1	0.8	0.2
Ifi204	0.00997264599755059	2.06964098927362	1	0.8	0.2	0.6
App	0.0108012269659953	-1.38916844368134	1	1	1	0
Arid5b	0.0108105668537101	1.0362611485209	1	1	1	0
Ptpre	0.0111205942246525	3.02844702459898	1	0.6	0	0.6
Soat1	0.0114113420987428	1.96824305820014	1	1	0.4	0.6
Lrch3	0.0114363497784899	1.39665629740994	1	1	0.8	0.2
Cmah	0.0117498571005367	-1.97982016453592	1	0.4	1	0.6
Celf2	0.012373051503411	1.20646782238594	1	1	1	0
Ubn2	0.0126933722047727	1.01484640234198	1	1	1	0
Cep85l	0.0130604669754564	-2.13158860345306	1	0.8	1	0.2
Ptprm	0.0130811892554656	-1.14375175192208	1	1	1	0
Cadm1	0.0146568985287569	1.82597500330341	1	1	0.6	0.4
Lin9	0.0146949375065473	2.98882441671912	1	0.8	0.2	0.6
Fmnl2	0.0149605006734712	0.390913519176312	1	1	1	0
Npc1	0.0151243207499072	2.73991873441145	1	1	0.4	0.6
Slc15a2	0.0159967289559934	-3.93034365143579	1	0	0.8	0.8
Atp6v0b	0.0162689278965531	1.34916846639228	1	1	0.8	0.2
Cers6	0.0166630851783058	2.92676066407995	1	0.8	0	0.8
Rnf213	0.0172807782044778	1.40014943723153	1	1	0.8	0.2
Eya3	0.019949257048728	2.27028077523949	1	1	0.4	0.6
Gnai3	0.0200187740996741	1.92162292708841	1	0.8	0.2	0.6
Golgb1	0.0200282518548526	2.6688822332247	1	0.8	0.2	0.6
Arih1	0.020700321491754	1.03676527878856	1	1	1	0
Ercc5	0.0210356199234017	2.73991394525062	1	1	0.2	0.8
Camk2d	0.021886877987416	0.701193331420354	1	1	1	0
Zfp217	0.0221317725145369	2.61313305322925	1	1	0.2	0.8
Asah1	0.0221655384215907	2.39035668284199	1	0.8	0.4	0.4
Ppp6c	0.0222055413798959	2.65608398133291	1	1	0.2	0.8
Larp1	0.0227839298132279	0.606778276437822	1	1	1	0
Arhgef3	0.0228119146504933	-3.05842351904913	1	0.2	0.8	0.6
Stat2	0.0231782845595792	2.498837213235	1	0.8	0.2	0.6
Traf3	0.0231840765923811	1.65418570825188	1	0.8	0.6	0.2
Fgf13	0.0232311470918382	1.17731444249293	1	1	1	0
Akap10	0.0233672557447269	0.659218881130112	1	1	0.8	0.2
Zfp654	0.0240394527509655	2.93351981255052	1	0.8	0	0.8
Otud4	0.0243399951200805	2.60305012446994	1	0.8	0.4	0.4
Btbd1	0.024357366201012	0.698417618143307	1	1	0.8	0.2
Srsf7	0.0245776838664204	1.46528943290198	1	1	0.8	0.2
Zbtb44	0.024675943495266	2.78701043505384	1	1	0.2	0.8
Baz1b	0.0247676104128978	1.87997197858145	1	1	0.6	0.4
Bcl2	0.0250546054045096	1.85895236904736	1	1	0.4	0.6
Tmem259	0.0251792516768646	2.79499487286155	1	0.8	0	0.8
Akap7	0.0254353467907252	-2.70109897643921	1	0.4	1	0.6
Slc39a10	0.026047816447435	-2.00014884569565	1	0.4	1	0.6
Mettl8	0.0260986321872948	-2.52977412499701	1	0.2	0.8	0.6
BC005537	0.0262997528347582	0.861575304155745	1	1	0.6	0.4
Ubr4	0.0270731704753334	2.84939548122143	1	1	0	1
P2ry12	0.0273988832338432	-0.56710707838268	1	1	1	0
Enpp2	0.0274010400937915	-2.24857878185309	1	0.4	0.8	0.4
Rnf20	0.0277529163197991	-1.29945322836446	1	0.8	0.8	0
Mia2	0.028165087135184	1.32711714179755	1	0.8	0.8	0
Hnrnpm	0.0282560569783562	2.07970439099932	1	1	0.4	0.6
Ppfia4	0.0284941628751402	2.67457609813143	1	0.6	0.2	0.4
Tmem65	0.0289452892310696	1.62932871991888	1	0.8	0.4	0.4
Mef2a	0.0290074455317999	-0.673922392580618	1	1	1	0
Lrmda	0.0291888007265717	0.287560346828927	1	1	1	0
Csf1	0.0294113657976047	2.50282170868274	1	0.8	0.4	0.4
Sparcl1	0.0294842658569881	-1.86755579096584	1	0.2	1	0.8
Chst11	0.0302966325747594	0.624408347684755	1	0.8	0.6	0.2
Psd3	0.0304324043357848	-1.78561626661802	1	1	1	0
Rheb	0.0306468542856115	1.811904333949	1	1	0.6	0.4
Slf2	0.0318862079913998	1.76010415905031	1	0.8	0.6	0.2
Snap23	0.0319294273662679	2.4037639072598	1	1	0.4	0.6
Gpr34	0.0330101484382335	-1.28995569794718	1	1	1	0
Ctsb	0.0331187740998124	1.73906348304186	1	0.8	0.4	0.4
Apbb2	0.0334975266966691	0.30121410664163	1	1	1	0
Arhgap24	0.0337929146381142	0.699026054349416	1	1	1	0
Nptn	0.0340789262873929	1.59478451071387	1	0.8	0.6	0.2
Ppp6r1	0.0350722801314816	2.86254736574683	1	0.6	0	0.6
Ambra1	0.036401776094314	0.853294510076752	1	1	0.8	0.2
Nadk	0.0364259976624529	1.74617092830019	1	0.8	0.4	0.4
Trappc9	0.036555606172495	1.35916660541741	1	1	0.8	0.2
Cacna1d	0.036627574880416	2.13228442641533	1	0.8	0.4	0.4
Tmem209	0.0375365934709841	-2.68071915819673	1	0.4	1	0.6
Hif1a	0.0379375090973097	2.17417626505304	1	1	0.4	0.6
Frmd4b	0.0384600265984295	-0.649828644455346	1	1	1	0
Rap1a	0.0394674652786719	-1.12235366764526	1	0.8	1	0.2
Pum2	0.0398732052613959	1.22667007099049	1	1	0.8	0.2
AW146154	0.0402405006005333	2.5621283340043	1	1	0.2	0.8
Ap2b1	0.0402756195094584	0.900532086823436	1	1	0.4	0.6
Csf2ra	0.0403589964501732	2.51622715087851	1	0.6	0.2	0.4
Cep170	0.0407591675499185	0.636487074100579	1	1	1	0
Atxn2	0.041218634348472	2.36887319981314	1	1	0.4	0.6
Smad2	0.0413700677369249	1.70996827437616	1	0.8	0.6	0.2
Cdk8	0.0416652962001757	1.39046885082229	1	1	0.6	0.4
Sh3gl1	0.0422570702275421	-2.35660578401719	1	0.4	0.8	0.4
Pias2	0.0425766711003022	2.28196569572941	1	1	0.4	0.6
Maf	0.0431054450419692	-0.625125903690138	1	1	1	0
Adcy9	0.0432632587902515	-1.47118468665966	1	0.8	0.8	0
Nit1	0.0436644884354542	-3.02285872331071	1	0	0.6	0.6
Smg7	0.0439315304144884	2.48738140762093	1	0.8	0.4	0.4
Prkacb	0.043952243404322	-1.57956615671509	1	0.8	0.8	0
Rpl10a	0.0439963422474643	1.58653789686248	1	1	0.6	0.4
Larp4b	0.0440643360813434	0.654373862175604	1	1	1	0
Slc24a3	0.044087251935757	0.165793185553097	1	1	1	0
Ly86	0.045093915444181	0.503702352105495	1	1	1	0
P2rx7	0.0455119050617892	-1.06082908144743	1	1	0.8	0.2
Afap1l1	0.0456334519664276	-1.04915170888828	1	0.8	0.8	0
Pum1	0.0460301133785068	1.03821154788211	1	1	0.8	0.2
Cux1	0.0465970063603559	0.955227370688471	1	1	0.8	0.2
Mitf	0.0466948011202486	0.417445207855173	1	1	1	0
Ddx17	0.0474192524623707	0.905807087986455	1	1	1	0
Ankhd1	0.0475757717710861	0.724962128391069	1	1	1	0
Lpcat2	0.0476944163251801	0.755203598207355	1	1	1	0
Anapc11	0.0477330597391834	-2.47892260670009	1	0.2	0.8	0.6
Dcun1d1	0.0477545715812906	-1.9425964403156	1	0.6	0.6	0
Zfp952	0.0486405549604456	-2.13981760137136	1	0.4	0.8	0.4
Ehbp1	0.0489135899381318	2.76121938804017	1	0.6	0	0.6
Tnks	0.0489193296952708	1.45437152840991	1	0.8	0.6	0.2
Setx	0.049007073712831	1.8552799487445	1	1	0.4	0.6
Micu1	0.0490777450371748	1.71838105226972	1	1	0.4	0.6
Plp1	0.0490999483581968	-2.29147169926951	1	0.6	1	0.4
Dnajc1	0.0492073359325286	0.743861486973045	1	1	1	0
Eeig2	0.0492323750019055	-0.765512082638534	1	1	1	0
Copa	0.0500166810767786	0.326451400230719	1	0.8	0.4	0.4
Cst3	0.0501665669089395	-0.791910743065941	1	1	1	0
Nlrc5	0.0502432964356569	2.07293894855815	1	1	0.4	0.6
Dock9	0.050934770375119	-1.4354391605448	1	0.6	0.8	0.2
Dock6	0.051089216649707	-2.94483251073646	1	0.2	0.6	0.4
Stk10	0.0511458434610165	-1.03927243024008	1	1	1	0
Tmem131l	0.0517369211003401	2.38941567185071	1	0.4	0.4	0
Rps27a	0.0519017128470832	2.35375793041677	1	1	0.4	0.6
Man2a1	0.0522745127016758	2.68268005541395	1	0.6	0.2	0.4
Ifi207	0.0525638513552593	2.34000096837452	1	0.6	0.2	0.4
Rab14	0.0527524944582519	0.830666131685697	1	1	0.6	0.4
Fnip1	0.0528184901860188	0.662749807129762	1	1	1	0
Ints9	0.0528927591288229	2.42815485217794	1	0.8	0.2	0.6
Fbxw11	0.0532073748103953	1.22252840663779	1	1	0.6	0.4
