gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
App	0.000159403951228051	-2.31764436356386	1	0.833	1	0.167
P2rx7	0.000250088936957753	-1.71279603367117	1	0.833	0.75	0.083
Kif1b	0.000449439531397556	-1.6743133326301	1	1	1	0
Sirpa	0.0007831869336958	1.51470951696741	1	0.833	0.75	0.083
Samd4	0.0016874723975077	-3.41238260828672	1	0.333	0.75	0.417
Rnase4	0.00256876694631329	-2.33311935312301	1	0.833	0.75	0.083
Etv1	0.00287594533507838	-2.86311691871239	1	0.667	1	0.333
Lyst	0.00351471623684548	3.23966505882121	1	1	0.5	0.5
Ctsb	0.00377791336990396	2.7075940043342	1	0.833	0.25	0.583
Rbpj	0.00390123590960784	-1.14577032995567	1	1	1	0
Atg4c	0.00395692689423654	-3.2464901989098	1	0.5	1	0.5
D7Ertd443e	0.00444211009461385	-3.01730273467648	1	0.333	1	0.667
Asph	0.0050339147572717	1.92354189935466	1	1	0.75	0.25
Ipcef1	0.00525274247111324	3.10165795046904	1	0.833	0.25	0.583
Prkch	0.0052935400014129	2.5231108455367	1	0.833	0.5	0.333
Arhgef3	0.00533207803956377	-2.68634099439102	1	0.5	1	0.5
Trps1	0.0056445306622911	-1.84078979348928	1	0.833	1	0.167
Stat1	0.00674144763345647	3.72692845530868	1	1	0	1
Marchf3	0.00695983847070932	2.80425208618543	1	1	0.25	0.75
Dhx16	0.00776830224125937	-3.7319371073691	1	0.333	0.75	0.417
Lcorl	0.0079882657239984	-1.84138799149234	1	0.667	1	0.333
Stab1	0.00889596161861159	-1.30024940261706	1	0.833	1	0.167
Dnajc24	0.00900034407567683	-3.27038790291354	1	0.5	0.75	0.25
Sema4d	0.00918347969096822	3.26254848199541	1	0.833	0	0.833
Abr	0.0100027359692908	3.3535862293208	1	0.833	0.25	0.583
Bcl2	0.0113221869718082	3.31983485764468	1	1	0.25	0.75
Calm2	0.0113344065350917	-2.41067647288118	1	0.5	0.75	0.25
Stk10	0.0121332269108463	-1.64336925470405	1	0.833	1	0.167
Fam168a	0.0122358613827174	-2.06139485855048	1	0.667	0.75	0.083
Fgfr2	0.0123046166572214	-2.09831529899262	1	0.667	1	0.333
Ankrd44	0.0133629923355724	-1.09952972128952	1	0.833	1	0.167
Il16	0.0145268876634065	-2.61414246982511	1	0.167	0.75	0.583
Oxct1	0.0152760832691177	3.17126187472275	1	0.833	0	0.833
Trim24	0.0159327723257191	-3.03347150649461	1	0.5	1	0.5
Cst3	0.0161100457329628	-0.90916223905156	1	1	1	0
St3gal6	0.017401175453869	-1.10945753243346	1	0.833	1	0.167
Map3k5	0.0175603385539139	-1.30628287257004	1	0.833	0.75	0.083
Ltc4s	0.0182562694691281	-1.77408800995504	1	0.667	1	0.333
Tmcc1	0.0189819668881559	-0.684806133638019	1	1	1	0
Anapc5	0.019035650163032	-1.21461182929632	1	0.667	1	0.333
Tg	0.0191786574307674	-2.06518653616059	1	0.667	0.75	0.083
Fgr	0.0197054179729839	3.03886597239168	1	0.833	0	0.833
Ube2i	0.0197110127129586	-2.67787163272997	1	0.5	1	0.5
Tpk1	0.0212493172581267	-1.62224634093568	1	0.833	0.75	0.083
Slc6a6	0.0217812079979656	-1.60456974025439	1	0.833	1	0.167
Ddx42	0.0224327567963252	-3.29350944001631	1	0.5	0.5	0
Strada	0.0225068206302983	3.44811434260032	1	1	0	1
Tmem260	0.0226918978497267	-2.13128201940673	1	0.667	0.75	0.083
Stat2	0.0233279186459314	3.09437964751381	1	0.833	0	0.833
Dab2	0.0233518510588618	-1.60718879093839	1	0.833	1	0.167
Med12	0.0236992717040497	-3.28278702467488	1	0.333	1	0.667
