gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Marchf3	2.19696790109853e-07	3.54270262215339	0.00393894374987956	0.889	0.25	0.639
Lyst	5.88058770661675e-06	2.62982726202432	0.105433056991932	0.889	0.625	0.264
Bank1	1.26072553906494e-05	-1.65020569367467	0.226035481898953	0.667	0.875	0.208
Cadm1	1.43174061308259e-05	1.54267281386545	0.256696774519578	0.889	0.75	0.139
D7Ertd443e	2.24664698979942e-05	-2.92374658012519	0.402801338801139	0.444	1	0.556
Bcl2	5.10864521168482e-05	3.62745388537629	0.915929000002971	1	0.25	0.75
Ankrd44	9.25152511656814e-05	-1.06856770669633	1	0.889	1	0.111
Chst11	0.000136869954445846	1.66701211058604	1	0.889	0.5	0.389
Ank	0.000170609854291992	2.6227022808661	1	0.889	0.625	0.264
Fgr	0.000295642510347528	3.48853296418487	1	0.667	0.125	0.542
Trim30a	0.000320242509921092	0.8711733205847	1	0.889	1	0.111
Acaca	0.00033509127402881	3.23175824138427	1	0.667	0.25	0.417
Myo1e	0.000405862613820596	1.01018142020723	1	0.889	1	0.111
Tbc1d8	0.000477394291377701	2.46460695827837	1	0.778	0.625	0.153
Fgf13	0.000594320903641895	1.51263356711127	1	1	1	0
Rai14	0.0006899275911822	3.54559945597554	1	0.778	0	0.778
P2ry12	0.000833675277808981	-0.735952694583089	1	1	1	0
Maf	0.000850328924022699	-0.927999855554171	1	1	1	0
Asph	0.00100662060672626	1.39840866292196	1	0.889	0.75	0.139
Zdhhc14	0.00103185485882633	-2.03808577928337	1	0.667	0.875	0.208
P2rx7	0.00123496621049153	-1.43811512712879	1	0.889	0.875	0.014
R3hdm2	0.00129298228125662	2.42088208375885	1	0.889	0.5	0.389
Atg4c	0.00137328063906748	-2.47026870537321	1	0.556	0.875	0.319
St3gal6	0.00163705463610704	-0.936452991222199	1	0.889	1	0.111
Gsap	0.00209145616282034	1.65446583690429	1	0.889	0.875	0.014
Apbb2	0.00216441046230037	0.656667228207443	1	1	1	0
Mitf	0.0026299076285552	0.541013383855484	1	1	1	0
Zfp217	0.00266176002404913	2.56850774083105	1	0.889	0.25	0.639
Entpd1	0.00304209520930226	-0.822168748841005	1	1	1	0
Zdhhc9	0.00308439244165329	-2.42278784080159	1	0.333	0.625	0.292
Fnip1	0.00330877121298765	1.0492560931162	1	1	0.875	0.125
Hif1a	0.00342909646879156	2.40394536813208	1	1	0.375	0.625
Rnase4	0.00350139566804859	-1.80214223661404	1	0.778	0.875	0.097
Stat2	0.00369504587963622	2.90113460173823	1	0.778	0.125	0.653
Asah1	0.00378904757440587	2.15395158380773	1	0.889	0.5	0.389
Agmo	0.00380421079794841	-0.690304620881969	1	1	1	0
Stab1	0.00433779521462939	-0.992977143321931	1	0.889	1	0.111
Ifi204	0.00440406139695431	2.43446996932666	1	0.667	0.25	0.417
Cacna1d	0.00459467409683833	2.11614123911082	1	0.778	0.375	0.403
Ctsb	0.00465169845314724	1.40388844417143	1	0.778	0.5	0.278
Arih2	0.00517632991644976	0.819974814574551	1	0.778	0.75	0.028
Mef2a	0.00537112605124144	-0.579235648759301	1	1	1	0
Dnajc1	0.00547358351732357	1.16005035316838	1	1	1	0
Ly86	0.00564679737160708	0.706988905898625	1	1	1	0
Arid5b	0.00568671123036294	1.24998101655494	1	0.889	0.875	0.014
Ptk2b	0.00580455183543404	1.79215028475248	1	0.778	0.5	0.278
Lrch3	0.00652370580557332	1.37814910560971	1	1	0.875	0.125
Arhgef6	0.00676798912524641	-1.84495923610922	1	0.556	1	0.444
Nadk	0.0068742260549406	2.33897682989398	1	0.889	0.375	0.514
App	0.00698789793838907	-1.07815616223001	1	0.889	1	0.111
Serpine2	0.00702412188023311	2.13665135130672	1	0.556	0.125	0.431
Phf12	0.00726743191413032	0.571465714617984	1	0.889	0.5	0.389
Srsf10	0.00752000503089918	3.05845838101985	1	0.889	0.125	0.764
Nrd1	0.00878762723284722	2.09776552131378	1	1	0.375	0.625
Ipcef1	0.00880535046633727	2.16293719432721	1	0.778	0.375	0.403
Lin9	0.00931547936654525	3.59191621174773	1	0.667	0.125	0.542
Gpr34	0.00960021090852167	-1.13423138868049	1	0.889	1	0.111
Ranbp9	0.00980845185257988	2.18717109614594	1	1	0.5	0.5
Axl	0.00982041286198191	2.66644689021709	1	0.667	0.25	0.417
Clec7a	0.00985508243783175	2.83148892526893	1	0.778	0.25	0.528
Arid1b	0.0100632100510601	0.493241743735913	1	0.889	1	0.111
Tm9sf2	0.0101928347550797	2.10888821914184	1	0.889	0.375	0.514
Camsap1	0.0102044226979214	1.83131812915824	1	0.667	0.5	0.167
Ifi213	0.0102696958577579	3.26969796487256	1	0.667	0.125	0.542
Siglech	0.0102941543509897	-0.588074670107327	1	0.889	1	0.111
Camk2d	0.0107335313129599	0.816026921040243	1	1	1	0
Adcy9	0.0110644963448525	-1.37884767077881	1	0.778	0.75	0.028
Csf1	0.0119931916088279	2.60953503065748	1	0.667	0.25	0.417
Hnrnpm	0.0123633605729431	1.97870755834545	1	1	0.5	0.5
Arhgap24	0.0124520967125893	0.987243483188433	1	1	1	0
Mfng	0.0133395016187782	-2.84003893896147	1	0.222	0.75	0.528
Susd6	0.0136116649570647	1.08420217210762	1	1	0.875	0.125
Cmip	0.0142142395679061	0.471067521527662	1	0.889	0.875	0.014
Dcun1d5	0.0143542120425615	2.35974739301685	1	0.889	0.25	0.639
Otud4	0.0144739273704575	2.33549969618687	1	0.667	0.375	0.292
Fnip2	0.0148658821806348	0.766581234353861	1	1	1	0
Mrc1	0.0151152101184378	-2.22299100064524	1	0.556	1	0.444
Fmn1	0.0151301439079544	2.16006562487857	1	0.778	0.375	0.403
Dab2	0.0161203566588294	-1.64892699233699	1	0.667	1	0.333
Pde3b	0.0161321877845246	-0.703161988836122	1	0.889	1	0.111
Il16	0.0161671766030355	-2.63566269686935	1	0.222	0.625	0.403
Prkg1	0.0165099139512188	1.57313867951336	1	0.889	0.75	0.139
Trim30d	0.0166353040755699	1.55860725784827	1	1	0.875	0.125
Atp8a1	0.0168108050412335	0.726834354325057	1	1	1	0
Vac14	0.016816417259302	3.13120629272968	1	0.778	0.125	0.653
Lrp1	0.0171292422880401	1.09209408212469	1	0.889	0.875	0.014
Prune2	0.0172089788598175	3.16285442076463	1	0.556	0	0.556
Smg7	0.0172192381471735	2.80398371224182	1	0.778	0.25	0.528
Ankrd11	0.0172680834019621	0.593263571872764	1	1	1	0
Rnf20	0.0173793854624804	-1.61337224865547	1	0.444	0.625	0.181
Arpc5	0.0179233537339672	2.88739178646751	1	0.889	0.125	0.764
Pik3cg	0.0183885618785203	-1.00168396267127	1	0.778	0.875	0.097
Eya3	0.0184776074820832	1.7587123214324	1	0.778	0.375	0.403
Cers6	0.0191343538497918	3.09913272836089	1	0.556	0	0.556
Dgkz	0.0194727233154949	1.44601278105633	1	0.778	0.375	0.403
Stat1	0.0196032798002716	1.85188453212083	1	1	0.375	0.625
Larp4	0.0196955706237771	0.670418923922149	1	0.778	0.375	0.403
Ubr4	0.0199927551277384	2.93091324915278	1	0.778	0	0.778
Rnf213	0.0201485233741866	0.942543339227917	1	0.778	0.75	0.028
Golgb1	0.020308948463569	2.27288013379967	1	0.667	0.25	0.417
Prkch	0.0204477748732576	1.11936383219067	1	0.889	0.75	0.139
Afap1l1	0.0205228178645284	-1.29336745751068	1	0.667	0.875	0.208
Cst3	0.0207609933085307	-0.68116530474051	1	1	1	0
Lrmda	0.0207816082787599	0.370458476375018	1	1	1	0
Fyb	0.0211856872542962	0.448799030323446	1	1	1	0
Herc6	0.021320842605117	1.6830337703038	1	0.667	0.375	0.292
Pum1	0.0214292445665096	0.896952118513283	1	0.889	0.75	0.139
Myo1f	0.0216028316251752	0.445719438319626	1	1	1	0
Spacdr	0.0216439444574234	-1.31121811164711	1	0.778	1	0.222
H2-D1	0.0216507971272668	2.76361025542998	1	0.778	0.125	0.653
Ppp6r1	0.0217636048786223	2.64466483226522	1	0.667	0.125	0.542
Nlrc5	0.0219215663686827	2.41880169882715	1	0.889	0.375	0.514
Btbd1	0.0221126877968038	0.590272649192402	1	0.889	0.75	0.139
Ifi207	0.0225662753474319	1.99448212218617	1	0.667	0.375	0.292
Csnk1g3	0.022815445824106	0.450449692341818	1	0.778	0.625	0.153
Snap23	0.0229339686027845	1.61628057464308	1	0.778	0.5	0.278
Csf2ra	0.0234441439774467	2.67351732524542	1	0.556	0.125	0.431
Cux1	0.0238531223581378	0.693932576561958	1	1	0.875	0.125
Plekhg5	0.0239081534821496	-3.1740920072192	1	0.111	0.625	0.514
Pde6d	0.0247692229180268	2.60709299991348	1	1	0.25	0.75
Cope	0.0248052107124513	2.97971938804653	1	0.778	0	0.778
Nav2	0.0248208818741908	-0.56719456024411	1	1	1	0
Soat1	0.0251879667788246	1.65707611464677	1	0.778	0.375	0.403
Trappc9	0.0252332471598776	1.07310364893207	1	0.889	0.75	0.139
Cdk8	0.0256616099753609	1.01740653484699	1	0.889	0.75	0.139
Larp1	0.0256910000784228	0.597244919483361	1	0.778	0.75	0.028
Slc9a9	0.0257196606884795	-0.696314169117883	1	0.889	1	0.111
Mbnl1	0.0265433189116936	-0.268467362345009	1	1	1	0
Phc3	0.0265857799224421	1.03916841833156	1	0.889	0.75	0.139
Socs5	0.0266516531504598	-2.80009975708807	1	0.333	0.875	0.542
Ubn2	0.0269295784996299	0.708074315068521	1	1	1	0
Dcakd	0.027109572752129	1.15767081194687	1	1	0.75	0.25
Oxct1	0.027198287525111	2.13962449377709	1	0.667	0.25	0.417
Isy1	0.0274707498674213	-2.67163976125745	1	0.222	0.5	0.278
Clta	0.0278169233443169	0.581845632294178	1	0.889	1	0.111
Akap10	0.0281269710928992	0.450614414679988	1	1	0.875	0.125
St8sia6	0.0281308494108611	2.35741873887152	1	0.556	0.25	0.306
Ehbp1	0.0286312873177229	2.73434142252625	1	0.667	0.125	0.542
Serf2	0.0287743811241011	1.80634287969994	1	0.778	0.25	0.528
Abr	0.0290913948128318	1.68570480551833	1	0.667	0.5	0.167
Akap7	0.0292406682676998	-2.17389455670273	1	0.444	1	0.556
Kif1b	0.0294504930333999	-1.30680864056703	1	0.778	0.75	0.028
Riok3	0.0302136495295492	1.47674077916147	1	0.889	0.375	0.514
