gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Serpini1	2.81637669220017e-07	-4.30477820683874	0.00504948177144568	0.2	1	0.8
Galnt17	1.41956578981444e-05	4.1213193439059	0.254513950455831	1	0.25	0.75
Actn1	0.000195884731987906	-3.08158648134664	1	0.2	1	0.8
Pdlim5	0.000307073194803266	-1.01314642128399	1	1	1	0
Sulf1	0.000824147252500615	-3.0148760913258	1	0.2	1	0.8
Mast4	0.0010152725422076	1.05528506364413	1	1	1	0
Slit3	0.00123407863435095	-3.45081514326921	1	0.2	0.75	0.55
Frmd4b	0.00143026533077198	-0.912603374760022	1	1	1	0
Lama2	0.00203208604828838	1.08636628173312	1	1	1	0
Ptgis	0.00223543537294265	-2.478415453514	1	0.6	1	0.4
Rnf152	0.0022612913481561	-0.520058390998276	1	1	1	0
Stk38l	0.00229520759022927	-2.79541611989387	1	0.4	1	0.6
Plxdc1	0.00254025224282023	1.52112275277953	1	0.8	0.75	0.05
Plcb4	0.00254418008127334	-1.12906176155501	1	1	1	0
Ppp1r12a	0.00315792918196761	-0.652365228892092	1	1	1	0
Ano4	0.0032560378227956	-1.48127683935585	1	0.8	1	0.2
Myom1	0.00346927917754146	-0.857120034656786	1	1	1	0
Per2	0.00409696044453531	-3.16827400385449	1	0.2	1	0.8
Tpm1	0.00508600038428673	-0.491898476784269	1	1	1	0
Apba1	0.00512611715988997	-2.20707240099274	1	0.6	1	0.4
Ubr5	0.00518450788494086	-2.03238211973227	1	0.6	1	0.4
Actn4	0.00565339965100771	-1.50166820547007	1	0.8	1	0.2
Brd1	0.00577980732947786	-3.05812000897573	1	0.4	1	0.6
Khdrbs1	0.00614430411109893	-0.384864869720092	1	0.6	1	0.4
Crispld2	0.00695075336482816	-2.72667725969117	1	0.4	1	0.6
Magi1	0.0083476474615295	-1.43759812086193	1	0.8	1	0.2
Atxn1	0.00836888417806953	-1.42894960771799	1	0.8	1	0.2
Kctd1	0.00868195214063653	-2.3391052846561	1	0.6	0.75	0.15
Chd6	0.0104864529392656	-0.76774442643965	1	1	1	0
Mrtfb	0.0104865534162842	-2.03043178664596	1	0.2	1	0.8
Aopep	0.0110589341608487	-0.493015803924134	1	1	1	0
Arhgap24	0.0112949174159325	-2.1812132687773	1	0.4	1	0.6
Ano1	0.0114898583934631	0.983835977216073	1	1	1	0
Nckap5	0.0128163800100848	2.8312304705129	1	0.8	0.25	0.55
Vstm4	0.0129331912455947	1.78782779164727	1	1	0.75	0.25
Atosa	0.0130018368880227	-1.87931526054047	1	0.6	1	0.4
Sh3kbp1	0.0132285193087208	-2.55918555715601	1	0.2	0.75	0.55
Trpc3	0.0133699473725844	1.02429955696002	1	1	1	0
Sorbs2	0.0133784242312428	-0.714975069855051	1	1	1	0
Psd3	0.0136595632230916	1.04394790421379	1	1	1	0
Flna	0.0141159672643247	-1.15487286098912	1	0.8	1	0.2
Slc24a3	0.0144142047663641	1.2896169614416	1	0.8	1	0.2
Stag2	0.0147134794958965	-1.42405534222521	1	0.8	1	0.2
Mef2c	0.0152270528156585	-0.399396173765732	1	1	1	0
Vps13a	0.0158655578349628	-2.10476326508494	1	0.6	1	0.4
Baz1b	0.0160221488610048	-1.99588500671202	1	0.6	1	0.4
Daam1	0.0162051397461096	0.785606507829491	1	0.8	1	0.2
Sf3b2	0.0164508124185837	-3.20910619137284	1	0.2	0.75	0.55
Septin4	0.0167665569869165	1.53248234159048	1	1	1	0
Acta2	0.0170708584831524	-0.340047402631807	1	1	1	0
Ankrd12	0.0173795436857867	-1.1188419288023	1	0.8	1	0.2
Gpcpd1	0.0173935780409878	1.12223116921892	1	1	1	0
Pde3a	0.0190668645695224	-0.738372182406556	1	1	1	0
Rsrp1	0.0194622811395746	-1.96617278344841	1	0.8	1	0.2
Ncoa7	0.0205526231228509	-3.27552080473227	1	0	1	1
Camk2g	0.0206556659415746	-1.35284470811599	1	0.6	1	0.4
Tef	0.0215431602060478	-2.17463424596763	1	0.4	1	0.6
Ppp3cc	0.0221300675131744	-2.08841024738716	1	0.6	1	0.4
Atp10a	0.022956091370842	-1.63229768343761	1	0.8	1	0.2
Filip1l	0.0230459779518552	-0.197136881154231	1	1	1	0
