gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Eln	1.09580355799309e-05	2.18987720704267	0.196466619912582	1	0.8	0.2
Pdlim5	3.96578836839106e-05	0.979546772862001	0.711026196568832	1	1	0
Slit3	5.01556169259255e-05	3.64552060088988	0.899240055864919	0.8	0.2	0.6
Ubr5	0.000371097558662596	2.16841208684957	1	1	0.6	0.4
Myom1	0.000515839737706443	0.938496048338758	1	1	1	0
Aopep	0.000547755957813356	0.646675593177327	1	1	1	0
Ppp1r12a	0.000604060611384873	0.703393097237965	1	1	1	0
Pde3a	0.00105007748738384	0.819293999694755	1	1	1	0
Actn1	0.00152259989396519	2.58497818374667	1	0.8	0.2	0.6
Ptpn9	0.00189173907059326	1.32098917695809	1	1	0.8	0.2
Mical3	0.00257568236898914	2.5704750672667	1	1	0.4	0.6
Actn4	0.00261874166254846	1.39183904422422	1	1	0.8	0.2
Pls3	0.00289729437708891	0.200841645836522	1	1	1	0
Flna	0.00327837216213782	1.27941669884665	1	1	0.8	0.2
Chd6	0.00340738523128856	0.688558971717757	1	1	1	0
Grb10	0.00340941232230838	1.74611665634339	1	1	0.8	0.2
Samd4	0.00370236692180353	1.45751423189834	1	1	0.8	0.2
Sox6	0.00528395126231115	1.13067496614009	1	1	0.8	0.2
Tpm1	0.00563566827952901	0.487573016457899	1	1	1	0
Dgkb	0.00584467447750073	0.17309324526074	1	1	1	0
Arhgef7	0.00641735980375694	2.08236900803757	1	1	0.6	0.4
Sesn1	0.00645722730017852	0.530095953290335	1	1	0.8	0.2
Arl15	0.00711970070817475	0.641092860450045	1	1	0.8	0.2
Insr	0.00738509335741036	1.32023529375983	1	1	0.8	0.2
Msrb3	0.00754299342959266	1.57502127293994	1	1	0.8	0.2
Arap2	0.0090226806568013	-1.06195870463074	1	1	0.8	0.2
Magi1	0.00918142192403199	1.18354202440196	1	1	0.8	0.2
Dcaf1	0.0092822048575032	2.17689425683519	1	1	0.2	0.8
Ppm1l	0.00960415081872174	2.83632454167471	1	0.8	0.2	0.6
Fancc	0.0103088673742867	2.55350760389257	1	1	0.2	0.8
Enpep	0.0105216731553627	-1.51954345168291	1	1	1	0
Esyt2	0.0105563363642852	1.18638719532033	1	1	0.8	0.2
Atp2a2	0.010802362995473	2.3168253458126	1	0.8	0.4	0.4
Cnot10	0.0111873944811754	0.0664090404536055	1	0.8	0.6	0.2
Nde1	0.014189516660447	-3.01569976173775	1	0.2	1	0.8
Kazn	0.0147999153741203	2.826966118575	1	0.8	0.2	0.6
Ppp1r12b	0.0151276322893916	0.0983698375958832	1	1	1	0
