gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ptpn9	0.000679918592605151	1.7964142479761	1	1	1	0
Rbm10	0.002844720782074	4.09027252317204	1	1	0	1
Kazn	0.00318082039480726	3.32773971806255	1	0.667	0.2	0.467
Zeb2	0.00517551027196002	-0.59087673313415	1	1	1	0
Arhgef7	0.00601211016233354	2.92184172368091	1	0.667	0.4	0.267
Trps1	0.00711476083573429	-1.02189378366629	1	1	1	0
Sparcl1	0.00741343656995079	-0.961296803178918	1	1	1	0
Rftn1	0.008242739300084	-2.62412428117654	1	0	1	1
Zfp407	0.01494855868135	2.35893373542383	1	1	1	0
Col18a1	0.0157156376392469	2.67031078198693	1	0.667	0.6	0.0670000000000001
Hlf	0.0167539760492494	-1.29468737215629	1	1	1	0
Camk2d	0.0170151495167602	1.17236838458848	1	1	1	0
Lgals8	0.0183025863455208	-2.48147876065303	1	0.333	1	0.667
Clk2	0.0189255769893532	3.50251838587304	1	1	0	1
Ptk7	0.0221525755309672	-1.90044527485791	1	0.333	1	0.667
Brd1	0.0228664291394847	2.26492454123913	1	1	0.8	0.2
Cdk17	0.0231129908040899	2.62840323685547	1	0.667	0.6	0.0670000000000001
Mllt3	0.0232843530452881	0.922819208694158	1	1	1	0
H2az2	0.0237997410157354	-0.868766162980236	1	0.333	1	0.667
Agfg1	0.0240148306231978	2.12508228733137	1	1	0.6	0.4
Daam1	0.0262218203951602	-1.1812184495604	1	1	1	0
Zfp638	0.0283571972874764	1.80995876841532	1	1	1	0
Sugt1	0.0288459262867659	2.7561439842819	1	1	0.2	0.8
Pakap	0.0295515128130819	2.26540155266474	1	0.667	0.2	0.467
Cep112	0.0317128769648764	-1.3168131268155	1	0.667	1	0.333
Iffo1	0.0330574982028577	3.55995946553943	1	1	0	1
Acsl1	0.0331852098210502	-1.4361558007313	1	0.667	1	0.333
Akap12	0.0343791573976662	1.32185253761236	1	1	0.8	0.2
Dtx4	0.0352945537762421	-2.2679512614407	1	0	0.8	0.8
Nupr1	0.0371393248017152	2.40656224101914	1	1	0.8	0.2
Flrt2	0.0372097375783186	2.80181578246024	1	1	0.6	0.4
Mpped2	0.0398633464765749	1.70608836297799	1	1	0.8	0.2
Runx2	0.0408225715644106	4.1084351470796	1	0.667	0.2	0.467
Plod2	0.0414057032810494	2.29576162500626	1	1	0.8	0.2
Prr5l	0.043792955191835	2.34844964216813	1	1	0.6	0.4
Ptma	0.0438727377881255	-2.25105077896514	1	0.333	0.8	0.467
Cd200	0.0462408646855311	1.92203434840634	1	1	0.8	0.2
Rgs4	0.0465643048699907	-1.2712406335112	1	0.667	1	0.333
Trpm3	0.0468656354861146	3.52029800213474	1	0.667	1	0.333
Trim14	0.048402426102549	3.0794118456923	1	1	0.2	0.8
Clec2d	0.048911025164806	2.58841226021048	1	0.667	0.4	0.267
Arap2	0.0495362518264045	-1.68222868378681	1	0.667	1	0.333
Tfpi	0.0499847828729869	-1.70908884528996	1	0.667	1	0.333
Rapgef4	0.0501950497720806	1.11243703319593	1	1	1	0
Nbeal1	0.0510893779443242	-0.525840692824106	1	1	1	0
Unc13c	0.0541482253952491	1.18665549257391	1	1	1	0
Dock10	0.0553059218128032	0.8404342398105	1	1	1	0
Cnot10	0.0560571738403259	1.70581635666803	1	0.667	0.8	0.133
Fam110b	0.0569421386457174	1.83802098498589	1	0.667	0.6	0.0670000000000001
Arid4a	0.0573568443846242	1.94184109357568	1	1	0.8	0.2
Mafg	0.0584619323477177	2.61588782564698	1	1	0.2	0.8
Erc1	0.0592113696425498	2.8048259132099	1	0.667	0.2	0.467
Zbtb4	0.0612493151856062	-1.72209125937803	1	0.667	1	0.333
Dock4	0.0612806378825725	2.84172498724505	1	1	0.4	0.6
Eif3j1	0.061493552721262	-2.07269046381727	1	0	0.8	0.8
Nup153	0.06164288281	-2.11302394470753	1	0.333	1	0.667
Gtf3c2	0.0631037548139349	2.0619956417787	1	1	0.8	0.2
Tmem126a	0.0640127409810206	2.47816090495056	1	1	0.2	0.8
Rhbdd1	0.0642982973074479	-1.56696930833045	1	0.667	1	0.333
Rin2	0.0643663629781508	1.91937492537277	1	1	0.8	0.2
Smarca2	0.0646902350131783	1.75941720210069	1	1	0.6	0.4
Il1r1	0.0652253665804957	2.16986784737007	1	1	0.6	0.4
Nlgn1	0.0656011511786918	-2.99437134211176	1	0	0.8	0.8
Rsrp1	0.0668843012683747	-0.911388883223956	1	1	1	0
Appl2	0.0702556671170981	-1.98794744759274	1	0.333	0.8	0.467
Slain2	0.0716255410349366	1.85730488486045	1	1	0.6	0.4
Zfp945	0.0730389977664996	-2.08076130209204	1	0.333	0.8	0.467
Slc24a3	0.0733323334361576	-0.799687648251031	1	1	1	0
Prpf39	0.0740494120287154	1.52101453049871	1	1	1	0
Med13	0.0750605054495602	-1.60604037370952	1	0.667	1	0.333
Bnip2	0.0753524156599422	-2.03656253938068	1	0.333	0.8	0.467
Wwp1	0.0753802013696966	1.73315175608951	1	1	0.8	0.2
Ncl	0.0771712784167489	-1.72984240258319	1	0.667	0.8	0.133
Rprd1b	0.0780774354245806	3.16449973428454	1	1	0	1
Msrb3	0.0786086872521928	0.879011277107248	1	1	1	0
Fra10ac1	0.080789519879329	2.79885912622173	1	0.667	0.2	0.467
Zscan26	0.0840077029323724	1.85293035686111	1	1	0.4	0.6
Alg13	0.0848900031990276	2.9465323209688	1	0.667	0.4	0.267
Agmo	0.0850201858846143	-0.460731265019856	1	1	1	0
Mast4	0.0861795047679352	-0.646442727563469	1	1	1	0
Armc5	0.086659167023367	2.77199472150856	1	1	0.2	0.8
Mthfd1l	0.086659167023367	2.77199472150856	1	1	0.2	0.8
Plxna2	0.0868210195701989	2.41357122973632	1	1	0.8	0.2
Col1a2	0.087555055446972	1.42821262588418	1	0.667	1	0.333
Ank2	0.0884480491016061	-0.902132699077856	1	1	1	0
Nphp1	0.0886258204288354	-1.86650344141168	1	0	1	1
Insr	0.08886665634584	0.933960469405336	1	1	1	0
Prkcb	0.0903827127954206	2.98540139496283	1	1	0.2	0.8
Esf1	0.0907308611395526	-1.83797667624039	1	0	0.8	0.8
Camk1d	0.0907453559344051	-2.02895049159005	1	0	0.6	0.6
Grk3	0.0909101245278543	1.91529715484205	1	0.667	0.8	0.133
Ntn1	0.0916643119852646	-0.720139784755916	1	1	1	0
Apoe	0.0916749875161454	-0.583379944304622	1	1	1	0
Ntm	0.0924547217214827	3.48001631184835	1	0.667	0.4	0.267
Zfhx4	0.0930692611746208	1.77133146194394	1	1	1	0
Tpm1	0.0932547034660982	0.766986776438531	1	1	1	0
Terf2	0.0939501637002326	-1.95907143748576	1	0.333	0.8	0.467
Rbm25	0.094217868875956	-0.82497660921187	1	1	1	0
Ankrd13c	0.0945943794285433	2.04003632681934	1	1	0.4	0.6
Tiparp	0.0948015892567459	-0.626276550744924	1	0.667	0.8	0.133
Pard3	0.095317684694555	-0.283573643250348	1	1	1	0
Arl15	0.0954423915430767	0.762193513445144	1	0.667	1	0.333
Myo1b	0.0971150667479052	-0.417860926820598	1	1	1	0
Zbtb20	0.0972279301973512	-0.323494165730025	1	1	1	0
Ppp1r12a	0.0976060968816086	0.712530440891811	1	1	1	0
Gxylt2	0.0980452426543795	3.09787681700872	1	0.667	0.2	0.467
Fam118a	0.0984705567431435	-1.55068288515604	1	0.667	1	0.333
Parp4	0.0985533968611266	-1.58735934104756	1	0.667	1	0.333
Cfl2	0.0998911383614425	2.07787724719812	1	1	0.2	0.8
Slc7a1	0.101892927381017	2.22946051845298	1	1	0.4	0.6
Baz2a	0.102138453751459	-1.62388768091436	1	0.667	0.8	0.133
Gab1	0.102171589086519	-0.779630483472109	1	1	1	0
Cyren	0.105331253369616	2.52862910442739	1	1	0.4	0.6
Gpc3	0.107019156491317	-0.947494559759237	1	0.667	1	0.333
Osmr	0.107428699415155	1.01938032195878	1	1	1	0
Sh3rf1	0.108144431395982	1.15731207634963	1	1	1	0
Arhgap31	0.109510465392809	1.42356960709353	1	1	1	0
Nck2	0.109759018163601	-1.44353523766225	1	0.667	1	0.333
Gab2	0.109871578747536	-1.1112551635567	1	0.667	1	0.333
Eln	0.110186106191747	0.77785412587914	1	1	1	0
Dhdh	0.110196085961237	-1.77974443979238	1	0	0.8	0.8
Kcnt2	0.110872325043643	-0.782066298291725	1	0.667	0.8	0.133
Hsd17b11	0.110930401838213	2.1552008208995	1	1	0.6	0.4
Invs	0.112277353980514	1.13597045528674	1	1	1	0
Amn1	0.113157021081106	-1.3464760302432	1	0.667	1	0.333
Rgs6	0.114995803680159	-1.0751050712257	1	0.667	1	0.333
Rpl26	0.116250624553939	-1.61172049038431	1	0.333	0.6	0.267
Nedd4l	0.117446472864029	-0.804406061878974	1	1	1	0
Mgp	0.117526916782235	1.76830668778668	1	1	0.8	0.2
Tmem45a	0.11803973191861	-1.14355989140157	1	0.667	1	0.333
Rgl1	0.118464928343663	-1.49682089969477	1	0.667	1	0.333
Zc3h4	0.118758496108455	-1.9018981683974	1	0.333	1	0.667
Clint1	0.119950839934228	1.3638589837906	1	1	1	0
Btg3	0.120157742278856	-1.34028184989669	1	0.333	1	0.667
Celf1	0.121104972941034	1.0515488585246	1	1	1	0
St6galnac3	0.121447729784605	3.32137271580069	1	0.667	0	0.667
Plekho2	0.121447729784605	3.32137271580069	1	0.667	0	0.667
Rprd2	0.121519942837085	1.43225969017849	1	1	1	0
Klf3	0.122844459469206	-1.72618251666928	1	0.333	1	0.667
Sp4	0.123208134762775	1.46091364280754	1	0.667	0.6	0.0670000000000001
Hibch	0.123546830233571	3.07742971112164	1	0.667	0	0.667
Fryl	0.12382220017072	1.41099364176596	1	1	1	0
Afap1l2	0.124112091678699	-1.11554484666557	1	0.667	1	0.333
Kmt2a	0.124377076146041	1.21552962551545	1	1	0.6	0.4
Gdi2	0.124502602433415	2.49408748245359	1	1	0.4	0.6
Pnpla7	0.124759622875523	-1.90901906434864	1	0	0.6	0.6
Btbd3	0.124797187742726	1.02246291617686	1	0.667	0.8	0.133
St3gal4	0.125325271097213	2.38406305928473	1	1	0.4	0.6
Zswim6	0.125449500012786	1.41417010361697	1	1	0.8	0.2
Parp9	0.125537483063319	-1.79691551459561	1	0.333	1	0.667
Ddb2	0.126191106741969	-1.78968855081139	1	0	0.8	0.8
Zfp532	0.126218566411574	2.02694123836696	1	0.667	0.8	0.133
Atg12	0.126727203053788	1.73884810993672	1	0.667	0.4	0.267
Wwox	0.127455944692418	-0.402597828792683	1	1	1	0
Lclat1	0.127668841978899	-1.90669116487751	1	0.333	0.8	0.467
Kbtbd2	0.127754296897299	3.01607059892339	1	1	0	1
Zbtb38	0.127987483322333	1.35252056037401	1	1	1	0
Lats2	0.128068168005867	1.26572235891675	1	1	1	0
Pced1b	0.128269803262247	-1.36396016176435	1	0.667	1	0.333
Cep192	0.128558193683129	2.15505877145352	1	0.667	0.4	0.267
Nfkb1	0.129720982319712	-1.26563335145909	1	0.667	1	0.333
Slc7a2	0.129766312946078	-1.4674301346078	1	0.667	1	0.333
Maob	0.129825874324128	2.84628014254944	1	1	0.2	0.8
Jmjd1c	0.132003482581518	-0.96663818769599	1	0.667	1	0.333
Phactr4	0.132505285999781	-1.45450654440987	1	0.667	1	0.333
Rfc1	0.132703158652802	1.72865867312992	1	1	0.6	0.4
Tmcc1	0.13294872048682	-0.821489612820724	1	1	1	0
Pbx1	0.134365512119211	-0.55457892403272	1	1	1	0
Lrrc8d	0.134672830552143	-1.7525937074833	1	0.333	0.8	0.467
Tpm3	0.135131480056546	2.35898604980353	1	1	0.2	0.8
Kansl3	0.137301385018554	2.70376280399106	1	0.667	0.4	0.267
Casp7	0.137301385018554	2.70376280399106	1	0.667	0.4	0.267
Rc3h2	0.137500841771631	-1.6136074188301	1	0.667	0.8	0.133
Pla2r1	0.137590361834757	-0.940474069854298	1	0.667	1	0.333
Vtn	0.137783416969031	-0.609082986500987	1	1	1	0
Ppp6r2	0.138210405024812	2.17810859384318	1	1	0.4	0.6
Grb2	0.138586959021547	-1.70661089706531	1	0	0.8	0.8
Myo1e	0.141044572121797	0.904211199072563	1	1	1	0
Rnf111	0.141596754423181	1.82398270872312	1	1	0.8	0.2
Ccnl1	0.14182474810784	-1.60779170536173	1	0.333	1	0.667
Septin7	0.142017858041869	-0.643709595117388	1	1	1	0
Rbm26	0.142789651111055	1.22536857370261	1	1	1	0
Slc19a1	0.142791621517673	-1.19171949319617	1	0.667	1	0.333
Dlc1	0.142808046482962	-0.386228715663284	1	1	1	0
Slmap	0.143067225057093	0.833125535512967	1	1	1	0
Agl	0.144240479649921	-1.72182634767338	1	0.333	0.8	0.467
Adgre5	0.144578194670289	-1.63534125395309	1	0.333	1	0.667
Tor1aip2	0.14458690028322	-1.28521825155722	1	0.333	0.8	0.467
Wdr70	0.146366881902383	1.47136069292075	1	1	0.8	0.2
Myom1	0.147406425147153	0.710845240962481	1	1	1	0
Cst3	0.147607212875015	-0.162224228908329	1	1	1	0
Ssbp1	0.14773414000859	-1.76827800383295	1	0	0.8	0.8
H3f3b	0.148760808954365	-0.644777856921371	1	1	1	0
Fxr1	0.148781863274293	1.36928944490384	1	0.667	0.8	0.133
Epc1	0.149769632397442	-0.874359597383089	1	0.667	1	0.333
Acox1	0.149929808202906	-1.90185431457062	1	0.333	0.6	0.267
Maml3	0.150044882356865	-0.752414617373092	1	1	1	0
Slc25a33	0.1501547715971	-1.74568098388561	1	0	0.6	0.6
Unc5c	0.150542091215598	1.40145762367401	1	1	0.6	0.4
Aff4	0.151372032242555	-1.32970765671169	1	0.667	1	0.333
