gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Col18a1	0.000356951146379461	2.34277989407611	1	0.889	0.556	0.333
Ptpn9	0.000554027207315108	1.15729645906532	1	1	0.889	0.111
Eln	0.00056926866973975	1.3159637559214	1	1	0.889	0.111
Dcaf1	0.00167916069335182	2.51099801412242	1	0.889	0.111	0.778
Stox2	0.00211614184237327	3.65491113559036	1	0.889	0	0.889
Insr	0.00243115890725245	1.11562839402447	1	1	0.889	0.111
Adgrl2	0.00262193744852412	1.59967111330423	1	0.889	0.778	0.111
Trps1	0.00288037352595353	-0.629065394091598	1	1	0.889	0.111
Rc3h2	0.00458396148952125	-2.08077138147419	1	0.444	0.778	0.334
Nfkb1	0.0047171902704818	-1.42097769343418	1	0.889	1	0.111
Ryr2	0.0047494464957779	2.48759406011185	1	0.778	0.222	0.556
Nup153	0.0067574271323906	-1.82885628570704	1	0.556	0.889	0.333
Gucy1b1	0.00742183409993739	-0.644408421269753	1	1	1	0
Acvr2a	0.00900824802596891	-1.20815348438969	1	0.111	0.667	0.556
Itsn2	0.00904457457827428	-1.3035048764662	1	0.778	0.778	0
Med13	0.00944565748703021	-0.862903703673744	1	0.889	0.889	0
Sema6d	0.0099245142832198	-1.8227099348159	1	0.444	0.667	0.223
Idh1	0.0106148865909386	-2.37148936744401	1	0.444	1	0.556
Ppp1r12b	0.0126851275463407	0.214922910323849	1	1	1	0
Prr5l	0.0136374252863447	1.66770356610315	1	0.889	0.556	0.333
Spata1	0.016030668775416	2.53341332088345	1	0.889	0.222	0.667
Nhs	0.0166128527569772	1.02617285000219	1	1	0.778	0.222
Mical2	0.0167364533052807	1.7568005453094	1	0.667	0.556	0.111
Zfp407	0.0171474655179518	0.745626905719476	1	1	1	0
Dtx4	0.0172220626006972	-1.77444253262541	1	0.444	0.667	0.223
Ccdc191	0.0173063612534055	-1.60178860367854	1	0.667	0.556	0.111
Septin7	0.0174614480506043	-0.734287587228237	1	1	1	0
Zfp638	0.0185935835115568	0.672416075199597	1	1	0.889	0.111
Fryl	0.018983360668523	1.36998560964833	1	1	0.889	0.111
Zbtb7c	0.0198115329643678	-0.627815303355527	1	1	0.889	0.111
Mical3	0.0200124665191149	1.22683216142707	1	1	0.667	0.333
Fbxw11	0.0230039232570062	1.07845957728065	1	1	0.778	0.222
Ythdc1	0.0231158104527199	-1.26628953627069	1	0.778	1	0.222
Tnr	0.0238173445753695	2.66804661678607	1	0.556	0.111	0.445
Nadk	0.0238371020841505	-1.40451943513267	1	0.333	0.556	0.223
Pdlim5	0.0239583058250099	0.51189092009546	1	1	1	0
Nde1	0.024070802349524	-1.78818439675623	1	0.333	0.778	0.445
Nlgn1	0.0243144397298323	-3.84666917870989	1	0	0.556	0.556
Adcy5	0.0243252206755715	0.264981504209489	1	1	0.889	0.111
Tgs1	0.0243811556221763	-2.22175859282692	1	0.222	0.667	0.445
Smad1	0.0244994573730824	-2.5264777457645	1	0.667	0.778	0.111
Fxr1	0.0249840937066653	1.35287310546207	1	0.889	0.778	0.111
Rps3a1	0.0261534769595024	-1.50106505385215	1	0.444	0.778	0.334
Nalcn	0.0265679981238098	2.18270858977609	1	0.667	0.111	0.556
Srek1	0.0270448430638834	1.28110754973015	1	1	0.778	0.222
Tm4sf1	0.0270686972259702	-0.97067484044116	1	0.778	0.778	0
Tspan17	0.0282479390985334	-1.04371650414375	1	0.444	0.556	0.112
Ptpra	0.0308165310263994	-0.795769128656534	1	1	0.889	0.111
Ehmt1	0.0311294001558102	-0.698323401261803	1	0.889	0.889	0
Coro2b	0.0314207935970591	-1.74532724678601	1	0.333	0.778	0.445
Gcnt2	0.0324335348520086	0.561710461790832	1	0.889	0.889	0
Tulp4	0.0325090780716616	1.63753114442905	1	1	0.444	0.556
Samd4	0.0326217360174889	0.842406046429512	1	1	0.889	0.111
Msrb3	0.0333071343568614	0.846448074675803	1	1	0.889	0.111
Ccdc50	0.0333665851239069	-1.50919889568832	1	0.778	0.889	0.111
Stt3a	0.0335113191180782	-1.76341796933674	1	0.222	0.667	0.445
Letm2	0.0340726544300782	-1.80286857395401	1	0.444	0.667	0.223
Enpep	0.0342129130349793	-1.08663868059517	1	1	1	0
Kalrn	0.0344607102393201	1.21073191037295	1	0.889	0.667	0.222
Anapc1	0.0358983909251488	0.309333317230037	1	1	0.667	0.333
Snx27	0.0365224466345044	-2.80447191835948	1	0.333	0.444	0.111
Plpp3	0.0370689645715013	1.10319697559619	1	1	0.889	0.111
Tfpi	0.0378365771793969	-0.89696579623703	1	0.889	0.889	0
Rbm15	0.0385141981900923	-2.70066077534052	1	0.333	0.778	0.445
Ints8	0.0388004404919603	1.27520643206588	1	0.889	0.444	0.445
Ppp3ca	0.0389341263918167	0.863121319724499	1	1	0.889	0.111
Arfgap3	0.0396269459158968	-1.70201326179541	1	0.444	0.667	0.223
Akap10	0.0396799396451677	1.22095714222107	1	1	0.667	0.333
Entpd1	0.0406729988050131	0.795358149193073	1	0.889	0.889	0
Foxk2	0.0409476412059072	-1.79559291546523	1	0.333	0.778	0.445
Fcho2	0.0411556901761778	-0.748748817247985	1	1	1	0
Tbl1x	0.0412322005388482	-0.597066054227212	1	0.889	0.889	0
Hira	0.0413412062811361	2.84536772924921	1	0.778	0.111	0.667
Myl9	0.042217523857318	0.870772701184597	1	1	0.889	0.111
Rpl26	0.0424281721022436	-2.26739925092383	1	0.444	0.556	0.112
Mamdc2	0.0430055898005153	-1.91670109900115	1	0.333	0.444	0.111
Bnip2	0.0430976684172828	-1.69837608332236	1	0.556	0.556	0
Zfyve9	0.0455426527720164	1.14175319724379	1	0.889	0.667	0.222
Map3k7cl	0.0455604311715286	1.41437478054038	1	0.889	0.667	0.222
Ddx42	0.0461501353228854	-1.37191174386753	1	0.556	0.889	0.333
Lyn	0.0461972103257641	-0.848583927218925	1	0.889	0.889	0
Rps29	0.0470163154182595	-2.42376684545442	1	0.222	0.556	0.334
Hprt	0.048479437727793	-1.84240686966235	1	0.333	0.667	0.334
Nsrp1	0.0485565669138006	-1.62869685882737	1	0.444	0.778	0.334
Pex2	0.0491003288185638	-1.73015665512048	1	0.222	0.667	0.445
Mvp	0.0495377328967182	2.08401130085208	1	0.667	0.222	0.445
Tmcc1	0.0499900888072427	-0.534413120141549	1	1	0.889	0.111
Nrep	0.0499989539311153	-1.60020642300175	1	0.556	0.778	0.222
Phlpp1	0.0501173282043142	0.65580633040428	1	1	0.889	0.111
Cmc4	0.0505285077761244	-1.92581538844801	1	0.222	0.667	0.445
Ddb2	0.0505768834942639	-1.74371651739745	1	0.333	0.556	0.223
Large1	0.0506814729094554	0.666967453053435	1	1	0.889	0.111
Rhbdd1	0.0511178259847608	-1.04548407992841	1	0.889	0.778	0.111
Arhgef7	0.0511663411817495	1.44746496669315	1	0.889	0.556	0.333
Dcun1d1	0.0514656447824844	-1.86004898531409	1	0.222	0.778	0.556
Smarca2	0.0518674123284699	1.31770815759016	1	1	0.556	0.444
Pcmtd1	0.0522735246175642	1.10781156175461	1	1	0.889	0.111
Ywhab	0.0526758857256508	-1.83830369390356	1	0.222	0.556	0.334
Mfap1a	0.0532311319812242	-2.32574824615016	1	0.556	0.667	0.111
Tgfb1	0.0533864715160267	-0.887995350535702	1	0.556	0.889	0.333
Ncl	0.0535344741870844	-0.905600046808237	1	0.889	0.667	0.222
Csrp1	0.0537276538866461	0.926765920525528	1	1	0.889	0.111
H2az2	0.053824691353078	-1.85133617100998	1	0.667	0.889	0.222
Rere	0.0539260301118249	0.691654884015501	1	1	0.889	0.111
Fmr1	0.0541192682381486	-1.36973275841614	1	0.556	0.667	0.111
Uvssa	0.0541860882768106	-1.50500202897647	1	0.778	0.889	0.111
Sox13	0.055159914897141	-1.30225561499469	1	0.444	0.778	0.334
Dnajc19	0.0553472675046194	-1.90990564720709	1	0.667	0.778	0.111
