gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Dbp	1.07410343349838e-11	-0.582541124863693	1.92576004591925e-07	1	1	0
Tef	3.45309472112213e-10	-0.358137656775597	6.19105352549986e-06	1	1	0
Arntl	5.31823701509103e-09	0.250397708204429	9.53506714435672e-05	1	1	0
Rtl6	3.50753885220629e-08	-0.172838163614871	0.000628866640812066	1	1	0
Ccn2	4.10218507719098e-08	-0.140311683917786	0.00073548076248957	1	1	0
Mthfd1l	4.22256328082491e-08	-0.476436862488789	0.000757063370619099	1	1	0
Epha8	5.09676902956746e-08	-0.395496243932592	0.000913799719311149	1	1	0
Hdac4	1.26952026314024e-06	0.180089305155334	0.0227612287978414	1	1	0
Prnp	1.51238000446351e-06	0.42058258000035	0.0271154611000264	1	1	0
Maml3	1.7123957485638e-06	0.460030751056825	0.0307015433760004	1	1	0
Dynll2	1.74787629098628e-06	0.155507738728796	0.031337674021093	1	1	0
Pom121	1.834977669155e-06	0.0352605428747303	0.03289931463028	1	1	0
Ywhab	1.83859802040399e-06	0.0672728026711752	0.0329642239078231	1	1	0
Ppp2r2c	2.09648023486619e-06	0.12145554985448	0.037587794130916	1	1	0
Hrh3	2.7821068629779e-06	-0.421071355500422	0.0498803939463308	1	1	0
Pnma8b	2.8749426769919e-06	-0.0346890887423312	0.0515448472557878	1	1	0
Rgs4	3.71563205234793e-06	0.144720101110896	0.066617567066546	1	1	0
Camk2n2	3.98905547138419e-06	-0.0480430449853797	0.0715197755464471	1	1	0
Calm1	4.64246000394526e-06	0.321443768738476	0.0832346654107345	1	1	0
Gpr27	7.16211829928606e-06	-0.15163316188303	0.1284096189879	1	1	0
Ciart	8.38648544826625e-06	-0.502092824489283	0.150361297601966	1	1	0
Zfp346	9.12296632089924e-06	-0.302307543306705	0.163565663167402	1	1	0
Scn1b	9.46622754910143e-06	0.214228634355688	0.16971999372784	1	1	0
Hs3st4	9.86719850013978e-06	0.318640389775689	0.176909001909006	1	1	0
Rnf43	1.05451729666933e-05	-0.374820615764135	0.189064406119844	1	1	0
Lrp4	1.06292958571768e-05	-0.387707721019752	0.190572645423324	1	1	0
Spef1l	1.44705304838152e-05	-0.360381272756073	0.259442141044322	1	1	0
Cbln2	1.45483032173439e-05	-0.107743933480858	0.260836528383759	1	1	0
Scn2b	1.78290332149347e-05	0.115208490299086	0.319656736510564	1	1	0
Nxf7	1.90052448293953e-05	-0.198406810914065	0.340745034546228	1	1	0
Kmt2a	1.97859566777632e-05	0.181746672783334	0.354742417275617	1	1	0
Trdn	2.74277203432124e-05	-0.457687260687487	0.491751598033455	1	1	0
Set	3.13853967651502e-05	-0.0262381449126905	0.562708778602378	1	1	0
Ttbk2	3.77799093549575e-05	-0.0486577567510151	0.677355994825033	1	1	0
Ndn	3.79881018267925e-05	-0.183822106012485	0.681088677652562	1	1	0
Nefl	4.49004860504254e-05	0.0209276645090519	0.805020814398078	1	1	0
Calm3	4.61264905664194e-05	0.0792255736467071	0.827001849365333	1	1	0
Cep170b	4.8613349622127e-05	-0.0263526513742791	0.871588745375116	1	1	0
Chrm2	4.89410360973361e-05	0.239832900498606	0.877463836189139	1	1	0
Arl8b	5.38270302995925e-05	0.0424281855591203	0.965064826241395	1	1	0
Ssbp3	5.48324336820742e-05	0.150157926833981	0.983090703485908	1	1	0
Sdc3	5.5713744343206e-05	-0.0462179539380467	0.99889172232934	1	1	0
Col11a1	5.86087788156827e-05	0.0712178138196315	1	1	1	0
Pcsk4	6.2522319162608e-05	-0.378674708618789	1	1	1	0
Mettl27	7.56784106394858e-05	-0.369097656844526	1	1	1	0
Thy1	7.73143851464104e-05	0.109369192592764	1	1	1	0
Tm9sf3	7.73642866426074e-05	0.0466740446150641	1	1	1	0
Tceal9	9.15076334871903e-05	-0.107823306142673	1	1	1	0
Calr	9.29004824825562e-05	0.0580438618765295	1	1	1	0
Pitpnm3	9.47684152324563e-05	0.076254360468953	1	1	1	0
Corin	9.82421010190844e-05	-0.3531042858098	1	1	1	0
Pde10a	9.95544010857048e-05	0.734751146835403	1	1	1	0
Purb	0.000106831250975438	0.183783999983285	1	1	1	0
Scd2	0.00011136527422591	0.190750698282521	1	1	1	0
Actg1	0.000117467362681	0.0857715752837165	1	1	1	0
Nck2	0.000117492119225678	0.0925969345820076	1	1	1	0
Cdk5r1	0.000121057887980505	0.179908664087355	1	1	1	0
Fam53b	0.000122712258241711	-0.0221993532933333	1	1	1	0
Doc2a	0.000124329364635325	-0.35969949071407	1	1	1	0
AK157302	0.000128526018158635	-0.296583848566321	1	1	1	0
Htra1	0.00013082438217879	-0.161246500704681	1	1	1	0
C2cd2	0.000138150565693283	-0.315595780647541	1	1	1	0
Slit2	0.00014019706886898	-0.393483746961101	1	1	1	0
Ywhah	0.000153138042094617	0.109514144568202	1	1	1	0
Npas2	0.000160254652791893	0.198093116622893	1	1	1	0
Magee1	0.000160480866528909	-0.15241819541507	1	1	1	0
Otud1	0.000163043447741158	-0.187465437063383	1	1	1	0
Tomm20	0.000198391914676853	0.0245858359940114	1	1	1	0
Arf3	0.000202317215406196	0.0974999546055217	1	1	1	0
Pate2	0.000203681553100944	-0.369975241558267	1	1	1	0
Akap8l	0.000210104725376611	-0.185444161869316	1	1	1	0
Slc25a4	0.000212058873799265	0.0559421918267483	1	1	1	0
Rab11b	0.000214082488117566	-0.0378757951936834	1	1	1	0
Cdk5r2	0.000223323187716304	-0.0982249507234647	1	1	1	0
Zfp46	0.000228866941793678	-0.404844271567752	1	1	1	0
Per3	0.000236546432520161	-0.343371021334908	1	1	1	0
Hsp90ab1	0.000253277588082957	0.194564967535959	1	1	1	0
Nptx1	0.000254817052971883	0.215718939600232	1	1	1	0
Lpar1	0.00025743368532844	0.0166039217811602	1	1	1	0
Eif1ax	0.000260399098266452	-0.0811357362619818	1	1	1	0
Irgq	0.000262480604847536	-0.113516928499698	1	1	1	0
Rnf26	0.000270168213386548	-0.20834775476884	1	1	1	0
Fam168b	0.000285784998123016	0.0293386896160961	1	1	1	0
Tex15	0.000289912792268968	-0.383047406360819	1	1	1	0
Odf2	0.000295795190094903	-0.224304202579742	1	1	1	0
Igdcc4	0.000299057644308532	-0.337749854084148	1	1	1	0
Slc1a2	0.000305472019250231	0.322739883245424	1	1	1	0
Bpnt2	0.000308408150198615	0.0471063455878066	1	1	1	0
Map1a	0.000319008900571786	0.0548084314064372	1	1	1	0
Prkcb	0.000335613800200422	0.201496975440226	1	1	1	0
Chpf	0.000336530104136136	-0.176426192417092	1	1	1	0
Col9a1	0.00034427403371009	-0.357800667729314	1	1	1	0
Diablo	0.000360139866907131	-0.297963862606806	1	1	1	0
Smim12	0.000366668839348589	-0.154286631973251	1	1	1	0
Tppp	0.000383663829215413	0.0220127169848273	1	1	1	0
Tmem121	0.000401386578724584	-0.17829192386077	1	1	1	0
Ppp3r1	0.000413938962871942	0.126789413303796	1	1	1	0
Nrg4	0.000416011238716086	-0.399635995957382	1	1	1	0
Smyd2	0.000419502378382564	-0.336058772546026	1	1	1	0
Tomm22	0.000423463618407123	-0.144624953740887	1	1	1	0
