gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Dbp	1.38283554136771e-22	-0.367121381878722	2.47928584211817e-18	1	1	0
Arntl	5.63402691126889e-14	0.311111670126867	1.0101246849214e-09	1	1	0
Mthfd1l	6.56997084911336e-14	-0.418052043629076	1.17793007353753e-09	1	1	0
Map1a	2.23016378831025e-10	0.249558573539805	3.99846065606146e-06	1	1	0
Rnf187	1.68288508433174e-07	0.27425961694544	0.00301724466769839	1	1	0
Ciart	2.21038243488438e-07	-0.302384286293718	0.00396299466750421	1	1	0
Cyria	2.49132643720652e-07	0.170365577491934	0.00446669916926756	1	1	0
Hsd3b8	3.09094662213631e-07	-0.203079471134285	0.00554175819882819	1	1	0
Lingo1	4.14896569196817e-07	0.252489185927264	0.00743868058912974	1	1	0
C2cd2	4.18329411808957e-07	-0.274411694147721	0.00750022802432279	1	1	0
Hlf	4.96279288941645e-07	-0.268792328254484	0.00889779137143475	1	1	0
Camk2n2	8.02079530187299e-07	0.263164672424631	0.0143804838967281	1	1	0
Pom121	9.01415682428009e-07	0.229398568178234	0.0161614817702518	1	1	0
Snrnp70	1.13524880854881e-06	-0.232722232051776	0.0203538758884716	1	1	0
Thy1	1.30397362929869e-06	0.274022884341907	0.0233789431996962	1	1	0
Kcnj4	1.33872996851427e-06	0.219321265021692	0.0240020896054923	1	1	0
Car4	1.5577337997939e-06	-0.207279777313324	0.0279286092965049	1	1	0
Dynll2	1.97725951119422e-06	0.330958619221136	0.0354502857762012	1	1	0
Rgs4	2.04694009193195e-06	0.412598692110567	0.036699588908248	1	1	0
Rab6b	2.53548959196486e-06	0.288329237551039	0.0454587928943379	1	1	0
Htra1	2.56514721169606e-06	0.130788750551975	0.0459905243584986	1	1	0
Pnma8b	2.91484236304276e-06	0.195580983700967	0.0522602087269937	1	1	0
Scn1b	2.99653550975354e-06	0.253281929240955	0.0537248851543713	1	1	0
Polr2m	3.0559988365999e-06	0.178030515119645	0.0547910031413997	1	1	0
Rpl11	5.24598464108537e-06	0.401266809049673	0.0940552586300196	1	1	0
Vgf	5.25267645082026e-06	0.312022785491592	0.0941752360867564	1	1	0
Cbarp	8.24053258447678e-06	0.382745787469955	0.147744508707084	1	1	0
