gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Arntl	5.66215200735381e-20	0.330202026024547	1.01516723339846e-15	1	1	0
Dbp	1.51612749421527e-19	-0.64015993485449	2.71826498437856e-15	1	1	0
Mthfd1l	1.62651422918206e-13	-0.434586129882415	2.91617736150052e-09	1	1	0
Ciart	9.80871270880694e-11	-0.599902268052925	1.758604101562e-06	1	1	0
Tef	1.14381748071487e-09	-0.303987631420755	2.0507503611737e-05	1	1	0
Batf3	1.43413264797332e-08	-0.400417532810429	0.000257125642455137	1	1	0
Ggta1	3.84390047441483e-08	-0.378103065064102	0.000689172916057835	1	1	0
Pom121	9.92154835726431e-08	0.143822851086264	0.00177883440497392	1	1	0
C2cd2	1.89977713140038e-07	-0.31982204465326	0.00340611041888774	1	1	0
Htra1	2.60114103494427e-07	-0.0311011650127058	0.00466358576155158	1	1	0
Kmt2a	5.8171901886558e-07	0.182468120094543	0.010429640289241	1	1	0
Rasgrp1	6.80111201285524e-07	0.186231746399003	0.0121937137278482	1	1	0
Paqr4	9.26975527309347e-07	-0.142120229664212	0.0166197442291293	1	1	0
Rnf26	9.59213041782754e-07	-0.109045454924463	0.017197730626123	1	1	0
Armcx4	2.0885426115842e-06	-0.0557093522356911	0.0374454804830932	1	1	0
Fjx1	2.24480210461278e-06	-0.0601181899288719	0.0402470569336025	1	1	0
Hlf	2.64940059482085e-06	-0.298725556234178	0.047501103264543	1	1	0
Kcns2	7.18636280744117e-06	0.0220423750663192	0.128844298774613	1	1	0
Fhit	8.1691706270041e-06	-0.298886271823322	0.146465060171556	1	1	0
Per3	8.20139333716266e-06	-0.314040158371954	0.147042781141989	1	1	0
Il4ra	9.5893666623007e-06	-0.217505649373531	0.171927754888389	1	1	0
Asb5	1.31778988386931e-05	-0.310897859712047	0.236266548278929	1	1	0
Hrh3	1.3804719255567e-05	-0.421166144417614	0.247504811533061	1	1	0
Selenoi	1.45819475587275e-05	0.0643897699689663	0.261439737780425	1	1	0
Ormdl3	1.5281184617495e-05	0.00546395809775158	0.273976359007069	1	1	0
Sema7a	1.99506528364281e-05	0.1945879396228	0.35769525470432	1	1	0
Epha8	2.04577495842557e-05	-0.384717342247969	0.36678699229612	1	1	0
Tnnt2	2.23800017977195e-05	-0.370359598348073	0.401251052231314	1	1	0
Sowaha	2.43981317634574e-05	-0.047296006658724	0.437434104387028	1	1	0
Ccdc116	2.57080425646266e-05	-0.360568955131732	0.46091949514119	1	1	0
Gpr27	2.61548251798228e-05	-0.0800492887061477	0.468929860649044	1	1	0
Nxf7	2.87180421166265e-05	-0.146396687225652	0.514885777108996	1	1	0
Adgrl4	2.92334665151727e-05	-0.394850362556745	0.524126821150532	0.9	1	0.1
