gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	4.37516071034293e-24	0.681513382625768	7.84422563757384e-20	1	1	0
Flrt3	3.66143314412256e-09	-0.448813161343747	6.56458348409734e-05	1	1	0
Itgbl1	5.78472787084023e-09	-0.331166362386255	0.000103714385996295	1	1	0
Bmpr1b	1.05092613483045e-08	-0.527169404700604	0.000188420546713751	1	1	0
Diablo	2.45699070692666e-08	0.218848271170785	0.000440513863844881	1	1	0
Bicral	6.43427586785014e-08	0.248873548868568	0.00115360132034685	1	1	0
Ubb	1.55925659626673e-07	-0.435280317469081	0.00279559115144662	1	1	0
Usp43	2.51043242119011e-07	0.221467701950278	0.00450095428795176	1	1	0
Calm3	4.61155080616318e-07	-0.300260824335779	0.00826804944036996	1	1	0
Trmt1	6.00463830792751e-07	0.239802857702624	0.0107657160222832	1	1	0
Apobec4	6.14914984893278e-07	-0.310111325757896	0.0110248107641516	1	1	0
Arhgef10l	6.25598156764312e-07	0.202398806323826	0.0112163493526274	1	1	0
Ywhab	6.48001906207745e-07	-0.213733621323208	0.0116180261763987	1	1	0
Slco1a4	8.67023382347093e-07	-0.101351171224727	0.015544862222101	1	1	0
Camk2n1	9.29871306281033e-07	-0.343863532414659	0.0166716626503126	1	1	0
Trf	1.01864843839635e-06	-0.193652523763825	0.0182633478520082	1	1	0
Coro6	1.37209733895225e-06	0.2679075861774	0.0246003331900749	1	1	0
Strip2	2.21205377781521e-06	0.295635309920871	0.0396599121824489	1	1	0
Pifo	3.34464309379793e-06	-0.135225470925351	0.059966106028703	1	1	0
Flt1	4.33889066923764e-06	-0.100821526720369	0.0777919708087617	1	1	0
Hnrnpd	7.23758885224763e-06	-0.164993095877867	0.129762730531948	1	1	0
Pigk	7.87062537940569e-06	-0.355071309753289	0.141112442427365	1	1	0
Serinc1	8.09456501928016e-06	-0.341234089932349	0.145127456230674	1	1	0
Jag2	8.46286687318899e-06	0.181451549367989	0.151730740169405	1	1	0
Shc2	8.46879730824071e-06	0.225689401671785	0.151837066939448	1	1	0
Aspa	1.35961358089614e-05	-0.115584674164387	0.243765118918869	1	1	0
Adgrl4	1.41639058202297e-05	-0.0534940621900661	0.253944667450897	1	1	0
