gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Bmpr1b	1.59767292084377e-11	-0.738681945551006	2.86446777978079e-07	1	1	0
Mid1	4.30970074088244e-09	0.437223252310668	7.72686245832812e-05	1	1	0
Lama4	2.98380294982179e-07	0.0971059556087803	0.00534966030873549	1	1	0
Oasl2	3.17584041473714e-07	-0.462199059987956	0.00569396427958223	1	0.75	0.25
Tpi1	4.42596718615932e-06	-0.520340176447234	0.0793531656806504	1	1	0
E130114P18Rik	4.53621618443141e-06	-0.684286223005554	0.0813298199706707	1	1	0
Usp43	6.43408782145862e-06	-0.160289559788774	0.115356760550932	1	1	0
Arxes1	8.00015835535817e-06	-0.62470654159669	0.143434839153217	1	1	0
Zbtb43	9.19162561960516e-06	-0.151265791084272	0.164796655733901	1	1	0
Prnp	1.97401737578984e-05	0.692281249380243	0.353921575305361	1	1	0
Zfp830	2.80751390251092e-05	-0.606547946186889	0.503359167581182	1	1	0
Sinhcaf	2.89586791756323e-05	-0.173662584486444	0.519200158939911	1	1	0
Chrdl1	3.15123311942697e-05	-0.696659083823031	0.564984585982062	1	1	0
Pifo	3.94506404684006e-05	-0.654534768339376	0.707310532957954	1	1	0
Ctxn3	4.5486779773411e-05	-0.61475872935643	0.815532474557487	1	1	0
Zfyve28	4.92397958155636e-05	0.167493961961063	0.88282029917724	1	1	0
Ddx60	5.03566010883328e-05	-0.40246865956966	0.902843500912719	1	1	0
Slco1c1	8.98831336549334e-05	-0.633054227056763	1	1	1	0
Prelid1	0.000105281125840897	-0.584068537242597	1	1	1	0
Frem1	0.000137544150977875	-0.628158877410691	1	1	1	0
Ddx21	0.000157855065748622	-0.492776629710625	1	1	1	0
Tmem245	0.000172580161773296	0.0588865252629276	1	1	1	0
Cdc14b	0.000181266930764429	0.0274075642450486	1	1	1	0
Rpl36al	0.000183913496081536	-0.59577881339223	1	1	1	0
Hecw2	0.000186423141770498	0.281241666641631	1	1	1	0
Unc5c	0.000187628780218662	-0.503141829664916	1	1	1	0
Tspyl4	0.000220626755434585	-0.550950919731788	1	1	1	0
Apobec4	0.000227550330151169	-0.620992784312968	1	1	1	0
Lrpprc	0.000247596786447175	0.057637773659867	1	1	1	0
Ssna1	0.000256252665905494	-0.520878953934524	1	1	1	0
Ube2s	0.000260657847088174	-0.576763344548473	1	1	1	0
Lgi2	0.000264664430827462	0.02784375310277	1	1	1	0
Epyc	0.000282293201407942	-0.621112895436568	1	1	1	0
Cend1	0.000292268608576493	-0.489552677622996	1	1	1	0
Bche	0.000319654479135453	-0.627782334215155	1	1	1	0
Eif2ak2	0.000339407526762667	-0.326806609756135	1	1	1	0
Ubb	0.000344883872295276	-0.57103605728574	1	1	1	0
Rab11fip3	0.000373170189349497	0.0808556761210294	1	1	1	0
Tek	0.000380371636727813	-0.619965175978988	1	1	1	0
Eid1	0.000409598316689368	-0.439710799116385	1	1	1	0
Selenok	0.000435066618827704	-0.519238346352077	1	1	1	0
Foxk2	0.000444426746019698	0.0221762153175447	1	1	1	0
Hapln1	0.000472534219516163	-0.611126456325198	1	1	1	0
Ccdc3	0.000484794774914375	-0.594113881564174	1	1	1	0
Cggbp1	0.000492608650001494	-0.526975272409977	1	1	1	0
Swap70	0.000505247945543514	-0.607243451581572	1	1	1	0
Rras2	0.00051117287779761	0.0963852922870022	1	1	1	0
Lum	0.000574606697512572	-0.603928143297547	1	0.833	1	0.167
Vgll4	0.000575994072158329	0.240672133022806	1	1	1	0
Stat1	0.000595899478591715	-0.22220545274011	1	1	1	0
Fbxl20	0.000602768596211591	0.0500481023864457	1	1	1	0
Cables1	0.000605811577573357	-0.0323398161390923	1	1	1	0
Ccdc157	0.000630611889449691	-0.148121181090652	1	1	1	0
Dnajb9	0.000636257726995671	-0.572245011379338	1	1	1	0
Slc6a1	0.000643622328678782	-0.633816424110969	1	1	1	0
Slc1a4	0.000645532963642576	-0.210039804605008	1	1	1	0
Daglb	0.00067081001041165	-0.048012410844108	1	1	1	0
Nefl	0.000720734361715829	-0.601841669584086	1	1	1	0
Lratd1	0.000732133980063054	-0.576742745302333	1	1	1	0
Foxo3	0.000751606509423527	0.0334068628352525	1	1	1	0
Hnrnpul1	0.000767361949881432	-0.0818151422279427	1	1	1	0
Atp5a1	0.000812753586105716	-0.30919949019794	1	1	1	0
Fgfbp3	0.000839570276640427	-0.587360119874844	1	1	1	0
Jund	0.000877038472299556	-0.561045110305924	1	1	1	0
Gad1	0.000907136252740767	-0.646123938219606	1	1	1	0
Pnn	0.000913991886851097	-0.386445199745978	1	1	1	0
Sfr1	0.000927117247746769	-0.50966807093127	1	1	1	0
Snu13	0.000930719201712316	-0.533007804154594	1	1	1	0
Arhgap29	0.000932879757672207	-0.0724742353503323	1	1	1	0
Atxn7l3b	0.000961227362863285	-0.56804075023568	1	1	1	0
Calb2	0.00097070711995432	-0.620865587184717	1	1	1	0
Nln	0.000991047443301646	0.0364442785665249	1	1	1	0
Ahi1	0.0010122179042298	-0.234678749680104	1	1	1	0
Mrpl36	0.00103922458829094	-0.579663321966587	1	1	1	0
Nap1l5	0.00107940112351071	-0.427629369575658	1	1	1	0
Ubqln2	0.00108922099591585	-0.601594633041569	1	1	1	0
Utp3	0.00109169621479152	-0.516847697683452	1	1	1	0
Ier5l	0.00110418069863805	-0.557819438695547	1	1	1	0
Whrn	0.00113698939672354	-0.186393199374889	1	1	1	0
Pla2g4e	0.00113908103258274	0.0970792873140007	1	1	1	0
Nbr1	0.00118471646248797	-0.049326796811679	1	1	1	0
Jrkl	0.00119049812253994	-0.57040308791721	1	1	1	0
Abcc4	0.00119774814930277	-0.0608294081519238	1	1	1	0
Bmyc	0.00122165354876974	-0.559556126953826	1	1	1	0
Hpgds	0.00124462001190186	-0.600721020095442	1	1	1	0
Nkapl	0.00125395191769068	-0.596559291956537	1	1	1	0
Cetn2	0.00129306753871483	-0.588418089304422	1	1	1	0
Cstb	0.00129739267747142	-0.622987702094069	1	1	1	0
Cd24a	0.00133361500401375	-0.597385482093313	1	0.833	1	0.167
Otud3	0.00136038227376006	-0.169044521967336	1	1	1	0
Ttn	0.0013819135971685	-0.6151788608583	1	1	1	0
Caly	0.00143150148068799	-0.370876270124795	1	1	1	0
Mx2	0.00145561922586772	-0.507050479989761	1	1	1	0
Llph	0.00146570025560761	-0.542343211731051	1	1	1	0
Sertad2	0.00150393296976018	0.0840936887721	1	1	1	0
Tmsb10	0.00159167339394125	-0.572681299762084	1	1	1	0
Zfp521	0.00160769639770254	-0.649774118786408	1	1	1	0
Bloc1s4	0.00161890305556172	-0.595254596720489	1	1	1	0
Hsd17b11	0.00163377800101677	-0.384768031307763	1	1	1	0
Atg4a	0.00163868378162322	-0.113036102338744	1	1	1	0
Bex2	0.0016814137530876	-0.477807101407415	1	1	1	0
Snx4	0.00169787474236716	-0.0687917477820288	1	1	1	0
Osbpl5	0.00170435656537337	-0.17324855250689	1	1	1	0
