gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Prnp	6.42395071550325e-13	0.915885121820102	1.15175012378258e-08	1	1	0
Bmpr1b	1.44999847271712e-10	-0.591237071904005	2.59970226173452e-06	1	1	0
Unc5c	9.69861999054649e-09	-0.488986169853673	0.000173886557810508	1	1	0
Oasl2	6.58638303665389e-08	0.140717278176306	0.00118087261464168	1	0.889	0.111
Reep3	8.90058567620039e-06	0.168231110008186	0.159578600588597	1	1	0
Meis1	1.52891711750757e-05	-0.145201938711858	0.274119549997933	1	1	0
Ifi44	2.54504752400778e-05	0.0522375099770902	0.456301570579355	0.889	0.111	0.778
Cdc14b	3.52447511902377e-05	0.173816274491755	0.631903144089772	1	1	0
Pifo	5.27436110416695e-05	-0.196448097872524	0.945640202366092	1	1	0
Psip1	8.18494056278492e-05	-0.109192520052151	1	1	1	0
Inppl1	8.68238257774864e-05	0.109405434727634	1	1	1	0
Stx3	8.82214973256805e-05	0.163484265949505	1	1	1	0
Grik2	0.000156935034532582	-0.252881106245351	1	1	1	0
Stat1	0.00020278743234295	0.191169830009731	1	1	1	0
Calb2	0.00020569372609645	-0.0942362784708535	1	1	1	0
Ccdc157	0.000206614575249223	0.176745786491607	1	1	1	0
Pnoc	0.000218819759916042	-0.0414459219017456	1	1	1	0
Ctxn3	0.0002232691883051	-0.0641249462785374	1	1	1	0
E130114P18Rik	0.000224815856602001	-0.254362507174462	1	1	1	0
Pcdh11x	0.000272039082955496	-0.158619755328484	1	1	1	0
Phf24	0.000272157089976539	0.157227871763647	1	1	1	0
Gm10767	0.000290163011420929	-0.112269855895442	1	1	1	0
Hacd3	0.000298777688559585	0.128036688245111	1	1	1	0
Trps1	0.000298987663926006	-0.353960684197259	1	1	1	0
Lipo3	0.000331179850781833	-0.162976165462074	1	1	1	0
Syn1	0.000354334478620324	0.135847489314558	1	1	1	0
Cers5	0.000354473826742272	0.148356450114901	1	1	1	0
Galnt5	0.000358808054109545	-0.0292363812710894	1	0.778	1	0.222
Tnc	0.000359258957685532	-0.189688217867342	1	1	1	0
Dlat	0.000496942574988189	0.0996874021960966	1	1	1	0
Olfm2	0.000500254884633992	0.234871067697061	1	1	1	0
Rnf213	0.000501795907806047	0.189587996820502	1	1	1	0
Tango2	0.000509792339714571	0.139838433589699	1	1	1	0
Gm4631	0.000512581914570305	0.271632643963041	1	1	1	0
Lpl	0.000542802271812061	-0.143910985324768	1	1	1	0
Tex264	0.000566143439853164	0.110197933143148	1	1	1	0
Epyc	0.000575522913896776	-0.0861146598242835	1	1	1	0
Pus7	0.000580408492533624	0.126884785813733	1	1	1	0
Slc22a23	0.000590632915748801	0.116895344365888	1	1	1	0
Hnrnpa3	0.000637847603751823	-0.109509269231853	1	1	1	0
Mslnl	0.000637906455610737	0.0788261078274899	1	1	0.889	0.111
Rab3gap2	0.000714034439246095	0.0998982563696394	1	1	1	0
Krt10	0.000724026868708788	-0.174352514727873	1	1	1	0
Qsox1	0.000739556835565174	0.133388092488474	1	1	1	0
5730522E02Rik	0.0007475353086509	-0.175591781560738	1	1	1	0
Ubb	0.000771479805790885	-0.337902306117314	1	1	1	0
Fgfbp3	0.000786966341968915	-0.156035313980114	1	1	1	0
Sulf2	0.000805494809703541	0.258060519014695	1	1	1	0
Gm973	0.00082349788361004	-0.0989089624889772	1	1	1	0
Cited2	0.000857708757405638	-0.132343797006982	1	1	1	0
Rangap1	0.000865267801148476	0.133347519647021	1	1	1	0
Gli3	0.000885464714826755	-0.148350474904532	1	1	1	0
Plppr1	0.00089051117310158	-0.318071097536991	1	1	1	0
Mfap3	0.000901239741587547	0.179793373561408	1	1	1	0
Chrdl1	0.000959226258312361	-0.207650603697253	1	1	1	0
Osbpl5	0.000985654904330329	0.144594546635644	1	1	1	0
Ifit1	0.00100148501930933	0.11826452652842	1	1	1	0
St8sia4	0.00101774804064808	-0.143513615659756	1	1	1	0
Efemp2	0.00103242830643772	0.0963571745708478	1	1	1	0
Lrrtm4	0.0010429555520602	-0.21161617932724	1	1	1	0
Rabepk	0.00104300587264956	0.129112924317387	1	1	1	0
2410002F23Rik	0.00105195021113698	0.130230096095787	1	1	1	0
Golga4	0.00105583502998242	0.122856199758573	1	1	1	0
Scd1	0.00106268944772919	0.0722017912952602	1	1	1	0
Prmt7	0.00106908790670367	0.122801154322905	1	1	1	0
Tmem47	0.00107024361699762	-0.191506235318349	1	1	1	0
Nup160	0.00108469753974156	0.113583174215899	1	1	1	0
