gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Cox4i1	2.41556144567527e-10	-2.32354410922828	4.3308601159512e-06	0.8	1	0.2
Aldoa	4.1812866497141e-08	-2.44002392356293	0.00074966288342724	0.6	1	0.4
Itpk1	1.12497971684175e-07	-0.804969010060465	0.00201697613432557	1	1	0
Zbtb16	1.13248181214492e-07	-1.33296381049807	0.00203042664099462	1	1	0
Rpl11	2.35329975273751e-06	-1.71919669153515	0.0421923112668308	0.8	1	0.2
Ncoa1	4.22187660498918e-06	1.15021998640644	0.0756940256508511	1	1	0
Rpl37a	6.74563732418828e-06	-1.8596346382578	0.120942531585372	0.6	1	0.4
Ndufs6	1.78037123200736e-05	-1.5686279628541	0.319202758186599	0.2	1	0.8
Rora	3.15385530708885e-05	1.16257081728469	0.565454718007959	1	1	0
Usp50	3.19131906116665e-05	0.919586505404565	0.572171594476568	1	0	1
Ndufs2	5.29191849106905e-05	-1.71694818871427	0.948788066263771	1	1	0
Pcx	5.52912132773367e-05	0.900689462208992	0.991316162849369	1	1	0
Gabrb1	0.000170854723408258	-1.51528388632566	1	0.4	1	0.6
Bsg	0.000173454714218695	-1.56742891704486	1	0.4	1	0.6
Rpl28	0.000196671433545697	-1.74596111008677	1	0.8	1	0.2
Uba52	0.00024409473932562	-1.3387177227587	1	0	1	1
Fau	0.000266158131531712	-1.47390491445588	1	0.8	1	0.2
Pex13	0.000267900801903989	0.986723030723003	1	1	0.667	0.333
Srrm2	0.00027831519685338	0.867587659906464	1	1	1	0
Pabpn1	0.000326486893433538	0.865999713121672	1	1	1	0
Camta1	0.000336710500906994	1.03138237464854	1	1	1	0
Rps23	0.000379380107132908	-1.53820549807397	1	0.8	1	0.2
Tuba1a	0.000386304588442978	-1.13853974319758	1	1	1	0
Mrfap1	0.000393641962661562	-1.72073900718876	1	0.6	1	0.4
Uba1	0.000393678234058479	-1.78151597851614	1	0.8	1	0.2
Vamp2	0.000399723880864422	-1.48259173246879	1	0.8	0.667	0.133
Nsmaf	0.000409411601686539	0.81393880191033	1	1	0.333	0.667
9430015G10Rik	0.000451235819025933	-1.56931152922886	1	0.8	1	0.2
Tmod2	0.000467996067166763	-0.537999256559588	1	1	1	0
Sgms1	0.000499259730367516	0.858749722723378	1	1	1	0
Hint1	0.000507492133260501	-1.56645444122583	1	0.6	1	0.4
Ppp1r12b	0.000541842985754448	0.93061831126888	1	1	1	0
Rps9	0.000597214720265704	-1.65078602148223	1	0.8	1	0.2
Tacc1	0.000598065942127572	-0.722884950144574	1	1	1	0
Wapl	0.000625110078204721	0.893775579312278	1	1	1	0
Retreg2	0.00067531160378305	-1.81540382639599	1	0.6	1	0.4
Smc5	0.000684663552190617	0.770166477536534	1	1	1	0
Chchd2	0.00077018024208084	-1.45550798695554	1	0.6	1	0.4
Cst3	0.000806019840218415	-1.56833993623545	1	0.8	1	0.2
Oxct1	0.000812142481031145	0.770111226024054	1	1	1	0
Rps27a	0.000841424284014937	-1.6260791017862	1	1	1	0
Smg6	0.000846512163007466	0.773161945862505	1	1	1	0
Lgr4	0.000884895839454518	0.764718294930818	1	1	1	0
Galnt1	0.000935769693907497	0.861232452434797	1	1	1	0
Pbdc1	0.000939576216351369	-1.2698836021896	1	1	1	0
Diaph2	0.00106010968260523	0.799633995058299	1	1	1	0
Thoc7	0.00109015537392583	-1.57353001826715	1	1	1	0
Pdhb	0.00109362081850328	-1.73706259742566	1	0.6	1	0.4
Papola	0.00109782804034411	0.766896598602124	1	1	1	0
Rab8b	0.00119347737916702	0.782028303557043	1	1	1	0
Cox5b	0.00121448193871872	-1.26844245938421	1	0.2	1	0.8
Rfx3	0.00125016289901639	0.867803222707267	1	1	1	0
Ankrd11	0.00126233133300704	0.703469341109214	1	1	1	0
Ikzf2	0.00128697570149989	-0.5855956994869	1	1	1	0
Zfand3	0.00133092952430344	0.736109413331937	1	1	1	0
Smg1	0.00133481116483209	0.697695393975922	1	1	1	0
Pcyt1b	0.00140014626694131	-0.665404768138528	1	1	1	0
Scaf8	0.00145647297202335	0.741526686530918	1	1	1	0
Tsga10	0.00146980466487966	0.765908987158441	1	1	1	0
Uso1	0.00147956522985139	0.822012822900115	1	1	1	0
Rnf41	0.00154918385488668	0.232829290185751	1	1	0	1
Stx16	0.00156602228742643	0.713401253750845	1	1	1	0
Cep85l	0.00157400569644317	0.812360796094856	1	1	1	0
Nsd2	0.00158628766593215	0.680973152663713	1	1	1	0
Rpl41	0.00162724094459425	-1.74215395967246	1	0.8	1	0.2
Tet2	0.00163657496420041	0.882049149403246	1	1	1	0
Nudc	0.00166009290717271	-1.28027293545508	1	0.6	1	0.4
Nubp2	0.00170576077198063	-1.29915941882804	1	0.4	1	0.6
Srek1	0.00180744943440864	0.644113770660831	1	1	1	0
Hdac4	0.00187248098367662	0.545413821134356	1	1	0.333	0.667
Adcy9	0.00187410770402308	0.764882456755618	1	1	1	0
Khdc4	0.00197400907616142	0.79696868265721	1	1	1	0
Pak5	0.00198513546392874	-0.25964273649606	1	1	1	0
Jmjd1c	0.00204186421649818	0.656571624205583	1	1	1	0
Emc10	0.00206651250549065	-1.41376588277676	1	1	1	0
Rps10	0.00207632182192296	-1.4803095611639	1	0.8	1	0.2
