gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Polr3e	3.52971277499136e-08	-0.871813259217093	0.0006328422034282	1	1	0
Fth1	4.23860163194605e-08	1.44141575082457	0.000759938886591608	1	1	0
Zbtb16	4.51700107687698e-06	-0.994960058998989	0.0809853123073274	1	1	0
Por	6.4291018917751e-06	-1.61467873645717	0.115267367817636	0.4	1	0.6
Cdh19	1.51411903197593e-05	-0.362875984613383	0.271466401242964	1	1	0
Tmod2	1.9303959401084e-05	-0.611233232164825	0.346100688102035	1	1	0
Map7d2	5.28546855589532e-05	-1.54950407440096	0.947631657386472	0.6	0.875	0.275
Hibch	5.41560400538081e-05	1.0878317765956	0.970963642124725	1	0.75	0.25
Tmem219	6.90575035417781e-05	-0.70302746453794	1	1	1	0
Rasal2	8.7558976496709e-05	0.620970150599435	1	1	1	0
Itpk1	0.000109040110600743	-0.512317755248565	1	1	1	0
Nr2c2	0.000121231686980272	-0.574717315897412	1	1	1	0
Zfp365	0.000130300316647305	-1.11396550535028	1	0.8	1	0.2
Gabrb1	0.00013750782450274	-1.2353160173582	1	0.4	0.75	0.35
Msantd2	0.000143218564423764	0.798707396664526	1	1	1	0
Ikzf2	0.000147790330122565	-0.486309486196457	1	1	1	0
Flot2	0.000173833883924563	-1.2489578752703	1	0.8	1	0.2
Tubb3	0.00024199439834678	-1.51899756444411	1	0.7	0.875	0.175
Luc7l2	0.000278025621168906	-0.2763935390304	1	1	1	0
Ppm1g	0.000533552001259241	0.923388388200847	1	1	0.25	0.75
Klf13	0.000566239193792272	-0.419936921486142	1	1	1	0
Klf9	0.000570428520707596	-0.902084978280373	1	1	1	0
Ndufs6	0.000573593947822137	-1.15932881078563	1	0.3	0.625	0.325
Plekha1	0.000656067786256226	-0.393938215761028	1	1	1	0
Erlin2	0.000691407860579138	-0.77428775649688	1	1	1	0
Rnf144a	0.000772824830552087	-0.502151658781113	1	1	1	0
Ctbs	0.000801621813736107	-0.999374831664418	1	0.7	1	0.3
Atp5d	0.000802221073175517	-0.96794457597833	1	0.3	0.75	0.45
Elmo1	0.000814057864523853	-0.296901005200048	1	1	1	0
Arpp19	0.000822972001964203	-1.34171731408111	1	0.5	1	0.5
Epb41l4b	0.000857268049229313	0.466492892748155	1	1	1	0
Lama2	0.000895257997981722	-0.24119790169711	1	1	1	0
Nuak1	0.00103345937139479	0.668402026303925	1	1	1	0
Vmp1	0.00107381247568201	-0.225994608997719	1	1	1	0
Btbd9	0.00113471992992276	0.680397242538734	1	1	1	0
Cldn11	0.00115801047266509	-0.305518231067239	1	1	1	0
Gpalpp1	0.00143899556004275	-0.905927196325763	1	0.9	1	0.1
Gabrr2	0.00146956550453017	-0.750446174238004	1	1	1	0
Mog	0.00149106534124419	-0.169108852208057	1	1	1	0
Aspa	0.00149389116684178	-0.199670823272663	1	1	1	0
Ccdc50	0.00157767686226536	-0.288023571745662	1	1	1	0
Armc5	0.00163955138580488	-0.917958061148043	1	0.8	1	0.2
Vps13b	0.00165852695855961	0.401564321179051	1	1	1	0
Adam1a	0.0017632534650444	0.752903538236132	1	1	0.625	0.375
Il1rap	0.0018308567821513	-0.239586252984717	1	1	1	0
Msantd3	0.00186253918027184	0.525242829010209	1	0.9	0.25	0.65
Cdc37l1	0.00204236430199484	-0.204137014570482	1	1	1	0
Fbxw15	0.00209141506324192	-0.769361703489534	1	1	1	0
Mrpl18	0.00211762295415286	-1.00379477977767	1	0.4	0.875	0.475
Bsg	0.00213761854297389	-1.06322150805379	1	0.5	0.875	0.375
Zfp651	0.00221550981611605	-1.16994311885676	1	0.4	0.875	0.475
Cachd1	0.00239036169165344	0.574957824233148	1	1	1	0
Dph7	0.00246695473038194	0.626510978130517	1	0.9	0.5	0.4
Zmat2	0.00247959215376192	-1.13726842927059	1	0.8	1	0.2
Ppp1r16b	0.00251344547452	-0.251415715580328	1	1	1	0
Tenm2	0.00255138354690213	-0.62221372478382	1	1	1	0
Nup93	0.00260855849660489	-1.4241252146492	1	0.8	0.875	0.075
Rcan2	0.00272033343392778	-0.730686562068017	1	1	1	0
Edc4	0.00272995169482488	-0.9812344071275	1	0.6	0.875	0.275
Zfp692	0.00273269491190866	0.710659865529771	1	1	1	0
Ndfip1	0.00298426182457896	-0.602892754258876	1	1	1	0
Dnm2	0.00311225343928153	-0.32250109355184	1	1	1	0
Hdgfl2	0.00311420443118276	-1.00173377940384	1	0.9	1	0.1
Atp5g2	0.00323419772487539	-0.920330322625226	1	0.8	1	0.2
Tnfaip6	0.00346687754528366	-0.318698278836695	1	1	1	0
Pgd	0.00347743070751335	-1.00791759655099	1	0.7	0.75	0.05
Arrdc3	0.00358640608442193	-0.271661374014937	1	1	1	0
Dennd5b	0.00379818401548685	-0.397447648747745	1	1	1	0
Septin7	0.00393723988133185	-0.133372265611537	1	1	1	0
Arpc5l	0.00394695046044651	-1.01746478765998	1	0.8	1	0.2
Plpbp	0.00402656913528835	-0.568153521828954	1	1	1	0
Copg2	0.00413625331330084	0.591194894633723	1	1	1	0
Tmem132d	0.00417134133984442	0.472300955431975	1	1	1	0
Tmem245	0.00418908234361247	0.481772237546769	1	1	1	0
Dvl1	0.00438878617370729	0.782059749580472	1	0.8	0.75	0.05
Tbc1d5	0.00439829294613001	-0.204226840658287	1	1	1	0
Mobp	0.00458831386254428	-0.244475337679353	1	1	1	0
Kcnab1	0.00460827253215246	-0.905840856536388	1	1	1	0
T2	0.00475397135512975	-0.503727315090676	1	1	1	0
Htra1	0.00477065227588763	-0.59595527041837	1	1	1	0
Unc5c	0.00481068405172167	-0.214902141144631	1	1	1	0
Cdc42bpa	0.00486905176712138	-0.158412873729363	1	1	1	0
Jmjd1c	0.00503785534671119	0.407105738136272	1	1	1	0
Mrfap1	0.00512502083024488	-1.25301829240464	1	0.7	0.875	0.175
Cebpg	0.00513914239773804	1.00133270100576	1	0.9	0.75	0.15
Uso1	0.00515711215123457	0.562743445346996	1	1	1	0
Sgms1	0.00517045371338392	0.645058763377544	1	1	1	0
Wdr12	0.00520609649464653	0.846884291508534	1	1	0.75	0.25
Tmem59	0.00530157638174667	-0.897775356462785	1	1	1	0
Dars	0.00531540015077426	-0.772412096064109	1	1	1	0
Tspyl2	0.00535107324400759	-0.908274358062373	1	0.6	1	0.4
Gtpbp4	0.00538617269098038	0.617874827905181	1	1	1	0
Fbxo36	0.00564559131072065	-0.818554200239708	1	0.9	1	0.1
Hif3a	0.00576559585248674	-0.788493961561866	1	0.8	0.875	0.075
Dhx8	0.00603082145096023	-0.927990271252796	1	0.9	1	0.1
Arrb2	0.00617199105254357	0.446240028188684	1	0.8	0.375	0.425
Rock2	0.00627207338606306	0.736210158092719	1	1	0.875	0.125
Flvcr1	0.00627254042958059	-1.00309615593515	1	0.6	0.875	0.275
Pbdc1	0.00627589286519098	-0.655609398530513	1	1	1	0
Plcl1	0.00632809240921871	-0.155380780541299	1	1	1	0
Hivep3	0.00634391569678747	0.700143338846293	1	1	1	0
Cntn3	0.00641558247448495	0.522779358964732	1	1	1	0
Kif3b	0.00651229783105528	0.7715666857906	1	1	0.75	0.25
Rnpep	0.00668419941509574	-0.645201687721092	1	1	1	0
Prkaa1	0.00686537059836935	0.75544429146355	1	1	1	0
Stard13	0.00690434697044624	-0.253628595101229	1	1	1	0
Adamts2	0.00694448568034975	0.35708275642411	1	1	1	0
Med24	0.00698917643442646	-1.21757711460003	1	0.6	0.875	0.275
Ndufv3	0.00700584962751226	-0.948686599389875	1	0.3	0.75	0.45
Fam168a	0.0070072526737439	0.457520132890536	1	1	1	0
Mboat2	0.00713242938395903	0.490230326548192	1	1	1	0
Ss18l1	0.00727847519751977	0.335415141970151	1	0.8	0.125	0.675
Lrch1	0.00765349543108874	0.794628301422831	1	1	0.75	0.25
Gna13	0.00767352859141677	0.580813828215485	1	0.9	0.875	0.025
Il33	0.0077298244920288	-0.28795923970451	1	1	1	0
Orc3	0.00780536559335356	-0.457179528824924	1	1	1	0
Map7	0.00781051165854706	-0.173745022323925	1	1	1	0
Pafah1b1	0.0079828249515214	-0.14436656719897	1	1	1	0
Cfap36	0.00799777165604197	-0.804343963589928	1	0.9	0.875	0.025
Fam222b	0.00807970324151327	0.631461898066972	1	1	1	0
Maml3	0.00816127829928306	0.714860479070884	1	1	1	0
Zbtb25	0.00825201256173796	0.7483458381414	1	1	0.875	0.125
Insr	0.00825488889248356	-0.351442607259626	1	1	1	0
Itsn1	0.00838876672127071	-0.837148439620044	1	0.9	0.875	0.025
