gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Gpc5	2.13823786885066e-05	1.57236504888391	0.383364667506236	1	0.4	0.6
Lhfpl3	0.000120063794180266	1.28768573077365	1	1	0.4	0.6
Klc1	0.000191212925301944	1.21797002882597	1	1	0.8	0.2
Actg1	0.000225565208701258	-1.28577276969927	1	0.6	0.8	0.2
Wrnip1	0.000259284713634075	0.976624782200901	1	1	0.8	0.2
Tnr	0.000293277759080491	1.41104247782117	1	1	0	1
Cds1	0.000326258962915762	0.772752838295927	1	1	0.2	0.8
Robo1	0.000360330992521772	-0.472371407921597	1	1	1	0
Pip4p2	0.000377979590513894	1.0612312082416	1	1	0.6	0.4
Anapc7	0.000426793686450065	-0.768123103132563	1	0.6	1	0.4
Uchl3	0.000575379614063646	0.943732307308466	1	1	1	0
C4b	0.000610021555869338	1.67695903167953	1	1	1	0
Naa12	0.000615991178259106	1.03303632939986	1	1	0.2	0.8
Hdac9	0.000766131100672182	-0.755046143849208	1	1	1	0
Mrps17	0.00102894981234	0.776791687849264	1	1	0.6	0.4
Ociad1	0.00114881401495562	1.11295653609325	1	1	0.8	0.2
Pde10a	0.00134770004950999	-0.648451192678452	1	0.2	0.6	0.4
Cdipt	0.00135668334719764	-0.698784806402697	1	0	0.8	0.8
Cops7b	0.0014450520012767	0.995778594926642	1	1	0.8	0.2
Dennd6a	0.00166610945529641	0.631002801974921	1	1	1	0
Gnai2	0.00168261749174072	-0.779901356065667	1	1	1	0
Stk19	0.00191803003644948	1.12447303390439	1	1	0.6	0.4
Snrpa	0.00201954394881007	-0.948606910637708	1	0.4	1	0.6
Arhgap35	0.00202093515472304	0.702230975985509	1	1	1	0
D130040H23Rik	0.00228974520612234	0.812821642939459	1	1	1	0
Mrgbp	0.00230073771228791	0.706209160063668	1	1	0.4	0.6
Csnk1g3	0.00231642403136521	0.635311453714239	1	1	1	0
Dnmt1	0.00269984413158682	-0.928235418527748	1	0.6	1	0.4
Glp2r	0.00286890035632217	1.09592385285412	1	1	0.8	0.2
Sarnp	0.00292561969919882	0.690407212958491	1	1	1	0
Skic3	0.00308845717505775	0.930040252541842	1	1	1	0
Zfhx3	0.00347041182283547	-0.873763166719448	1	1	1	0
Commd2	0.00351911447834718	-0.936185351639889	1	1	1	0
Zfp493	0.00381791767837556	-0.682803420158017	1	0.2	1	0.8
Zfp763	0.00398814744457867	-0.822152824338388	1	1	1	0
Extl3	0.00423257443706041	-0.714772650974802	1	1	1	0
Rbbp7	0.00436397095979364	0.93109663454758	1	0.8	0.4	0.4
Whamm	0.00438885257575995	0.848983856378933	1	1	0.8	0.2
Cplane1	0.00466153870596884	0.947786080191756	1	1	0.8	0.2
Nsmf	0.00475905119311069	-0.632303655667227	1	1	1	0
Hyou1	0.00479998507460522	0.664847854183982	1	0.8	0.2	0.6
Wwox	0.00484592963674246	-0.311977924506775	1	1	1	0
Garem1	0.0048587934303858	0.580618102411289	1	1	1	0
Pdia4	0.00504119980803088	0.641306586441829	1	1	0.6	0.4
Golph3	0.00510934657007716	-0.784088518923999	1	1	1	0
Usp32	0.0052065558215816	0.700204587175157	1	1	1	0
Uhrf1bp1	0.00534917239356983	0.697663825384378	1	1	0.6	0.4
