gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
C4b	2.07401423829028e-07	1.50985038774458	0.00371850012783064	1	1	0
G3bp2	1.74961657766848e-06	-1.70222586154239	0.0313688756210182	0.833	1	0.167
Ank3	3.57197284522439e-06	0.420604483601874	0.0640419011420281	1	1	0
Grik2	1.28925695461322e-05	0.617179984198761	0.231150879392604	1	1	0
Pcnp	1.30677640625952e-05	-1.40675949747338	0.234291941878269	1	1	0
Slf1	2.17390073051965e-05	-1.41156945300079	0.389758661974869	1	1	0
Pip5k1b	4.47189313306888e-05	0.733062687891309	0.80176571982792	1	0	1
Pcdh17	7.81156175057213e-05	1.93593064248659	1	1	0.75	0.25
Inpp4b	0.000140791673978025	-1.50786508444415	1	0.333	0.75	0.417
Akt3	0.000171755128787275	-0.862406761993525	1	1	1	0
Psap	0.000174652549523764	0.943898884830203	1	1	1	0
Nfasc	0.000193369726493392	0.513389045779878	1	1	1	0
Dnmt1	0.000223104051484976	-1.58247324184445	1	0.5	1	0.5
Mef2c	0.000277866688349528	-1.39319166259172	1	0.5	0.75	0.25
Tceanc2	0.000320217873760013	0.812534638458551	1	1	0.25	0.75
Auts2	0.000327647067595288	0.559924613823369	1	1	1	0
Rps27a	0.000361926667687744	-1.70873004698498	1	0.833	1	0.167
Fam234b	0.000370129016642958	-1.36816724379601	1	0.833	0.75	0.083
Sgms1	0.000382701174845624	-1.00337376178283	1	1	1	0
Cntn1	0.000420430336949753	2.45154589899421	1	1	0.5	0.5
Ablim2	0.000481199344494283	0.487433594025926	1	1	1	0
Mcph1	0.000501107112949719	-1.41844920442944	1	0.667	0.75	0.083
Chsy3	0.000682324561596785	1.14967819102709	1	1	1	0
Kndc1	0.000707872057545686	0.424188285469418	1	1	1	0
Slc8a3	0.000708052741201713	0.600711071563711	1	1	1	0
Rela	0.000713611181324625	0.61032360075338	1	1	0.25	0.75
Hsp90aa1	0.000728806279874314	-1.14924724093048	1	1	1	0
