gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
C4b	7.08617610430879e-06	1.82624646465416	0.127048051374152	1	1	0
Sarnp	2.80757104465476e-05	0.832981238073575	0.503369412596152	1	1	0
Tnr	3.10694608653961e-05	1.45988454258662	0.557044363855686	0.889	0.333	0.556
Robo1	7.56939712900424e-05	-0.425588561270949	1	1	1	0
Ckb	9.02060777378024e-05	-1.27075817772372	1	1	1	0
Vma21	0.000144965519970476	-1.08357871773	1	0.667	1	0.333
Bclaf1	0.000225472303712459	0.653661058887867	1	1	1	0
Mrps17	0.000304169424867914	0.911899904010521	1	0.889	0.556	0.333
Slc13a1	0.00044204601639069	-0.897222783280053	1	1	1	0
Rabac1	0.000463195727961298	-1.09010955125669	1	0.778	0.889	0.111
Dtwd1	0.000586709252589625	-1.08571313196529	1	0.556	0.778	0.222
Wrnip1	0.000766365741188013	0.984887712958162	1	1	0.778	0.222
Tjp1	0.000787914370956811	0.552212754534914	1	1	1	0
Slc7a15	0.000873079778549205	-0.822998904405094	1	1	0.889	0.111
Plekha1	0.00125398573996141	0.429664764249067	1	1	1	0
Heatr5b	0.00139481963323943	0.995037334998781	1	1	0.778	0.222
Psap	0.00143757162674525	0.992705853527047	1	1	1	0
Akt3	0.00160411332219957	-0.621588369601869	1	1	1	0
Mrpl27	0.00163706156361115	-0.641144088712788	1	0.778	0.778	0
Actg1	0.00166339183581473	-1.06978703588575	1	0.778	0.889	0.111
Rundc1	0.00173045993332773	-1.12127907049354	1	0.222	0.778	0.556
Clcn3	0.001826997288414	-0.576849338613274	1	1	1	0
Kcnk13	0.00193894011826552	-0.252170959668133	1	1	1	0
Atp5a1	0.00207513400911651	-0.850334119887386	1	0.778	0.889	0.111
0610009B22Rik	0.00207814565268272	0.703089350165595	1	0.889	0.111	0.778
Syt11	0.0021210411070959	-0.517866325500515	1	1	1	0
Uvssa	0.00240781690778163	1.01797395384151	1	1	0.889	0.111
Chchd10	0.0024656144388622	-1.36495841039247	1	0.111	0.667	0.556
Rps27a	0.0024679700504252	-1.30061943617499	1	0.889	1	0.111
Gdap2	0.0024705736475923	0.704750145182848	1	1	1	0
Ahsa2	0.00252799923344262	-0.822055661175646	1	1	1	0
Dcdc2a	0.00262345403361968	-0.629330559220157	1	0.222	0.556	0.334
Wbp1	0.00269782056651934	0.995874667229546	1	1	0.667	0.333
Ftsj3	0.00284640937991776	-0.870814542733901	1	0.778	1	0.222
Rras2	0.00303185600407963	1.88895133094183	1	1	0.444	0.556
Mef2c	0.00307255548258804	-0.868502605742139	1	0.556	0.667	0.111
Ndel1	0.00343062548225755	0.824592631312761	1	1	0.889	0.111
Inpp4b	0.00351301406646721	-0.886105227163836	1	0.444	0.667	0.223
Smyd3	0.00354799662481834	-0.44251496637896	1	1	1	0
Ap4m1	0.003682170471452	-0.787627439482001	1	0.889	1	0.111
Ntng2	0.00373149049952397	0.888552538441459	1	1	0.889	0.111
Sdhb	0.00376785233847918	-0.942244803186821	1	1	0.667	0.333
Puf60	0.00378774731505598	0.791720772086293	1	1	0.889	0.111
Dpp6	0.00386224240404551	-0.721810406120901	1	0.333	0.667	0.334
Tmem9b	0.00403483325770579	-0.985094926602798	1	0.556	1	0.444
Rpl9	0.00407132969779613	-1.02930329062039	1	0.444	0.778	0.334
Adam12	0.00420014988312579	1.03293460061079	1	1	0.556	0.444
Parp6	0.00430920435839681	-0.758847258473399	1	1	1	0
G3bp2	0.00433560870893234	-1.14115386211345	1	0.778	0.778	0
Scd2	0.00439263932871759	-0.401693574635307	1	1	1	0
Arhgdia	0.00452854970806436	-0.79665937581947	1	0.556	0.778	0.222
Pcdh17	0.00458864029077346	1.27057700051287	1	1	0.889	0.111
Syf2	0.00462933857969388	-0.992601717411459	1	0.667	0.889	0.222
Cibar1	0.00468739913347656	-0.752767018422156	1	0.444	0.667	0.223
Agl	0.00473714620344395	0.731159197126031	1	1	0.778	0.222
Zfp622	0.00474995094666196	-0.945361090689317	1	0.778	0.889	0.111
Daglb	0.00475005751400935	-0.74250014393423	1	0.667	1	0.333
Bnip1	0.00485571219013208	0.77288003549127	1	0.889	0.444	0.445
Anks3	0.00492768850764962	0.775410383861889	1	1	1	0
Sec11a	0.00507646069421847	0.589451826056268	1	1	1	0
Nr3c1	0.00513308730316815	-0.325670354232347	1	1	1	0
Zfp944	0.00515271319006627	0.841966493000668	1	1	0.889	0.111
Rpl21	0.00515418499785719	-1.03705489093066	1	0.889	0.778	0.111
Fbxw15	0.00519172879183488	-0.773712719487724	1	1	1	0
Chka	0.00540521232764079	0.890393716730093	1	1	0.889	0.111
Ddx1	0.00541660654313319	1.02947761484349	1	1	0.889	0.111
Klhl13	0.00544914814513995	0.998031180275201	1	1	0.667	0.333
Ddx27	0.00547049877830104	0.858397576016872	1	1	0.778	0.222
Cmtm6	0.0055064857135005	-0.636712996581701	1	0.333	0.889	0.556
Tceanc2	0.00553385382573945	0.917505460393537	1	1	0.667	0.333
D430041D05Rik	0.00555073558654767	2.36708266876749	1	0.778	0.333	0.445
Zfp763	0.00556723005042576	-0.800049472650629	1	0.889	0.889	0
Csmd2	0.00561884269734558	0.750842927780373	1	1	0.889	0.111
Stmn1	0.00562864477501587	-0.471240286807468	1	1	1	0
Cemip2	0.005631030086257	1.70238528002038	1	0.889	0.333	0.556
Slc35a1	0.00563638025008919	-0.634659850812781	1	0.333	0.889	0.556
Bzw1	0.00565102262214089	-0.765496856334413	1	0.889	1	0.111
Cnksr3	0.00575463961690274	1.10626305976795	1	1	1	0
Serpina3n	0.00581599933556927	0.738652804761694	1	0.667	0.111	0.556
Pag1	0.0058442033314334	-0.697628694100238	1	1	1	0
Vps37a	0.00591078957219768	0.761216237897598	1	1	1	0
Rnh1	0.00591942489980061	0.872798554771704	1	1	1	0
Pcp4	0.00593974733148678	-0.513831757086693	1	0.111	0.667	0.556
Nrxn3	0.0062197340486639	-1.69665598209451	1	1	0.889	0.111
Bcl3	0.00643229205637416	0.775552575048664	1	0.778	0.222	0.556
Sycp3	0.00663439619761229	0.754493634084383	1	1	0.111	0.889
Nckap5	0.00689939423175534	1.17046364478805	1	1	1	0
Hexb	0.00700946977935842	-0.737361093182263	1	0.889	1	0.111
Rnf167	0.00702182285999615	-0.639613536379267	1	1	1	0
Hsd17b10	0.00704089085894722	-0.777117063285452	1	0.222	0.556	0.334
Ppia	0.00747108855913457	-1.11874090366538	1	0.778	0.889	0.111
Lrrc49	0.00750765872493199	0.658994442995105	1	1	1	0
B230307C23Rik	0.00754477171798841	0.781151005036793	1	1	1	0
Ndufa7	0.00758322417695664	-0.991868064814282	1	0.556	0.889	0.333
Ptma	0.00760808942389833	-0.429898888549346	1	1	1	0
Cnpy3	0.00761688335219156	-0.745855416697963	1	0.444	0.778	0.334
Magi1	0.00762589508865325	-0.25167050340261	1	1	1	0
Bet1l	0.00765052159705216	-0.803002748955704	1	0.444	0.667	0.223
Itm2b	0.00767077187097554	-0.942998228771707	1	1	1	0
Vbp1	0.007691418695103	-0.441408634779559	1	1	1	0
Prrc2b	0.00788061668064139	-0.640276980497531	1	1	1	0
Dnmt1	0.00793218285423567	-0.995080797173254	1	0.667	0.778	0.111
Mga	0.0080789024930539	0.527039022537025	1	1	1	0
Dlst	0.00826185706058424	0.685600339817884	1	1	1	0
Ebpl	0.00826765364948782	-0.656141435184533	1	1	0.778	0.222
Tmem248	0.00827279582244507	-0.754286561329898	1	1	1	0
Rbm5	0.00842116962758228	0.381472620658734	1	1	1	0
